=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7691
Mean Deletion AUC: 0.0674
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.8962	0.0113
2-50668-A-41	0.7477	0.0230
1-39901-A-11	0.6853	0.0361
1-28135-B-11	0.7606	0.0380
1-47273-A-21	0.9855	0.2303
3-142605-A-21	0.9699	0.1482
4-175945-A-38	0.8024	0.0332
5-221593-A-21	0.2576	0.2576
2-73260-A-10	0.7058	0.0309
5-215658-A-12	0.7216	0.0177
2-88724-A-38	0.9547	0.0945
4-161579-A-40	0.1959	0.0257
1-64398-B-41	0.8606	0.0876
2-71162-A-1	0.8739	0.0544
4-195497-A-11	0.8094	0.0313
5-200334-B-1	0.9861	0.0465
2-95258-B-1	0.8206	0.0440
3-151081-B-20	0.7653	0.0149
2-188822-A-40	0.7447	0.0176
4-182613-B-11	0.0857	0.0105
3-170015-A-0	0.9069	0.1041
1-211527-B-20	0.9594	0.0410
4-185575-A-20	0.4661	0.0068
3-68630-A-40	0.8234	0.0099
1-17808-A-12	0.8222	0.0168
2-132157-B-11	0.6258	0.0243
4-161127-A-10	0.6417	0.0204
5-195710-A-10	0.7810	0.0251
2-96460-A-1	0.9274	0.2430
3-170377-A-38	0.9721	0.0211
2-77945-B-41	0.7976	0.0391
2-30322-A-12	0.8698	0.0489
4-125929-A-40	0.6211	0.0052
4-169127-A-41	0.2889	0.0044
2-18766-B-12	0.8221	0.0380
4-163264-A-10	0.8035	0.0195
4-185575-C-20	0.0485	0.0385
1-59513-A-0	0.9858	0.0691
3-142005-A-10	0.8308	0.0225
2-122104-A-0	0.9911	0.0889
4-164661-B-12	0.7862	0.0434
3-68630-C-40	0.6984	0.0319
2-102852-A-11	0.5460	0.0144
3-118972-B-41	0.8131	0.0478
5-201274-A-21	0.5963	0.2125
4-167063-B-11	0.7263	0.0127
3-157695-A-0	0.9906	0.1311
2-114280-A-0	0.9416	0.0884
5-200461-A-11	0.7303	0.0308
3-152007-E-20	0.9306	0.0536
1-172649-B-40	0.8884	0.0101
1-54505-A-21	0.8590	0.2171
5-170338-B-41	0.7355	0.0213
2-188822-C-40	0.8498	0.0101
3-118657-B-41	0.6766	0.0148
1-17367-A-10	0.7727	0.0181
4-167642-A-21	0.2576	0.2576
5-151085-A-20	0.9763	0.0953
5-194533-A-21	0.9778	0.1974
5-219379-B-11	0.7841	0.0690
5-212181-A-38	0.9753	0.0261
2-37806-D-40	0.7730	0.0060
2-50665-A-20	0.8860	0.0170
2-28314-A-12	0.8807	0.0709
5-205898-A-40	0.7141	0.0081
4-149294-B-41	0.6384	0.0416
3-158476-A-12	0.9649	0.0628
2-140147-A-38	0.9858	0.0958
5-198411-B-20	0.9165	0.1023
2-135728-A-38	0.9850	0.2136
2-72970-A-10	0.8358	0.0372
4-181865-A-38	0.9601	0.0269
5-171653-A-41	0.7017	0.0243
2-107351-B-20	0.8298	0.0615
2-128631-A-21	0.2576	0.2576
5-193473-A-12	0.9178	0.0774
4-183992-A-0	0.5599	0.0036
4-164064-B-1	0.6521	0.1461
4-181286-A-10	0.8125	0.0189
1-22694-A-20	0.9590	0.0813
2-61311-A-12	0.6890	0.0598
3-134049-A-1	0.9780	0.0472
2-117271-A-0	0.9766	0.0555
3-166422-A-11	0.7618	0.0291
1-97392-A-0	0.9931	0.0752
3-155642-B-11	0.4303	0.0140
1-43382-A-1	0.9712	0.0390
3-148330-A-21	0.2576	0.2576
4-180380-A-10	0.7573	0.0161
3-164630-A-11	0.6662	0.0139
4-199261-A-0	0.9640	0.1374
2-95258-A-1	0.9902	0.0755
1-44831-A-1	0.7131	0.0883
3-180256-A-0	0.9883	0.0411
5-233160-A-1	0.7142	0.0139
5-200334-A-1	0.9836	0.0650
2-100786-A-1	0.9221	0.0496
5-213802-A-12	0.6819	0.0048
4-171207-A-12	0.7620	0.0486
4-164206-A-10	0.8022	0.0223
3-152007-A-20	0.9149	0.0512
1-172649-F-40	0.8925	0.0056
5-209698-A-38	0.9625	0.0969
2-119102-A-21	0.4803	0.2521
4-167077-B-20	0.7044	0.0264
4-184575-A-0	0.9053	0.1144
3-118658-A-41	0.8776	0.0077
4-157611-B-41	0.1050	0.0324
4-204618-A-11	0.4594	0.0117
5-231762-A-0	0.2576	0.2576
3-154957-A-1	0.9782	0.0358
3-157149-A-10	0.8519	0.0165
1-63871-A-10	0.7544	0.0125
4-175000-A-40	0.1762	0.0078
1-56311-A-10	0.6999	0.0113
4-170247-A-12	0.8468	0.0555
2-66637-B-20	0.9285	0.0115
5-208810-A-11	0.7380	0.0299
4-181563-A-12	0.7596	0.0410
3-170383-A-38	0.9682	0.1315
1-48413-A-38	0.9510	0.0846
4-171519-A-21	0.5404	0.2416
5-219342-A-38	0.9155	0.0267
1-91359-B-11	0.3545	0.0244
4-166661-A-10	0.6623	0.0043
3-65748-A-12	0.8799	0.0475
5-185579-A-41	0.8147	0.0135
1-46272-A-12	0.8126	0.0524
1-7057-A-12	0.9221	0.0524
1-19898-B-41	0.8581	0.0395
5-198411-F-20	0.9423	0.0871
3-150979-B-40	0.8445	0.0085
5-177957-B-40	0.8109	0.0059
1-17565-A-12	0.9418	0.0483
4-164021-A-1	0.7843	0.0482
3-154926-A-40	0.9076	0.0068
2-155801-A-11	0.6613	0.0148
5-220026-A-21	0.2576	0.2576
5-220027-A-21	0.2599	0.2592
1-47274-A-21	0.3636	0.1419
5-202898-A-10	0.8092	0.0352
4-59579-B-20	0.6399	0.0351
5-191131-A-40	0.8539	0.0193
3-150231-A-21	0.2579	0.2577
4-193480-B-40	0.1296	0.0020
4-175000-C-40	0.1206	0.0791
5-220955-A-40	0.9539	0.0048
3-150363-A-38	0.9695	0.0930
4-164064-C-1	0.7299	0.0793
1-26806-A-1	0.9331	0.0327
1-47250-A-41	0.8392	0.0543
5-202220-A-21	0.9834	0.2494
2-68391-A-41	0.9184	0.0430
2-122104-B-0	0.9864	0.0755
4-208021-A-1	0.6560	0.0208
2-37806-B-40	0.8920	0.0206
2-50667-B-41	0.7874	0.0104
5-198411-D-20	0.8333	0.0763
5-208030-A-0	0.9824	0.0850
4-165823-A-41	0.6669	0.0256
5-9032-A-0	0.9785	0.0952
2-95035-A-1	0.9015	0.0423
1-29680-A-21	0.9858	0.2416
5-222524-A-41	0.7251	0.0322
5-216370-B-41	0.6540	0.0315
5-213855-A-0	0.9172	0.0639
1-60997-B-20	0.9401	0.0445
4-164064-A-1	0.4338	0.0715
1-85362-A-0	0.9865	0.0680
4-179984-A-38	0.1242	0.0520
1-181071-B-40	0.8856	0.0096
5-188655-A-10	0.7280	0.0243
1-116765-A-41	0.8826	0.0111
3-116135-A-1	0.9170	0.0522
4-182395-A-0	0.2576	0.2576
5-187979-A-21	0.3620	0.2474
1-40730-A-1	0.9741	0.0417
2-131943-A-38	0.9487	0.1190
3-152007-C-20	0.8588	0.0144
3-164120-A-11	0.7925	0.0153
1-172649-D-40	0.8976	0.0056
1-62850-A-38	0.9382	0.0259
1-57163-A-38	0.9728	0.1955
4-160999-A-10	0.7302	0.0269
3-144827-A-11	0.3801	0.0211
1-27724-A-1	0.8754	0.0397
1-187207-A-20	0.6913	0.0136
1-39923-A-1	0.9655	0.0370
5-219379-A-11	0.8297	0.0306
3-132852-A-10	0.7782	0.0372
4-207124-A-0	0.9560	0.0722
1-30344-A-0	0.9687	0.0601
5-217158-A-0	0.9609	0.0680
1-211527-C-20	0.9240	0.0355
4-167063-A-11	0.6233	0.0087
3-118656-A-41	0.8085	0.0400
3-118657-A-41	0.9234	0.0360
2-127108-A-38	0.9853	0.1554
1-172649-A-40	0.8182	0.0067
5-170338-A-41	0.8635	0.0572
5-203128-B-0	0.9751	0.0632
1-26222-A-10	0.7815	0.0212
4-164661-A-12	0.4845	0.0065
5-200461-B-11	0.7872	0.0157
3-141684-A-21	0.8585	0.2849
2-73027-A-10	0.7822	0.0198
5-189212-A-12	0.7168	0.0559
2-81731-A-10	0.8985	0.0843
2-125966-A-11	0.7368	0.0191
4-188033-A-38	0.9783	0.1116
3-118972-A-41	0.7261	0.0353
3-142006-A-10	0.7726	0.0137
3-144028-A-0	0.9683	0.0560
1-42139-A-38	0.9513	0.0249
1-22694-B-20	0.4337	0.0209
2-137162-A-11	0.7699	0.0216
1-21934-A-38	0.9767	0.0310
1-21935-A-38	0.9676	0.1012
2-107351-A-20	0.6637	0.0486
1-34119-A-1	0.4952	0.2462
2-109505-A-21	0.2595	0.2590
2-118104-A-21	0.9609	0.2049
4-185415-A-21	0.2902	0.2513
5-193473-B-12	0.8834	0.0636
5-200339-A-1	0.9779	0.0474
2-133863-A-11	0.8746	0.0164
1-50060-A-10	0.7844	0.0258
4-177250-A-10	0.7957	0.0249
5-198411-A-20	0.8658	0.0433
2-28314-B-12	0.7902	0.0574
5-234879-A-1	0.9842	0.0345
5-177957-E-40	0.9115	0.0106
3-144692-A-21	0.9389	0.2304
2-50666-A-20	0.9014	0.0354
4-149294-A-41	0.4310	0.0424
1-62849-A-38	0.9630	0.0428
2-80482-A-20	0.9672	0.0972
3-157615-A-10	0.7343	0.0274
3-187710-A-11	0.7272	0.0252
3-151080-A-20	0.9709	0.0699
3-151081-A-20	0.9759	0.0577
2-118964-A-0	0.2556	0.2513
3-145382-A-1	0.8516	0.0397
2-134700-A-38	0.9816	0.1464
4-156843-A-21	0.2576	0.2576
1-64398-A-41	0.8956	0.0273
5-215658-B-12	0.9128	0.0234
4-198965-A-38	0.8769	0.0787
3-147965-A-12	0.6927	0.0044
4-184434-A-21	0.6890	0.0301
4-195497-B-11	0.8188	0.0680
1-31748-A-21	0.2576	0.2576
4-161579-B-40	0.1120	0.0227
2-65747-A-12	0.9235	0.0278
1-110389-A-0	0.2576	0.2576
2-50668-B-41	0.7426	0.0614
3-120644-A-12	0.8069	0.0321
4-185619-A-21	0.6611	0.1998
1-28135-A-11	0.7254	0.0269
1-39901-B-11	0.7394	0.0155
5-198411-C-20	0.9398	0.0228
1-4211-A-12	0.8889	0.0290
4-191687-A-0	0.9938	0.0488
3-104958-A-12	0.8833	0.0748
2-30322-B-12	0.8332	0.0385
2-77945-A-41	0.7268	0.0658
3-155312-A-0	0.9823	0.0850
3-143933-A-38	0.9418	0.0342
4-170078-A-1	0.6658	0.0494
1-26143-A-21	0.4575	0.2593
5-181766-A-10	0.7958	0.0260
4-169127-B-41	0.4465	0.0136
5-186924-A-12	0.8430	0.0056
2-18766-A-12	0.6990	0.0326
3-136288-A-0	0.9400	0.0650
4-157297-A-21	0.8179	0.2857
3-171012-A-38	0.9864	0.0278
5-212454-A-0	0.9845	0.0664
5-219379-C-11	0.8258	0.0256
2-124662-A-11	0.6874	0.0352
1-100032-A-0	0.9904	0.0957
3-68630-B-40	0.7935	0.0260
5-208624-A-38	0.9497	0.0834
2-132157-A-11	0.8544	0.0115
5-194892-A-10	0.8344	0.0270
1-17808-B-12	0.8028	0.0070
3-163288-A-1	0.9829	0.0365
4-185575-B-20	0.7491	0.0214
2-188822-B-40	0.7790	0.0191
4-182613-A-11	0.5596	0.0140
1-43760-A-11	0.5782	0.0211
3-152007-D-20	0.8521	0.0307
1-29561-A-10	0.7659	0.0152
1-172649-C-40	0.8911	0.0103
5-194930-A-1	0.9793	0.0506
1-211527-A-20	0.9404	0.0347
4-167063-C-11	0.6620	0.0226
1-19898-C-41	0.9223	0.0657
2-118072-A-0	0.2578	0.2570
5-203128-A-0	0.7940	0.0382
5-198411-G-20	0.9728	0.0798
3-157187-A-12	0.7127	0.1547
4-165823-B-41	0.7342	0.0164
2-50667-A-41	0.8050	0.0306
3-142593-A-38	0.9862	0.1995
1-47250-B-41	0.8259	0.0512
4-192236-A-0	0.9821	0.0472
4-156844-A-21	0.7330	0.2656
2-37806-A-40	0.7330	0.0070
3-150979-C-40	0.7818	0.0060
5-177957-C-40	0.8122	0.0056
2-68391-B-41	0.8824	0.0278
5-213077-A-11	0.7397	0.0255
2-117625-A-10	0.7857	0.0206
4-194711-A-38	0.8086	0.0833
4-59579-A-20	0.4100	0.0078
4-193480-A-40	0.5256	0.0110
1-30226-A-0	0.9858	0.0815
3-104632-A-12	0.8739	0.0544
4-191327-A-38	0.8568	0.0125
1-17150-A-12	0.9414	0.0382
3-144827-B-11	0.5285	0.0106
3-142601-A-21	0.6242	0.2561
1-61252-A-11	0.7423	0.0376
3-164688-A-38	0.9479	0.1323
5-189237-A-12	0.9368	0.0401
2-114587-A-0	0.9423	0.0665
4-167077-C-20	0.7830	0.0915
5-234879-B-1	0.6529	0.0302
1-34119-B-1	0.6612	0.2270
1-60997-A-20	0.7267	0.0213
3-163459-A-0	0.4501	0.2674
4-183487-A-1	0.6721	0.0160
1-181071-A-40	0.8403	0.0245
5-198321-A-10	0.8208	0.0250
3-145774-A-12	0.9050	0.0720
2-119748-A-38	0.9921	0.0163
3-156558-A-21	0.2554	0.2445
5-235671-A-38	0.9504	0.0242
5-209833-A-38	0.9503	0.1302
5-216370-A-41	0.8784	0.0468
2-65750-A-1	0.3200	0.0647
4-182369-A-12	0.7555	0.0195
1-35687-A-38	0.9538	0.0865
3-171041-A-38	0.8672	0.1537
4-182368-A-12	0.8214	0.0341
3-143929-A-10	0.6573	0.0077
2-116400-A-0	0.9958	0.0849
4-167077-A-20	0.7128	0.0098
2-82538-A-21	0.2531	0.2475
2-130978-A-21	0.2578	0.2576
2-130979-A-21	0.9279	0.1614
5-210571-A-38	0.9777	0.0560
2-93030-A-21	0.9728	0.2151
4-157611-A-41	0.4679	0.0385
3-118658-B-41	0.7368	0.0159
2-82367-A-10	0.8178	0.0379
