=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7601
Mean Deletion AUC: 0.0756
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.8940	0.0127
2-50668-A-41	0.7672	0.0430
1-39901-A-11	0.6830	0.0204
1-28135-B-11	0.7596	0.0260
1-47273-A-21	0.9894	0.2376
3-142605-A-21	0.9637	0.2284
4-175945-A-38	0.7524	0.0244
5-221593-A-21	0.2576	0.2576
2-73260-A-10	0.7073	0.0331
5-215658-A-12	0.7138	0.0266
2-88724-A-38	0.9548	0.0892
4-161579-A-40	0.1925	0.0267
1-64398-B-41	0.8441	0.0606
2-71162-A-1	0.8640	0.0582
4-195497-A-11	0.8090	0.0250
5-200334-B-1	0.9868	0.0492
2-95258-B-1	0.8050	0.1183
3-151081-B-20	0.7646	0.0229
2-188822-A-40	0.7160	0.0367
4-182613-B-11	0.1003	0.0124
3-170015-A-0	0.8925	0.1145
1-211527-B-20	0.9605	0.0529
4-185575-A-20	0.3891	0.0104
3-68630-A-40	0.8283	0.0109
1-17808-A-12	0.8215	0.0166
2-132157-B-11	0.6535	0.0389
4-161127-A-10	0.6498	0.0221
5-195710-A-10	0.7814	0.0260
2-96460-A-1	0.9265	0.2548
3-170377-A-38	0.9730	0.0218
2-77945-B-41	0.7870	0.0168
2-30322-A-12	0.8463	0.0702
4-125929-A-40	0.6027	0.0048
4-169127-A-41	0.3123	0.0065
2-18766-B-12	0.8331	0.0669
4-163264-A-10	0.7989	0.0204
4-185575-C-20	0.0519	0.0273
1-59513-A-0	0.9861	0.0801
3-142005-A-10	0.8351	0.0247
2-122104-A-0	0.9912	0.0961
4-164661-B-12	0.7383	0.0478
3-68630-C-40	0.6857	0.0403
2-102852-A-11	0.5244	0.0158
3-118972-B-41	0.7958	0.0361
5-201274-A-21	0.5863	0.2350
4-167063-B-11	0.7249	0.0118
3-157695-A-0	0.9940	0.1386
2-114280-A-0	0.9413	0.1053
5-200461-A-11	0.7345	0.0303
3-152007-E-20	0.9203	0.0587
1-172649-B-40	0.8789	0.0110
