=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7789
Mean Deletion AUC: 0.0654
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.8964	0.0181
2-50668-A-41	0.7870	0.0312
1-39901-A-11	0.7283	0.0202
1-28135-B-11	0.7728	0.0119
1-47273-A-21	0.9819	0.2501
3-142605-A-21	0.9568	0.1389
4-175945-A-38	0.7127	0.0399
5-221593-A-21	0.2840	0.2517
2-73260-A-10	0.7386	0.0084
5-215658-A-12	0.7498	0.0232
2-88724-A-38	0.9736	0.1335
4-161579-A-40	0.1935	0.0096
1-64398-B-41	0.8879	0.0439
2-71162-A-1	0.8955	0.0391
4-195497-A-11	0.8190	0.0473
5-200334-B-1	0.9912	0.0693
2-95258-B-1	0.8299	0.0570
3-151081-B-20	0.7452	0.0235
2-188822-A-40	0.7401	0.0000
4-182613-B-11	0.1292	0.0616
3-170015-A-0	0.9000	0.0971
1-211527-B-20	0.9445	0.0307
4-185575-A-20	0.3642	0.0344
3-68630-A-40	0.8664	0.0000
1-17808-A-12	0.7976	0.0212
2-132157-B-11	0.7350	0.0184
4-161127-A-10	0.5063	0.0000
5-195710-A-10	0.7765	0.0402
2-96460-A-1	0.9123	0.2457
3-170377-A-38	0.9763	0.0000
2-77945-B-41	0.8788	0.0328
2-30322-A-12	0.8623	0.0460
4-125929-A-40	0.6268	0.0190
4-169127-A-41	0.2862	0.0000
2-18766-B-12	0.8402	0.0191
4-163264-A-10	0.7265	0.0357
4-185575-C-20	0.0563	0.0306
1-59513-A-0	0.9842	0.0423
3-142005-A-10	0.7093	0.0144
2-122104-A-0	0.9923	0.0777
4-164661-B-12	0.7349	0.0207
3-68630-C-40	0.7221	0.0000
2-102852-A-11	0.6157	0.0000
3-118972-B-41	0.8389	0.0062
5-201274-A-21	0.6453	0.1684
4-167063-B-11	0.7988	0.0168
3-157695-A-0	1.0000	0.1271
2-114280-A-0	0.9596	0.1250
5-200461-A-11	0.7946	0.0000
3-152007-E-20	0.9572	0.0214
1-172649-B-40	0.8712	0.0000
1-54505-A-21	0.8777	0.1223
5-170338-B-41	0.7253	0.0323
2-188822-C-40	0.8345	0.0301
3-118657-B-41	0.8280	0.0165
1-17367-A-10	0.8249	0.0085
4-167642-A-21	0.2798	0.2392
5-151085-A-20	0.9687	0.0509
5-194533-A-21	1.0000	0.0671
5-219379-B-11	0.8626	0.0322
5-212181-A-38	0.9569	0.0350
2-37806-D-40	0.7570	0.0174
2-50665-A-20	0.8902	0.0309
2-28314-A-12	0.8729	0.0536
5-205898-A-40	0.6850	0.0088
4-149294-B-41	0.6102	0.0321
3-158476-A-12	0.9637	0.0759
2-140147-A-38	0.9973	0.1693
5-198411-B-20	0.9718	0.1004
2-135728-A-38	1.0000	0.1634
2-72970-A-10	0.8607	0.0437
4-181865-A-38	0.9557	0.0171
5-171653-A-41	0.7484	0.0313
2-107351-B-20	0.8881	0.0396
2-128631-A-21	0.2555	0.2565
5-193473-A-12	0.9215	0.0478
4-183992-A-0	0.5147	0.0000
4-164064-B-1	0.6672	0.1200
4-181286-A-10	0.7676	0.0000
1-22694-A-20	1.0000	0.0335
2-61311-A-12	0.6833	0.0558
3-134049-A-1	0.9973	0.0923
2-117271-A-0	0.9830	0.1379
3-166422-A-11	0.7087	0.0022
1-97392-A-0	1.0000	0.0819
3-155642-B-11	0.4980	0.0000
1-43382-A-1	0.9523	0.0261
3-148330-A-21	0.2628	0.2401
4-180380-A-10	0.7265	0.0144
3-164630-A-11	0.7130	0.0000
4-199261-A-0	0.9908	0.0800
2-95258-A-1	0.9900	0.1060
1-44831-A-1	0.7089	0.1100
3-180256-A-0	0.9985	0.1240
5-233160-A-1	0.7581	0.0154
5-200334-A-1	0.9938	0.0809
2-100786-A-1	0.9042	0.0398
5-213802-A-12	0.7445	0.0165
4-171207-A-12	0.7596	0.0470
4-164206-A-10	0.6839	0.0343
3-152007-A-20	0.9534	0.0320
1-172649-F-40	0.8569	0.0250
5-209698-A-38	0.9403	0.1791
2-119102-A-21	0.4898	0.2449
4-167077-B-20	0.7325	0.0452
4-184575-A-0	0.9103	0.1237
3-118658-A-41	0.8341	0.0264
4-157611-B-41	0.1155	0.0203
4-204618-A-11	0.5097	0.0266
5-231762-A-0	0.2406	0.2585
3-154957-A-1	0.9591	0.0497
3-157149-A-10	0.8161	0.0251
1-63871-A-10	0.7431	0.0000
4-175000-A-40	0.1110	0.0890
1-56311-A-10	0.6702	0.0000
4-170247-A-12	0.7982	0.0156
2-66637-B-20	0.9230	0.0202
5-208810-A-11	0.7706	0.0394
4-181563-A-12	0.7524	0.0496
3-170383-A-38	0.9740	0.1282
1-48413-A-38	0.9422	0.0233
4-171519-A-21	0.5332	0.2587
5-219342-A-38	0.9107	0.0260
1-91359-B-11	0.3828	0.0000
4-166661-A-10	0.3837	0.0000
3-65748-A-12	0.8844	0.0189
5-185579-A-41	0.8543	0.0000
1-46272-A-12	0.8114	0.0809
1-7057-A-12	0.9010	0.0843
1-19898-B-41	0.8880	0.0655
5-198411-F-20	0.9794	0.1289
3-150979-B-40	0.8937	0.0000
5-177957-B-40	0.8085	0.0000
1-17565-A-12	0.8959	0.0742
4-164021-A-1	0.7539	0.0369
3-154926-A-40	0.8873	0.0000
2-155801-A-11	0.7204	0.0259
5-220026-A-21	0.2503	0.2472
5-220027-A-21	0.2526	0.2412
1-47274-A-21	0.4224	0.1913
5-202898-A-10	0.8248	0.0233
4-59579-B-20	0.6991	0.0714
5-191131-A-40	0.8533	0.0267
3-150231-A-21	0.2451	0.2763
4-193480-B-40	0.1291	0.0066
4-175000-C-40	0.1024	0.0974
5-220955-A-40	0.9177	0.0000
3-150363-A-38	0.9552	0.1149
4-164064-C-1	0.7070	0.0333
1-26806-A-1	0.9525	0.0577
