=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7552
Mean Deletion AUC: 0.0846
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.8936	0.0119
2-50668-A-41	0.6718	0.0459
1-39901-A-11	0.7109	0.0493
1-28135-B-11	0.7599	0.0375
1-47273-A-21	0.9855	0.3284
3-142605-A-21	0.9654	0.2144
4-175945-A-38	0.8125	0.0220
5-221593-A-21	0.2576	0.2576
2-73260-A-10	0.7090	0.0314
5-215658-A-12	0.7381	0.0622
2-88724-A-38	0.9330	0.1527
4-161579-A-40	0.1910	0.0269
1-64398-B-41	0.7679	0.0651
2-71162-A-1	0.8525	0.0646
4-195497-A-11	0.7692	0.0289
5-200334-B-1	0.9843	0.0767
2-95258-B-1	0.8048	0.1094
3-151081-B-20	0.7779	0.0247
2-188822-A-40	0.6753	0.0617
4-182613-B-11	0.0677	0.0680
3-170015-A-0	0.9025	0.0965
1-211527-B-20	0.9762	0.0849
4-185575-A-20	0.3748	0.0176
3-68630-A-40	0.8145	0.0092
1-17808-A-12	0.8201	0.0355
2-132157-B-11	0.7038	0.0545
4-161127-A-10	0.4584	0.0150
5-195710-A-10	0.7489	0.0526
2-96460-A-1	0.9253	0.2569
3-170377-A-38	0.9744	0.0214
2-77945-B-41	0.8273	0.0431
2-30322-A-12	0.8823	0.0508
4-125929-A-40	0.6143	0.0054
4-169127-A-41	0.2665	0.0048
2-18766-B-12	0.8173	0.0428
4-163264-A-10	0.6405	0.0302
4-185575-C-20	0.0511	0.0165
1-59513-A-0	0.9831	0.0885
3-142005-A-10	0.7041	0.0271
2-122104-A-0	0.9905	0.0973
4-164661-B-12	0.6502	0.0481
3-68630-C-40	0.6845	0.0144
2-102852-A-11	0.5761	0.0098
3-118972-B-41	0.7704	0.0341
5-201274-A-21	0.5717	0.2385
4-167063-B-11	0.7338	0.0373
3-157695-A-0	0.9936	0.1691
2-114280-A-0	0.9433	0.1411
5-200461-A-11	0.7484	0.0265
3-152007-E-20	0.9355	0.0481
1-172649-B-40	0.8814	0.0313
1-54505-A-21	0.8529	0.4970
5-170338-B-41	0.7499	0.0331
2-188822-C-40	0.8673	0.0150
3-118657-B-41	0.6774	0.0174
1-17367-A-10	0.7195	0.0316
4-167642-A-21	0.2576	0.2576
5-151085-A-20	0.9531	0.0766
5-194533-A-21	0.9896	0.2114
5-219379-B-11	0.8043	0.0914
5-212181-A-38	0.9716	0.0363
2-37806-D-40	0.7045	0.0414
2-50665-A-20	0.9025	0.0230
2-28314-A-12	0.8904	0.0509
5-205898-A-40	0.7016	0.0151
4-149294-B-41	0.5912	0.0336
3-158476-A-12	0.9220	0.0759
2-140147-A-38	0.9566	0.1188
5-198411-B-20	0.9317	0.0939
2-135728-A-38	0.9784	0.1470
2-72970-A-10	0.7706	0.0746
4-181865-A-38	0.9736	0.0437
5-171653-A-41	0.7332	0.0225
2-107351-B-20	0.8873	0.0553
2-128631-A-21	0.2576	0.2576
5-193473-A-12	0.9037	0.0860
4-183992-A-0	0.0956	0.0702
4-164064-B-1	0.3951	0.2531
4-181286-A-10	0.7502	0.0431
1-22694-A-20	0.9672	0.0937
2-61311-A-12	0.7038	0.0238
3-134049-A-1	0.9751	0.0830
2-117271-A-0	0.9780	0.1316
3-166422-A-11	0.7774	0.0552
1-97392-A-0	0.9930	0.1139
3-155642-B-11	0.4346	0.0101
1-43382-A-1	0.9660	0.0354
3-148330-A-21	0.2576	0.2576
4-180380-A-10	0.7135	0.0202
3-164630-A-11	0.7181	0.0141
4-199261-A-0	0.9659	0.0870
2-95258-A-1	0.9862	0.1164
1-44831-A-1	0.5121	0.2520
3-180256-A-0	0.9873	0.1204
5-233160-A-1	0.5396	0.0244
5-200334-A-1	0.9744	0.0693
2-100786-A-1	0.9243	0.0391
5-213802-A-12	0.7279	0.0076
4-171207-A-12	0.7367	0.0798
4-164206-A-10	0.6935	0.0560
3-152007-A-20	0.8954	0.0963
1-172649-F-40	0.8914	0.0059
5-209698-A-38	0.9305	0.1107
2-119102-A-21	0.4819	0.2565
4-167077-B-20	0.7312	0.0311
4-184575-A-0	0.9013	0.1340
3-118658-A-41	0.8224	0.0182
4-157611-B-41	0.0983	0.0189
4-204618-A-11	0.4216	0.0321
5-231762-A-0	0.2576	0.2576
3-154957-A-1	0.9748	0.0358
3-157149-A-10	0.7521	0.0399
1-63871-A-10	0.7809	0.0363
4-175000-A-40	0.1357	0.1791
1-56311-A-10	0.5902	0.0262
4-170247-A-12	0.8460	0.0599
2-66637-B-20	0.9177	0.0186
5-208810-A-11	0.7454	0.0350
4-181563-A-12	0.7331	0.0678
3-170383-A-38	0.9452	0.0810
1-48413-A-38	0.9407	0.0758
4-171519-A-21	0.5089	0.3475
5-219342-A-38	0.9276	0.0491
1-91359-B-11	0.4428	0.0493
4-166661-A-10	0.3624	0.0100
3-65748-A-12	0.9008	0.0316
5-185579-A-41	0.8007	0.0195
1-46272-A-12	0.8129	0.0500
1-7057-A-12	0.9314	0.1046
1-19898-B-41	0.8164	0.0516
5-198411-F-20	0.9582	0.1429
3-150979-B-40	0.8458	0.0169
5-177957-B-40	0.8279	0.0066
1-17565-A-12	0.9196	0.0760
4-164021-A-1	0.7695	0.0978
3-154926-A-40	0.8825	0.0084
2-155801-A-11	0.7420	0.0465
5-220026-A-21	0.2575	0.2576
5-220027-A-21	0.2607	0.2582
1-47274-A-21	0.4578	0.2787
5-202898-A-10	0.7134	0.0653
4-59579-B-20	0.6719	0.0892
5-191131-A-40	0.8330	0.0157
3-150231-A-21	0.2578	0.2577
4-193480-B-40	0.1092	0.0075
4-175000-C-40	0.0637	0.3222
5-220955-A-40	0.9645	0.0067
3-150363-A-38	0.9423	0.0777
4-164064-C-1	0.6922	0.0794
1-26806-A-1	0.9334	0.0560
1-47250-A-41	0.8060	0.0871
5-202220-A-21	0.9830	0.2403
2-68391-A-41	0.8995	0.0396
2-122104-B-0	0.9841	0.0746
4-208021-A-1	0.6742	0.0186
2-37806-B-40	0.8667	0.0405
2-50667-B-41	0.8068	0.0216
5-198411-D-20	0.8784	0.0722
5-208030-A-0	0.9867	0.1257
4-165823-A-41	0.6305	0.0197
5-9032-A-0	0.9807	0.0978
2-95035-A-1	0.8964	0.0517
1-29680-A-21	0.9853	0.2561
5-222524-A-41	0.7292	0.0286
5-216370-B-41	0.7114	0.0448
5-213855-A-0	0.9348	0.0915
1-60997-B-20	0.9320	0.0527
4-164064-A-1	0.4503	0.3389
1-85362-A-0	0.9861	0.1102
4-179984-A-38	0.0716	0.2567
1-181071-B-40	0.8936	0.0191
5-188655-A-10	0.7032	0.0797
1-116765-A-41	0.7878	0.0428
3-116135-A-1	0.9000	0.1071
4-182395-A-0	0.2576	0.2576
5-187979-A-21	0.3437	0.2983
1-40730-A-1	0.9757	0.1027
2-131943-A-38	0.9252	0.1247
3-152007-C-20	0.8678	0.0125
3-164120-A-11	0.8079	0.0188
1-172649-D-40	0.8723	0.0125
1-62850-A-38	0.9458	0.0227
1-57163-A-38	0.9380	0.2703
4-160999-A-10	0.7319	0.0283
3-144827-A-11	0.3667	0.0552
1-27724-A-1	0.8716	0.0395
1-187207-A-20	0.6972	0.0161
1-39923-A-1	0.9668	0.0292
5-219379-A-11	0.8238	0.0617
3-132852-A-10	0.7849	0.0268
4-207124-A-0	0.9537	0.0954
1-30344-A-0	0.9721	0.1076
5-217158-A-0	0.9613	0.1143
1-211527-C-20	0.9167	0.0226
4-167063-A-11	0.5896	0.0624
3-118656-A-41	0.7845	0.0330
3-118657-A-41	0.9019	0.0587
2-127108-A-38	0.9784	0.0712
1-172649-A-40	0.8790	0.0139
5-170338-A-41	0.7765	0.0428
5-203128-B-0	0.9786	0.1216
1-26222-A-10	0.6746	0.0660
4-164661-A-12	0.5684	0.0238
5-200461-B-11	0.7597	0.0388
3-141684-A-21	0.8401	0.2967
2-73027-A-10	0.7350	0.0569
5-189212-A-12	0.6865	0.0711
2-81731-A-10	0.8817	0.1174
2-125966-A-11	0.7311	0.0356
4-188033-A-38	0.9841	0.1526
3-118972-A-41	0.7642	0.0351
3-142006-A-10	0.7207	0.0285
3-144028-A-0	0.9674	0.1677
1-42139-A-38	0.9307	0.0563
1-22694-B-20	0.4073	0.0185
2-137162-A-11	0.7904	0.0298
1-21934-A-38	0.9773	0.0332
1-21935-A-38	0.9560	0.1083
2-107351-A-20	0.6803	0.0403
1-34119-A-1	0.4345	0.2299
2-109505-A-21	0.2601	0.2583
2-118104-A-21	0.9552	0.1435
4-185415-A-21	0.2857	0.2649
5-193473-B-12	0.8753	0.0845
5-200339-A-1	0.9733	0.0540
2-133863-A-11	0.8551	0.0391
1-50060-A-10	0.6516	0.0264
4-177250-A-10	0.7602	0.0349
5-198411-A-20	0.8990	0.0692
2-28314-B-12	0.8223	0.0490
5-234879-A-1	0.9847	0.0293
5-177957-E-40	0.9281	0.0115
3-144692-A-21	0.9346	0.1662
2-50666-A-20	0.8999	0.0345
4-149294-A-41	0.4530	0.0162
1-62849-A-38	0.9526	0.0717
2-80482-A-20	0.9433	0.0940
3-157615-A-10	0.6652	0.0413
3-187710-A-11	0.7727	0.0261
3-151080-A-20	0.9568	0.0889
3-151081-A-20	0.9791	0.1012
2-118964-A-0	0.2515	0.2548
3-145382-A-1	0.8611	0.0380
2-134700-A-38	0.9543	0.1065
4-156843-A-21	0.2576	0.2576
1-64398-A-41	0.8872	0.0689
5-215658-B-12	0.9116	0.0719
4-198965-A-38	0.8068	0.1448
3-147965-A-12	0.6321	0.0243
4-184434-A-21	0.6645	0.0416
4-195497-B-11	0.8432	0.0525
1-31748-A-21	0.2576	0.2576
4-161579-B-40	0.1099	0.0443
2-65747-A-12	0.9083	0.0540
1-110389-A-0	0.2576	0.2576
2-50668-B-41	0.6805	0.0201
3-120644-A-12	0.8429	0.0270
4-185619-A-21	0.5336	0.1547
1-28135-A-11	0.7872	0.0410
1-39901-B-11	0.7673	0.0561
5-198411-C-20	0.9477	0.0923
1-4211-A-12	0.8678	0.0189
4-191687-A-0	0.9945	0.0550
3-104958-A-12	0.8275	0.0982
2-30322-B-12	0.8338	0.0410
2-77945-A-41	0.7332	0.0592
3-155312-A-0	0.9828	0.1154
3-143933-A-38	0.9551	0.0278
4-170078-A-1	0.4125	0.0844
1-26143-A-21	0.4384	0.2764
5-181766-A-10	0.7723	0.0444
4-169127-B-41	0.7129	0.0091
5-186924-A-12	0.8766	0.0248
2-18766-A-12	0.7556	0.0379
3-136288-A-0	0.9541	0.1893
4-157297-A-21	0.8102	0.2716
3-171012-A-38	0.9861	0.0472
5-212454-A-0	0.9878	0.1229
5-219379-C-11	0.7987	0.0801
2-124662-A-11	0.6591	0.0551
1-100032-A-0	0.9906	0.1019
3-68630-B-40	0.7829	0.0091
5-208624-A-38	0.9242	0.1048
2-132157-A-11	0.8415	0.0519
5-194892-A-10	0.7480	0.0682
1-17808-B-12	0.7705	0.0134
3-163288-A-1	0.9702	0.0657
4-185575-B-20	0.8163	0.0418
2-188822-B-40	0.7729	0.0500
4-182613-A-11	0.5806	0.0092
