=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7643
Mean Deletion AUC: 0.0756
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.8915	0.0152
2-50668-A-41	0.6710	0.0394
1-39901-A-11	0.7318	0.0565
1-28135-B-11	0.7697	0.0369
1-47273-A-21	0.9872	0.2933
3-142605-A-21	0.9655	0.1683
4-175945-A-38	0.7874	0.0235
5-221593-A-21	0.2576	0.2576
2-73260-A-10	0.7133	0.0287
5-215658-A-12	0.7353	0.0421
2-88724-A-38	0.9343	0.1470
4-161579-A-40	0.1918	0.0267
1-64398-B-41	0.7811	0.0539
2-71162-A-1	0.8507	0.0589
4-195497-A-11	0.7853	0.0310
5-200334-B-1	0.9853	0.0573
2-95258-B-1	0.8092	0.0536
3-151081-B-20	0.7845	0.0217
2-188822-A-40	0.6755	0.0587
4-182613-B-11	0.0833	0.0606
3-170015-A-0	0.9090	0.0939
1-211527-B-20	0.9784	0.0885
4-185575-A-20	0.4280	0.0191
3-68630-A-40	0.8044	0.0125
1-17808-A-12	0.8301	0.0305
2-132157-B-11	0.7135	0.0301
4-161127-A-10	0.4375	0.0128
5-195710-A-10	0.7641	0.0527
2-96460-A-1	0.9216	0.2786
3-170377-A-38	0.9744	0.0193
2-77945-B-41	0.8716	0.0322
2-30322-A-12	0.8845	0.0486
4-125929-A-40	0.6163	0.0048
4-169127-A-41	0.2669	0.0038
2-18766-B-12	0.8024	0.0292
4-163264-A-10	0.6523	0.0323
4-185575-C-20	0.0686	0.0186
1-59513-A-0	0.9824	0.0862
3-142005-A-10	0.7067	0.0376
2-122104-A-0	0.9880	0.0817
4-164661-B-12	0.6920	0.0422
3-68630-C-40	0.7031	0.0105
2-102852-A-11	0.6146	0.0164
3-118972-B-41	0.7593	0.0324
5-201274-A-21	0.6733	0.1812
4-167063-B-11	0.7861	0.0322
3-157695-A-0	0.9936	0.1756
2-114280-A-0	0.9422	0.1254
5-200461-A-11	0.7405	0.0245
3-152007-E-20	0.9300	0.0388
1-172649-B-40	0.8858	0.0250
1-54505-A-21	0.8582	0.2213
5-170338-B-41	0.7431	0.0274
2-188822-C-40	0.8920	0.0164
3-118657-B-41	0.7181	0.0127
1-17367-A-10	0.7394	0.0345
4-167642-A-21	0.2576	0.2576
5-151085-A-20	0.9553	0.0943
5-194533-A-21	0.9870	0.0869
5-219379-B-11	0.8127	0.1035
5-212181-A-38	0.9757	0.0277
2-37806-D-40	0.7458	0.0321
2-50665-A-20	0.9070	0.0190
2-28314-A-12	0.8925	0.0471
5-205898-A-40	0.7016	0.0118
4-149294-B-41	0.6109	0.0369
3-158476-A-12	0.9283	0.0888
2-140147-A-38	0.9572	0.1226
5-198411-B-20	0.9280	0.1301
2-135728-A-38	0.9788	0.1419
2-72970-A-10	0.7847	0.0720
4-181865-A-38	0.9726	0.0443
5-171653-A-41	0.7252	0.0240
2-107351-B-20	0.8800	0.0766
2-128631-A-21	0.2576	0.2576
5-193473-A-12	0.8990	0.0878
4-183992-A-0	0.5258	0.0070
4-164064-B-1	0.6532	0.1221
4-181286-A-10	0.7439	0.0433
1-22694-A-20	0.9694	0.0675
2-61311-A-12	0.6710	0.0525
3-134049-A-1	0.9720	0.0644
2-117271-A-0	0.9807	0.1452
3-166422-A-11	0.7887	0.0496
1-97392-A-0	0.9927	0.1165
3-155642-B-11	0.4714	0.0115
1-43382-A-1	0.9673	0.0364
3-148330-A-21	0.2576	0.2576
4-180380-A-10	0.7060	0.0487
3-164630-A-11	0.7122	0.0176
4-199261-A-0	0.9657	0.0952
2-95258-A-1	0.9873	0.0777
1-44831-A-1	0.5532	0.0865
3-180256-A-0	0.9865	0.1121
5-233160-A-1	0.7674	0.0140
5-200334-A-1	0.9641	0.0623
2-100786-A-1	0.9244	0.0446
5-213802-A-12	0.7336	0.0077
4-171207-A-12	0.7683	0.0712
4-164206-A-10	0.7114	0.0659
3-152007-A-20	0.8931	0.0827
1-172649-F-40	0.9022	0.0061
5-209698-A-38	0.9316	0.0891
2-119102-A-21	0.4808	0.2600
4-167077-B-20	0.7498	0.0400
4-184575-A-0	0.8978	0.1191
3-118658-A-41	0.8212	0.0193
4-157611-B-41	0.1041	0.0232
4-204618-A-11	0.4638	0.0364
5-231762-A-0	0.2576	0.2576
3-154957-A-1	0.9743	0.0348
3-157149-A-10	0.7534	0.0486
1-63871-A-10	0.7771	0.0365
4-175000-A-40	0.1403	0.0594
1-56311-A-10	0.6145	0.0263
4-170247-A-12	0.8677	0.0381
2-66637-B-20	0.9267	0.0247
5-208810-A-11	0.7563	0.0367
4-181563-A-12	0.7284	0.0495
3-170383-A-38	0.9451	0.0832
1-48413-A-38	0.9411	0.0735
4-171519-A-21	0.5279	0.2618
5-219342-A-38	0.9253	0.0297
1-91359-B-11	0.4160	0.0528
4-166661-A-10	0.3954	0.0118
3-65748-A-12	0.9001	0.0378
5-185579-A-41	0.8172	0.0175
1-46272-A-12	0.8126	0.0540
1-7057-A-12	0.9228	0.0870
1-19898-B-41	0.8326	0.0368
5-198411-F-20	0.9467	0.1320
3-150979-B-40	0.8418	0.0171
5-177957-B-40	0.8175	0.0069
1-17565-A-12	0.9162	0.0855
4-164021-A-1	0.7726	0.0968
3-154926-A-40	0.8807	0.0080
2-155801-A-11	0.7397	0.0397
5-220026-A-21	0.2576	0.2577
5-220027-A-21	0.2605	0.2584
1-47274-A-21	0.5751	0.0872
5-202898-A-10	0.7148	0.0625
4-59579-B-20	0.6776	0.0566
5-191131-A-40	0.8276	0.0184
3-150231-A-21	0.2580	0.2577
4-193480-B-40	0.1113	0.0098
4-175000-C-40	0.0901	0.1430
5-220955-A-40	0.9654	0.0070
3-150363-A-38	0.9433	0.0750
4-164064-C-1	0.6780	0.0696
1-26806-A-1	0.9368	0.0437
1-47250-A-41	0.8081	0.1006
5-202220-A-21	0.9796	0.3181
2-68391-A-41	0.8975	0.0291
2-122104-B-0	0.9838	0.0473
4-208021-A-1	0.6726	0.0235
2-37806-B-40	0.8708	0.0409
2-50667-B-41	0.7820	0.0269
5-198411-D-20	0.8778	0.0610
5-208030-A-0	0.9848	0.1229
4-165823-A-41	0.6500	0.0206
5-9032-A-0	0.9783	0.1076
2-95035-A-1	0.9015	0.0666
1-29680-A-21	0.9846	0.2353
5-222524-A-41	0.7307	0.0291
5-216370-B-41	0.7562	0.0394
5-213855-A-0	0.9355	0.0796
