=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7739
Mean Deletion AUC: 0.0699
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.8977	0.0203
2-50668-A-41	0.7575	0.0220
1-39901-A-11	0.7113	0.0240
1-28135-B-11	0.7532	0.0371
1-47273-A-21	0.9880	0.2700
3-142605-A-21	0.9599	0.1275
4-175945-A-38	0.7266	0.0242
5-221593-A-21	0.2576	0.2576
2-73260-A-10	0.7290	0.0201
5-215658-A-12	0.7206	0.0201
2-88724-A-38	0.9538	0.1545
4-161579-A-40	0.1881	0.0273
1-64398-B-41	0.8585	0.0576
2-71162-A-1	0.8747	0.0304
4-195497-A-11	0.8208	0.0374
5-200334-B-1	0.9877	0.0506
2-95258-B-1	0.8102	0.0493
3-151081-B-20	0.7439	0.0274
2-188822-A-40	0.7499	0.0190
4-182613-B-11	0.0988	0.0453
3-170015-A-0	0.9096	0.0979
1-211527-B-20	0.9487	0.0423
4-185575-A-20	0.3505	0.0242
3-68630-A-40	0.8435	0.0116
1-17808-A-12	0.8147	0.0260
2-132157-B-11	0.7211	0.0107
4-161127-A-10	0.4802	0.0111
5-195710-A-10	0.7506	0.0206
2-96460-A-1	0.9240	0.2634
3-170377-A-38	0.9758	0.0153
2-77945-B-41	0.8884	0.0182
2-30322-A-12	0.8681	0.0474
4-125929-A-40	0.6229	0.0079
4-169127-A-41	0.3041	0.0047
2-18766-B-12	0.8284	0.0251
4-163264-A-10	0.7234	0.0183
4-185575-C-20	0.0671	0.0232
1-59513-A-0	0.9844	0.0648
3-142005-A-10	0.7217	0.0173
2-122104-A-0	0.9905	0.0979
4-164661-B-12	0.7394	0.0342
3-68630-C-40	0.6937	0.0135
2-102852-A-11	0.5964	0.0070
3-118972-B-41	0.8227	0.0338
5-201274-A-21	0.6186	0.1931
4-167063-B-11	0.7797	0.0275
3-157695-A-0	0.9943	0.1432
2-114280-A-0	0.9428	0.1303
5-200461-A-11	0.7957	0.0213
3-152007-E-20	0.9447	0.0289
1-172649-B-40	0.8590	0.0235
1-54505-A-21	0.8575	0.1396
5-170338-B-41	0.7079	0.0361
2-188822-C-40	0.8506	0.0232
3-118657-B-41	0.8297	0.0090
1-17367-A-10	0.8246	0.0205
4-167642-A-21	0.2576	0.2576
5-151085-A-20	0.9744	0.0571
5-194533-A-21	0.9897	0.0785
5-219379-B-11	0.8509	0.0260
5-212181-A-38	0.9757	0.0190
2-37806-D-40	0.7583	0.0118
2-50665-A-20	0.8873	0.0246
2-28314-A-12	0.8764	0.0497
5-205898-A-40	0.6964	0.0159
4-149294-B-41	0.6183	0.0191
3-158476-A-12	0.9444	0.0676
2-140147-A-38	0.9682	0.1841
5-198411-B-20	0.9569	0.1158
2-135728-A-38	0.9921	0.1467
2-72970-A-10	0.8405	0.0442
4-181865-A-38	0.9721	0.0243
5-171653-A-41	0.7615	0.0322
2-107351-B-20	0.8731	0.0300
2-128631-A-21	0.2576	0.2576
5-193473-A-12	0.9106	0.0731
4-183992-A-0	0.5297	0.0043
4-164064-B-1	0.6594	0.1349
4-181286-A-10	0.7501	0.0195
1-22694-A-20	0.9843	0.0519
2-61311-A-12	0.6807	0.0549
3-134049-A-1	0.9797	0.0727
2-117271-A-0	0.9815	0.1356
3-166422-A-11	0.7229	0.0200
1-97392-A-0	0.9931	0.1047
3-155642-B-11	0.4783	0.0057
1-43382-A-1	0.9715	0.0272
3-148330-A-21	0.2576	0.2576
4-180380-A-10	0.7003	0.0218
3-164630-A-11	0.6846	0.0090
4-199261-A-0	0.9656	0.0711
2-95258-A-1	0.9907	0.0971
1-44831-A-1	0.7178	0.1119
3-180256-A-0	0.9889	0.1056
5-233160-A-1	0.7306	0.0123
5-200334-A-1	0.9822	0.0950
2-100786-A-1	0.9233	0.0401
5-213802-A-12	0.7402	0.0049
4-171207-A-12	0.7774	0.0505
4-164206-A-10	0.6962	0.0208
3-152007-A-20	0.9233	0.0432
1-172649-F-40	0.8622	0.0065
5-209698-A-38	0.9437	0.1789
2-119102-A-21	0.4859	0.2532
4-167077-B-20	0.7151	0.0267
4-184575-A-0	0.9116	0.1359
3-118658-A-41	0.8090	0.0133
4-157611-B-41	0.1065	0.0235
4-204618-A-11	0.5017	0.0092
5-231762-A-0	0.2576	0.2576
3-154957-A-1	0.9722	0.0404
3-157149-A-10	0.7986	0.0215
1-63871-A-10	0.7374	0.0169
4-175000-A-40	0.0892	0.0881
1-56311-A-10	0.6851	0.0146
4-170247-A-12	0.8110	0.0373
2-66637-B-20	0.9072	0.0129
5-208810-A-11	0.7718	0.0236
4-181563-A-12	0.7521	0.0307
3-170383-A-38	0.9509	0.1353
1-48413-A-38	0.9496	0.0534
4-171519-A-21	0.5295	0.2563
5-219342-A-38	0.9189	0.0386
1-91359-B-11	0.3786	0.0154
4-166661-A-10	0.3530	0.0035
3-65748-A-12	0.8699	0.0367
5-185579-A-41	0.8246	0.0114
1-46272-A-12	0.8271	0.0710
1-7057-A-12	0.9142	0.0654
1-19898-B-41	0.8989	0.0532
5-198411-F-20	0.9641	0.1153
3-150979-B-40	0.8659	0.0080
5-177957-B-40	0.8217	0.0069
1-17565-A-12	0.9125	0.0652
4-164021-A-1	0.7275	0.0520
