=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7622
Mean Deletion AUC: 0.0797
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.8911	0.0189
2-50668-A-41	0.7464	0.0404
1-39901-A-11	0.7213	0.0237
1-28135-B-11	0.7454	0.0421
1-47273-A-21	0.9884	0.3141
3-142605-A-21	0.9662	0.2209
4-175945-A-38	0.7525	0.0181
5-221593-A-21	0.2576	0.2576
2-73260-A-10	0.7215	0.0218
5-215658-A-12	0.7165	0.0408
2-88724-A-38	0.9545	0.1472
4-161579-A-40	0.1971	0.0276
1-64398-B-41	0.8129	0.0578
2-71162-A-1	0.8599	0.0474
4-195497-A-11	0.8027	0.0416
5-200334-B-1	0.9861	0.0859
2-95258-B-1	0.7748	0.0898
3-151081-B-20	0.7415	0.0343
2-188822-A-40	0.7228	0.0291
4-182613-B-11	0.0661	0.0519
3-170015-A-0	0.9057	0.0983
1-211527-B-20	0.9489	0.0423
4-185575-A-20	0.3226	0.0284
3-68630-A-40	0.8465	0.0165
1-17808-A-12	0.8172	0.0270
2-132157-B-11	0.7059	0.0146
4-161127-A-10	0.4798	0.0088
5-195710-A-10	0.7485	0.0221
2-96460-A-1	0.9248	0.2605
3-170377-A-38	0.9756	0.0138
2-77945-B-41	0.8469	0.0373
2-30322-A-12	0.8652	0.0529
4-125929-A-40	0.6033	0.0065
4-169127-A-41	0.2738	0.0066
2-18766-B-12	0.8121	0.0463
4-163264-A-10	0.7011	0.0182
4-185575-C-20	0.0480	0.0195
1-59513-A-0	0.9838	0.0881
3-142005-A-10	0.7346	0.0197
2-122104-A-0	0.9910	0.1114
4-164661-B-12	0.6932	0.0378
3-68630-C-40	0.6869	0.0226
2-102852-A-11	0.5256	0.0073
3-118972-B-41	0.7934	0.0350
5-201274-A-21	0.5621	0.2484
4-167063-B-11	0.7732	0.0274
3-157695-A-0	0.9943	0.1424
2-114280-A-0	0.9431	0.1600
5-200461-A-11	0.8312	0.0301
3-152007-E-20	0.9401	0.0578
1-172649-B-40	0.8512	0.0279
1-54505-A-21	0.8493	0.4177
5-170338-B-41	0.6872	0.0485
2-188822-C-40	0.8485	0.0189
3-118657-B-41	0.8237	0.0110
1-17367-A-10	0.8158	0.0220
4-167642-A-21	0.2576	0.2576
5-151085-A-20	0.9701	0.0791
5-194533-A-21	0.9898	0.2761
5-219379-B-11	0.8522	0.0313
5-212181-A-38	0.9746	0.0202
2-37806-D-40	0.7162	0.0312
2-50665-A-20	0.8716	0.0245
2-28314-A-12	0.8777	0.0546
5-205898-A-40	0.6981	0.0177
4-149294-B-41	0.6255	0.0187
3-158476-A-12	0.9390	0.0623
2-140147-A-38	0.9710	0.1709
5-198411-B-20	0.9607	0.0876
2-135728-A-38	0.9935	0.1460
2-72970-A-10	0.8213	0.0385
4-181865-A-38	0.9717	0.0247
5-171653-A-41	0.7389	0.0360
2-107351-B-20	0.8960	0.0290
