=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.9433
Mean Deletion AUC: 0.3323
Number of audio files evaluated: 837

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
100648-1-0-0	1.0000	0.9960
100648-1-1-0	0.9999	0.9876
100648-1-2-0	1.0000	0.9754
100648-1-3-0	0.9993	0.2645
100648-1-4-0	0.9597	0.5745
100795-3-0-0	1.0000	0.8209
100795-3-1-0	1.0000	0.7710
100795-3-1-1	1.0000	0.6230
100795-3-1-2	0.9978	0.4165
101382-2-0-10	0.9568	0.0377
101382-2-0-12	0.9965	0.0670
101382-2-0-20	1.0000	0.3856
101382-2-0-21	0.9978	0.2936
101382-2-0-29	0.9978	0.2784
101382-2-0-33	0.9990	0.7362
101382-2-0-42	0.9989	0.5771
101382-2-0-45	0.9978	0.3128
102103-3-0-0	1.0000	0.9978
102103-3-1-0	1.0000	0.9980
102857-5-0-0	0.9589	0.2564
102857-5-0-1	0.9910	0.2781
102857-5-0-10	0.9910	0.3121
102857-5-0-11	0.9412	0.2599
102857-5-0-12	0.9772	0.2883
102857-5-0-13	0.9542	0.2465
102857-5-0-14	0.9908	0.2892
102857-5-0-15	0.9925	0.2541
102857-5-0-16	0.9402	0.2942
102857-5-0-17	0.9906	0.2554
102857-5-0-18	0.9932	0.3190
102857-5-0-19	0.9955	0.2644
102857-5-0-2	0.9910	0.2551
102857-5-0-20	0.9854	0.3569
102857-5-0-21	0.9547	0.2509
102857-5-0-22	0.9885	0.2702
102857-5-0-23	0.9853	0.3173
102857-5-0-24	0.9952	0.2723
102857-5-0-25	0.9830	0.2688
102857-5-0-26	0.9668	0.2311
102857-5-0-27	0.9951	0.3125
102857-5-0-28	0.9952	0.2903
102857-5-0-29	0.9463	0.3153
102857-5-0-3	0.9909	0.2555
102857-5-0-30	0.9910	0.2574
102857-5-0-4	0.9952	0.2201
102857-5-0-5	0.9946	0.2768
102857-5-0-6	0.9910	0.2624
102857-5-0-7	0.9474	0.2748
102857-5-0-8	0.9919	0.2770
102857-5-0-9	0.9944	0.2523
103438-5-0-0	0.9671	0.3909
103438-5-0-1	0.9438	0.3535
103438-5-0-2	0.9981	0.0669
106014-5-0-0	0.9669	0.1537
106014-5-0-1	0.9027	0.4216
106014-5-0-2	0.7838	0.1751
106014-5-0-3	0.9299	0.2704
106014-5-0-4	0.7994	0.2833
115241-9-0-1	0.9753	0.0498
115241-9-0-14	0.9965	0.3219
115241-9-0-2	0.9850	0.0372
115241-9-0-20	0.9795	0.1919
115241-9-0-6	0.8724	0.1887
115241-9-0-8	0.9979	0.0709
115241-9-0-9	0.9408	0.0404
115418-9-0-11	0.9898	0.1247
115418-9-0-12	0.9948	0.3161
115418-9-0-15	0.9730	0.0461
