=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6794
Mean Deletion AUC: 0.3902
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.7468	0.5241
2-50668-A-41	0.7015	0.4423
1-39901-A-11	0.5808	0.2863
1-28135-B-11	0.4943	0.2026
1-47273-A-21	0.7286	0.4460
3-142605-A-21	0.8932	0.0417
4-175945-A-38	0.5257	0.2690
5-221593-A-21	0.8301	0.0437
2-73260-A-10	0.3265	0.1809
5-215658-A-12	0.5859	0.2132
2-88724-A-38	0.6620	0.5297
4-161579-A-40	0.8052	0.0166
1-64398-B-41	0.5326	0.1977
2-71162-A-1	0.9166	0.0906
4-195497-A-11	0.6692	0.0813
5-200334-B-1	0.9553	0.3283
2-95258-B-1	0.9081	0.7486
3-151081-B-20	0.7278	0.5668
2-188822-A-40	0.3024	0.0493
4-182613-B-11	0.5079	0.4033
3-170015-A-0	0.9311	0.0658
1-211527-B-20	0.5764	0.2926
4-185575-A-20	0.7823	0.5358
3-68630-A-40	0.5085	0.3764
1-17808-A-12	0.6177	0.5744
2-132157-B-11	0.3523	0.0708
4-161127-A-10	0.6356	0.6775
5-195710-A-10	0.5439	0.4477
2-96460-A-1	0.9199	0.3871
3-170377-A-38	0.7952	0.5413
2-77945-B-41	0.7459	0.6873
2-30322-A-12	0.5503	0.5445
4-125929-A-40	0.5079	0.4370
4-169127-A-41	0.7188	0.0358
2-18766-B-12	0.4526	0.2304
4-163264-A-10	0.5471	0.6425
4-185575-C-20	0.7342	0.1075
1-59513-A-0	0.8338	0.7702
3-142005-A-10	0.5680	0.6140
2-122104-A-0	0.9049	0.7567
4-164661-B-12	0.6793	0.3202
3-68630-C-40	0.2559	0.3759
2-102852-A-11	0.4080	0.1099
3-118972-B-41	0.8274	0.7649
5-201274-A-21	0.8197	0.0322
4-167063-B-11	0.6872	0.3279
3-157695-A-0	0.8134	0.6544
2-114280-A-0	0.8602	0.7752
5-200461-A-11	0.4850	0.1041
3-152007-E-20	0.7466	0.5276
1-172649-B-40	0.6153	0.2631
