=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6953
Mean Deletion AUC: 0.4137
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.7309	0.5567
2-50668-A-41	0.7764	0.6153
1-39901-A-11	0.6075	0.2615
1-28135-B-11	0.5136	0.2226
1-47273-A-21	0.7409	0.4982
3-142605-A-21	0.8859	0.0298
4-175945-A-38	0.5332	0.2492
5-221593-A-21	0.8317	0.0483
2-73260-A-10	0.3343	0.1598
5-215658-A-12	0.5997	0.2587
2-88724-A-38	0.6708	0.5310
4-161579-A-40	0.8037	0.0584
1-64398-B-41	0.5043	0.3899
2-71162-A-1	0.9172	0.0960
4-195497-A-11	0.5851	0.2428
5-200334-B-1	0.9595	0.2807
2-95258-B-1	0.9221	0.5941
3-151081-B-20	0.7362	0.6072
2-188822-A-40	0.4226	0.1933
4-182613-B-11	0.5488	0.4291
3-170015-A-0	0.9249	0.0391
1-211527-B-20	0.6502	0.2661
4-185575-A-20	0.7781	0.5737
3-68630-A-40	0.4816	0.4760
1-17808-A-12	0.6623	0.5389
2-132157-B-11	0.3956	0.1279
4-161127-A-10	0.6686	0.7566
5-195710-A-10	0.5389	0.5118
2-96460-A-1	0.9154	0.5085
3-170377-A-38	0.8065	0.5117
2-77945-B-41	0.7508	0.7154
2-30322-A-12	0.5956	0.5225
4-125929-A-40	0.5259	0.4486
4-169127-A-41	0.7209	0.1257
2-18766-B-12	0.3995	0.3199
4-163264-A-10	0.6792	0.7398
4-185575-C-20	0.7591	0.1138
1-59513-A-0	0.8356	0.7687
3-142005-A-10	0.6463	0.7790
2-122104-A-0	0.9104	0.7568
4-164661-B-12	0.6878	0.4786
3-68630-C-40	0.2694	0.2454
2-102852-A-11	0.3938	0.1013
3-118972-B-41	0.8628	0.7821
5-201274-A-21	0.8242	0.0400
4-167063-B-11	0.7585	0.4378
3-157695-A-0	0.8445	0.7836
2-114280-A-0	0.8570	0.7749
5-200461-A-11	0.5229	0.1895
3-152007-E-20	0.7462	0.5274
1-172649-B-40	0.5579	0.3172
1-54505-A-21	0.8755	0.0255
5-170338-B-41	0.6298	0.6258
2-188822-C-40	0.4569	0.2136
3-118657-B-41	0.7348	0.1394
1-17367-A-10	0.4544	0.6530
4-167642-A-21	0.7818	0.4626
5-151085-A-20	0.7633	0.4785
5-194533-A-21	0.8231	0.3030
5-219379-B-11	0.6180	0.4747
5-212181-A-38	0.8502	0.6704
2-37806-D-40	0.7584	0.1566
2-50665-A-20	0.3587	0.0372
2-28314-A-12	0.5282	0.5109
5-205898-A-40	0.5960	0.2642
4-149294-B-41	0.4964	0.2349
3-158476-A-12	0.5150	0.5785
2-140147-A-38	0.7966	0.6570
5-198411-B-20	0.7544	0.5625
2-135728-A-38	0.7180	0.6125
2-72970-A-10	0.5073	0.6035
4-181865-A-38	0.8073	0.4138
5-171653-A-41	0.7793	0.2612
2-107351-B-20	0.7756	0.1601
2-128631-A-21	0.8851	0.0971
5-193473-A-12	0.5427	0.4390
4-183992-A-0	0.8935	0.1635
4-164064-B-1	0.9182	0.5825
4-181286-A-10	0.5869	0.5541
1-22694-A-20	0.7418	0.1761
2-61311-A-12	0.5316	0.2280
3-134049-A-1	0.9241	0.8069
2-117271-A-0	0.9068	0.7261
3-166422-A-11	0.2958	0.3619
1-97392-A-0	0.8961	0.8750
3-155642-B-11	0.5664	0.1612
1-43382-A-1	0.9408	0.8159
3-148330-A-21	0.8241	0.2104
4-180380-A-10	0.6138	0.6852
3-164630-A-11	0.5013	0.3590
4-199261-A-0	0.8552	0.7599
2-95258-A-1	0.9409	0.1605
1-44831-A-1	0.9294	0.0625
3-180256-A-0	0.8276	0.4021
5-233160-A-1	0.9439	0.4940
5-200334-A-1	0.9501	0.3161
2-100786-A-1	0.8946	0.8293
5-213802-A-12	0.4133	0.5209
4-171207-A-12	0.5843	0.4531
4-164206-A-10	0.7125	0.7365
3-152007-A-20	0.6093	0.2987
1-172649-F-40	0.6347	0.4571
5-209698-A-38	0.6624	0.4456
2-119102-A-21	0.9005	0.0793
4-167077-B-20	0.7607	0.6434
4-184575-A-0	0.8264	0.6574
3-118658-A-41	0.6779	0.2200
4-157611-B-41	0.3950	0.6102
4-204618-A-11	0.4648	0.2149
5-231762-A-0	0.8879	0.8725
3-154957-A-1	0.9330	0.7600
3-157149-A-10	0.4484	0.6647
1-63871-A-10	0.7079	0.7080
4-175000-A-40	0.8723	0.6618
1-56311-A-10	0.5602	0.7631
4-170247-A-12	0.6565	0.3341
2-66637-B-20	0.7412	0.1418
5-208810-A-11	0.5518	0.3195
4-181563-A-12	0.5950	0.4097
3-170383-A-38	0.7771	0.6375
1-48413-A-38	0.7777	0.6503
4-171519-A-21	0.7796	0.1289
5-219342-A-38	0.7337	0.3379
1-91359-B-11	0.2753	0.1360
4-166661-A-10	0.6078	0.7645
3-65748-A-12	0.6091	0.5917
5-185579-A-41	0.7853	0.4385
1-46272-A-12	0.5527	0.3545
1-7057-A-12	0.5879	0.3398
1-19898-B-41	0.8305	0.7349
5-198411-F-20	0.7679	0.2276
3-150979-B-40	0.8202	0.2558
5-177957-B-40	0.6701	0.2971
1-17565-A-12	0.3170	0.3639
4-164021-A-1	0.9185	0.2878
3-154926-A-40	0.5184	0.0681
2-155801-A-11	0.3486	0.1606
5-220026-A-21	0.8117	0.1328
5-220027-A-21	0.8882	0.1379
1-47274-A-21	0.8648	0.1068
5-202898-A-10	0.4244	0.5945
4-59579-B-20	0.7483	0.3000
5-191131-A-40	0.4670	0.0744
3-150231-A-21	0.9069	0.2221
4-193480-B-40	0.6553	0.2032
4-175000-C-40	0.6711	0.5723
5-220955-A-40	0.2760	0.0244
3-150363-A-38	0.8059	0.5917
4-164064-C-1	0.9500	0.3290
1-26806-A-1	0.9061	0.5643
1-47250-A-41	0.7177	0.4506
5-202220-A-21	0.6633	0.4377
2-68391-A-41	0.4595	0.4515
2-122104-B-0	0.8925	0.7750
4-208021-A-1	0.8674	0.3590
2-37806-B-40	0.5608	0.4297
2-50667-B-41	0.6994	0.6318
5-198411-D-20	0.8118	0.6886
5-208030-A-0	0.8460	0.7293
4-165823-A-41	0.8778	0.8399
5-9032-A-0	0.8292	0.8273
2-95035-A-1	0.8950	0.0432
1-29680-A-21	0.7895	0.3353
5-222524-A-41	0.3661	0.5443
5-216370-B-41	0.7021	0.7389
5-213855-A-0	0.7953	0.6571
1-60997-B-20	0.7018	0.5449
4-164064-A-1	0.9415	0.5516
1-85362-A-0	0.8736	0.7759
4-179984-A-38	0.7213	0.3673
1-181071-B-40	0.7190	0.5683
5-188655-A-10	0.5156	0.6004
1-116765-A-41	0.8175	0.0863
3-116135-A-1	0.9283	0.3151
4-182395-A-0	0.8985	0.0228
5-187979-A-21	0.5882	0.0421
1-40730-A-1	0.9312	0.5516
2-131943-A-38	0.7547	0.5885
3-152007-C-20	0.7475	0.5356
3-164120-A-11	0.3515	0.1547
1-172649-D-40	0.6635	0.4463
1-62850-A-38	0.7508	0.5215
1-57163-A-38	0.8254	0.7089
4-160999-A-10	0.4667	0.6059
3-144827-A-11	0.4667	0.5542
1-27724-A-1	0.9362	0.1335
1-187207-A-20	0.8029	0.1357
1-39923-A-1	0.9355	0.8289
5-219379-A-11	0.6307	0.4109
3-132852-A-10	0.3775	0.4030
4-207124-A-0	0.8711	0.7263
1-30344-A-0	0.8954	0.7832
5-217158-A-0	0.8881	0.5571
1-211527-C-20	0.7369	0.2345
4-167063-A-11	0.4885	0.1230
3-118656-A-41	0.7331	0.2920
3-118657-A-41	0.7069	0.2828
2-127108-A-38	0.7384	0.5221
1-172649-A-40	0.5168	0.3878
5-170338-A-41	0.5306	0.7136
5-203128-B-0	0.8980	0.7581
1-26222-A-10	0.6762	0.7268
4-164661-A-12	0.6148	0.5476
5-200461-B-11	0.2414	0.1328
3-141684-A-21	0.8411	0.1499
2-73027-A-10	0.5841	0.7356
5-189212-A-12	0.6007	0.4552
2-81731-A-10	0.3553	0.2165
2-125966-A-11	0.5773	0.3111
4-188033-A-38	0.6547	0.5561
3-118972-A-41	0.7756	0.3451
3-142006-A-10	0.6274	0.7985
3-144028-A-0	0.9041	0.7184
1-42139-A-38	0.6117	0.3607
1-22694-B-20	0.7649	0.1283
2-137162-A-11	0.5095	0.2922
1-21934-A-38	0.7005	0.3983
1-21935-A-38	0.7919	0.7164
2-107351-A-20	0.7398	0.5995
1-34119-A-1	0.9068	0.1778
2-109505-A-21	0.4048	0.5028
2-118104-A-21	0.8554	0.7057
4-185415-A-21	0.7001	0.0686
5-193473-B-12	0.5446	0.3625
5-200339-A-1	0.9457	0.1833
2-133863-A-11	0.7071	0.4239
1-50060-A-10	0.6606	0.7461
4-177250-A-10	0.6559	0.7938
5-198411-A-20	0.7192	0.2461
2-28314-B-12	0.2193	0.0725
5-234879-A-1	0.9533	0.6877
5-177957-E-40	0.7051	0.5023
3-144692-A-21	0.8652	0.1583
2-50666-A-20	0.6683	0.2887
4-149294-A-41	0.5469	0.2336
1-62849-A-38	0.7218	0.5897
2-80482-A-20	0.7124	0.1443
3-157615-A-10	0.6613	0.7210
3-187710-A-11	0.6984	0.2191
3-151080-A-20	0.7656	0.2953
3-151081-A-20	0.7520	0.5729
2-118964-A-0	0.8679	0.1453
3-145382-A-1	0.9267	0.7448
2-134700-A-38	0.7946	0.3283
4-156843-A-21	0.7753	0.0998
1-64398-A-41	0.8165	0.2433
5-215658-B-12	0.6640	0.5715
4-198965-A-38	0.8006	0.7199
3-147965-A-12	0.5283	0.3502
4-184434-A-21	0.7726	0.1222
4-195497-B-11	0.4770	0.2983
1-31748-A-21	0.7485	0.0587
4-161579-B-40	0.8328	0.4556
2-65747-A-12	0.6577	0.2145
1-110389-A-0	0.8471	0.1481
2-50668-B-41	0.7823	0.4509
3-120644-A-12	0.5822	0.3946
4-185619-A-21	0.7739	0.1029
1-28135-A-11	0.3263	0.4850
1-39901-B-11	0.6055	0.0780
5-198411-C-20	0.7510	0.5462
1-4211-A-12	0.4021	0.4153
4-191687-A-0	0.9002	0.6820
3-104958-A-12	0.5868	0.4528
2-30322-B-12	0.3593	0.0957
2-77945-A-41	0.8062	0.2353
3-155312-A-0	0.8456	0.8039
3-143933-A-38	0.7896	0.6359
4-170078-A-1	0.9342	0.7441
1-26143-A-21	0.8624	0.0790
5-181766-A-10	0.7051	0.7386
4-169127-B-41	0.7516	0.7639
5-186924-A-12	0.4581	0.3255
2-18766-A-12	0.3989	0.3965
3-136288-A-0	0.9038	0.7044
4-157297-A-21	0.8466	0.1627
3-171012-A-38	0.6983	0.3289
5-212454-A-0	0.9000	0.7066
5-219379-C-11	0.3597	0.1508
2-124662-A-11	0.5620	0.0954
1-100032-A-0	0.9034	0.0317
3-68630-B-40	0.4230	0.3011
5-208624-A-38	0.7676	0.4153
2-132157-A-11	0.5748	0.0697
5-194892-A-10	0.6000	0.6909
1-17808-B-12	0.6048	0.4153
3-163288-A-1	0.8869	0.1141
4-185575-B-20	0.7330	0.3235
2-188822-B-40	0.2369	0.0869
4-182613-A-11	0.5085	0.3308
1-43760-A-11	0.5278	0.1721
3-152007-D-20	0.7401	0.5681
1-29561-A-10	0.5246	0.5299
1-172649-C-40	0.6101	0.4324
5-194930-A-1	0.8998	0.0763
1-211527-A-20	0.6533	0.1928
4-167063-C-11	0.6477	0.5334
1-19898-C-41	0.7104	0.5713
2-118072-A-0	0.9339	0.0364
5-203128-A-0	0.9154	0.7507
5-198411-G-20	0.7860	0.4167
3-157187-A-12	0.7413	0.2913
4-165823-B-41	0.8125	0.8018
2-50667-A-41	0.7284	0.6753
3-142593-A-38	0.7577	0.6893
1-47250-B-41	0.6958	0.2974
4-192236-A-0	0.8739	0.3440
4-156844-A-21	0.6849	0.5458
2-37806-A-40	0.4163	0.0708
3-150979-C-40	0.4703	0.1797
5-177957-C-40	0.7183	0.4042
2-68391-B-41	0.6071	0.6497
5-213077-A-11	0.2196	0.0928
2-117625-A-10	0.6353	0.7012
4-194711-A-38	0.7141	0.5538
4-59579-A-20	0.7306	0.1817
4-193480-A-40	0.6502	0.1648
1-30226-A-0	0.9002	0.1377
3-104632-A-12	0.6005	0.5021
4-191327-A-38	0.7177	0.5376
1-17150-A-12	0.4917	0.2588
3-144827-B-11	0.4016	0.3452
3-142601-A-21	0.8860	0.0332
1-61252-A-11	0.5514	0.4418
3-164688-A-38	0.8647	0.7624
5-189237-A-12	0.4968	0.3998
2-114587-A-0	0.8256	0.6135
4-167077-C-20	0.7343	0.4815
5-234879-B-1	0.9379	0.8645
1-34119-B-1	0.9266	0.3602
1-60997-A-20	0.7509	0.5495
3-163459-A-0	0.9151	0.0374
4-183487-A-1	0.9346	0.1189
1-181071-A-40	0.6912	0.3746
5-198321-A-10	0.6923	0.7510
3-145774-A-12	0.5077	0.4897
2-119748-A-38	0.5271	0.0613
3-156558-A-21	0.7222	0.0834
5-235671-A-38	0.7359	0.2078
5-209833-A-38	0.7419	0.6106
5-216370-A-41	0.6620	0.6958
2-65750-A-1	0.9071	0.5167
4-182369-A-12	0.6146	0.5548
1-35687-A-38	0.7458	0.2460
3-171041-A-38	0.7654	0.5911
4-182368-A-12	0.5204	0.4386
3-143929-A-10	0.3829	0.4608
2-116400-A-0	0.9082	0.7711
4-167077-A-20	0.7887	0.5301
2-82538-A-21	0.8936	0.1449
2-130978-A-21	0.8894	0.1659
2-130979-A-21	0.8643	0.1055
5-210571-A-38	0.8045	0.1708
2-93030-A-21	0.5898	0.1028
4-157611-A-41	0.5482	0.3975
3-118658-B-41	0.7120	0.6846
2-82367-A-10	0.6461	0.7101
1-172649-E-40	0.7080	0.4793
3-152007-B-20	0.7917	0.5164
5-221518-A-21	0.8023	0.0691
3-137152-A-1	0.9221	0.4660
2-188822-D-40	0.3905	0.1193
3-149189-A-1	0.9257	0.1228
1-59324-A-21	0.8052	0.0623
1-81883-A-21	0.8250	0.0348
3-157487-A-10	0.6280	0.6355
5-193339-A-10	0.5491	0.6076
5-201194-A-38	0.8409	0.7315
3-155642-A-11	0.4140	0.2321
3-165856-A-41	0.7173	0.1570
4-164859-A-1	0.9318	0.2040
3-150979-A-40	0.8195	0.0582
2-101676-A-10	0.3841	0.5525
5-177957-A-40	0.4165	0.2695
3-143119-A-21	0.8509	0.0815
2-37806-C-40	0.5409	0.2487
3-154926-B-40	0.4380	0.2476
3-140774-A-10	0.4063	0.2502
3-107219-A-1	0.9245	0.5142
5-185579-B-41	0.7253	0.6782
5-194930-B-1	0.9145	0.6297
5-198411-E-20	0.7572	0.6207
1-19898-A-41	0.6980	0.5266
1-91359-A-11	0.3745	0.5222
2-151079-A-20	0.7751	0.4747
1-54958-A-10	0.6328	0.7022
5-203739-A-10	0.5461	0.6524
2-81270-A-1	0.9099	0.1466
2-141584-A-38	0.7074	0.4523
4-194754-A-0	0.8685	0.6230
2-87781-A-10	0.5444	0.4244
4-181035-A-38	0.6696	0.2668
4-170247-B-12	0.6341	0.2177
1-17742-A-12	0.5383	0.3505
4-175000-B-40	0.8696	0.5490
1-21189-A-10	0.6309	0.6712
1-32318-A-0	0.8227	0.7479
2-66637-A-20	0.6551	0.0649
3-180977-A-0	0.8721	0.6846
5-208810-B-11	0.5026	0.5008
