=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6793
Mean Deletion AUC: 0.3908
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.7452	0.5364
2-50668-A-41	0.7015	0.4422
1-39901-A-11	0.5808	0.2861
1-28135-B-11	0.4984	0.1994
1-47273-A-21	0.7286	0.4460
3-142605-A-21	0.8932	0.0417
4-175945-A-38	0.5257	0.2691
5-221593-A-21	0.8301	0.0437
2-73260-A-10	0.3263	0.1808
5-215658-A-12	0.5859	0.2134
2-88724-A-38	0.6614	0.5294
4-161579-A-40	0.8052	0.0167
1-64398-B-41	0.5325	0.1978
2-71162-A-1	0.9166	0.0906
4-195497-A-11	0.6691	0.0813
5-200334-B-1	0.9553	0.3283
2-95258-B-1	0.9078	0.7479
3-151081-B-20	0.7277	0.5668
2-188822-A-40	0.3028	0.0509
4-182613-B-11	0.5112	0.4044
3-170015-A-0	0.9311	0.0658
1-211527-B-20	0.5746	0.2901
4-185575-A-20	0.7823	0.5358
3-68630-A-40	0.5123	0.3865
1-17808-A-12	0.6177	0.5723
2-132157-B-11	0.3524	0.0708
4-161127-A-10	0.6303	0.6822
5-195710-A-10	0.5463	0.4512
2-96460-A-1	0.9199	0.3872
3-170377-A-38	0.7952	0.5412
2-77945-B-41	0.7459	0.6873
2-30322-A-12	0.5501	0.5442
4-125929-A-40	0.5072	0.4394
4-169127-A-41	0.7187	0.0358
2-18766-B-12	0.4526	0.2304
4-163264-A-10	0.5494	0.6375
4-185575-C-20	0.7342	0.1075
1-59513-A-0	0.8338	0.7703
3-142005-A-10	0.5690	0.6130
2-122104-A-0	0.9049	0.7567
4-164661-B-12	0.6779	0.3312
3-68630-C-40	0.2568	0.3763
2-102852-A-11	0.4080	0.1099
3-118972-B-41	0.8273	0.7649
5-201274-A-21	0.8197	0.0322
4-167063-B-11	0.6872	0.3278
3-157695-A-0	0.8134	0.6544
2-114280-A-0	0.8602	0.7752
5-200461-A-11	0.4850	0.1041
3-152007-E-20	0.7466	0.5276
1-172649-B-40	0.6133	0.2762
1-54505-A-21	0.8738	0.0234
5-170338-B-41	0.6196	0.5170
2-188822-C-40	0.3094	0.3003
3-118657-B-41	0.7500	0.1099
1-17367-A-10	0.4667	0.5041
4-167642-A-21	0.8187	0.5790
5-151085-A-20	0.7651	0.4549
5-194533-A-21	0.8092	0.2321
5-219379-B-11	0.5825	0.4652
5-212181-A-38	0.8232	0.6762
2-37806-D-40	0.5640	0.1672
2-50665-A-20	0.5202	0.0620
2-28314-A-12	0.5176	0.4974
5-205898-A-40	0.6157	0.1108
4-149294-B-41	0.4643	0.3673
3-158476-A-12	0.5924	0.2586
2-140147-A-38	0.7753	0.6448
5-198411-B-20	0.7406	0.5679
2-135728-A-38	0.7087	0.6086
2-72970-A-10	0.5485	0.5096
4-181865-A-38	0.7922	0.4634
5-171653-A-41	0.7788	0.2019
2-107351-B-20	0.7502	0.1117
2-128631-A-21	0.8900	0.0915
5-193473-A-12	0.4740	0.4273
4-183992-A-0	0.8885	0.1928
4-164064-B-1	0.9149	0.6554
4-181286-A-10	0.5791	0.4707
1-22694-A-20	0.7382	0.2031
2-61311-A-12	0.5276	0.1414
3-134049-A-1	0.9217	0.8068
2-117271-A-0	0.8988	0.7533
3-166422-A-11	0.3059	0.2878
1-97392-A-0	0.8938	0.8729
3-155642-B-11	0.5106	0.0993
1-43382-A-1	0.9357	0.8309
3-148330-A-21	0.7805	0.3548
4-180380-A-10	0.5951	0.6336
