=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6817
Mean Deletion AUC: 0.3283
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.6687	0.3826
2-50668-A-41	0.8095	0.3055
1-39901-A-11	0.3833	0.3560
1-28135-B-11	0.3535	0.1457
1-47273-A-21	0.7549	0.1986
3-142605-A-21	0.8841	0.0416
4-175945-A-38	0.7424	0.4236
5-221593-A-21	0.8625	0.0351
2-73260-A-10	0.3816	0.2071
5-215658-A-12	0.6364	0.2298
2-88724-A-38	0.7866	0.6086
4-161579-A-40	0.7753	0.0878
1-64398-B-41	0.6003	0.4917
2-71162-A-1	0.9080	0.2277
4-195497-A-11	0.5583	0.1675
5-200334-B-1	0.9654	0.3018
2-95258-B-1	0.9401	0.5087
3-151081-B-20	0.6748	0.4239
2-188822-A-40	0.4592	0.2087
4-182613-B-11	0.2909	0.2584
3-170015-A-0	0.9374	0.0576
1-211527-B-20	0.6202	0.2523
4-185575-A-20	0.7561	0.5569
3-68630-A-40	0.3923	0.2944
1-17808-A-12	0.6837	0.3218
2-132157-B-11	0.3989	0.1386
4-161127-A-10	0.4596	0.5878
5-195710-A-10	0.4715	0.3724
2-96460-A-1	0.9246	0.2314
3-170377-A-38	0.8943	0.4259
2-77945-B-41	0.8103	0.6578
2-30322-A-12	0.5073	0.3236
4-125929-A-40	0.5159	0.3110
4-169127-A-41	0.7086	0.1939
2-18766-B-12	0.4585	0.2212
4-163264-A-10	0.4612	0.5569
4-185575-C-20	0.7469	0.1996
1-59513-A-0	0.8529	0.7993
3-142005-A-10	0.5262	0.5592
2-122104-A-0	0.9177	0.6837
4-164661-B-12	0.6049	0.2113
3-68630-C-40	0.2790	0.3452
2-102852-A-11	0.3501	0.0571
3-118972-B-41	0.8132	0.4660
5-201274-A-21	0.8205	0.0488
4-167063-B-11	0.5028	0.2891
3-157695-A-0	0.8080	0.5002
2-114280-A-0	0.8765	0.7066
5-200461-A-11	0.4731	0.1615
3-152007-E-20	0.7329	0.5015
1-172649-B-40	0.5050	0.2021
1-54505-A-21	0.8582	0.0737
5-170338-B-41	0.6989	0.5022
2-188822-C-40	0.2338	0.0972
3-118657-B-41	0.8132	0.1823
1-17367-A-10	0.3522	0.4630
4-167642-A-21	0.8627	0.1107
5-151085-A-20	0.6936	0.3092
5-194533-A-21	0.7573	0.0776
5-219379-B-11	0.4694	0.2568
5-212181-A-38	0.8849	0.6393
2-37806-D-40	0.4053	0.2117
2-50665-A-20	0.5917	0.0542
2-28314-A-12	0.4795	0.2588
5-205898-A-40	0.4850	0.0972
4-149294-B-41	0.4560	0.2222
3-158476-A-12	0.5254	0.3308
2-140147-A-38	0.8477	0.7117
5-198411-B-20	0.7673	0.5904
2-135728-A-38	0.8579	0.3806
2-72970-A-10	0.4346	0.5107
4-181865-A-38	0.8800	0.3262
5-171653-A-41	0.8142	0.1260
2-107351-B-20	0.7581	0.1813
2-128631-A-21	0.8766	0.0863
5-193473-A-12	0.4351	0.2849
4-183992-A-0	0.8965	0.1333
4-164064-B-1	0.9412	0.2048
4-181286-A-10	0.4976	0.5777
1-22694-A-20	0.7909	0.2064
2-61311-A-12	0.5290	0.1194
3-134049-A-1	0.9426	0.7583
2-117271-A-0	0.8918	0.6176
3-166422-A-11	0.2958	0.1420
1-97392-A-0	0.9239	0.8797
3-155642-B-11	0.4940	0.1498
1-43382-A-1	0.9448	0.8242
3-148330-A-21	0.8829	0.0994
4-180380-A-10	0.5152	0.6488
3-164630-A-11	0.3211	0.1024
4-199261-A-0	0.8540	0.6686
2-95258-A-1	0.9481	0.2307
1-44831-A-1	0.9341	0.0705
3-180256-A-0	0.8574	0.0775
5-233160-A-1	0.9571	0.2859
5-200334-A-1	0.9596	0.2225
2-100786-A-1	0.9203	0.8228
5-213802-A-12	0.3497	0.2755
4-171207-A-12	0.6507	0.1535
4-164206-A-10	0.5363	0.6121
3-152007-A-20	0.5922	0.1612
1-172649-F-40	0.4220	0.4045
5-209698-A-38	0.7496	0.5982
2-119102-A-21	0.9078	0.0853
4-167077-B-20	0.7637	0.5613
4-184575-A-0	0.8280	0.2157
3-118658-A-41	0.7529	0.1966
4-157611-B-41	0.4890	0.5769
4-204618-A-11	0.5360	0.1611
5-231762-A-0	0.8789	0.8813
3-154957-A-1	0.9582	0.7581
3-157149-A-10	0.3317	0.4982
1-63871-A-10	0.4681	0.6160
4-175000-A-40	0.8709	0.3469
1-56311-A-10	0.3762	0.5595
4-170247-A-12	0.6384	0.2679
2-66637-B-20	0.7559	0.2261
5-208810-A-11	0.4622	0.1885
4-181563-A-12	0.6650	0.3081
3-170383-A-38	0.8804	0.5839
1-48413-A-38	0.8569	0.7662
4-171519-A-21	0.7655	0.0699
5-219342-A-38	0.8519	0.2408
1-91359-B-11	0.2728	0.1072
4-166661-A-10	0.4875	0.7086
3-65748-A-12	0.7078	0.4129
5-185579-A-41	0.8201	0.1391
1-46272-A-12	0.4891	0.1723
1-7057-A-12	0.7085	0.2901
1-19898-B-41	0.7925	0.5245
5-198411-F-20	0.7329	0.2156
3-150979-B-40	0.7191	0.2281
5-177957-B-40	0.6205	0.2633
1-17565-A-12	0.2960	0.2170
4-164021-A-1	0.9256	0.2969
3-154926-A-40	0.5236	0.0347
2-155801-A-11	0.3800	0.0984
5-220026-A-21	0.8279	0.0556
5-220027-A-21	0.8850	0.0888
1-47274-A-21	0.8825	0.1037
5-202898-A-10	0.2535	0.4478
4-59579-B-20	0.7389	0.2338
5-191131-A-40	0.4924	0.0795
3-150231-A-21	0.9183	0.1195
4-193480-B-40	0.4273	0.2376
4-175000-C-40	0.6344	0.3253
5-220955-A-40	0.1915	0.0341
3-150363-A-38	0.8851	0.6424
4-164064-C-1	0.9601	0.2513
1-26806-A-1	0.9363	0.1811
1-47250-A-41	0.7170	0.2734
5-202220-A-21	0.5900	0.2109
2-68391-A-41	0.4409	0.1098
2-122104-B-0	0.9256	0.7640
4-208021-A-1	0.9139	0.1882
2-37806-B-40	0.4145	0.3682
2-50667-B-41	0.6848	0.6710
5-198411-D-20	0.7983	0.4639
5-208030-A-0	0.8733	0.7107
4-165823-A-41	0.8577	0.7043
5-9032-A-0	0.8181	0.8045
2-95035-A-1	0.9087	0.0616
1-29680-A-21	0.8060	0.1073
5-222524-A-41	0.4417	0.4359
5-216370-B-41	0.8338	0.6883
5-213855-A-0	0.8271	0.6267
1-60997-B-20	0.7226	0.3875
4-164064-A-1	0.9559	0.3339
1-85362-A-0	0.8965	0.7879
4-179984-A-38	0.7892	0.3604
1-181071-B-40	0.5479	0.3971
5-188655-A-10	0.4699	0.4187
1-116765-A-41	0.7801	0.3244
3-116135-A-1	0.9308	0.1445
4-182395-A-0	0.9008	0.0252
5-187979-A-21	0.5664	0.0714
1-40730-A-1	0.9424	0.5028
2-131943-A-38	0.8756	0.5991
3-152007-C-20	0.7536	0.3349
3-164120-A-11	0.2479	0.0768
1-172649-D-40	0.6292	0.3120
1-62850-A-38	0.8067	0.5193
1-57163-A-38	0.8809	0.7573
4-160999-A-10	0.3669	0.5017
3-144827-A-11	0.2757	0.2682
1-27724-A-1	0.9433	0.1056
1-187207-A-20	0.7946	0.2277
1-39923-A-1	0.9475	0.8231
5-219379-A-11	0.5915	0.2930
3-132852-A-10	0.3564	0.3160
4-207124-A-0	0.8851	0.7228
1-30344-A-0	0.9060	0.7596
5-217158-A-0	0.8930	0.3846
1-211527-C-20	0.7238	0.2167
4-167063-A-11	0.4676	0.1158
3-118656-A-41	0.7783	0.3667
3-118657-A-41	0.8040	0.1488
2-127108-A-38	0.7511	0.3418
1-172649-A-40	0.4609	0.1777
5-170338-A-41	0.7027	0.4538
5-203128-B-0	0.8901	0.6944
1-26222-A-10	0.4182	0.5599
4-164661-A-12	0.6495	0.3223
5-200461-B-11	0.3559	0.0663
3-141684-A-21	0.8170	0.1675
2-73027-A-10	0.4141	0.5755
5-189212-A-12	0.6450	0.3039
2-81731-A-10	0.2747	0.1829
2-125966-A-11	0.3937	0.2401
4-188033-A-38	0.8295	0.6723
3-118972-A-41	0.7862	0.1155
3-142006-A-10	0.5234	0.6826
3-144028-A-0	0.9054	0.3700
1-42139-A-38	0.8029	0.3750
1-22694-B-20	0.7319	0.1378
2-137162-A-11	0.4764	0.1823
1-21934-A-38	0.8243	0.2310
1-21935-A-38	0.8548	0.7479
2-107351-A-20	0.7663	0.4250
1-34119-A-1	0.9303	0.1262
2-109505-A-21	0.7114	0.0885
2-118104-A-21	0.9037	0.1942
4-185415-A-21	0.6179	0.0645
5-193473-B-12	0.4338	0.2944
5-200339-A-1	0.9441	0.2354
2-133863-A-11	0.5065	0.1227
1-50060-A-10	0.4007	0.5782
4-177250-A-10	0.3726	0.6143
5-198411-A-20	0.6948	0.2681
2-28314-B-12	0.2474	0.0705
5-234879-A-1	0.9599	0.5891
5-177957-E-40	0.5906	0.2532
3-144692-A-21	0.8483	0.1496
2-50666-A-20	0.6803	0.2577
4-149294-A-41	0.5431	0.2115
1-62849-A-38	0.8321	0.4273
2-80482-A-20	0.7235	0.2229
3-157615-A-10	0.3774	0.5355
3-187710-A-11	0.6970	0.1469
3-151080-A-20	0.7181	0.2517
3-151081-A-20	0.7487	0.4454
2-118964-A-0	0.9233	0.1413
3-145382-A-1	0.9437	0.4017
2-134700-A-38	0.8317	0.3170
4-156843-A-21	0.8484	0.0406
1-64398-A-41	0.8196	0.1435
5-215658-B-12	0.6921	0.2924
4-198965-A-38	0.8608	0.7580
3-147965-A-12	0.5637	0.1856
4-184434-A-21	0.7854	0.1209
4-195497-B-11	0.4318	0.1402
1-31748-A-21	0.8138	0.0397
4-161579-B-40	0.7239	0.4215
2-65747-A-12	0.7039	0.1637
1-110389-A-0	0.9544	0.1073
2-50668-B-41	0.6798	0.3303
3-120644-A-12	0.6281	0.3961
4-185619-A-21	0.7672	0.1492
1-28135-A-11	0.2886	0.1548
1-39901-B-11	0.3628	0.3047
5-198411-C-20	0.7661	0.5500
1-4211-A-12	0.5349	0.2473
4-191687-A-0	0.9311	0.3792
3-104958-A-12	0.4910	0.1584
2-30322-B-12	0.4081	0.0926
2-77945-A-41	0.8396	0.1231
3-155312-A-0	0.8762	0.8198
3-143933-A-38	0.9139	0.4575
4-170078-A-1	0.9521	0.7479
1-26143-A-21	0.8781	0.0726
5-181766-A-10	0.5942	0.5521
4-169127-B-41	0.7664	0.6656
5-186924-A-12	0.4555	0.1343
2-18766-A-12	0.4651	0.2910
3-136288-A-0	0.9150	0.6462
4-157297-A-21	0.8376	0.1465
3-171012-A-38	0.8264	0.2437
5-212454-A-0	0.8937	0.4919
5-219379-C-11	0.4540	0.3391
2-124662-A-11	0.5893	0.1353
1-100032-A-0	0.9040	0.0223
3-68630-B-40	0.4959	0.2898
5-208624-A-38	0.8373	0.4408
2-132157-A-11	0.3797	0.1135
5-194892-A-10	0.4975	0.5364
1-17808-B-12	0.6736	0.2521
3-163288-A-1	0.8917	0.1138
4-185575-B-20	0.7145	0.1806
2-188822-B-40	0.1657	0.0682
4-182613-A-11	0.3889	0.2236
1-43760-A-11	0.5764	0.2935
3-152007-D-20	0.6969	0.2641
1-29561-A-10	0.4282	0.4126
1-172649-C-40	0.5745	0.2326
