=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6941
Mean Deletion AUC: 0.3445
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.6414	0.3742
2-50668-A-41	0.8041	0.4217
1-39901-A-11	0.4872	0.2679
1-28135-B-11	0.4232	0.1781
1-47273-A-21	0.7566	0.2902
3-142605-A-21	0.8876	0.0267
4-175945-A-38	0.7746	0.5049
5-221593-A-21	0.8684	0.0400
2-73260-A-10	0.3724	0.2078
5-215658-A-12	0.6405	0.3224
2-88724-A-38	0.8051	0.5410
4-161579-A-40	0.7644	0.1218
1-64398-B-41	0.6394	0.5506
2-71162-A-1	0.9087	0.1758
4-195497-A-11	0.6362	0.2763
5-200334-B-1	0.9639	0.3594
2-95258-B-1	0.9407	0.4288
3-151081-B-20	0.7185	0.3672
2-188822-A-40	0.5446	0.2743
4-182613-B-11	0.3604	0.3015
3-170015-A-0	0.9344	0.0442
1-211527-B-20	0.6391	0.2010
4-185575-A-20	0.7999	0.5644
3-68630-A-40	0.3948	0.3188
1-17808-A-12	0.6535	0.3932
2-132157-B-11	0.4437	0.2115
4-161127-A-10	0.5476	0.7023
5-195710-A-10	0.3684	0.4526
2-96460-A-1	0.9244	0.1916
3-170377-A-38	0.8919	0.2407
2-77945-B-41	0.8364	0.7112
2-30322-A-12	0.6142	0.3751
4-125929-A-40	0.5218	0.3036
4-169127-A-41	0.7525	0.2310
2-18766-B-12	0.4195	0.3023
4-163264-A-10	0.5935	0.6618
4-185575-C-20	0.7665	0.1116
1-59513-A-0	0.8689	0.7363
3-142005-A-10	0.5683	0.6723
2-122104-A-0	0.9239	0.5797
4-164661-B-12	0.6832	0.4254
3-68630-C-40	0.2286	0.3116
2-102852-A-11	0.4273	0.0680
3-118972-B-41	0.8010	0.5327
5-201274-A-21	0.8148	0.0412
4-167063-B-11	0.6191	0.3643
3-157695-A-0	0.8480	0.5406
2-114280-A-0	0.8789	0.6763
5-200461-A-11	0.5172	0.1800
3-152007-E-20	0.7399	0.4937
1-172649-B-40	0.4756	0.1888
1-54505-A-21	0.8698	0.0834
5-170338-B-41	0.7042	0.4963
2-188822-C-40	0.2826	0.0788
3-118657-B-41	0.8061	0.2373
1-17367-A-10	0.3659	0.5193
4-167642-A-21	0.8996	0.1366
5-151085-A-20	0.6980	0.2638
5-194533-A-21	0.7996	0.0553
5-219379-B-11	0.4455	0.1448
5-212181-A-38	0.8827	0.3185
2-37806-D-40	0.4333	0.2069
2-50665-A-20	0.3842	0.0326
2-28314-A-12	0.5210	0.3405
5-205898-A-40	0.4661	0.1621
4-149294-B-41	0.6961	0.1381
3-158476-A-12	0.4937	0.5558
2-140147-A-38	0.8535	0.7014
5-198411-B-20	0.7816	0.5553
2-135728-A-38	0.8740	0.3797
2-72970-A-10	0.3570	0.6371
4-181865-A-38	0.8892	0.2581
5-171653-A-41	0.8045	0.2513
2-107351-B-20	0.7624	0.2398
2-128631-A-21	0.8953	0.0521
5-193473-A-12	0.4859	0.2952
4-183992-A-0	0.8978	0.0748
4-164064-B-1	0.9390	0.2308
4-181286-A-10	0.4535	0.6202
1-22694-A-20	0.7826	0.1941
2-61311-A-12	0.4304	0.1101
3-134049-A-1	0.9418	0.7458
2-117271-A-0	0.9029	0.6240
3-166422-A-11	0.4102	0.1807
1-97392-A-0	0.9231	0.8753
3-155642-B-11	0.5070	0.1622
1-43382-A-1	0.9462	0.8020
3-148330-A-21	0.8917	0.0779
4-180380-A-10	0.5013	0.6809
3-164630-A-11	0.4090	0.0855
4-199261-A-0	0.8976	0.6858
2-95258-A-1	0.9484	0.2108
1-44831-A-1	0.9320	0.0654
3-180256-A-0	0.8721	0.0840
5-233160-A-1	0.9571	0.2605
5-200334-A-1	0.9596	0.2077
2-100786-A-1	0.9195	0.8246
5-213802-A-12	0.3740	0.4336
4-171207-A-12	0.6118	0.4179
4-164206-A-10	0.5442	0.7256
3-152007-A-20	0.5636	0.2736
1-172649-F-40	0.4070	0.3561
5-209698-A-38	0.7456	0.5763
2-119102-A-21	0.9127	0.0537
4-167077-B-20	0.7610	0.5742
4-184575-A-0	0.8537	0.1533
3-118658-A-41	0.7562	0.3290
4-157611-B-41	0.4675	0.6071
4-204618-A-11	0.5602	0.1800
5-231762-A-0	0.8814	0.8690
3-154957-A-1	0.9568	0.7375
3-157149-A-10	0.3491	0.5900
1-63871-A-10	0.5162	0.7417
4-175000-A-40	0.8654	0.3289
1-56311-A-10	0.4517	0.7529
4-170247-A-12	0.6708	0.3256
2-66637-B-20	0.7793	0.1509
5-208810-A-11	0.5057	0.2415
4-181563-A-12	0.6164	0.3988
3-170383-A-38	0.8785	0.5612
1-48413-A-38	0.8611	0.7076
4-171519-A-21	0.8588	0.0611
