=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6907
Mean Deletion AUC: 0.3611
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.6046	0.4099
2-50668-A-41	0.7298	0.4749
1-39901-A-11	0.4377	0.2322
1-28135-B-11	0.3500	0.1988
1-47273-A-21	0.7521	0.3209
3-142605-A-21	0.8863	0.0318
4-175945-A-38	0.5939	0.3103
5-221593-A-21	0.8657	0.0386
2-73260-A-10	0.3613	0.2144
5-215658-A-12	0.6261	0.2641
2-88724-A-38	0.7776	0.6065
4-161579-A-40	0.7374	0.1144
1-64398-B-41	0.5659	0.5248
2-71162-A-1	0.9142	0.1526
4-195497-A-11	0.5526	0.2952
5-200334-B-1	0.9615	0.2766
2-95258-B-1	0.9358	0.5183
3-151081-B-20	0.7874	0.4913
2-188822-A-40	0.5333	0.2384
4-182613-B-11	0.4120	0.3874
3-170015-A-0	0.9353	0.0396
1-211527-B-20	0.6763	0.1980
4-185575-A-20	0.8211	0.6071
3-68630-A-40	0.4384	0.3273
1-17808-A-12	0.6994	0.3427
2-132157-B-11	0.3827	0.1907
4-161127-A-10	0.5011	0.6975
5-195710-A-10	0.4820	0.5425
2-96460-A-1	0.9295	0.1718
3-170377-A-38	0.9097	0.2938
2-77945-B-41	0.8296	0.6978
2-30322-A-12	0.5804	0.3790
4-125929-A-40	0.4961	0.2346
4-169127-A-41	0.7807	0.1907
2-18766-B-12	0.3844	0.2830
4-163264-A-10	0.5940	0.6446
4-185575-C-20	0.7889	0.1904
1-59513-A-0	0.8770	0.8088
3-142005-A-10	0.6009	0.7407
2-122104-A-0	0.9359	0.6191
4-164661-B-12	0.6612	0.4166
3-68630-C-40	0.2248	0.1242
2-102852-A-11	0.3183	0.0933
3-118972-B-41	0.7972	0.6057
5-201274-A-21	0.8262	0.0409
4-167063-B-11	0.5059	0.4653
3-157695-A-0	0.8652	0.6460
2-114280-A-0	0.9008	0.7271
5-200461-A-11	0.4754	0.1503
3-152007-E-20	0.7610	0.5726
1-172649-B-40	0.4988	0.2966
1-54505-A-21	0.8741	0.0690
5-170338-B-41	0.6400	0.5307
2-188822-C-40	0.3061	0.0870
3-118657-B-41	0.7429	0.3638
1-17367-A-10	0.3993	0.6003
4-167642-A-21	0.8807	0.1360
5-151085-A-20	0.7539	0.3331
5-194533-A-21	0.8120	0.1013
5-219379-B-11	0.4647	0.1784
5-212181-A-38	0.8912	0.5192
2-37806-D-40	0.5481	0.0783
2-50665-A-20	0.4286	0.0360
2-28314-A-12	0.5686	0.3883
5-205898-A-40	0.4477	0.1408
4-149294-B-41	0.6194	0.1923
3-158476-A-12	0.4709	0.4959
2-140147-A-38	0.8390	0.6871
5-198411-B-20	0.8295	0.6541
2-135728-A-38	0.8501	0.4597
2-72970-A-10	0.4351	0.6501
4-181865-A-38	0.8763	0.2017
5-171653-A-41	0.8637	0.2460
2-107351-B-20	0.7930	0.2235
2-128631-A-21	0.9007	0.0690
5-193473-A-12	0.4871	0.3358
4-183992-A-0	0.9155	0.0809
4-164064-B-1	0.9322	0.2801
4-181286-A-10	0.4804	0.6135
1-22694-A-20	0.8006	0.1743
2-61311-A-12	0.4868	0.1028
3-134049-A-1	0.9413	0.7972
2-117271-A-0	0.9181	0.7032
3-166422-A-11	0.2440	0.2162
1-97392-A-0	0.9199	0.8812
3-155642-B-11	0.4921	0.1678
1-43382-A-1	0.9444	0.8511
3-148330-A-21	0.8915	0.1336
4-180380-A-10	0.5552	0.7660
3-164630-A-11	0.3242	0.1123
4-199261-A-0	0.9032	0.7362
2-95258-A-1	0.9505	0.1998
1-44831-A-1	0.9277	0.0516
3-180256-A-0	0.8567	0.0814
5-233160-A-1	0.9546	0.2329
5-200334-A-1	0.9565	0.2716
2-100786-A-1	0.9189	0.8487
5-213802-A-12	0.3224	0.3657
4-171207-A-12	0.6077	0.3933
4-164206-A-10	0.6118	0.7082
3-152007-A-20	0.5185	0.3796
1-172649-F-40	0.3639	0.3113
5-209698-A-38	0.7507	0.5717
2-119102-A-21	0.9180	0.0571
4-167077-B-20	0.7820	0.6720
4-184575-A-0	0.8605	0.2605
3-118658-A-41	0.6336	0.2978
4-157611-B-41	0.4369	0.6479
4-204618-A-11	0.4615	0.2145
5-231762-A-0	0.9004	0.8657
3-154957-A-1	0.9585	0.7727
3-157149-A-10	0.3671	0.5925
1-63871-A-10	0.4570	0.6630
4-175000-A-40	0.8913	0.3978
1-56311-A-10	0.4717	0.7670
4-170247-A-12	0.7077	0.3052
2-66637-B-20	0.7902	0.1640
5-208810-A-11	0.4604	0.2263
4-181563-A-12	0.6183	0.3864
