=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7429
Mean Deletion AUC: 0.3672
Number of audio files evaluated: 2000

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.8070	0.2290
3-246513-B-16	0.6899	0.5014
1-96950-B-9	0.8194	0.1722
2-105270-A-47	0.2341	0.0954
4-90014-B-42	0.7091	0.2274
1-47273-A-21	0.8049	0.1987
1-39901-A-11	0.3837	0.3565
1-19840-A-36	0.6076	0.6062
1-28135-B-11	0.3548	0.0986
2-134915-A-30	0.8838	0.4294
2-60180-A-49	0.7621	0.2007
5-180156-B-43	0.8720	0.3097
5-233019-A-31	0.7338	0.2227
5-223317-A-31	0.7565	0.6295
4-161105-B-47	0.3972	0.1445
3-160993-A-3	0.8441	0.1498
3-135650-B-45	0.5138	0.1867
2-66205-A-23	0.7343	0.0476
1-47819-A-5	0.9019	0.1174
1-54747-A-46	0.8988	0.7749
2-152964-A-31	0.7639	0.0291
3-139958-A-37	0.7402	0.6119
1-101336-A-30	0.8495	0.2586
1-11687-A-47	0.2846	0.1035
3-156581-B-14	0.7535	0.3624
1-12653-A-15	0.7615	0.3950
4-204777-A-39	0.8738	0.7420
5-160614-B-48	0.5098	0.1790
4-234644-A-2	0.9094	0.6446
4-201988-A-44	0.8445	0.2480
2-103424-A-3	0.9477	0.0743
1-28005-A-18	0.7380	0.1673
2-82455-A-23	0.6571	0.2929
5-234855-A-25	0.7681	0.3448
2-50668-A-41	0.8095	0.3055
3-163607-A-13	0.7765	0.3224
5-233312-A-28	0.7957	0.6570
1-115545-A-48	0.5196	0.1742
3-144510-A-30	0.8977	0.3273
4-102844-C-49	0.8013	0.3525
5-192191-A-19	0.9329	0.0690
4-198962-A-25	0.5666	0.3659
5-177957-D-40	0.6653	0.3867
5-259180-A-15	0.7839	0.2389
2-102581-B-29	0.8934	0.0913
1-21896-A-35	0.7644	0.3804
5-260164-A-23	0.6415	0.1939
2-52001-A-28	0.9118	0.1127
2-42101-A-43	0.8417	0.1175
3-251617-A-48	0.7008	0.0830
3-142605-A-21	0.8841	0.0419
2-95567-A-23	0.7493	0.3984
2-32515-A-4	0.7553	0.4717
3-155584-A-14	0.7393	0.2231
5-214759-B-5	0.8436	0.7020
1-22804-A-46	0.8775	0.8228
4-175945-A-38	0.7424	0.4235
3-96606-A-49	0.6866	0.2479
5-221593-A-21	0.8625	0.0351
3-110913-D-7	0.8084	0.6927
4-161303-B-5	0.8383	0.3733
2-73260-A-10	0.3816	0.2073
2-104105-B-19	0.9100	0.2035
5-249748-A-28	0.6470	0.0724
2-117615-E-48	0.6056	0.1560
4-108352-A-33	0.8909	0.3427
1-46353-A-49	0.7608	0.6024
2-139749-A-15	0.7328	0.1967
5-215658-A-12	0.6364	0.2298
2-128465-A-43	0.6247	0.4621
5-179860-A-43	0.8740	0.6715
1-58846-A-34	0.7246	0.1374
1-17970-A-4	0.7293	0.4107
1-15689-A-4	0.8094	0.0997
2-139748-A-15	0.4802	0.1027
2-88724-A-38	0.7865	0.6080
1-64398-B-41	0.6004	0.4917
2-124564-A-15	0.5280	0.0922
4-161579-A-40	0.7751	0.0876
4-125072-A-19	0.8442	0.0366
2-71162-A-1	0.9080	0.2277
2-98392-A-23	0.0284	0.0879
1-45641-A-27	0.8200	0.5615
4-163606-A-16	0.6290	0.2287
3-159348-A-36	0.7059	0.6780
4-187284-A-30	0.8285	0.0298
5-253094-A-49	0.8733	0.5696
4-186518-A-30	0.8673	0.1058
4-195497-A-11	0.5583	0.1674
4-135439-A-18	0.8556	0.1049
3-108451-A-17	0.7178	0.3920
5-200334-B-1	0.9654	0.3018
1-36397-A-23	0.8133	0.1831
5-252248-A-34	0.9313	0.5601
5-156698-A-18	0.7307	0.1390
1-30709-B-23	0.7806	0.6314
4-218199-C-35	0.8592	0.3934
5-263831-A-6	0.7851	0.2181
1-260640-A-2	0.9148	0.5547
2-52085-A-4	0.7279	0.6453
2-135860-A-49	0.7695	0.2427
4-184237-A-28	0.8942	0.2007
5-198373-A-46	0.7706	0.6571
1-51170-A-18	0.7996	0.1819
3-155766-A-13	0.7900	0.2022
2-95258-B-1	0.9402	0.5047
3-103051-B-19	0.8234	0.1340
5-202540-A-18	0.7980	0.1531
4-154793-A-4	0.7511	0.6488
5-218494-A-22	0.8602	0.8759
5-157204-A-16	0.5363	0.3885
2-106881-A-39	0.5955	0.0401
3-151081-B-20	0.6750	0.4238
5-260011-A-34	0.8966	0.5618
5-235644-A-30	0.9137	0.1358
3-129678-A-13	0.8407	0.6749
1-36402-A-23	0.7904	0.0334
1-53444-A-28	0.8097	0.4251
5-219242-A-37	0.7217	0.5272
3-98869-A-46	0.8852	0.6053
1-260640-C-2	0.9321	0.3674
2-188822-A-40	0.4577	0.2122
2-78651-A-44	0.3384	0.0173
4-182613-B-11	0.3579	0.2108
3-115387-A-47	0.4498	0.1819
1-51805-C-33	0.8831	0.1321
2-59566-A-46	0.7164	0.6470
4-244318-A-6	0.8546	0.1858
3-146033-A-13	0.8377	0.3694
1-79146-A-29	0.8980	0.6819
1-67033-A-37	0.7305	0.2817
1-103999-A-30	0.8200	0.3841
