=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6706
Mean Deletion AUC: 0.3548
Number of audio files evaluated: 837

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
100648-1-0-0	0.6688	0.1039
100648-1-1-0	0.4803	0.2517
100648-1-2-0	0.7033	0.5968
100648-1-3-0	0.8096	0.6607
100648-1-4-0	0.7315	0.0856
100795-3-0-0	0.7434	0.7203
100795-3-1-0	0.7123	0.7203
100795-3-1-1	0.8325	0.7203
100795-3-1-2	0.7808	0.7203
101382-2-0-10	0.8417	0.6390
101382-2-0-12	0.8089	0.7203
101382-2-0-20	0.7615	0.3762
101382-2-0-21	0.8333	0.1875
101382-2-0-29	0.8163	0.1945
101382-2-0-33	0.7442	0.5367
101382-2-0-42	0.7485	0.3399
101382-2-0-45	0.7930	0.3541
102103-3-0-0	0.7556	0.7203
102103-3-1-0	0.5421	0.1504
102857-5-0-0	0.8065	0.2465
102857-5-0-1	0.6815	0.3118
102857-5-0-10	0.6987	0.2470
102857-5-0-11	0.7505	0.2770
102857-5-0-12	0.7790	0.4102
102857-5-0-13	0.6586	0.3989
102857-5-0-14	0.7488	0.3652
102857-5-0-15	0.7856	0.3229
102857-5-0-16	0.7848	0.2990
102857-5-0-17	0.6679	0.3419
102857-5-0-18	0.7036	0.3492
102857-5-0-19	0.6783	0.3527
102857-5-0-2	0.6868	0.2501
102857-5-0-20	0.7189	0.2666
102857-5-0-21	0.6566	0.2066
102857-5-0-22	0.7433	0.2171
102857-5-0-23	0.7167	0.2704
102857-5-0-24	0.6751	0.3969
102857-5-0-25	0.7066	0.1873
102857-5-0-26	0.6737	0.3243
102857-5-0-27	0.7152	0.4159
102857-5-0-28	0.7077	0.4001
102857-5-0-29	0.7927	0.2394
102857-5-0-3	0.7644	0.1976
102857-5-0-30	0.7568	0.4133
102857-5-0-4	0.7873	0.2685
102857-5-0-5	0.7663	0.2875
102857-5-0-6	0.7765	0.3011
102857-5-0-7	0.7579	0.2500
102857-5-0-8	0.6942	0.3256
