=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6145
Mean Deletion AUC: 0.2165
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.5530	0.1385
1-39901-A-11	0.5636	0.1341
1-28135-B-11	0.4201	0.0469
2-50668-A-41	0.6323	0.3540
5-177957-D-40	0.1241	0.0233
3-142605-A-21	0.6980	0.1410
4-175945-A-38	0.7806	0.3124
5-221593-A-21	0.7435	0.2307
2-73260-A-10	0.7462	0.0814
5-215658-A-12	0.8119	0.0935
2-88724-A-38	0.7968	0.3671
1-64398-B-41	0.7051	0.9419
4-161579-A-40	0.4807	0.0761
2-71162-A-1	0.7773	0.0651
4-195497-A-11	0.6349	0.2957
5-200334-B-1	0.8437	0.0942
2-95258-B-1	0.8506	0.1810
3-151081-B-20	0.6514	0.0463
2-188822-A-40	0.3233	0.0956
4-182613-B-11	0.5930	0.2856
3-170015-A-0	0.3316	0.0505
1-211527-B-20	0.7020	0.1135
3-68630-A-40	0.7265	0.0532
4-185575-A-20	0.8079	0.0554
1-17808-A-12	0.7231	0.3146
2-132157-B-11	0.1165	0.3815
2-96460-A-1	0.6360	0.0630
3-170377-A-38	0.8738	0.3528
5-195710-A-10	0.3801	0.1159
4-161127-A-10	0.7923	0.0250
2-77945-B-41	0.1485	0.0580
2-30322-A-12	0.8072	0.1841
4-125929-A-40	0.7216	0.7079
2-18766-B-12	0.7593	0.2980
4-169127-A-41	0.6571	0.2789
4-163264-A-10	0.0831	0.0635
1-59513-A-0	0.7376	0.0696
4-185575-C-20	0.7800	0.0877
3-142005-A-10	0.3730	0.0629
2-122104-A-0	0.7214	0.0369
4-164661-B-12	0.7461	0.2163
3-68630-C-40	0.7688	0.0425
2-102852-A-11	0.5945	0.0766
3-118972-B-41	0.6522	0.2801
5-201274-A-21	0.7068	0.1199
4-167063-B-11	0.5468	0.3247
3-157695-A-0	0.6773	0.3413
2-114280-A-0	0.7796	0.0553
5-200461-A-11	0.4654	0.0911
3-152007-E-20	0.6127	0.0849
1-172649-B-40	0.5091	0.0619
1-54505-A-21	0.7076	0.0831
5-170338-B-41	0.1700	0.0484
3-118657-B-41	0.0467	0.0512
2-188822-C-40	0.6307	0.1896
1-17367-A-10	0.2117	0.0320
4-167642-A-21	0.6774	0.5947
5-151085-A-20	0.2202	0.0574
5-194533-A-21	0.7203	0.0391
5-219379-B-11	0.1095	0.0571
5-212181-A-38	0.6893	0.5470
2-50665-A-20	0.5442	0.0675
2-37806-D-40	0.7099	0.0496
2-28314-A-12	0.8075	0.2085
5-205898-A-40	0.7128	0.0365
4-149294-B-41	0.1948	0.0569
3-158476-A-12	0.7976	0.5383
2-140147-A-38	0.8671	0.5162
5-198411-B-20	0.7093	0.0633
2-135728-A-38	0.7675	0.6501
2-72970-A-10	0.7075	0.0475
4-181865-A-38	0.5862	0.0369
5-171653-A-41	0.6123	0.2579
2-107351-B-20	0.4727	0.1390
2-128631-A-21	0.4365	0.0494
5-193473-A-12	0.3456	0.0404
4-183992-A-0	0.6421	0.0778
4-164064-B-1	0.1761	0.2368
4-181286-A-10	0.6828	0.0570
1-22694-A-20	0.6846	0.0994
2-61311-A-12	0.2527	0.0585
3-134049-A-1	0.7352	0.0899
2-117271-A-0	0.7213	0.0939
3-166422-A-11	0.3108	0.1582
1-97392-A-0	0.8276	0.2331
1-43382-A-1	0.7640	0.0337
3-155642-B-11	0.4272	0.4742
3-148330-A-21	0.6810	0.4812
4-180380-A-10	0.6206	0.1137
3-164630-A-11	0.6160	0.1367
4-199261-A-0	0.7261	0.0969
2-95258-A-1	0.8422	0.1272
1-44831-A-1	0.5348	0.0709
3-180256-A-0	0.8114	0.1297
5-233160-A-1	0.6817	0.0625
5-200334-A-1	0.8086	0.0419
2-100786-A-1	0.4153	0.3367
5-213802-A-12	0.6483	0.0553
4-171207-A-12	0.6549	0.1664
4-164206-A-10	0.6629	0.0935
3-152007-A-20	0.7078	0.1442
1-172649-F-40	0.6135	0.5690
2-119102-A-21	0.7679	0.3423
5-209698-A-38	0.8475	0.2038
4-167077-B-20	0.7790	0.0982
4-184575-A-0	0.8169	0.2282
3-118658-A-41	0.4880	0.1459
4-157611-B-41	0.7793	0.0518
4-204618-A-11	0.7558	0.0881
5-231762-A-0	0.5874	0.0510
3-154957-A-1	0.3045	0.6188
3-157149-A-10	0.8642	1.0000
1-63871-A-10	0.4400	0.0703
4-175000-A-40	0.8029	0.0450
1-56311-A-10	0.7603	0.0283
4-170247-A-12	0.5541	0.4000
2-66637-B-20	0.7993	0.0926
5-208810-A-11	0.2481	0.3004
4-181563-A-12	0.8114	0.2773
3-170383-A-38	0.6438	0.6883
1-48413-A-38	0.8269	0.3521
5-219342-A-38	0.6495	0.1193
4-171519-A-21	0.6867	0.0911
1-91359-B-11	0.7197	0.1243
4-166661-A-10	0.2657	0.0306
5-185579-A-41	0.6616	0.0799
3-65748-A-12	0.6445	0.0742
1-46272-A-12	0.7786	0.2509
1-7057-A-12	0.7032	0.3131
1-19898-B-41	0.7962	0.2671
5-198411-F-20	0.7772	0.1159
3-150979-B-40	0.2604	0.0334
5-177957-B-40	0.1930	0.0358
1-17565-A-12	0.7564	0.1486
4-164021-A-1	0.6580	0.0600
3-154926-A-40	0.6177	0.0355
2-155801-A-11	0.4438	0.2728
5-220027-A-21	0.2815	0.0355
5-220026-A-21	0.5465	0.2590
1-47274-A-21	0.4054	0.0722
5-202898-A-10	0.1073	0.0256
4-59579-B-20	0.7725	0.1079
5-191131-A-40	0.2347	0.0574
3-150231-A-21	0.6166	0.3735
4-193480-B-40	0.6141	0.2038
4-175000-C-40	0.7869	0.0297
5-220955-A-40	0.1179	0.0150
4-164064-C-1	0.7030	0.0521
3-150363-A-38	0.8555	0.3270
1-26806-A-1	0.7463	0.0811
1-47250-A-41	0.5477	0.9401
5-202220-A-21	0.6846	0.2970
2-68391-A-41	0.6869	0.3358
2-122104-B-0	0.7699	0.0986
4-208021-A-1	0.6389	0.0411
2-37806-B-40	0.3887	0.0328
2-50667-B-41	0.7713	0.5491
5-198411-D-20	0.6195	0.0937
5-208030-A-0	0.8549	0.2469
4-165823-A-41	0.8439	0.8633
5-9032-A-0	0.6593	0.2042
2-95035-A-1	0.8468	0.1141
1-29680-A-21	0.6009	0.0975
5-222524-A-41	0.3845	0.0514
5-216370-B-41	0.8004	0.9412
5-213855-A-0	0.7626	0.0410
1-60997-B-20	0.2377	0.0824
4-164064-A-1	0.8100	0.0675
4-179984-A-38	0.8635	0.1510
1-85362-A-0	0.8206	0.1660
1-181071-B-40	0.7403	0.4860
5-188655-A-10	0.3768	0.0481
1-116765-A-41	0.4259	0.0256
3-116135-A-1	0.8115	0.0428
4-182395-A-0	0.6957	0.4783
5-187979-A-21	0.6941	0.2824
2-131943-A-38	0.7885	0.2084
1-40730-A-1	0.8130	0.1481
3-152007-C-20	0.4449	0.0710
3-164120-A-11	0.6629	0.4875
1-172649-D-40	0.6318	0.4634
1-57163-A-38	0.6674	0.9256
1-62850-A-38	0.7409	0.1689
4-160999-A-10	0.5482	0.1258
3-144827-A-11	0.0742	0.0182
1-27724-A-1	0.7506	0.1777
1-39923-A-1	0.5392	0.1366
5-219379-A-11	0.0900	0.0343
1-187207-A-20	0.8378	0.1390
3-132852-A-10	0.6408	0.1350
4-207124-A-0	0.6546	0.1148
1-30344-A-0	0.8345	0.1641
5-217158-A-0	0.7170	0.0612
1-211527-C-20	0.4454	0.0455
4-167063-A-11	0.7564	0.1582
3-118656-A-41	0.4318	0.4737
3-118657-A-41	0.6398	0.2121
2-127108-A-38	0.8480	0.3797
1-172649-A-40	0.1545	0.0662
5-170338-A-41	0.7049	0.4437
5-203128-B-0	0.8198	0.1501
5-200461-B-11	0.5285	0.0290
1-26222-A-10	0.1147	0.0390
3-141684-A-21	0.3862	0.0571
4-164661-A-12	0.8022	0.2432
5-189212-A-12	0.8358	0.3233
4-188033-A-38	0.7594	0.2277
2-81731-A-10	0.7061	0.0277
2-125966-A-11	0.4858	0.7248
2-73027-A-10	0.0388	0.0558
3-118972-A-41	0.7163	0.8966
3-142006-A-10	0.7790	0.0927
3-144028-A-0	0.7979	0.3419
1-42139-A-38	0.8173	0.3517
1-22694-B-20	0.6422	0.0595
1-21934-A-38	0.7790	0.2208
2-137162-A-11	0.5027	0.1326
1-21935-A-38	0.8429	0.6220
1-34119-A-1	0.3362	0.0642
2-107351-A-20	0.2828	0.3808
2-109505-A-21	0.8116	0.3212
2-118104-A-21	0.7114	0.1824
4-185415-A-21	0.6378	0.6933
5-193473-B-12	0.0595	0.0673
5-200339-A-1	0.8685	0.0994
2-133863-A-11	0.5668	0.4570
4-177250-A-10	0.0632	0.0544
1-50060-A-10	0.8338	1.0000
5-198411-A-20	0.8641	0.1216
2-28314-B-12	0.7813	0.0652
5-234879-A-1	0.2840	0.0686
5-177957-E-40	0.1447	0.0366
3-144692-A-21	0.7719	0.3549
2-50666-A-20	0.8116	0.1688
4-149294-A-41	0.6332	0.0610
1-62849-A-38	0.7763	0.3531
2-80482-A-20	0.6312	0.0548
3-157615-A-10	0.8691	1.0000
3-187710-A-11	0.7760	0.3175
3-151080-A-20	0.0491	0.1562
3-151081-A-20	0.6436	0.0389
2-118964-A-0	0.2583	0.4352
3-145382-A-1	0.8307	0.0377
2-134700-A-38	0.7577	0.1594
4-156843-A-21	0.8154	0.1832
1-64398-A-41	0.7003	0.0924
5-215658-B-12	0.6888	0.2651
4-198965-A-38	0.8592	0.4202
3-147965-A-12	0.6082	0.3720
4-184434-A-21	0.7237	0.0635
4-195497-B-11	0.3494	0.2112
1-31748-A-21	0.6761	0.7409
2-65747-A-12	0.8047	0.2153
4-161579-B-40	0.6654	0.3753
1-110389-A-0	0.2068	0.7932
2-50668-B-41	0.5669	0.4014
4-185619-A-21	0.5799	0.0704
3-120644-A-12	0.7363	0.3555
1-28135-A-11	0.5062	0.2187
1-39901-B-11	0.3102	0.0622
5-198411-C-20	0.7283	0.0494
1-4211-A-12	0.8179	0.4756
4-191687-A-0	0.7514	0.0489
3-104958-A-12	0.6445	0.0916
2-30322-B-12	0.7781	0.3137
2-77945-A-41	0.7479	0.0583
3-155312-A-0	0.7947	0.3793
3-143933-A-38	0.5888	0.0760
4-170078-A-1	0.7234	0.0552
1-26143-A-21	0.7545	0.3348
4-169127-B-41	0.7953	0.9794
2-18766-A-12	0.8491	0.1299
5-181766-A-10	0.2106	0.0137
5-186924-A-12	0.1346	0.0495
3-136288-A-0	0.8626	0.0388
4-157297-A-21	0.5198	0.0730
3-171012-A-38	0.8737	0.4907
5-212454-A-0	0.8315	0.0738
5-219379-C-11	0.3691	0.0591
2-124662-A-11	0.7804	0.3294
1-100032-A-0	0.7847	0.8914
3-68630-B-40	0.7389	0.0552
5-208624-A-38	0.7284	0.2584
2-132157-A-11	0.2575	0.3855
5-194892-A-10	0.5117	0.1522
1-17808-B-12	0.6759	0.2462
3-163288-A-1	0.6003	0.0585
4-185575-B-20	0.5034	0.0981
4-182613-A-11	0.6776	0.2210
2-188822-B-40	0.2469	0.0274
1-43760-A-11	0.5815	0.0444
1-29561-A-10	0.6577	0.0455
3-152007-D-20	0.6605	0.3765
1-172649-C-40	0.6085	0.5080
5-194930-A-1	0.7906	0.0579
1-211527-A-20	0.6063	0.2839
4-167063-C-11	0.4075	0.2073
2-118072-A-0	0.7707	0.4750
1-19898-C-41	0.6373	0.3091
5-203128-A-0	0.8298	0.1080
5-198411-G-20	0.7605	0.1441
3-157187-A-12	0.6867	0.4868
2-50667-A-41	0.7234	0.7302
4-165823-B-41	0.1749	0.0625
3-142593-A-38	0.8492	0.4878
1-47250-B-41	0.2770	0.8829
4-192236-A-0	0.7422	0.0686
4-156844-A-21	0.7985	0.1775
2-37806-A-40	0.1418	0.5236
3-150979-C-40	0.7444	0.3327
5-177957-C-40	0.3031	0.0296
2-68391-B-41	0.8548	0.9373
5-213077-A-11	0.6234	0.0175
2-117625-A-10	0.6638	0.2544
4-194711-A-38	0.8287	0.1964
4-193480-A-40	0.7308	0.3167
4-59579-A-20	0.7894	0.1957
1-30226-A-0	0.6406	0.1415
3-104632-A-12	0.7085	0.1794
4-191327-A-38	0.8269	0.6085
1-17150-A-12	0.8173	0.1572
3-144827-B-11	0.2748	0.0150
3-142601-A-21	0.8073	0.2610
1-61252-A-11	0.5112	0.3197
3-164688-A-38	0.8745	0.5935
5-189237-A-12	0.8000	0.0571
2-114587-A-0	0.7930	0.4177
4-167077-C-20	0.0838	0.4388
5-234879-B-1	0.4655	0.0805
1-34119-B-1	0.7313	0.4254
1-60997-A-20	0.5026	0.0940
3-163459-A-0	0.8000	0.0451
4-183487-A-1	0.7760	0.0516
1-181071-A-40	0.7967	0.6380
5-198321-A-10	0.2792	0.0344
3-145774-A-12	0.7746	0.3390
2-119748-A-38	0.7849	0.2565
3-156558-A-21	0.5464	0.0711
5-235671-A-38	0.6803	0.3809
5-209833-A-38	0.5870	0.1035
5-216370-A-41	0.4945	0.0523
2-65750-A-1	0.2245	0.0372
4-182369-A-12	0.8650	0.4203
1-35687-A-38	0.8306	0.3695
3-171041-A-38	0.2969	0.0746
4-182368-A-12	0.7528	0.3439
3-143929-A-10	0.3311	0.0235
4-167077-A-20	0.5338	0.3024
2-116400-A-0	0.7654	0.0708
2-82538-A-21	0.7128	0.4820
2-130978-A-21	0.2814	0.4689
2-130979-A-21	0.6423	0.0615
2-93030-A-21	0.5978	0.0779
5-210571-A-38	0.7606	0.1415
4-157611-A-41	0.6397	0.1046
3-118658-B-41	0.1804	0.0308
2-82367-A-10	0.1881	0.0359
3-152007-B-20	0.8186	0.1197
1-172649-E-40	0.6918	0.3085
5-221518-A-21	0.7455	0.3747
3-137152-A-1	0.1182	0.0761
2-188822-D-40	0.5844	0.0548
3-149189-A-1	0.7740	0.1791
1-59324-A-21	0.7191	0.5798
1-81883-A-21	0.4105	0.0394
3-157487-A-10	0.7663	0.0165
5-193339-A-10	0.4734	0.1737
3-155642-A-11	0.6448	0.3782
5-201194-A-38	0.7892	0.4067
3-165856-A-41	0.6950	0.0174
4-164859-A-1	0.6778	0.0919
3-150979-A-40	0.1105	0.0511
5-177957-A-40	0.6262	0.0762
2-101676-A-10	0.1103	0.0354
3-143119-A-21	0.6697	0.1203
2-37806-C-40	0.7319	0.5094
3-154926-B-40	0.6038	0.1756
3-140774-A-10	0.7103	0.5102
3-107219-A-1	0.6054	0.2550
5-185579-B-41	0.0857	0.0574
5-194930-B-1	0.8388	0.1044
5-198411-E-20	0.5933	0.1151
1-19898-A-41	0.6513	0.1055
1-91359-A-11	0.6803	0.1174
2-151079-A-20	0.7886	0.1752
1-54958-A-10	0.1683	0.0212
5-203739-A-10	0.6575	0.0597
2-81270-A-1	0.8112	0.1163
2-141584-A-38	0.8267	0.3298
2-87781-A-10	0.7568	0.1268
4-194754-A-0	0.5276	0.0479
4-181035-A-38	0.8242	0.2517
4-170247-B-12	0.7828	0.4169
1-17742-A-12	0.6614	0.2012
4-175000-B-40	0.7183	0.0505
1-21189-A-10	0.8618	0.9835
1-32318-A-0	0.8175	0.0992
2-66637-A-20	0.7478	0.0566
3-180977-A-0	0.5312	0.0637
5-208810-B-11	0.2972	0.1054
