=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6218
Mean Deletion AUC: 0.1967
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.5645	0.1016
1-39901-A-11	0.5248	0.1033
1-28135-B-11	0.4353	0.0115
2-50668-A-41	0.6349	0.3521
5-177957-D-40	0.1243	0.0315
3-142605-A-21	0.7029	0.0966
4-175945-A-38	0.7944	0.2930
5-221593-A-21	0.7112	0.1902
2-73260-A-10	0.7540	0.0646
5-215658-A-12	0.8002	0.0662
2-88724-A-38	0.7930	0.3586
1-64398-B-41	0.6910	0.9366
4-161579-A-40	0.4447	0.0623
2-71162-A-1	0.7480	0.0154
4-195497-A-11	0.6611	0.2771
5-200334-B-1	0.8394	0.0278
2-95258-B-1	0.8637	0.1700
3-151081-B-20	0.6790	0.0449
2-188822-A-40	0.3330	0.0776
4-182613-B-11	0.5701	0.2310
3-170015-A-0	0.3659	0.0325
1-211527-B-20	0.7160	0.1005
3-68630-A-40	0.7394	0.0101
4-185575-A-20	0.8114	0.0659
1-17808-A-12	0.7440	0.2787
2-132157-B-11	0.1228	0.3296
2-96460-A-1	0.6136	0.0309
3-170377-A-38	0.8622	0.3015
5-195710-A-10	0.4047	0.1337
4-161127-A-10	0.7996	0.0364
2-77945-B-41	0.1606	0.0361
2-30322-A-12	0.8323	0.1591
4-125929-A-40	0.7132	0.6774
2-18766-B-12	0.7908	0.2972
4-169127-A-41	0.6766	0.2752
4-163264-A-10	0.1085	0.0121
1-59513-A-0	0.7848	0.0465
4-185575-C-20	0.7801	0.0818
3-142005-A-10	0.4227	0.0203
2-122104-A-0	0.7441	0.0420
4-164661-B-12	0.7681	0.1828
3-68630-C-40	0.7413	0.0504
2-102852-A-11	0.5639	0.0375
3-118972-B-41	0.6361	0.2906
5-201274-A-21	0.7148	0.1403
4-167063-B-11	0.5195	0.3351
3-157695-A-0	0.6404	0.3082
2-114280-A-0	0.7576	0.0406
5-200461-A-11	0.4800	0.1064
3-152007-E-20	0.6221	0.0778
1-172649-B-40	0.5122	0.0686
1-54505-A-21	0.7131	0.0731
5-170338-B-41	0.1705	0.0497
3-118657-B-41	0.0988	0.0093
2-188822-C-40	0.6338	0.1412
1-17367-A-10	0.2305	0.0262
4-167642-A-21	0.6777	0.5702
5-151085-A-20	0.2335	0.0204
5-194533-A-21	0.6987	0.0389
5-219379-B-11	0.1061	0.0159
5-212181-A-38	0.7199	0.5114
2-50665-A-20	0.5398	0.0461
2-37806-D-40	0.7058	0.0243
2-28314-A-12	0.8231	0.1856
5-205898-A-40	0.7397	0.0165
