=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6187
Mean Deletion AUC: 0.1952
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.5477	0.1238
1-39901-A-11	0.5330	0.1102
1-28135-B-11	0.4224	0.0433
2-50668-A-41	0.6161	0.3699
5-177957-D-40	0.1601	0.0075
3-142605-A-21	0.7286	0.0868
4-175945-A-38	0.8228	0.2605
5-221593-A-21	0.7360	0.2331
2-73260-A-10	0.7616	0.0500
5-215658-A-12	0.7821	0.0726
2-88724-A-38	0.7856	0.3821
1-64398-B-41	0.7129	0.9458
4-161579-A-40	0.4786	0.0707
2-71162-A-1	0.7715	0.0293
4-195497-A-11	0.6616	0.2505
5-200334-B-1	0.8426	0.0611
2-95258-B-1	0.8304	0.1224
3-151081-B-20	0.6520	0.0472
2-188822-A-40	0.3172	0.0965
4-182613-B-11	0.5690	0.2454
3-170015-A-0	0.3508	0.0125
1-211527-B-20	0.7333	0.1112
3-68630-A-40	0.7312	0.0185
4-185575-A-20	0.7965	0.0287
1-17808-A-12	0.7717	0.3110
2-132157-B-11	0.1188	0.3718
2-96460-A-1	0.6436	0.0329
3-170377-A-38	0.8752	0.2826
5-195710-A-10	0.3851	0.1256
4-161127-A-10	0.7777	0.0010
2-77945-B-41	0.1670	0.0234
2-30322-A-12	0.8223	0.1525
4-125929-A-40	0.7176	0.6631
2-18766-B-12	0.7906	0.2954
4-169127-A-41	0.6375	0.2705
4-163264-A-10	0.0897	0.0040
1-59513-A-0	0.7783	0.0597
4-185575-C-20	0.8128	0.1055
3-142005-A-10	0.3814	0.0192
2-122104-A-0	0.7391	0.0335
4-164661-B-12	0.7710	0.2219
3-68630-C-40	0.7476	0.0253
2-102852-A-11	0.6010	0.0436
3-118972-B-41	0.6472	0.2897
5-201274-A-21	0.6770	0.1410
4-167063-B-11	0.5236	0.3109
3-157695-A-0	0.6583	0.3476
2-114280-A-0	0.7913	0.0306
5-200461-A-11	0.4949	0.0702
3-152007-E-20	0.5956	0.0712
1-172649-B-40	0.4899	0.0840
1-54505-A-21	0.7031	0.0648
5-170338-B-41	0.1456	0.0421
3-118657-B-41	0.0949	0.0321
2-188822-C-40	0.6306	0.1713
1-17367-A-10	0.2182	0.0286
4-167642-A-21	0.6399	0.5675
5-151085-A-20	0.2549	0.0604
5-194533-A-21	0.6904	0.0181
5-219379-B-11	0.0943	0.0372
5-212181-A-38	0.7273	0.5148
2-50665-A-20	0.5297	0.0399
2-37806-D-40	0.7187	0.0143
2-28314-A-12	0.8277	0.2001
5-205898-A-40	0.7175	0.0282
4-149294-B-41	0.2151	0.0356
3-158476-A-12	0.7628	0.5186
2-140147-A-38	0.8334	0.4853
5-198411-B-20	0.7166	0.0510
2-135728-A-38	0.7437	0.6004
2-72970-A-10	0.6921	0.0065
4-181865-A-38	0.6192	0.0029
5-171653-A-41	0.6240	0.2079
2-107351-B-20	0.4602	0.0890
2-128631-A-21	0.4644	0.0311
5-193473-A-12	0.3618	0.0371
4-183992-A-0	0.6809	0.0614
4-164064-B-1	0.1921	0.2046
4-181286-A-10	0.6965	0.0533
1-22694-A-20	0.6828	0.0969
2-61311-A-12	0.2701	0.0472
3-134049-A-1	0.7248	0.0529
2-117271-A-0	0.7378	0.0792
3-166422-A-11	0.3239	0.1298
1-97392-A-0	0.8365	0.2155
1-43382-A-1	0.7650	0.0571
3-155642-B-11	0.4376	0.4243
3-148330-A-21	0.6606	0.4708
4-180380-A-10	0.5946	0.0813
3-164630-A-11	0.6170	0.0956
4-199261-A-0	0.6868	0.0379
2-95258-A-1	0.8377	0.1119
1-44831-A-1	0.5319	0.0385
3-180256-A-0	0.7863	0.0965
5-233160-A-1	0.6449	0.0171
5-200334-A-1	0.8247	0.0087
2-100786-A-1	0.4253	0.3328
5-213802-A-12	0.6657	0.0000
4-171207-A-12	0.6713	0.1575
4-164206-A-10	0.6679	0.0362
3-152007-A-20	0.6737	0.1141
1-172649-F-40	0.6192	0.5313
2-119102-A-21	0.7809	0.2987
5-209698-A-38	0.8489	0.1684
4-167077-B-20	0.7823	0.0695
4-184575-A-0	0.8317	0.2093
3-118658-A-41	0.4744	0.0911
4-157611-B-41	0.7728	0.0187
4-204618-A-11	0.7379	0.0236
5-231762-A-0	0.6338	0.0473
3-154957-A-1	0.3259	0.5730
3-157149-A-10	0.8669	0.9538
1-63871-A-10	0.4216	0.0589
4-175000-A-40	0.7968	0.0145
1-56311-A-10	0.7619	0.0352
4-170247-A-12	0.5847	0.3709
2-66637-B-20	0.8175	0.0398
5-208810-A-11	0.2448	0.2586
4-181563-A-12	0.8086	0.2415
3-170383-A-38	0.6183	0.6694
1-48413-A-38	0.8455	0.3763
5-219342-A-38	0.6467	0.1038
4-171519-A-21	0.7112	0.0913
1-91359-B-11	0.7465	0.1157
4-166661-A-10	0.2424	0.0418
5-185579-A-41	0.6704	0.0504
3-65748-A-12	0.6274	0.0903
1-46272-A-12	0.8179	0.2330
1-7057-A-12	0.7371	0.2569
1-19898-B-41	0.7997	0.2074
5-198411-F-20	0.7791	0.0586
3-150979-B-40	0.2379	0.0294
5-177957-B-40	0.2121	0.0416
1-17565-A-12	0.7829	0.1088
4-164021-A-1	0.6485	0.0278
3-154926-A-40	0.6113	0.0138
2-155801-A-11	0.4482	0.2175
5-220027-A-21	0.3180	0.0015
5-220026-A-21	0.5490	0.2270
1-47274-A-21	0.3923	0.0379
5-202898-A-10	0.1283	0.0000
4-59579-B-20	0.7605	0.1150
5-191131-A-40	0.2293	0.0364
3-150231-A-21	0.6636	0.3384
4-193480-B-40	0.5908	0.1912
4-175000-C-40	0.7907	0.0344
5-220955-A-40	0.1138	0.0000
4-164064-C-1	0.7364	0.0110
3-150363-A-38	0.8365	0.2934
1-26806-A-1	0.7573	0.0311
1-47250-A-41	0.5542	0.9446
5-202220-A-21	0.7069	0.2586
2-68391-A-41	0.6795	0.2849
2-122104-B-0	0.7866	0.0694
4-208021-A-1	0.6298	0.0229
2-37806-B-40	0.3582	0.0303
2-50667-B-41	0.7834	0.5044
5-198411-D-20	0.6325	0.1128
5-208030-A-0	0.8546	0.2493
4-165823-A-41	0.8234	0.8249
5-9032-A-0	0.6546	0.1979
2-95035-A-1	0.8490	0.0748
1-29680-A-21	0.5806	0.0540
5-222524-A-41	0.4331	0.0000
5-216370-B-41	0.8229	0.9428
5-213855-A-0	0.7629	0.0110
1-60997-B-20	0.2418	0.0181
4-164064-A-1	0.8129	0.0926
4-179984-A-38	0.8772	0.1313
1-85362-A-0	0.7959	0.1400
1-181071-B-40	0.7496	0.4517
5-188655-A-10	0.3594	0.0375
1-116765-A-41	0.4318	0.0127
3-116135-A-1	0.8476	0.0229
4-182395-A-0	0.7359	0.4634
5-187979-A-21	0.6879	0.2642
2-131943-A-38	0.7602	0.2021
1-40730-A-1	0.8328	0.1018
3-152007-C-20	0.4538	0.0631
3-164120-A-11	0.6456	0.4585
1-172649-D-40	0.6648	0.4510
1-57163-A-38	0.6658	0.9114
1-62850-A-38	0.7559	0.1571
4-160999-A-10	0.5499	0.0644
3-144827-A-11	0.0481	0.0186
1-27724-A-1	0.7638	0.1553
1-39923-A-1	0.5591	0.1260
5-219379-A-11	0.1054	0.0401
1-187207-A-20	0.8183	0.1238
3-132852-A-10	0.6447	0.1097
4-207124-A-0	0.6430	0.1360
1-30344-A-0	0.8205	0.1326
5-217158-A-0	0.7253	0.0138
1-211527-C-20	0.4744	0.0156
4-167063-A-11	0.7476	0.1096
3-118656-A-41	0.4353	0.4717
3-118657-A-41	0.6664	0.2069
2-127108-A-38	0.8489	0.3449
1-172649-A-40	0.1702	0.0403
5-170338-A-41	0.7207	0.4458
5-203128-B-0	0.8525	0.0899
5-200461-B-11	0.5301	0.0111
1-26222-A-10	0.1448	0.0077
3-141684-A-21	0.3910	0.0655
4-164661-A-12	0.8160	0.2527
5-189212-A-12	0.8457	0.2920
4-188033-A-38	0.7552	0.2162
2-81731-A-10	0.6825	0.0301
2-125966-A-11	0.4778	0.6606
2-73027-A-10	0.0525	0.0419
3-118972-A-41	0.6984	0.9014
3-142006-A-10	0.7793	0.0679
3-144028-A-0	0.7911	0.3131
1-42139-A-38	0.8268	0.3267
1-22694-B-20	0.6676	0.0199
1-21934-A-38	0.8067	0.2161
2-137162-A-11	0.4965	0.1189
1-21935-A-38	0.8675	0.5866
1-34119-A-1	0.3446	0.0539
2-107351-A-20	0.2562	0.3715
2-109505-A-21	0.8157	0.2653
2-118104-A-21	0.7190	0.1588
4-185415-A-21	0.6627	0.6371
5-193473-B-12	0.0754	0.0441
5-200339-A-1	0.8451	0.0998
2-133863-A-11	0.5730	0.4635
4-177250-A-10	0.0429	0.0329
1-50060-A-10	0.8305	0.9690
5-198411-A-20	0.8287	0.0884
2-28314-B-12	0.8262	0.0436
5-234879-A-1	0.2484	0.0828
5-177957-E-40	0.1289	0.0274
3-144692-A-21	0.7868	0.3359
2-50666-A-20	0.8146	0.1500
4-149294-A-41	0.6102	0.0208
1-62849-A-38	0.7380	0.3012
2-80482-A-20	0.6406	0.0348
3-157615-A-10	0.8840	0.9992
3-187710-A-11	0.8058	0.3015
3-151080-A-20	0.0704	0.1338
3-151081-A-20	0.6660	0.0332
2-118964-A-0	0.2878	0.4116
3-145382-A-1	0.8208	0.0413
2-134700-A-38	0.7825	0.1431
4-156843-A-21	0.7976	0.1967
1-64398-A-41	0.7145	0.0811
5-215658-B-12	0.6834	0.2833
4-198965-A-38	0.8473	0.3854
3-147965-A-12	0.6410	0.3587
4-184434-A-21	0.7153	0.0443
4-195497-B-11	0.3379	0.1746
1-31748-A-21	0.7032	0.6891
2-65747-A-12	0.7963	0.2365
4-161579-B-40	0.6662	0.3507
1-110389-A-0	0.2500	0.8037
2-50668-B-41	0.5798	0.3558
4-185619-A-21	0.5601	0.0343
3-120644-A-12	0.7308	0.3434
1-28135-A-11	0.4911	0.1869
1-39901-B-11	0.3185	0.0251
5-198411-C-20	0.7417	0.0450
1-4211-A-12	0.8620	0.4560
4-191687-A-0	0.7383	0.0742
3-104958-A-12	0.6193	0.0386
2-30322-B-12	0.7808	0.2972
2-77945-A-41	0.7836	0.0630
3-155312-A-0	0.8244	0.3803
3-143933-A-38	0.6198	0.0389
4-170078-A-1	0.7369	0.0114
1-26143-A-21	0.7278	0.3065
4-169127-B-41	0.8241	0.9525
2-18766-A-12	0.8304	0.1095
5-181766-A-10	0.2101	0.0009
5-186924-A-12	0.1790	0.0225
3-136288-A-0	0.8374	0.0218
4-157297-A-21	0.4939	0.0388
3-171012-A-38	0.8743	0.4826
5-212454-A-0	0.8149	0.0558
5-219379-C-11	0.3600	0.0244
2-124662-A-11	0.7749	0.3147
1-100032-A-0	0.7879	0.8579
3-68630-B-40	0.7441	0.0060
5-208624-A-38	0.7572	0.2207
2-132157-A-11	0.2351	0.3229
5-194892-A-10	0.5261	0.0909
1-17808-B-12	0.6802	0.2135
3-163288-A-1	0.6075	0.0358
4-185575-B-20	0.5100	0.0853
4-182613-A-11	0.6618	0.1734
2-188822-B-40	0.2506	0.0328
1-43760-A-11	0.5819	0.0090
1-29561-A-10	0.6640	0.0000
3-152007-D-20	0.6669	0.3491
1-172649-C-40	0.6212	0.5266
5-194930-A-1	0.8083	0.0548
1-211527-A-20	0.6193	0.2444
4-167063-C-11	0.4073	0.1973
2-118072-A-0	0.7462	0.4505
1-19898-C-41	0.6261	0.2777
5-203128-A-0	0.8646	0.0722
5-198411-G-20	0.8040	0.1423
3-157187-A-12	0.6887	0.4653
2-50667-A-41	0.7324	0.7045
4-165823-B-41	0.1960	0.0414
3-142593-A-38	0.8346	0.4554
1-47250-B-41	0.2846	0.8571
4-192236-A-0	0.7179	0.0685
4-156844-A-21	0.8346	0.1709
2-37806-A-40	0.1615	0.4938
3-150979-C-40	0.7717	0.2739
5-177957-C-40	0.3440	0.0033
2-68391-B-41	0.8222	0.9198
5-213077-A-11	0.5964	0.0171
2-117625-A-10	0.6447	0.2371
4-194711-A-38	0.8255	0.1790
4-193480-A-40	0.7414	0.2920
4-59579-A-20	0.7922	0.1470
1-30226-A-0	0.6590	0.1038
3-104632-A-12	0.6989	0.1272
4-191327-A-38	0.8408	0.5534
1-17150-A-12	0.8504	0.1123
3-144827-B-11	0.3232	0.0367
3-142601-A-21	0.8326	0.2672
1-61252-A-11	0.5336	0.3004
3-164688-A-38	0.8341	0.6026
5-189237-A-12	0.8313	0.0652
2-114587-A-0	0.7728	0.4108
4-167077-C-20	0.0847	0.4067
5-234879-B-1	0.4614	0.0307
1-34119-B-1	0.7745	0.4400
1-60997-A-20	0.5233	0.0824
3-163459-A-0	0.8026	0.0492
4-183487-A-1	0.7765	0.0456
1-181071-A-40	0.7892	0.5911
5-198321-A-10	0.2986	0.0404
3-145774-A-12	0.8206	0.3050
2-119748-A-38	0.7894	0.2432
3-156558-A-21	0.5625	0.0425
5-235671-A-38	0.6916	0.3397
5-209833-A-38	0.5745	0.0528
5-216370-A-41	0.5145	0.0196
2-65750-A-1	0.2097	0.0578
4-182369-A-12	0.8449	0.3746
1-35687-A-38	0.8050	0.3677
3-171041-A-38	0.3070	0.0536
4-182368-A-12	0.7544	0.3453
3-143929-A-10	0.3448	0.0081
4-167077-A-20	0.5389	0.3037
2-116400-A-0	0.8005	0.0288
2-82538-A-21	0.7157	0.4696
2-130978-A-21	0.3222	0.4151
2-130979-A-21	0.6552	0.0665
2-93030-A-21	0.6062	0.0355
5-210571-A-38	0.7259	0.1324
4-157611-A-41	0.6441	0.1118
3-118658-B-41	0.1927	0.0101
2-82367-A-10	0.2068	0.0323
3-152007-B-20	0.7928	0.1085
1-172649-E-40	0.6643	0.2554
5-221518-A-21	0.7655	0.3344
3-137152-A-1	0.1316	0.0546
2-188822-D-40	0.5916	0.0214
3-149189-A-1	0.7832	0.1547
1-59324-A-21	0.7451	0.5429
1-81883-A-21	0.3833	0.0376
3-157487-A-10	0.7630	0.0260
5-193339-A-10	0.4849	0.1489
3-155642-A-11	0.6376	0.3850
5-201194-A-38	0.7478	0.3489
3-165856-A-41	0.7187	0.0008
4-164859-A-1	0.6731	0.0996
3-150979-A-40	0.1312	0.0321
5-177957-A-40	0.6180	0.0211
2-101676-A-10	0.1430	0.0000
3-143119-A-21	0.6866	0.1141
2-37806-C-40	0.7322	0.4699
3-154926-B-40	0.5995	0.1580
3-140774-A-10	0.7265	0.4993
3-107219-A-1	0.5962	0.2431
5-185579-B-41	0.1098	0.0008
5-194930-B-1	0.8300	0.0994
5-198411-E-20	0.5999	0.0869
1-19898-A-41	0.6571	0.1138
1-91359-A-11	0.6884	0.1200
2-151079-A-20	0.7721	0.1489
1-54958-A-10	0.1514	0.0119
5-203739-A-10	0.6305	0.0785
2-81270-A-1	0.8198	0.0636
2-141584-A-38	0.8636	0.3067
2-87781-A-10	0.7903	0.1072
4-194754-A-0	0.5660	0.0645
4-181035-A-38	0.8194	0.2110
4-170247-B-12	0.7720	0.4021
1-17742-A-12	0.6845	0.1886
4-175000-B-40	0.7135	0.0287
1-21189-A-10	0.8563	0.9823
1-32318-A-0	0.8221	0.0905
2-66637-A-20	0.7535	0.0534
3-180977-A-0	0.5191	0.0195
5-208810-B-11	0.3135	0.0822
