=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6593
Mean Deletion AUC: 0.1804
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.7033	0.0991
1-39901-A-11	0.6832	0.0833
1-28135-B-11	0.5522	0.0091
2-50668-A-41	0.7618	0.3376
5-177957-D-40	0.2793	0.0016
3-142605-A-21	0.8502	0.0880
4-175945-A-38	0.9436	0.2552
5-221593-A-21	0.8662	0.1950
2-73260-A-10	0.8857	0.0516
5-215658-A-12	0.9317	0.0488
2-88724-A-38	0.9261	0.3465
1-64398-B-41	0.8487	0.9180
4-161579-A-40	0.6004	0.0483
2-71162-A-1	0.9056	0.0148
4-195497-A-11	0.7858	0.2442
5-200334-B-1	0.9893	0.0339
2-95258-B-1	0.9800	0.1318
3-151081-B-20	0.7992	0.0086
2-188822-A-40	0.4821	0.0766
4-182613-B-11	0.7117	0.2278
3-170015-A-0	0.4902	0.0097
1-211527-B-20	0.8553	0.0835
3-68630-A-40	0.8619	0.0014
4-185575-A-20	0.9340	0.0287
1-17808-A-12	0.8893	0.2778
2-132157-B-11	0.2517	0.3322
2-96460-A-1	0.7590	0.0343
3-170377-A-38	0.9970	0.2916
5-195710-A-10	0.5408	0.0920
4-161127-A-10	0.9408	0.0020
2-77945-B-41	0.3072	0.0018
2-30322-A-12	0.9620	0.1439
4-125929-A-40	0.8668	0.6552
2-18766-B-12	0.9263	0.2844
4-169127-A-41	0.7944	0.2433
4-163264-A-10	0.2291	0.0045
1-59513-A-0	0.8974	0.0206
4-185575-C-20	0.9293	0.0686
3-142005-A-10	0.5344	0.0242
2-122104-A-0	0.8686	0.0155
4-164661-B-12	0.8997	0.1882
3-68630-C-40	0.8894	0.0304
2-102852-A-11	0.7243	0.0449
3-118972-B-41	0.7850	0.2661
5-201274-A-21	0.8291	0.1030
4-167063-B-11	0.6768	0.2938
3-157695-A-0	0.8007	0.3158
2-114280-A-0	0.9119	0.0191
5-200461-A-11	0.6155	0.0711
3-152007-E-20	0.7493	0.0508
1-172649-B-40	0.6460	0.0453
1-54505-A-21	0.8364	0.0588
5-170338-B-41	0.3017	0.0106
3-118657-B-41	0.2119	0.0027
2-188822-C-40	0.7815	0.1405
1-17367-A-10	0.3605	0.0024
4-167642-A-21	0.8043	0.5715
5-151085-A-20	0.3750	0.0220
5-194533-A-21	0.8468	0.0089
5-219379-B-11	0.2468	0.0093
5-212181-A-38	0.8571	0.4894
2-50665-A-20	0.6946	0.0203
2-37806-D-40	0.8561	0.0017
2-28314-A-12	0.9601	0.1630
5-205898-A-40	0.8733	0.0020
4-149294-B-41	0.3520	0.0023
3-158476-A-12	0.9274	0.4884
2-140147-A-38	0.9871	0.4894
5-198411-B-20	0.8434	0.0371
2-135728-A-38	0.8992	0.5918
2-72970-A-10	0.8364	0.0064
4-181865-A-38	0.7517	0.0025
5-171653-A-41	0.7745	0.2172
2-107351-B-20	0.6068	0.0879
2-128631-A-21	0.5876	0.0089
5-193473-A-12	0.4837	0.0242
4-183992-A-0	0.8062	0.0455
4-164064-B-1	0.3174	0.2101
4-181286-A-10	0.8144	0.0383
1-22694-A-20	0.8153	0.0762
2-61311-A-12	0.3991	0.0160
3-134049-A-1	0.8667	0.0287
2-117271-A-0	0.8689	0.0500
3-166422-A-11	0.4740	0.1344
1-97392-A-0	0.9659	0.2143
1-43382-A-1	0.8933	0.0199
3-155642-B-11	0.5954	0.4337
3-148330-A-21	0.8248	0.4571
4-180380-A-10	0.7435	0.0795
3-164630-A-11	0.7367	0.1054
4-199261-A-0	0.8499	0.0464
2-95258-A-1	0.9919	0.0767
1-44831-A-1	0.6928	0.0312
3-180256-A-0	0.9509	0.0697
5-233160-A-1	0.8032	0.0178
5-200334-A-1	0.9460	0.0144
2-100786-A-1	0.5835	0.2954
5-213802-A-12	0.7931	0.0021
4-171207-A-12	0.8218	0.1283
4-164206-A-10	0.8243	0.0384
3-152007-A-20	0.8267	0.1138
1-172649-F-40	0.7679	0.5089
2-119102-A-21	0.9203	0.3005
5-209698-A-38	0.9927	0.1705
4-167077-B-20	0.9107	0.0381
4-184575-A-0	0.9673	0.1988
3-118658-A-41	0.6119	0.0912
4-157611-B-41	0.9194	0.0134
4-204618-A-11	0.8968	0.0291
5-231762-A-0	0.7534	0.0085
3-154957-A-1	0.4666	0.5679
3-157149-A-10	0.9957	0.9610
1-63871-A-10	0.5834	0.0469
4-175000-A-40	0.9302	0.0025
1-56311-A-10	0.9243	0.0044
4-170247-A-12	0.7160	0.3801
2-66637-B-20	0.9326	0.0437
5-208810-A-11	0.3984	0.2430
4-181563-A-12	0.9602	0.2168
3-170383-A-38	0.7698	0.6538
1-48413-A-38	0.9834	0.3406
5-219342-A-38	0.7948	0.0753
4-171519-A-21	0.8440	0.0621
1-91359-B-11	0.8646	0.1019
4-166661-A-10	0.3841	0.0017
5-185579-A-41	0.7962	0.0561
3-65748-A-12	0.7638	0.0602
1-46272-A-12	0.9434	0.1994
1-7057-A-12	0.8655	0.2526
1-19898-B-41	0.9561	0.2132
5-198411-F-20	0.9109	0.0607
3-150979-B-40	0.3817	0.0054
5-177957-B-40	0.3553	0.0025
1-17565-A-12	0.9221	0.0980
4-164021-A-1	0.7806	0.0335
3-154926-A-40	0.7604	0.0124
2-155801-A-11	0.5656	0.2197
5-220027-A-21	0.4379	0.0044
5-220026-A-21	0.7031	0.2349
1-47274-A-21	0.5302	0.0164
5-202898-A-10	0.2494	0.0051
4-59579-B-20	0.9183	0.0946
5-191131-A-40	0.3663	0.0013
3-150231-A-21	0.7786	0.3133
4-193480-B-40	0.7536	0.1579
4-175000-C-40	0.9158	0.0021
5-220955-A-40	0.2632	0.0014
4-164064-C-1	0.8579	0.0104
3-150363-A-38	0.9839	0.3013
1-26806-A-1	0.8802	0.0234
1-47250-A-41	0.7158	0.9131
5-202220-A-21	0.8355	0.2669
2-68391-A-41	0.8272	0.2794
2-122104-B-0	0.9141	0.0757
4-208021-A-1	0.7633	0.0221
2-37806-B-40	0.5183	0.0013
2-50667-B-41	0.9066	0.4937
5-198411-D-20	0.7673	0.0814
5-208030-A-0	0.9848	0.2245
4-165823-A-41	0.9733	0.8192
5-9032-A-0	0.7812	0.1641
2-95035-A-1	0.9967	0.0711
1-29680-A-21	0.7307	0.0613
5-222524-A-41	0.5481	0.0070
5-216370-B-41	0.9617	0.9222
5-213855-A-0	0.8845	0.0206
1-60997-B-20	0.3680	0.0262
4-164064-A-1	0.9618	0.0541
4-179984-A-38	0.9926	0.1213
1-85362-A-0	0.9456	0.1459
1-181071-B-40	0.9054	0.4599
5-188655-A-10	0.5237	0.0084
1-116765-A-41	0.5679	0.0008
3-116135-A-1	0.9691	0.0296
4-182395-A-0	0.8544	0.4303
5-187979-A-21	0.8220	0.2613
2-131943-A-38	0.9117	0.1738
1-40730-A-1	0.9529	0.1108
3-152007-C-20	0.5844	0.0313
