=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6440
Mean Deletion AUC: 0.2051
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.6133	0.1272
1-39901-A-11	0.5697	0.0868
1-28135-B-11	0.4627	0.0404
2-50668-A-41	0.6636	0.3722
5-177957-D-40	0.1857	0.0242
3-142605-A-21	0.7284	0.0903
4-175945-A-38	0.8101	0.2786
5-221593-A-21	0.7562	0.2058
2-73260-A-10	0.7561	0.0915
5-215658-A-12	0.8039	0.0932
2-88724-A-38	0.8023	0.3580
1-64398-B-41	0.7492	0.9399
4-161579-A-40	0.4792	0.0538
2-71162-A-1	0.7903	0.0226
4-195497-A-11	0.6760	0.2590
5-200334-B-1	0.8532	0.0679
2-95258-B-1	0.8603	0.1466
3-151081-B-20	0.7081	0.0233
2-188822-A-40	0.3839	0.1209
4-182613-B-11	0.5975	0.2479
3-170015-A-0	0.3535	0.0176
1-211527-B-20	0.7347	0.1320
3-68630-A-40	0.7336	0.0246
4-185575-A-20	0.8274	0.0591
1-17808-A-12	0.7999	0.3027
2-132157-B-11	0.1507	0.3643
2-96460-A-1	0.6639	0.0379
3-170377-A-38	0.8813	0.3356
5-195710-A-10	0.4468	0.1334
4-161127-A-10	0.8335	0.0400
2-77945-B-41	0.1800	0.0415
2-30322-A-12	0.8458	0.1481
4-125929-A-40	0.7666	0.6736
2-18766-B-12	0.7986	0.2919
4-169127-A-41	0.6722	0.2661
4-163264-A-10	0.1261	0.0270
1-59513-A-0	0.7985	0.0421
4-185575-C-20	0.8003	0.0799
3-142005-A-10	0.4109	0.0676
2-122104-A-0	0.7310	0.0416
4-164661-B-12	0.7868	0.2335
3-68630-C-40	0.7914	0.0386
2-102852-A-11	0.6016	0.0478
3-118972-B-41	0.6937	0.2912
5-201274-A-21	0.7077	0.1365
4-167063-B-11	0.5734	0.3248
3-157695-A-0	0.6898	0.3240
2-114280-A-0	0.8060	0.0237
5-200461-A-11	0.4861	0.0903
3-152007-E-20	0.6222	0.0617
1-172649-B-40	0.5546	0.0773
1-54505-A-21	0.7102	0.0724
5-170338-B-41	0.1663	0.0583
3-118657-B-41	0.1139	0.0111
2-188822-C-40	0.6530	0.1785
1-17367-A-10	0.2471	0.0087
4-167642-A-21	0.7093	0.6135
5-151085-A-20	0.2411	0.0598
5-194533-A-21	0.7215	0.0517
5-219379-B-11	0.1280	0.0519
5-212181-A-38	0.7516	0.5346
2-50665-A-20	0.5955	0.0349
2-37806-D-40	0.7331	0.0116
2-28314-A-12	0.8546	0.2082
5-205898-A-40	0.7452	0.0124
4-149294-B-41	0.2465	0.0135
3-158476-A-12	0.8333	0.5354
2-140147-A-38	0.8610	0.5331
5-198411-B-20	0.7107	0.0465
2-135728-A-38	0.7912	0.6152
2-72970-A-10	0.7362	0.0525
4-181865-A-38	0.6390	0.0457
5-171653-A-41	0.6611	0.2536
2-107351-B-20	0.4731	0.1337
2-128631-A-21	0.4912	0.0246
5-193473-A-12	0.3481	0.0356
4-183992-A-0	0.6943	0.0555
4-164064-B-1	0.2088	0.2132
4-181286-A-10	0.7184	0.0771
1-22694-A-20	0.6901	0.0802
2-61311-A-12	0.2783	0.0559
3-134049-A-1	0.7287	0.0602
2-117271-A-0	0.7696	0.0946
3-166422-A-11	0.3784	0.1412
1-97392-A-0	0.8421	0.2163
1-43382-A-1	0.8011	0.0216
3-155642-B-11	0.4994	0.4654
3-148330-A-21	0.6930	0.4982
4-180380-A-10	0.6314	0.1036
3-164630-A-11	0.6389	0.1181
4-199261-A-0	0.7435	0.0834
2-95258-A-1	0.8584	0.0973
