=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6592
Mean Deletion AUC: 0.1805
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.5827	0.1167
1-39901-A-11	0.6019	0.0750
1-28135-B-11	0.4457	0.0228
2-50668-A-41	0.6522	0.3473
5-177957-D-40	0.1755	0.0233
3-142605-A-21	0.7345	0.0653
4-175945-A-38	0.8419	0.2359
5-221593-A-21	0.7514	0.1742
2-73260-A-10	0.8107	0.0450
5-215658-A-12	0.8559	0.0522
2-88724-A-38	0.8205	0.3465
1-64398-B-41	0.7463	0.8941
4-161579-A-40	0.4943	0.0260
2-71162-A-1	0.7937	0.0060
4-195497-A-11	0.6914	0.2296
5-200334-B-1	0.8838	0.0427
2-95258-B-1	0.8815	0.1357
3-151081-B-20	0.6943	0.0259
2-188822-A-40	0.3941	0.0825
4-182613-B-11	0.5903	0.2148
3-170015-A-0	0.3925	0.0108
1-211527-B-20	0.7415	0.0658
3-68630-A-40	0.7541	0.0111
4-185575-A-20	0.8456	0.0181
1-17808-A-12	0.8121	0.2622
2-132157-B-11	0.1751	0.3112
2-96460-A-1	0.6635	0.0309
3-170377-A-38	0.8992	0.2679
5-195710-A-10	0.4570	0.0889
4-161127-A-10	0.8369	0.0200
2-77945-B-41	0.2180	0.0144
2-30322-A-12	0.8525	0.1585
4-125929-A-40	0.7565	0.6476
2-18766-B-12	0.8097	0.2630
4-169127-A-41	0.6721	0.2257
4-163264-A-10	0.1490	0.0246
1-59513-A-0	0.8053	0.0091
4-185575-C-20	0.8277	0.0838
3-142005-A-10	0.4449	0.0355
2-122104-A-0	0.7717	0.0066
4-164661-B-12	0.8128	0.1828
3-68630-C-40	0.8034	0.0115
2-102852-A-11	0.6459	0.0602
3-118972-B-41	0.6969	0.2528
5-201274-A-21	0.7363	0.0915
4-167063-B-11	0.5725	0.2906
3-157695-A-0	0.7147	0.3166
2-114280-A-0	0.7951	0.0004
5-200461-A-11	0.5340	0.0792
3-152007-E-20	0.6594	0.0277
1-172649-B-40	0.5436	0.0693
1-54505-A-21	0.7472	0.0367
5-170338-B-41	0.1900	0.0000
3-118657-B-41	0.1134	0.0216
2-188822-C-40	0.6822	0.1153
1-17367-A-10	0.2620	0.0032
4-167642-A-21	0.7153	0.5841
5-151085-A-20	0.3003	0.0165
5-194533-A-21	0.7260	0.0234
5-219379-B-11	0.1480	0.0000
5-212181-A-38	0.7352	0.4865
2-50665-A-20	0.6103	0.0063
