=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6256
Mean Deletion AUC: 0.2047
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.5634	0.1168
1-39901-A-11	0.5418	0.1226
1-28135-B-11	0.4312	0.0272
2-50668-A-41	0.6338	0.3724
5-177957-D-40	0.1708	0.0336
3-142605-A-21	0.7037	0.1037
4-175945-A-38	0.7977	0.2554
5-221593-A-21	0.7582	0.2118
2-73260-A-10	0.7326	0.0530
5-215658-A-12	0.7918	0.0729
2-88724-A-38	0.7885	0.3611
1-64398-B-41	0.7408	0.9512
4-161579-A-40	0.4803	0.0918
2-71162-A-1	0.7578	0.0465
4-195497-A-11	0.6630	0.2695
5-200334-B-1	0.8334	0.0547
2-95258-B-1	0.8403	0.1478
3-151081-B-20	0.6705	0.0370
2-188822-A-40	0.3558	0.0885
4-182613-B-11	0.5867	0.2350
3-170015-A-0	0.3701	0.0447
1-211527-B-20	0.7244	0.0904
3-68630-A-40	0.7205	0.0103
4-185575-A-20	0.7853	0.0519
1-17808-A-12	0.7619	0.3258
2-132157-B-11	0.1391	0.3742
2-96460-A-1	0.6259	0.0501
3-170377-A-38	0.8564	0.3309
5-195710-A-10	0.3911	0.1038
4-161127-A-10	0.8146	0.0433
2-77945-B-41	0.1673	0.0368
2-30322-A-12	0.8240	0.1807
4-125929-A-40	0.7444	0.6625
2-18766-B-12	0.8134	0.2992
4-169127-A-41	0.6837	0.2779
4-163264-A-10	0.0722	0.0161
1-59513-A-0	0.7578	0.0683
4-185575-C-20	0.7787	0.0772
3-142005-A-10	0.4138	0.0684
2-122104-A-0	0.7255	0.0214
4-164661-B-12	0.7476	0.2005
3-68630-C-40	0.7669	0.0365
2-102852-A-11	0.6093	0.0571
3-118972-B-41	0.6392	0.2873
5-201274-A-21	0.6766	0.1404
4-167063-B-11	0.5290	0.3039
3-157695-A-0	0.6531	0.3252
2-114280-A-0	0.7744	0.0540
5-200461-A-11	0.4749	0.0872
3-152007-E-20	0.6077	0.0538
1-172649-B-40	0.5024	0.0752
1-54505-A-21	0.6961	0.0603
5-170338-B-41	0.1443	0.0111
3-118657-B-41	0.0914	0.0364
2-188822-C-40	0.6530	0.1622
1-17367-A-10	0.2336	0.0511
4-167642-A-21	0.6950	0.6082
5-151085-A-20	0.2321	0.0403
5-194533-A-21	0.7107	0.0192
5-219379-B-11	0.1298	0.0151
5-212181-A-38	0.7132	0.4972
2-50665-A-20	0.5760	0.0240
2-37806-D-40	0.7218	0.0158
2-28314-A-12	0.8133	0.1799
5-205898-A-40	0.7204	0.0136
4-149294-B-41	0.2109	0.0243
3-158476-A-12	0.7945	0.5075
2-140147-A-38	0.8373	0.4999
5-198411-B-20	0.6938	0.0382
2-135728-A-38	0.7479	0.6264
2-72970-A-10	0.7198	0.0468
4-181865-A-38	0.6393	0.0177
5-171653-A-41	0.6606	0.2572
2-107351-B-20	0.4863	0.1285
2-128631-A-21	0.4397	0.0325
5-193473-A-12	0.3380	0.0546
4-183992-A-0	0.6895	0.0734
4-164064-B-1	0.1759	0.2316
4-181286-A-10	0.6901	0.0811
1-22694-A-20	0.7033	0.0963
2-61311-A-12	0.2738	0.0526
3-134049-A-1	0.7220	0.0615
2-117271-A-0	0.7460	0.0638
3-166422-A-11	0.3271	0.1760
