=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6426
Mean Deletion AUC: 0.2129
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.6062	0.1481
1-39901-A-11	0.5679	0.1151
1-28135-B-11	0.4545	0.0485
2-50668-A-41	0.6404	0.3785
5-177957-D-40	0.1467	0.0182
3-142605-A-21	0.7141	0.0946
4-175945-A-38	0.8137	0.2885
5-221593-A-21	0.7425	0.2120
2-73260-A-10	0.7684	0.0916
5-215658-A-12	0.8220	0.0631
2-88724-A-38	0.8327	0.3554
1-64398-B-41	0.7310	0.9717
4-161579-A-40	0.4977	0.0660
2-71162-A-1	0.7743	0.0678
4-195497-A-11	0.6551	0.2772
5-200334-B-1	0.8790	0.0808
2-95258-B-1	0.8593	0.1462
3-151081-B-20	0.6709	0.0243
2-188822-A-40	0.3528	0.0917
4-182613-B-11	0.5857	0.2782
3-170015-A-0	0.3941	0.0278
1-211527-B-20	0.7574	0.1276
3-68630-A-40	0.7468	0.0194
4-185575-A-20	0.8312	0.0631
1-17808-A-12	0.7551	0.2974
2-132157-B-11	0.1463	0.3871
2-96460-A-1	0.6240	0.0678
3-170377-A-38	0.8854	0.3096
5-195710-A-10	0.4401	0.1225
4-161127-A-10	0.8141	0.0094
2-77945-B-41	0.1765	0.0347
2-30322-A-12	0.8419	0.1664
4-125929-A-40	0.7697	0.6961
2-18766-B-12	0.8347	0.3248
4-169127-A-41	0.6705	0.2684
4-163264-A-10	0.1035	0.0589
1-59513-A-0	0.7904	0.0303
4-185575-C-20	0.8200	0.0991
3-142005-A-10	0.4355	0.0681
2-122104-A-0	0.7448	0.0401
4-164661-B-12	0.7958	0.2348
3-68630-C-40	0.7554	0.0426
2-102852-A-11	0.6119	0.0582
3-118972-B-41	0.6755	0.3117
5-201274-A-21	0.7241	0.1539
4-167063-B-11	0.5516	0.3187
3-157695-A-0	0.6717	0.3561
2-114280-A-0	0.8000	0.0673
5-200461-A-11	0.4851	0.1138
3-152007-E-20	0.6340	0.1013
1-172649-B-40	0.5363	0.0624
1-54505-A-21	0.7175	0.1149
5-170338-B-41	0.1978	0.0650
3-118657-B-41	0.1054	0.0201
2-188822-C-40	0.6731	0.1733
1-17367-A-10	0.2340	0.0291
4-167642-A-21	0.6763	0.6095
5-151085-A-20	0.2410	0.0741
5-194533-A-21	0.7226	0.0575
5-219379-B-11	0.1182	0.0613
5-212181-A-38	0.7436	0.5150
2-50665-A-20	0.5684	0.0303
2-37806-D-40	0.7568	0.0084
2-28314-A-12	0.8582	0.1883
5-205898-A-40	0.7621	0.0555
4-149294-B-41	0.2439	0.0266
3-158476-A-12	0.8087	0.5099
2-140147-A-38	0.8610	0.5064
5-198411-B-20	0.7169	0.0873
2-135728-A-38	0.8000	0.6367
2-72970-A-10	0.6970	0.0138
4-181865-A-38	0.6602	0.0196
5-171653-A-41	0.6787	0.2359
2-107351-B-20	0.5083	0.1042
2-128631-A-21	0.4501	0.0435
5-193473-A-12	0.3707	0.0711
