=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6237
Mean Deletion AUC: 0.1796
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.5800	0.0807
1-39901-A-11	0.5591	0.0950
1-28135-B-11	0.4137	0.0035
2-50668-A-41	0.6027	0.3352
5-177957-D-40	0.1457	0.0056
3-142605-A-21	0.7336	0.0963
4-175945-A-38	0.8075	0.2621
5-221593-A-21	0.7398	0.2022
2-73260-A-10	0.7489	0.0670
5-215658-A-12	0.7954	0.0471
2-88724-A-38	0.7942	0.3646
1-64398-B-41	0.7235	0.9163
4-161579-A-40	0.4818	0.0268
2-71162-A-1	0.7616	0.0212
4-195497-A-11	0.6481	0.2317
5-200334-B-1	0.8685	0.0168
2-95258-B-1	0.8321	0.1149
3-151081-B-20	0.6879	0.0206
2-188822-A-40	0.3357	0.0931
4-182613-B-11	0.5673	0.2418
3-170015-A-0	0.3405	0.0034
1-211527-B-20	0.7268	0.0693
3-68630-A-40	0.7196	0.0000
4-185575-A-20	0.7838	0.0437
1-17808-A-12	0.7311	0.2630
2-132157-B-11	0.1178	0.3313
2-96460-A-1	0.6480	0.0204
3-170377-A-38	0.8627	0.2774
5-195710-A-10	0.4021	0.0934
4-161127-A-10	0.7882	0.0000
2-77945-B-41	0.1543	0.0000
2-30322-A-12	0.8308	0.1360
4-125929-A-40	0.7313	0.6478
2-18766-B-12	0.7943	0.2650
4-169127-A-41	0.6491	0.2358
4-163264-A-10	0.0994	0.0208
1-59513-A-0	0.7555	0.0410
4-185575-C-20	0.8124	0.0703
3-142005-A-10	0.4018	0.0329
2-122104-A-0	0.7110	0.0256
4-164661-B-12	0.7736	0.2092
3-68630-C-40	0.7456	0.0289
2-102852-A-11	0.5827	0.0532
3-118972-B-41	0.6333	0.2673
5-201274-A-21	0.6773	0.1240
4-167063-B-11	0.5247	0.2760
3-157695-A-0	0.6725	0.3358
2-114280-A-0	0.7869	0.0000
5-200461-A-11	0.4704	0.0522
3-152007-E-20	0.6022	0.0439
1-172649-B-40	0.4932	0.0438
1-54505-A-21	0.7255	0.0595
5-170338-B-41	0.1891	0.0067
3-118657-B-41	0.0712	0.0000
2-188822-C-40	0.6263	0.1195
1-17367-A-10	0.2015	0.0037
4-167642-A-21	0.6578	0.5548
5-151085-A-20	0.2441	0.0132
5-194533-A-21	0.7327	0.0167
5-219379-B-11	0.1060	0.0094
5-212181-A-38	0.7043	0.5057
2-50665-A-20	0.5633	0.0410
2-37806-D-40	0.7122	0.0204
2-28314-A-12	0.8058	0.1419
5-205898-A-40	0.7618	0.0087
4-149294-B-41	0.2030	0.0000
3-158476-A-12	0.8036	0.4870
2-140147-A-38	0.8592	0.5046
5-198411-B-20	0.7270	0.0485
2-135728-A-38	0.7635	0.5937
2-72970-A-10	0.6989	0.0083
4-181865-A-38	0.6029	0.0002
5-171653-A-41	0.6568	0.2331
2-107351-B-20	0.4937	0.0931
