=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6558
Mean Deletion AUC: 0.2401
Number of audio files evaluated: 837

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
100648-1-0-0	0.6537	0.0000
100648-1-1-0	0.4653	0.1324
100648-1-2-0	0.6883	0.4774
100648-1-3-0	0.7946	0.5414
100648-1-4-0	0.7164	0.0000
100795-3-0-0	0.7283	0.6009
100795-3-1-0	0.6972	0.6009
100795-3-1-1	0.8174	0.6009
100795-3-1-2	0.7658	0.6010
101382-2-0-10	0.8267	0.5196
101382-2-0-12	0.7938	0.6009
101382-2-0-20	0.7464	0.2569
101382-2-0-21	0.8182	0.0681
101382-2-0-29	0.8012	0.0751
101382-2-0-33	0.7291	0.4173
101382-2-0-42	0.7334	0.2205
101382-2-0-45	0.7779	0.2347
102103-3-0-0	0.7405	0.6009
102103-3-1-0	0.5271	0.0310
102857-5-0-0	0.7914	0.1272
102857-5-0-1	0.6664	0.1924
102857-5-0-10	0.6836	0.1276
102857-5-0-11	0.7354	0.1577
102857-5-0-12	0.7639	0.2908
102857-5-0-13	0.6435	0.2795
102857-5-0-14	0.7337	0.2458
102857-5-0-15	0.7706	0.2036
102857-5-0-16	0.7697	0.1797
102857-5-0-17	0.6529	0.2225
102857-5-0-18	0.6885	0.2298
102857-5-0-19	0.6632	0.2333
102857-5-0-2	0.6718	0.1307
102857-5-0-20	0.7038	0.1472
102857-5-0-21	0.6415	0.0872
102857-5-0-22	0.7283	0.0977
102857-5-0-23	0.7016	0.1510
102857-5-0-24	0.6600	0.2775
102857-5-0-25	0.6915	0.0680
102857-5-0-26	0.6586	0.2049
102857-5-0-27	0.7001	0.2965
102857-5-0-28	0.6927	0.2807
102857-5-0-29	0.7776	0.1201
102857-5-0-3	0.7493	0.0783
102857-5-0-30	0.7417	0.2939
102857-5-0-4	0.7722	0.1491
102857-5-0-5	0.7512	0.1681
102857-5-0-6	0.7614	0.1817
102857-5-0-7	0.7429	0.1307
102857-5-0-8	0.6791	0.2062
102857-5-0-9	0.6978	0.1735
103438-5-0-0	0.3002	0.0000
103438-5-0-1	0.6632	0.0000
103438-5-0-2	0.7878	0.0000
106014-5-0-0	0.6906	0.0000
106014-5-0-1	0.7339	0.0070
106014-5-0-2	0.7397	0.0026
106014-5-0-3	0.8009	0.0000
106014-5-0-4	0.7172	0.0000
115241-9-0-1	0.8043	0.0225
115241-9-0-14	0.7670	0.0000
115241-9-0-2	0.6799	0.1561
115241-9-0-20	0.7251	0.0639
115241-9-0-6	0.7453	0.1102
115241-9-0-8	0.7214	0.0803
115241-9-0-9	0.6087	0.0028
115418-9-0-11	0.7126	0.0239
115418-9-0-12	0.7941	0.0121
115418-9-0-15	0.8240	0.1094
115418-9-0-20	0.7838	0.1646
115418-9-0-29	0.7890	0.1901
115418-9-0-6	0.7992	0.0382
11722-3-0-0	0.6874	0.6010
11722-3-1-0	0.6974	0.6009
117889-9-0-12	0.7650	0.0477
117889-9-0-20	0.7306	0.0248
117889-9-0-30	0.7695	0.0758
117889-9-0-36	0.6918	0.1849
117889-9-0-39	0.7600	0.4635
117889-9-0-40	0.7846	0.2570
118278-4-0-0	0.7884	0.0000
118278-4-0-1	0.7469	0.0000
118278-4-0-10	0.7894	0.0000
118278-4-0-11	0.7412	0.0000
118278-4-0-12	0.6942	0.0035
118278-4-0-13	0.7644	0.0000
118278-4-0-2	0.7982	0.0000
118278-4-0-3	0.6814	0.0000
118278-4-0-4	0.7546	0.0000
118278-4-0-5	0.8152	0.0000
118278-4-0-6	0.8218	0.0000
118278-4-0-7	0.8123	0.0000
118278-4-0-8	0.7347	0.0000
118278-4-0-9	0.7101	0.0000
118558-5-0-0	0.7677	0.0000
118558-5-0-1	0.8216	0.0000
118558-5-0-2	0.7738	0.0000
118558-5-1-0	0.6698	0.0000
118558-5-1-1	0.7518	0.0000
118558-5-1-2	0.6854	0.0000
118558-5-2-0	0.7019	0.0000
118558-5-2-1	0.8293	0.0000
118558-5-2-2	0.7230	0.0000
118558-5-2-3	0.7279	0.0000
119067-0-0-0	0.5304	0.1664
119067-0-0-1	0.5649	0.1088
119067-0-0-2	0.4981	0.1079
128240-3-0-1	0.8143	0.6009
128240-3-0-20	0.7659	0.6009
128240-3-0-39	0.7608	0.6009
128240-3-0-42	0.6873	0.6009
128470-3-0-0	0.6998	0.6009
128470-3-0-1	0.7916	0.3804
128470-3-0-5	0.7560	0.5722
128470-3-0-8	0.8042	0.6009
129750-2-0-3	0.6240	0.0000
129750-2-0-34	0.6483	0.0000
129750-2-0-36	0.7526	0.0466
129750-2-0-37	0.6698	0.2993
129750-2-0-4	0.6299	0.0000
129750-2-0-45	0.5685	0.0000
129750-2-0-46	0.4672	0.0743
129750-2-0-48	0.3611	0.0000
136558-9-0-1	0.7121	0.0000
136558-9-0-2	0.7192	0.0000
136558-9-1-10	0.8020	0.1512
136558-9-1-21	0.7802	0.0000
136558-9-1-26	0.7771	0.0000
136558-9-1-39	0.6896	0.0200
138017-9-0-2	0.6993	0.4182
138017-9-0-9	0.7063	0.1082
138017-9-1-10	0.7783	0.0000
138017-9-1-16	0.8203	0.0000
138017-9-1-4	0.6987	0.0204
138017-9-1-6	0.6890	0.2062
141240-5-0-0	0.7155	0.0564
141240-5-1-0	0.7428	0.1297
142641-3-0-0	0.8158	0.0341
14468-3-0-2	0.6740	0.1147
14468-3-0-3	0.5181	0.0000
14468-3-1-0	0.8118	0.1079
14468-3-5-0	0.7598	0.0000
14470-2-0-10	0.7429	0.2163
14470-2-0-14	0.7891	0.3269
14470-2-0-21	0.6714	0.0000
14470-2-0-4	0.7649	0.1828
14470-2-0-56	0.6446	0.1233
14470-2-0-65	0.7463	0.0637
14470-2-0-70	0.7193	0.1147
14470-2-0-72	0.7872	0.1042
146244-4-0-0	0.7843	0.6009
147491-9-0-0	0.6796	0.0136
147491-9-0-5	0.7314	0.1357
147491-9-2-10	0.7625	0.0000
147491-9-2-25	0.7468	0.1699
147491-9-2-32	0.7748	0.0000
147491-9-2-6	0.7952	0.2130
155241-9-0-50	0.7781	0.1832
155241-9-0-56	0.7428	0.2321
155241-9-0-69	0.7965	0.0887
155241-9-0-79	0.7957	0.1352
155241-9-0-8	0.8204	0.2197
155241-9-0-88	0.7342	0.2926
155262-2-0-101	0.7551	0.1515
155262-2-0-11	0.6166	0.2345
155262-2-0-15	0.3626	0.0736
155262-2-0-2	0.4630	0.2071
155262-2-0-21	0.7184	0.0853
155262-2-0-48	0.0132	0.2460
155262-2-0-58	0.6684	0.3218
155262-2-0-63	0.0686	0.0749
155280-2-0-10	0.6789	0.1687
155280-2-0-11	0.6859	0.2221
155280-2-0-13	0.7354	0.0325
155280-2-0-15	0.6070	0.1113
155280-2-0-3	0.7063	0.1220
155280-2-0-5	0.7837	0.2163
155280-2-0-6	0.7690	0.0000
155280-2-0-7	0.7213	0.0053
155311-3-0-0	0.7675	0.6009
15544-5-0-0	0.1432	0.0000
15544-5-0-1	0.0000	0.1131
15544-5-0-10	0.4617	0.0097
15544-5-0-11	0.2139	0.0224
15544-5-0-12	0.4468	0.1267
15544-5-0-13	0.3285	0.0954
15544-5-0-14	0.6094	0.0003
15544-5-0-15	0.1915	0.0567
15544-5-0-16	0.2181	0.0390
15544-5-0-17	0.2992	0.0000
15544-5-0-18	0.4627	0.0000
15544-5-0-19	0.0223	0.0094
15544-5-0-2	0.1998	0.1410
15544-5-0-3	0.3054	0.0545
15544-5-0-4	0.4439	0.0000
15544-5-0-5	0.2262	0.0000
15544-5-0-6	0.0000	0.0002
15544-5-0-7	0.3429	0.0062
15544-5-0-8	0.2314	0.0000
15544-5-0-9	0.4294	0.0000
157207-6-0-0	0.6932	0.6009
157207-6-1-0	0.6627	0.4868
157207-6-10-0	0.1260	0.6009
157207-6-2-0	0.0000	0.6010
157207-6-3-0	0.1802	0.6009
157207-6-4-0	0.0181	0.6009
157207-6-5-0	0.7849	0.6010
157207-6-6-0	0.0539	0.6009
157207-6-7-0	0.0974	0.6009
157207-6-8-0	0.4162	0.6009
157207-6-9-0	0.3413	0.6010
157800-6-0-0	0.2676	0.5778
159709-6-0-0	0.6748	0.6009
159742-8-0-0	0.7561	0.6009
159742-8-0-1	0.7654	0.0969
159742-8-0-10	0.6875	0.6010
159742-8-0-11	0.6815	0.6009
159742-8-0-12	0.7455	0.6009
159742-8-0-13	0.7211	0.6009
159742-8-0-14	0.8057	0.0227
159742-8-0-2	0.7844	0.6009
159742-8-0-3	0.6836	0.0181
159742-8-0-4	0.7420	0.6009
159742-8-0-5	0.7476	0.6009
159742-8-0-6	0.7167	0.1285
159742-8-0-7	0.8225	0.3490
