=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.8536
Mean Deletion AUC: 0.2635
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.8766	0.0075
2-50668-A-41	0.8840	0.1082
1-39901-A-11	0.7208	0.1305
1-28135-B-11	0.7553	0.4095
1-47273-A-21	0.9976	0.9482
3-142605-A-21	0.9977	0.0197
4-175945-A-38	0.8033	0.3044
5-221593-A-21	0.9837	0.0714
2-73260-A-10	0.5246	0.1806
5-215658-A-12	0.9647	0.0645
2-88724-A-38	0.8682	0.7888
4-161579-A-40	0.9184	0.0153
1-64398-B-41	0.9215	0.3611
2-71162-A-1	0.9974	0.0966
4-195497-A-11	0.6243	0.1189
5-200334-B-1	0.9962	0.0325
2-95258-B-1	0.9975	0.8733
3-151081-B-20	0.9806	0.1979
2-188822-A-40	0.6698	0.0837
4-182613-B-11	0.8022	0.0592
3-170015-A-0	0.9979	0.0024
1-211527-B-20	0.9865	0.1177
4-185575-A-20	0.9891	0.0934
3-68630-A-40	0.8173	0.0793
1-17808-A-12	0.9576	0.0155
2-132157-B-11	0.7843	0.1207
4-161127-A-10	0.5232	0.0249
5-195710-A-10	0.5090	0.2347
2-96460-A-1	0.9963	0.7916
3-170377-A-38	0.9784	0.7572
2-77945-B-41	0.8424	0.2599
2-30322-A-12	0.9807	0.0502
4-125929-A-40	0.7859	0.2250
4-169127-A-41	0.4274	0.0021
2-18766-B-12	0.8947	0.0948
4-163264-A-10	0.7008	0.0225
4-185575-C-20	0.9920	0.2360
1-59513-A-0	0.9935	0.5587
3-142005-A-10	0.3662	0.0569
2-122104-A-0	0.9924	0.6241
4-164661-B-12	0.7439	0.0019
3-68630-C-40	0.7428	0.2607
2-102852-A-11	0.5703	0.4121
3-118972-B-41	0.8730	0.3005
5-201274-A-21	0.9912	0.0091
4-167063-B-11	0.8226	0.0282
3-157695-A-0	0.9928	0.5873
2-114280-A-0	0.9975	0.8485
5-200461-A-11	0.3414	0.0667
3-152007-E-20	0.9819	0.1677
1-172649-B-40	0.7112	0.6972
1-54505-A-21	0.9950	0.2061
5-170338-B-41	0.8624	0.0731
2-188822-C-40	0.9228	0.0677
3-118657-B-41	0.8673	0.0553
1-17367-A-10	0.6480	0.2560
4-167642-A-21	0.9905	0.7584
5-151085-A-20	0.9617	0.1867
5-194533-A-21	0.9895	0.0413
5-219379-B-11	0.6614	0.2147
5-212181-A-38	0.8972	0.3305
2-37806-D-40	0.9220	0.4610
2-50665-A-20	0.9701	0.1130
2-28314-A-12	0.9838	0.0508
5-205898-A-40	0.9736	0.0049
4-149294-B-41	0.7161	0.3262
3-158476-A-12	0.8255	0.2723
2-140147-A-38	0.8988	0.8328
5-198411-B-20	0.9907	0.0147
2-135728-A-38	0.7640	0.3610
2-72970-A-10	0.5410	0.2693
4-181865-A-38	0.8772	0.2371
5-171653-A-41	0.9529	0.0107
2-107351-B-20	0.9752	0.1276
2-128631-A-21	0.9948	0.1532
5-193473-A-12	0.9320	0.1165
4-183992-A-0	0.9971	0.0409
4-164064-B-1	0.9902	0.0381
4-181286-A-10	0.4865	0.4198
1-22694-A-20	0.9861	0.1948
2-61311-A-12	0.9718	0.2185
3-134049-A-1	0.9744	0.9375
2-117271-A-0	0.9977	0.9037
3-166422-A-11	0.8117	0.2540
1-97392-A-0	0.9977	0.9387
3-155642-B-11	0.6454	0.2375
1-43382-A-1	0.9889	0.6660
3-148330-A-21	0.9809	0.8083
4-180380-A-10	0.4027	0.1857
3-164630-A-11	0.6156	0.4412
4-199261-A-0	0.9976	0.9306
2-95258-A-1	0.9905	0.0805
1-44831-A-1	0.9979	0.5763
3-180256-A-0	0.9975	0.7496
5-233160-A-1	0.9998	0.5115
5-200334-A-1	0.9990	0.0257
2-100786-A-1	0.9983	0.8413
5-213802-A-12	0.7721	0.0964
4-171207-A-12	0.8076	0.0149
4-164206-A-10	0.6399	0.0281
3-152007-A-20	0.9832	0.0994
1-172649-F-40	0.8024	0.3794
5-209698-A-38	0.8774	0.0366
2-119102-A-21	0.9953	0.1724
4-167077-B-20	0.9823	0.4324
4-184575-A-0	0.9979	0.3606
3-118658-A-41	0.9558	0.0663
4-157611-B-41	0.9996	0.3269
4-204618-A-11	0.6027	0.0372
5-231762-A-0	0.9948	0.7900
3-154957-A-1	0.9826	0.6859
3-157149-A-10	0.8211	0.0020
1-63871-A-10	0.3687	0.0863
4-175000-A-40	0.8791	0.1861
1-56311-A-10	0.6828	0.0508
4-170247-A-12	0.9272	0.0966
2-66637-B-20	0.9470	0.1780
5-208810-A-11	0.7674	0.1259
4-181563-A-12	0.5097	0.1253
3-170383-A-38	0.9914	0.8288
1-48413-A-38	0.9785	0.5980
4-171519-A-21	0.9973	0.0430
5-219342-A-38	0.9011	0.0248
1-91359-B-11	0.7295	0.3622
4-166661-A-10	0.7471	0.0141
3-65748-A-12	0.9607	0.0330
5-185579-A-41	0.5443	0.0904
1-46272-A-12	0.9606	0.0314
1-7057-A-12	0.9767	0.1597
1-19898-B-41	0.9279	0.0605
5-198411-F-20	0.7634	0.0922
3-150979-B-40	0.8307	0.0526
5-177957-B-40	0.9848	0.0199
1-17565-A-12	0.6845	0.2189
4-164021-A-1	0.9921	0.2915
3-154926-A-40	0.9811	0.0160
2-155801-A-11	0.6180	0.3618
5-220026-A-21	0.9944	0.2995
5-220027-A-21	0.9969	0.7430
1-47274-A-21	0.9996	0.9442
5-202898-A-10	0.2681	0.1484
4-59579-B-20	0.8725	0.0032
5-191131-A-40	0.6677	0.0923
3-150231-A-21	0.9987	0.1919
4-193480-B-40	0.7890	0.0118
4-175000-C-40	0.9506	0.0216
5-220955-A-40	0.9257	0.0107
3-150363-A-38	0.9835	0.8446
4-164064-C-1	0.9965	0.0951
1-26806-A-1	0.9730	0.9226
1-47250-A-41	0.8268	0.3702
5-202220-A-21	0.5972	0.0314
2-68391-A-41	0.7738	0.0355
2-122104-B-0	0.9977	0.9207
4-208021-A-1	0.9888	0.0992
2-37806-B-40	0.8466	0.2052
2-50667-B-41	0.9626	0.1541
5-198411-D-20	0.7475	0.0224
5-208030-A-0	0.9925	0.7598
4-165823-A-41	0.9308	0.3381
5-9032-A-0	0.7898	0.3729
2-95035-A-1	0.9971	0.1674
1-29680-A-21	0.9847	0.7809
5-222524-A-41	0.6309	0.2151
5-216370-B-41	0.7015	0.1320
5-213855-A-0	0.9960	0.6062
1-60997-B-20	0.9845	0.2850
4-164064-A-1	0.9974	0.6970
1-85362-A-0	0.9961	0.9546
4-179984-A-38	0.8265	0.2984
1-181071-B-40	0.8790	0.1530
5-188655-A-10	0.5227	0.4893
1-116765-A-41	0.9071	0.0578
3-116135-A-1	0.9647	0.9151
4-182395-A-0	0.7937	0.0018
5-187979-A-21	0.9973	0.0953
1-40730-A-1	0.9972	0.5230
2-131943-A-38	0.9450	0.5153
3-152007-C-20	0.9874	0.0819
3-164120-A-11	0.5295	0.1102
1-172649-D-40	0.7584	0.1388
1-62850-A-38	0.8762	0.8479
1-57163-A-38	0.9613	0.6421
4-160999-A-10	0.8061	0.0276
3-144827-A-11	0.6981	0.2467
1-27724-A-1	0.9964	0.2359
1-187207-A-20	0.9941	0.0230
1-39923-A-1	0.9939	0.9495
5-219379-A-11	0.7298	0.0955
3-132852-A-10	0.4399	0.0693
4-207124-A-0	0.9976	0.9162
1-30344-A-0	0.9962	0.8540
5-217158-A-0	0.9966	0.7747
1-211527-C-20	0.9670	0.1067
4-167063-A-11	0.7549	0.1948
3-118656-A-41	0.8779	0.0373
3-118657-A-41	0.9589	0.0441
2-127108-A-38	0.8474	0.2895
1-172649-A-40	0.6817	0.6101
5-170338-A-41	0.8166	0.3603
5-203128-B-0	0.9978	0.9471
1-26222-A-10	0.4469	0.3291
4-164661-A-12	0.9643	0.0196
5-200461-B-11	0.7500	0.1238
3-141684-A-21	0.9833	0.3583
2-73027-A-10	0.5251	0.0511
5-189212-A-12	0.9711	0.0367
2-81731-A-10	0.4761	0.3207
2-125966-A-11	0.6296	0.1960
4-188033-A-38	0.4420	0.4991
3-118972-A-41	0.9443	0.0586
3-142006-A-10	0.6501	0.0182
3-144028-A-0	0.9912	0.3819
1-42139-A-38	0.9348	0.0303
1-22694-B-20	0.9616	0.0823
2-137162-A-11	0.7132	0.0974
1-21934-A-38	0.9773	0.5884
1-21935-A-38	0.9585	0.6797
2-107351-A-20	0.9791	0.2584
1-34119-A-1	0.9977	0.6068
2-109505-A-21	0.9030	0.1429
2-118104-A-21	0.9911	0.9506
4-185415-A-21	0.9451	0.0623
5-193473-B-12	0.9617	0.1687
5-200339-A-1	0.9992	0.0453
2-133863-A-11	0.9355	0.0338
1-50060-A-10	0.6177	0.2135
4-177250-A-10	0.6150	0.0432
5-198411-A-20	0.9812	0.0147
2-28314-B-12	0.9608	0.1936
5-234879-A-1	0.9953	0.7626
5-177957-E-40	0.8539	0.0305
3-144692-A-21	0.9842	0.3440
2-50666-A-20	0.9977	0.0659
4-149294-A-41	0.8911	0.0888
1-62849-A-38	0.9011	0.1649
2-80482-A-20	0.9934	0.1469
3-157615-A-10	0.4994	0.0262
3-187710-A-11	0.4027	0.0261
3-151080-A-20	0.9444	0.2047
3-151081-A-20	0.9481	0.2247
2-118964-A-0	0.9945	0.3348
3-145382-A-1	0.9873	0.9239
2-134700-A-38	0.9572	0.3849
4-156843-A-21	0.9822	0.2460
1-64398-A-41	0.9412	0.0954
5-215658-B-12	0.9682	0.0084
4-198965-A-38	0.8904	0.8166
3-147965-A-12	0.6598	0.0779
4-184434-A-21	0.9963	0.0265
4-195497-B-11	0.6304	0.0156
1-31748-A-21	0.9805	0.1205
4-161579-B-40	0.8368	0.0803
2-65747-A-12	0.9632	0.0122
1-110389-A-0	0.7414	0.6358
2-50668-B-41	0.9130	0.0509
3-120644-A-12	0.9773	0.1158
4-185619-A-21	0.9964	0.1658
1-28135-A-11	0.7464	0.2230
1-39901-B-11	0.8391	0.1375
5-198411-C-20	0.5377	0.0219
1-4211-A-12	0.9511	0.0674
4-191687-A-0	0.9973	0.7937
3-104958-A-12	0.9256	0.2182
2-30322-B-12	0.9790	0.0421
2-77945-A-41	0.9481	0.0345
3-155312-A-0	0.9980	0.9690
3-143933-A-38	0.9739	0.8294
4-170078-A-1	0.7420	0.0211
1-26143-A-21	0.9967	0.2105
5-181766-A-10	0.3634	0.0469
4-169127-B-41	0.8797	0.1963
5-186924-A-12	0.0138	0.0037
2-18766-A-12	0.9676	0.3850
3-136288-A-0	0.9891	0.3855
4-157297-A-21	0.9855	0.0045
3-171012-A-38	0.9011	0.4491
5-212454-A-0	0.9976	0.0560
5-219379-C-11	0.7016	0.2553
2-124662-A-11	0.8969	0.0308
1-100032-A-0	0.9989	0.0112
3-68630-B-40	0.6840	0.1068
5-208624-A-38	0.9135	0.4820
2-132157-A-11	0.8222	0.0937
5-194892-A-10	0.5079	0.3267
1-17808-B-12	0.8486	0.0115
3-163288-A-1	0.9985	0.1118
4-185575-B-20	0.9916	0.2927
2-188822-B-40	0.7812	0.0206
