=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.8469
Mean Deletion AUC: 0.2597
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.9571	0.0061
2-50668-A-41	0.9114	0.0425
1-39901-A-11	0.5476	0.0898
1-28135-B-11	0.7313	0.4270
1-47273-A-21	0.9977	0.9507
3-142605-A-21	0.9977	0.0268
4-175945-A-38	0.8618	0.0049
5-221593-A-21	0.8942	0.8094
2-73260-A-10	0.5344	0.0607
5-215658-A-12	0.9496	0.2679
2-88724-A-38	0.8740	0.7750
4-161579-A-40	0.9452	0.0999
1-64398-B-41	0.9051	0.0568
2-71162-A-1	0.9964	0.0628
4-195497-A-11	0.6700	0.1176
5-200334-B-1	0.9951	0.1158
2-95258-B-1	0.9977	0.7623
3-151081-B-20	0.9599	0.4826
2-188822-A-40	0.6237	0.0607
4-182613-B-11	0.3996	0.2975
3-170015-A-0	0.9979	0.0023
1-211527-B-20	0.8516	0.3051
4-185575-A-20	0.9880	0.2289
3-68630-A-40	0.7977	0.0337
1-17808-A-12	0.9640	0.0204
2-132157-B-11	0.5897	0.1066
4-161127-A-10	0.5733	0.0283
5-195710-A-10	0.4877	0.0226
2-96460-A-1	0.9972	0.2889
3-170377-A-38	0.9819	0.8436
2-77945-B-41	0.8402	0.1474
2-30322-A-12	0.9822	0.0460
4-125929-A-40	0.7989	0.0258
4-169127-A-41	0.4678	0.0018
2-18766-B-12	0.6944	0.7191
4-163264-A-10	0.7417	0.0206
4-185575-C-20	0.9951	0.5110
1-59513-A-0	0.9975	0.4067
3-142005-A-10	0.4473	0.0385
2-122104-A-0	0.9975	0.4923
4-164661-B-12	0.6263	0.0034
3-68630-C-40	0.8623	0.0366
2-102852-A-11	0.6031	0.4247
3-118972-B-41	0.8435	0.3272
5-201274-A-21	0.9858	0.0667
4-167063-B-11	0.6169	0.1236
3-157695-A-0	0.9971	0.7904
2-114280-A-0	0.9975	0.8936
5-200461-A-11	0.4160	0.0774
3-152007-E-20	0.9864	0.3498
1-172649-B-40	0.7141	0.6463
1-54505-A-21	0.9974	0.2936
5-170338-B-41	0.8687	0.0509
2-188822-C-40	0.9059	0.0691
3-118657-B-41	0.9344	0.0558
1-17367-A-10	0.2547	0.2125
4-167642-A-21	0.9974	0.1007
5-151085-A-20	0.8426	0.2340
5-194533-A-21	0.9938	0.0382
5-219379-B-11	0.7145	0.1285
5-212181-A-38	0.9355	0.3552
2-37806-D-40	0.7916	0.1906
2-50665-A-20	0.8726	0.0219
2-28314-A-12	0.9834	0.0485
5-205898-A-40	0.9530	0.0034
4-149294-B-41	0.6277	0.3467
3-158476-A-12	0.9278	0.3879
2-140147-A-38	0.9206	0.8551
5-198411-B-20	0.9668	0.0097
2-135728-A-38	0.9385	0.3535
2-72970-A-10	0.4767	0.2039
4-181865-A-38	0.9413	0.3064
5-171653-A-41	0.9659	0.0231
2-107351-B-20	0.9434	0.0980
2-128631-A-21	0.9988	0.0824
5-193473-A-12	0.9760	0.0970
4-183992-A-0	0.9976	0.0282
4-164064-B-1	0.9975	0.6644
4-181286-A-10	0.4579	0.1639
1-22694-A-20	0.9885	0.2168
2-61311-A-12	0.8127	0.7006
3-134049-A-1	0.9979	0.4958
2-117271-A-0	0.9973	0.9597
3-166422-A-11	0.7901	0.0650
1-97392-A-0	0.9977	0.9255
3-155642-B-11	0.6836	0.2286
1-43382-A-1	0.9980	0.8782
3-148330-A-21	0.9986	0.0740
4-180380-A-10	0.4154	0.0927
3-164630-A-11	0.7076	0.4198
4-199261-A-0	0.9966	0.9368
2-95258-A-1	0.9977	0.0459
1-44831-A-1	0.9977	0.0194
3-180256-A-0	0.9974	0.4310
5-233160-A-1	0.9998	0.1221
5-200334-A-1	0.9990	0.2340
2-100786-A-1	0.9990	0.4168
5-213802-A-12	0.8931	0.0343
4-171207-A-12	0.8305	0.0102
4-164206-A-10	0.6110	0.0247
3-152007-A-20	0.9846	0.1723
1-172649-F-40	0.7330	0.5137
5-209698-A-38	0.8933	0.0284
2-119102-A-21	0.9978	0.1327
4-167077-B-20	0.9814	0.4652
4-184575-A-0	0.9978	0.4722
3-118658-A-41	0.9461	0.0146
4-157611-B-41	0.9995	0.1812
4-204618-A-11	0.5093	0.2674
5-231762-A-0	0.9970	0.9048
3-154957-A-1	0.9997	0.1429
3-157149-A-10	0.5920	0.0019
1-63871-A-10	0.3639	0.0743
4-175000-A-40	0.6340	0.3334
1-56311-A-10	0.7651	0.0566
4-170247-A-12	0.9613	0.1694
2-66637-B-20	0.9015	0.0955
5-208810-A-11	0.6921	0.1531
4-181563-A-12	0.7806	0.1499
3-170383-A-38	0.9886	0.8480
1-48413-A-38	0.9369	0.6119
4-171519-A-21	0.9918	0.1366
5-219342-A-38	0.9032	0.0850
1-91359-B-11	0.6376	0.4371
4-166661-A-10	0.7444	0.0168
3-65748-A-12	0.9659	0.0797
5-185579-A-41	0.8998	0.0283
1-46272-A-12	0.9339	0.0212
