=== AUDIO SALIENCY MAP EVALUATION ===
 
Mean Insertion AUC: 0.8651
Mean Deletion AUC: 0.2487
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.9455	0.0202
2-50668-A-41	0.9100	0.2057
1-39901-A-11	0.8262	0.1076
1-28135-B-11	0.7771	0.3214
1-47273-A-21	0.9977	0.5645
3-142605-A-21	0.9977	0.0301
4-175945-A-38	0.8087	0.0944
5-221593-A-21	0.9891	0.0495
2-73260-A-10	0.5701	0.1124
5-215658-A-12	0.9074	0.0779
2-88724-A-38	0.9933	0.6913
4-161579-A-40	0.9350	0.0640
1-64398-B-41	0.7524	0.5341
2-71162-A-1	0.9977	0.3787
4-195497-A-11	0.7919	0.1166
5-200334-B-1	0.9995	0.0652
2-95258-B-1	0.9977	0.5744
3-151081-B-20	0.9872	0.2159
2-188822-A-40	0.9162	0.0601
4-182613-B-11	0.7679	0.1071
3-170015-A-0	0.9979	0.0217
1-211527-B-20	0.9956	0.1068
4-185575-A-20	0.9967	0.1000
3-68630-A-40	0.9064	0.1943
1-17808-A-12	0.9438	0.0865
2-132157-B-11	0.8259	0.2165
4-161127-A-10	0.3711	0.0963
5-195710-A-10	0.3378	0.1398
2-96460-A-1	0.9974	0.3803
3-170377-A-38	0.9920	0.2715
2-77945-B-41	0.8230	0.2749
2-30322-A-12	0.9465	0.0886
4-125929-A-40	0.8674	0.0942
4-169127-A-41	0.5094	0.0020
2-18766-B-12	0.9243	0.1710
4-163264-A-10	0.2932	0.1478
4-185575-C-20	0.9967	0.1115
1-59513-A-0	0.9977	0.3741
3-142005-A-10	0.2532	0.1034
2-122104-A-0	0.9976	0.5951
4-164661-B-12	0.5677	0.0048
3-68630-C-40	0.8563	0.0479
2-102852-A-11	0.3337	0.2575
3-118972-B-41	0.8060	0.0850
5-201274-A-21	0.9890	0.0280
4-167063-B-11	0.8719	0.0652
3-157695-A-0	0.9959	0.6496
2-114280-A-0	0.9977	0.6188
5-200461-A-11	0.5947	0.0680
3-152007-E-20	0.9973	0.2072
1-172649-B-40	0.6093	0.4088
1-54505-A-21	0.9948	0.6016
5-170338-B-41	0.8911	0.2239
2-188822-C-40	0.8663	0.0667
3-118657-B-41	0.9591	0.1378
1-17367-A-10	0.3429	0.1113
4-167642-A-21	0.9976	0.1396
5-151085-A-20	0.9808	0.3138
5-194533-A-21	0.9961	0.0406
5-219379-B-11	0.7602	0.1990
5-212181-A-38	0.9155	0.1845
2-37806-D-40	0.8234	0.0758
2-50665-A-20	0.9966	0.1840
2-28314-A-12	0.9407	0.1084
5-205898-A-40	0.9285	0.0100
4-149294-B-41	0.9000	0.1522
3-158476-A-12	0.9727	0.4254
2-140147-A-38	0.9862	0.8651
5-198411-B-20	0.9972	0.0093
2-135728-A-38	0.9524	0.3354
2-72970-A-10	0.4168	0.1281
4-181865-A-38	0.9913	0.1777
5-171653-A-41	0.9845	0.0256
2-107351-B-20	0.9950	0.2402
2-128631-A-21	0.9988	0.1139
5-193473-A-12	0.9410	0.1610
4-183992-A-0	0.9977	0.0690
4-164064-B-1	0.9929	0.1025
4-181286-A-10	0.3552	0.3188
1-22694-A-20	0.9976	0.1485
2-61311-A-12	0.9834	0.2041
3-134049-A-1	0.9979	0.8165
2-117271-A-0	0.9967	0.8754
3-166422-A-11	0.6646	0.0684
1-97392-A-0	0.9977	0.9731
3-155642-B-11	0.7256	0.1537
1-43382-A-1	0.9972	0.2122
3-148330-A-21	0.9986	0.1294
4-180380-A-10	0.2811	0.2029
3-164630-A-11	0.5250	0.2783
4-199261-A-0	0.9967	0.9569
2-95258-A-1	0.9977	0.1409
1-44831-A-1	0.9978	0.1383
3-180256-A-0	0.9976	0.2469
5-233160-A-1	0.9998	0.0817
5-200334-A-1	0.9986	0.2301
2-100786-A-1	0.9989	0.6669
5-213802-A-12	0.9661	0.0677
4-171207-A-12	0.7668	0.0427
4-164206-A-10	0.2508	0.1426
3-152007-A-20	0.9964	0.2776
1-172649-F-40	0.6110	0.1138
5-209698-A-38	0.9324	0.0720
2-119102-A-21	0.9978	0.2376
4-167077-B-20	0.9975	0.4339
4-184575-A-0	0.9980	0.6420
3-118658-A-41	0.9835	0.0436
4-157611-B-41	0.9798	0.0858
4-204618-A-11	0.6379	0.0577
5-231762-A-0	0.9935	0.6177
3-154957-A-1	0.9991	0.2473
3-157149-A-10	0.8626	0.0025
1-63871-A-10	0.2722	0.1414
4-175000-A-40	0.5814	0.1035
1-56311-A-10	0.3160	0.1663
4-170247-A-12	0.8828	0.1023
2-66637-B-20	0.9899	0.1025
5-208810-A-11	0.8939	0.1018
4-181563-A-12	0.9403	0.1529
3-170383-A-38	0.9888	0.7477
1-48413-A-38	0.9886	0.8535
4-171519-A-21	0.9969	0.0660
5-219342-A-38	0.9635	0.0212
1-91359-B-11	0.4080	0.2862
4-166661-A-10	0.5686	0.0249
3-65748-A-12	0.9361	0.1304
5-185579-A-41	0.9547	0.1649
1-46272-A-12	0.9602	0.0705
1-7057-A-12	0.9269	0.3971
1-19898-B-41	0.9791	0.0564
5-198411-F-20	0.9705	0.0088
3-150979-B-40	0.8585	0.0593
5-177957-B-40	0.9372	0.0304
1-17565-A-12	0.7008	0.3232
4-164021-A-1	0.9888	0.2180
3-154926-A-40	0.9811	0.1145
