=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.8543
Mean Deletion AUC: 0.2401
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.9455	0.0203
2-50668-A-41	0.9097	0.2061
1-39901-A-11	0.8267	0.1072
1-28135-B-11	0.7775	0.3215
1-47273-A-21	0.9977	0.5646
3-142605-A-21	0.9977	0.0306
4-175945-A-38	0.8089	0.0943
5-221593-A-21	0.9891	0.0496
2-73260-A-10	0.5705	0.1129
5-215658-A-12	0.9074	0.0778
2-88724-A-38	0.9933	0.6913
4-161579-A-40	0.9355	0.0643
1-64398-B-41	0.7529	0.5344
2-71162-A-1	0.9977	0.3796
4-195497-A-11	0.7922	0.1169
5-200334-B-1	0.9995	0.0651
2-95258-B-1	0.9977	0.5738
3-151081-B-20	0.9870	0.2162
2-188822-A-40	0.9163	0.0600
4-182613-B-11	0.7672	0.1058
3-170015-A-0	0.9979	0.0217
1-211527-B-20	0.9955	0.1071
4-185575-A-20	0.9967	0.1003
3-68630-A-40	0.9063	0.1941
1-17808-A-12	0.9437	0.0869
2-132157-B-11	0.8269	0.2167
4-161127-A-10	0.3712	0.0963
5-195710-A-10	0.3375	0.1394
2-96460-A-1	0.9974	0.3796
3-170377-A-38	0.9920	0.2727
2-77945-B-41	0.8227	0.2750
2-30322-A-12	0.9465	0.0886
4-125929-A-40	0.8672	0.0943
4-169127-A-41	0.5093	0.0020
2-18766-B-12	0.9244	0.1718
4-163264-A-10	0.2935	0.1475
4-185575-C-20	0.9967	0.1109
1-59513-A-0	0.9977	0.3743
3-142005-A-10	0.2532	0.1034
2-122104-A-0	0.9976	0.5953
4-164661-B-12	0.5686	0.0048
3-68630-C-40	0.8563	0.0476
2-102852-A-11	0.3350	0.2569
3-118972-B-41	0.8070	0.0849
5-201274-A-21	0.9890	0.0279
4-167063-B-11	0.8720	0.0654
3-157695-A-0	0.9959	0.6490
2-114280-A-0	0.9977	0.6185
5-200461-A-11	0.5947	0.0678
3-152007-E-20	0.9973	0.2072
1-172649-B-40	0.6086	0.4090
1-54505-A-21	0.9948	0.6011
5-170338-B-41	0.8917	0.2241
2-188822-C-40	0.8663	0.0666
3-118657-B-41	0.9591	0.1378
1-17367-A-10	0.3428	0.1113
4-167642-A-21	0.9976	0.1396
5-151085-A-20	0.9807	0.3138
5-194533-A-21	0.9961	0.0402
5-219379-B-11	0.7595	0.1995
5-212181-A-38	0.9164	0.1846
2-37806-D-40	0.8232	0.0760
2-50665-A-20	0.9966	0.1837
2-28314-A-12	0.9407	0.1083
5-205898-A-40	0.9282	0.0100
4-149294-B-41	0.9000	0.1518
3-158476-A-12	0.9725	0.4257
2-140147-A-38	0.9862	0.8649
5-198411-B-20	0.9972	0.0093
2-135728-A-38	0.9524	0.3352
2-72970-A-10	0.4170	0.1285
4-181865-A-38	0.9915	0.1773
5-171653-A-41	0.9845	0.0257
