=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.8651
Mean Deletion AUC: 0.2487
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.9426	0.0134
2-50668-A-41	0.9632	0.3186
1-39901-A-11	0.7366	0.0803
1-28135-B-11	0.4439	0.1400
1-47273-A-21	0.9977	0.8633
3-142605-A-21	0.9977	0.1512
4-175945-A-38	0.8193	0.4571
5-221593-A-21	0.9923	0.0287
2-73260-A-10	0.5693	0.1192
5-215658-A-12	0.9459	0.1127
2-88724-A-38	0.9862	0.7766
4-161579-A-40	0.9278	0.0512
1-64398-B-41	0.9211	0.4625
2-71162-A-1	0.9976	0.5417
4-195497-A-11	0.6927	0.0534
5-200334-B-1	0.9996	0.1300
2-95258-B-1	0.9977	0.8347
3-151081-B-20	0.9966	0.3150
2-188822-A-40	0.7889	0.0966
4-182613-B-11	0.5312	0.0577
3-170015-A-0	0.9979	0.0115
1-211527-B-20	0.9482	0.1425
4-185575-A-20	0.9948	0.1403
3-68630-A-40	0.9176	0.0478
1-17808-A-12	0.9048	0.1548
2-132157-B-11	0.7154	0.0715
4-161127-A-10	0.6332	0.0398
5-195710-A-10	0.3916	0.1687
2-96460-A-1	0.9975	0.3829
3-170377-A-38	0.9912	0.4642
2-77945-B-41	0.9674	0.3837
2-30322-A-12	0.9610	0.0957
4-125929-A-40	0.7482	0.0470
4-169127-A-41	0.4277	0.0029
2-18766-B-12	0.9026	0.0536
4-163264-A-10	0.7151	0.0868
4-185575-C-20	0.9974	0.1112
1-59513-A-0	0.9977	0.3877
3-142005-A-10	0.4918	0.0435
2-122104-A-0	0.9976	0.3556
4-164661-B-12	0.8450	0.0019
3-68630-C-40	0.8158	0.0283
2-102852-A-11	0.4421	0.3065
3-118972-B-41	0.7823	0.1264
5-201274-A-21	0.9891	0.0128
4-167063-B-11	0.7833	0.1496
3-157695-A-0	0.9970	0.3801
2-114280-A-0	0.9977	0.6554
5-200461-A-11	0.5171	0.0534
3-152007-E-20	0.9927	0.1511
1-172649-B-40	0.5254	0.4909
1-54505-A-21	0.9976	0.4885
5-170338-B-41	0.9413	0.2435
2-188822-C-40	0.8212	0.1040
3-118657-B-41	0.9554	0.1060
1-17367-A-10	0.4979	0.1536
4-167642-A-21	0.9976	0.1389
5-151085-A-20	0.9685	0.3587
5-194533-A-21	0.9959	0.0180
5-219379-B-11	0.5943	0.0819
5-212181-A-38	0.9398	0.3274
2-37806-D-40	0.9001	0.0279
2-50665-A-20	0.9841	0.1308
2-28314-A-12	0.9211	0.1000
5-205898-A-40	0.9643	0.0030
4-149294-B-41	0.9389	0.3806
3-158476-A-12	0.9577	0.2788
2-140147-A-38	0.9736	0.8817
5-198411-B-20	0.9964	0.0064
2-135728-A-38	0.9612	0.3845
2-72970-A-10	0.4951	0.1142
4-181865-A-38	0.9965	0.2470
5-171653-A-41	0.9685	0.0110
2-107351-B-20	0.9770	0.1712
2-128631-A-21	0.9988	0.0911
5-193473-A-12	0.9655	0.1087
4-183992-A-0	0.9977	0.0648
4-164064-B-1	0.9895	0.1840
4-181286-A-10	0.5703	0.4139
1-22694-A-20	0.9976	0.2073
2-61311-A-12	0.9806	0.2097
3-134049-A-1	0.9978	0.7336
2-117271-A-0	0.9974	0.9200
3-166422-A-11	0.7182	0.0597
1-97392-A-0	0.9977	0.9505
