=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.8858
Mean Deletion AUC: 0.2462
Number of audio files evaluated: 400

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.9605	0.0144
2-50668-A-41	0.9778	0.2330
1-39901-A-11	0.6753	0.0555
1-28135-B-11	0.6659	0.1111
1-47273-A-21	0.9977	0.8768
3-142605-A-21	0.9977	0.0164
4-175945-A-38	0.8876	0.0072
5-221593-A-21	0.9931	0.0473
2-73260-A-10	0.7378	0.0332
5-215658-A-12	0.9244	0.0606
2-88724-A-38	0.9927	0.8164
4-161579-A-40	0.9630	0.0344
1-64398-B-41	0.9636	0.1850
2-71162-A-1	0.9976	0.2422
4-195497-A-11	0.7665	0.0397
5-200334-B-1	0.9951	0.1661
2-95258-B-1	0.9977	0.4467
3-151081-B-20	0.9729	0.4203
2-188822-A-40	0.8819	0.0711
4-182613-B-11	0.4760	0.0729
3-170015-A-0	0.9979	0.0075
1-211527-B-20	0.7655	0.3283
4-185575-A-20	0.9929	0.0772
3-68630-A-40	0.9304	0.0351
1-17808-A-12	0.9753	0.1030
2-132157-B-11	0.7499	0.0398
4-161127-A-10	0.8088	0.0682
5-195710-A-10	0.4858	0.0202
2-96460-A-1	0.9974	0.1705
3-170377-A-38	0.9914	0.3535
2-77945-B-41	0.9562	0.0443
2-30322-A-12	0.9370	0.1057
4-125929-A-40	0.7358	0.0253
4-169127-A-41	0.5331	0.0020
2-18766-B-12	0.8915	0.4947
4-163264-A-10	0.6571	0.0753
4-185575-C-20	0.9972	0.1801
1-59513-A-0	0.9977	0.6086
3-142005-A-10	0.7359	0.0459
2-122104-A-0	0.9977	0.5254
4-164661-B-12	0.6702	0.0035
3-68630-C-40	0.9086	0.0153
2-102852-A-11	0.5273	0.2285
3-118972-B-41	0.3139	0.2595
5-201274-A-21	0.9861	0.0736
4-167063-B-11	0.7548	0.1331
3-157695-A-0	0.9976	0.4760
2-114280-A-0	0.9977	0.8081
5-200461-A-11	0.7904	0.0293
3-152007-E-20	0.9964	0.1697
1-172649-B-40	0.6012	0.4533
1-54505-A-21	0.9976	0.7471
5-170338-B-41	0.9583	0.1501
2-188822-C-40	0.9198	0.0398
3-118657-B-41	0.9707	0.2522
1-17367-A-10	0.1936	0.2983
4-167642-A-21	0.9975	0.1203
5-151085-A-20	0.8328	0.2860
5-194533-A-21	0.9918	0.2645
5-219379-B-11	0.8504	0.0473
5-212181-A-38	0.8937	0.1685
2-37806-D-40	0.9259	0.0442
2-50665-A-20	0.9678	0.1019
2-28314-A-12	0.9159	0.1048
5-205898-A-40	0.9906	0.0029
4-149294-B-41	0.8952	0.5422
3-158476-A-12	0.9835	0.1916
2-140147-A-38	0.9894	0.8109
5-198411-B-20	0.9964	0.0032
2-135728-A-38	0.9434	0.3932
2-72970-A-10	0.6290	0.1057
4-181865-A-38	0.9969	0.2706
5-171653-A-41	0.9859	0.0101
2-107351-B-20	0.9739	0.1504
2-128631-A-21	0.9988	0.0901
5-193473-A-12	0.9885	0.0711
4-183992-A-0	0.9977	0.1700
4-164064-B-1	0.9974	0.5806
4-181286-A-10	0.6298	0.1351
1-22694-A-20	0.9933	0.3353
2-61311-A-12	0.9101	0.5650
3-134049-A-1	0.9980	0.7902
2-117271-A-0	0.9977	0.8792
3-166422-A-11	0.7924	0.0894
1-97392-A-0	0.9977	0.9764
3-155642-B-11	0.6918	0.0978
1-43382-A-1	0.9980	0.6329
3-148330-A-21	0.9986	0.0854
4-180380-A-10	0.6598	0.0736
3-164630-A-11	0.6854	0.3631
4-199261-A-0	0.9928	0.9704
2-95258-A-1	0.9977	0.1252
1-44831-A-1	0.9979	0.0453
3-180256-A-0	0.9976	0.1355
5-233160-A-1	0.9998	0.1223
5-200334-A-1	0.9990	0.2662
2-100786-A-1	0.9990	0.3850
5-213802-A-12	0.9769	0.0257
4-171207-A-12	0.9074	0.0239
4-164206-A-10	0.7789	0.0490
3-152007-A-20	0.9964	0.3445
1-172649-F-40	0.9045	0.1288
5-209698-A-38	0.9430	0.0361
2-119102-A-21	0.9978	0.1162
4-167077-B-20	0.9947	0.4809
4-184575-A-0	0.9981	0.3556
3-118658-A-41	0.9861	0.0230
4-157611-B-41	0.9995	0.1492
4-204618-A-11	0.6892	0.0502
5-231762-A-0	0.9964	0.8948
3-154957-A-1	0.9944	0.2239
3-157149-A-10	0.8339	0.0025
1-63871-A-10	0.5531	0.0369
4-175000-A-40	0.5047	0.0461
1-56311-A-10	0.9228	0.0684
4-170247-A-12	0.9945	0.0998
2-66637-B-20	0.7339	0.2018
5-208810-A-11	0.7766	0.1369
4-181563-A-12	0.9808	0.0286
3-170383-A-38	0.9958	0.8010
1-48413-A-38	0.9901	0.8806
4-171519-A-21	0.9450	0.2101
5-219342-A-38	0.9362	0.0078
1-91359-B-11	0.5803	0.1412
4-166661-A-10	0.5787	0.0208
3-65748-A-12	0.9440	0.0756
5-185579-A-41	0.9480	0.0197
1-46272-A-12	0.9940	0.0890
1-7057-A-12	0.8916	0.1390
1-19898-B-41	0.9736	0.0382
5-198411-F-20	0.8977	0.0037
3-150979-B-40	0.9102	0.0346
5-177957-B-40	0.9895	0.0067
1-17565-A-12	0.5237	0.2854
4-164021-A-1	0.9971	0.5346
3-154926-A-40	0.9328	0.1318
2-155801-A-11	0.8592	0.0582
5-220026-A-21	0.6901	0.0972
5-220027-A-21	0.9976	0.9078
1-47274-A-21	0.9997	0.2719
5-202898-A-10	0.2084	0.2203
4-59579-B-20	0.6332	0.0341
5-191131-A-40	0.7274	0.0388
3-150231-A-21	0.9993	0.0933
4-193480-B-40	0.8987	0.0059
4-175000-C-40	0.9561	0.0250
5-220955-A-40	0.9802	0.0100
3-150363-A-38	0.9891	0.8544
4-164064-C-1	0.9987	0.2703
1-26806-A-1	0.9931	0.8835
1-47250-A-41	0.6838	0.3527
5-202220-A-21	0.6958	0.0448
2-68391-A-41	0.8659	0.0918
2-122104-B-0	0.9977	0.9424
4-208021-A-1	0.9928	0.3510
2-37806-B-40	0.9317	0.0188
2-50667-B-41	0.9780	0.1283
5-198411-D-20	0.9272	0.0020
5-208030-A-0	0.9964	0.6750
4-165823-A-41	0.9768	0.0705
5-9032-A-0	0.8234	0.6369
2-95035-A-1	0.9978	0.2687
1-29680-A-21	0.9977	0.3133
5-222524-A-41	0.9052	0.0053
5-216370-B-41	0.9619	0.1705
5-213855-A-0	0.9974	0.3416
1-60997-B-20	0.9888	0.4608
4-164064-A-1	0.9976	0.4114
1-85362-A-0	0.9977	0.9794
4-179984-A-38	0.9893	0.4562
1-181071-B-40	0.9297	0.0538
5-188655-A-10	0.4339	0.2933
1-116765-A-41	0.9415	0.1298
3-116135-A-1	0.9977	0.5922
4-182395-A-0	0.8397	0.0080
5-187979-A-21	0.9971	0.0644
1-40730-A-1	0.9941	0.1986
2-131943-A-38	0.9834	0.8562
3-152007-C-20	0.9895	0.2164
3-164120-A-11	0.6866	0.0182
1-172649-D-40	0.7506	0.1200
1-62850-A-38	0.9791	0.7957
1-57163-A-38	0.9888	0.7176
4-160999-A-10	0.1297	0.5991
3-144827-A-11	0.8626	0.0103
1-27724-A-1	0.9972	0.0526
1-187207-A-20	0.9976	0.0447
1-39923-A-1	0.9999	0.7028
5-219379-A-11	0.6957	0.0830
3-132852-A-10	0.6147	0.0422
4-207124-A-0	0.9976	0.9764
1-30344-A-0	0.9976	0.8496
5-217158-A-0	0.9976	0.7114
1-211527-C-20	0.9888	0.2567
4-167063-A-11	0.6742	0.1186
3-118656-A-41	0.9643	0.1745
3-118657-A-41	0.9611	0.0263
2-127108-A-38	0.9895	0.5646
1-172649-A-40	0.6010	0.3886
5-170338-A-41	0.9573	0.2001
5-203128-B-0	0.9978	0.6030
1-26222-A-10	0.5225	0.1878
4-164661-A-12	0.9763	0.0075
5-200461-B-11	0.8137	0.0479
3-141684-A-21	0.9977	0.8566
2-73027-A-10	0.7847	0.0547
5-189212-A-12	0.9630	0.0716
2-81731-A-10	0.7582	0.0932
2-125966-A-11	0.6827	0.1045
4-188033-A-38	0.8777	0.8216
3-118972-A-41	0.8321	0.0894
3-142006-A-10	0.7976	0.0512
3-144028-A-0	0.9974	0.3599
1-42139-A-38	0.9850	0.2350
1-22694-B-20	0.8947	0.0874
2-137162-A-11	0.5153	0.0757
1-21934-A-38	0.9969	0.6464
1-21935-A-38	0.9973	0.7413
2-107351-A-20	0.9887	0.3440
1-34119-A-1	0.9978	0.1064
2-109505-A-21	0.9977	0.3557
2-118104-A-21	0.9977	0.7087
4-185415-A-21	0.9833	0.0446
5-193473-B-12	0.9455	0.1117
5-200339-A-1	0.9993	0.3211
2-133863-A-11	0.9413	0.0517
1-50060-A-10	0.8447	0.0711
4-177250-A-10	0.7103	0.1109
5-198411-A-20	0.9903	0.0147
2-28314-B-12	0.9781	0.2902
5-234879-A-1	0.9984	0.6803
5-177957-E-40	0.9697	0.0454
3-144692-A-21	0.9976	0.5186
2-50666-A-20	0.9977	0.1621
4-149294-A-41	0.9303	0.1026
1-62849-A-38	0.9258	0.8386
2-80482-A-20	0.9905	0.3435
3-157615-A-10	0.7643	0.0376
3-187710-A-11	0.7262	0.1204
3-151080-A-20	0.9066	0.2333
3-151081-A-20	0.9784	0.2510
2-118964-A-0	0.9976	0.0536
3-145382-A-1	0.9928	0.2717
2-134700-A-38	0.9941	0.5022
4-156843-A-21	0.9738	0.0236
1-64398-A-41	0.9548	0.0831
5-215658-B-12	0.9525	0.0094
4-198965-A-38	0.9967	0.9254
3-147965-A-12	0.9363	0.0052
4-184434-A-21	0.9977	0.0780
4-195497-B-11	0.7385	0.0324
1-31748-A-21	0.9965	0.0341
4-161579-B-40	0.7560	0.2966
2-65747-A-12	0.9844	0.0119
1-110389-A-0	0.9977	0.1394
2-50668-B-41	0.9670	0.0982
3-120644-A-12	0.9882	0.1333
4-185619-A-21	0.9945	0.2936
1-28135-A-11	0.7029	0.0595
1-39901-B-11	0.8444	0.1197
5-198411-C-20	0.8034	0.0125
1-4211-A-12	0.9608	0.1192
4-191687-A-0	0.9978	0.6446
3-104958-A-12	0.7610	0.3530
2-30322-B-12	0.9677	0.2419
2-77945-A-41	0.9875	0.0634
3-155312-A-0	0.9980	0.9824
3-143933-A-38	0.9973	0.6846
4-170078-A-1	0.9966	0.1609
1-26143-A-21	0.9975	0.1398
5-181766-A-10	0.8420	0.0512
4-169127-B-41	0.9703	0.0822
5-186924-A-12	0.7104	0.0064
2-18766-A-12	0.6223	0.8417
3-136288-A-0	0.9907	0.3449
4-157297-A-21	0.9949	0.0097
3-171012-A-38	0.9307	0.6312
5-212454-A-0	0.9977	0.2911
5-219379-C-11	0.8489	0.0438
2-124662-A-11	0.9284	0.0327
1-100032-A-0	0.9990	0.0082
3-68630-B-40	0.8905	0.0394
5-208624-A-38	0.9551	0.5214
2-132157-A-11	0.7703	0.1318
5-194892-A-10	0.3316	0.0660
1-17808-B-12	0.8972	0.2741
3-163288-A-1	0.9999	0.3306
4-185575-B-20	0.9973	0.1196
2-188822-B-40	0.9538	0.0721
4-182613-A-11	0.5863	0.0661
1-43760-A-11	0.7514	0.0653
3-152007-D-20	0.9937	0.3533
1-29561-A-10	0.5455	0.1006
1-172649-C-40	0.9521	0.1853
5-194930-A-1	0.9903	0.3175
1-211527-A-20	0.9827	0.1010
4-167063-C-11	0.7710	0.0861
1-19898-C-41	0.9876	0.0901
2-118072-A-0	0.9977	0.0791
5-203128-A-0	0.9977	0.8395
5-198411-G-20	0.9943	0.0051
3-157187-A-12	0.9833	0.1238
4-165823-B-41	0.9847	0.1380
2-50667-A-41	0.9872	0.1498
3-142593-A-38	0.9814	0.7366
1-47250-B-41	0.8647	0.3591
4-192236-A-0	0.9977	0.2723
4-156844-A-21	0.6852	0.1086
2-37806-A-40	0.8276	0.0232
3-150979-C-40	0.7429	0.0089
5-177957-C-40	0.9101	0.0078
2-68391-B-41	0.8951	0.3936
5-213077-A-11	0.9446	0.0095
2-117625-A-10	0.5257	0.0627
4-194711-A-38	0.8541	0.0397
4-59579-A-20	0.3748	0.0334
4-193480-A-40	0.8833	0.0289
