=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.9093
Mean Deletion AUC: 0.2390
Number of audio files evaluated: 2000

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.8986	0.1143
3-246513-B-16	0.9604	0.0788
1-96950-B-9	0.9997	0.0584
2-105270-A-47	0.9225	0.0303
4-90014-B-42	0.9856	0.0395
1-47273-A-21	0.9977	0.5645
1-39901-A-11	0.8262	0.1076
1-19840-A-36	0.5385	0.2166
1-28135-B-11	0.7771	0.3214
2-134915-A-30	0.9960	0.4109
2-60180-A-49	0.9746	0.2234
5-180156-B-43	0.9339	0.1398
5-233019-A-31	0.8563	0.1310
5-223317-A-31	0.8697	0.5484
4-161105-B-47	0.7788	0.1529
3-160993-A-3	0.9972	0.4545
3-135650-B-45	0.9516	0.0659
2-66205-A-23	0.9823	0.9238
1-47819-A-5	0.9923	0.2274
1-54747-A-46	0.9435	0.0367
2-152964-A-31	0.9657	0.1070
3-139958-A-37	0.9659	0.6287
1-101336-A-30	0.9966	0.3569
1-11687-A-47	0.7704	0.0906
3-156581-B-14	0.9988	0.4867
1-12653-A-15	0.9048	0.4981
4-204777-A-39	0.9232	0.4864
5-160614-B-48	0.9208	0.0832
4-234644-A-2	0.9913	0.0492
4-201988-A-44	0.8184	0.0664
2-103424-A-3	0.9976	0.0127
1-28005-A-18	0.9886	0.2552
2-82455-A-23	0.9789	0.2755
5-234855-A-25	0.6702	0.2796
2-50668-A-41	0.9100	0.2057
3-163607-A-13	0.8325	0.1808
5-233312-A-28	0.9938	0.6720
1-115545-A-48	0.9521	0.2542
3-144510-A-30	0.9965	0.2866
4-102844-C-49	0.9842	0.2937
5-192191-A-19	0.9976	0.1024
4-198962-A-25	0.9586	0.0787
5-177957-D-40	0.9455	0.0202
5-259180-A-15	0.8852	0.0416
2-102581-B-29	0.9971	0.1964
1-21896-A-35	0.6264	0.1377
5-260164-A-23	0.7857	0.0080
2-52001-A-28	0.9888	0.3083
2-42101-A-43	0.9504	0.1139
3-251617-A-48	0.9947	0.2908
3-142605-A-21	0.9977	0.0301
2-95567-A-23	0.9976	0.2934
2-32515-A-4	0.9975	0.0947
3-155584-A-14	0.9974	0.3500
5-214759-B-5	0.9443	0.0231
1-22804-A-46	0.9476	0.0826
4-175945-A-38	0.8087	0.0944
3-96606-A-49	0.9873	0.5648
5-221593-A-21	0.9891	0.0495
3-110913-D-7	0.9898	0.2621
4-161303-B-5	0.7479	0.0090
2-73260-A-10	0.5701	0.1124
2-104105-B-19	0.9973	0.2617
5-249748-A-28	0.8293	0.0175
2-117615-E-48	0.9890	0.0897
4-108352-A-33	0.7866	0.0050
1-46353-A-49	0.9829	0.2523
2-139749-A-15	0.9966	0.2289
5-215658-A-12	0.9074	0.0779
2-128465-A-43	0.9957	0.2965
5-179860-A-43	0.5852	0.0021
1-58846-A-34	0.9834	0.0680
1-17970-A-4	0.9877	0.4616
1-15689-A-4	0.9780	0.2621
2-139748-A-15	0.9858	0.0770
2-88724-A-38	0.9933	0.6913
