=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.9253
Mean Deletion AUC: 0.2496
Number of audio files evaluated: 2000

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.9424	0.0873
3-246513-B-16	0.9462	0.0712
1-96950-B-9	0.9994	0.0656
2-105270-A-47	0.9102	0.0686
4-90014-B-42	0.9893	0.0304
1-47273-A-21	0.9977	0.8143
1-39901-A-11	0.8499	0.1047
1-19840-A-36	0.8913	0.4531
1-28135-B-11	0.7241	0.3213
2-134915-A-30	0.9961	0.3754
2-60180-A-49	0.9836	0.3100
5-180156-B-43	0.9852	0.1042
5-233019-A-31	0.9203	0.1316
5-223317-A-31	0.9115	0.9288
4-161105-B-47	0.8692	0.0995
3-160993-A-3	0.9817	0.1181
3-135650-B-45	0.8915	0.0953
2-66205-A-23	0.9786	0.8439
1-47819-A-5	0.9847	0.1874
1-54747-A-46	0.9622	0.0295
2-152964-A-31	0.9915	0.0758
3-139958-A-37	0.9717	0.5896
1-101336-A-30	0.9955	0.2962
1-11687-A-47	0.6628	0.0722
3-156581-B-14	0.9987	0.7735
1-12653-A-15	0.9477	0.8013
4-204777-A-39	0.6583	0.8120
5-160614-B-48	0.9650	0.0567
4-234644-A-2	0.9871	0.0587
4-201988-A-44	0.9426	0.2016
2-103424-A-3	0.9976	0.0164
1-28005-A-18	0.9900	0.2407
2-82455-A-23	0.9860	0.3504
5-234855-A-25	0.5787	0.0926
2-50668-A-41	0.9717	0.1575
3-163607-A-13	0.9087	0.6510
5-233312-A-28	0.9968	0.7324
1-115545-A-48	0.8716	0.1020
3-144510-A-30	0.9944	0.1878
4-102844-C-49	0.9929	0.3856
5-192191-A-19	0.9977	0.1054
4-198962-A-25	0.9001	0.1936
5-177957-D-40	0.9328	0.0262
5-259180-A-15	0.8118	0.1481
2-102581-B-29	0.9973	0.9243
1-21896-A-35	0.8031	0.1172
5-260164-A-23	0.4359	0.0677
2-52001-A-28	0.9821	0.3636
2-42101-A-43	0.9470	0.0457
3-251617-A-48	0.9885	0.6204
3-142605-A-21	0.9977	0.0123
2-95567-A-23	0.9959	0.4292
2-32515-A-4	0.9973	0.0866
3-155584-A-14	0.9937	0.3957
5-214759-B-5	0.9585	0.0784
1-22804-A-46	0.9923	0.0811
4-175945-A-38	0.7742	0.0241
3-96606-A-49	0.9923	0.5733
5-221593-A-21	0.9953	0.0482
3-110913-D-7	0.9909	0.0562
4-161303-B-5	0.7050	0.0059
2-73260-A-10	0.6593	0.0480
2-104105-B-19	0.9977	0.2124
5-249748-A-28	0.7656	0.0127
2-117615-E-48	0.9634	0.1746
4-108352-A-33	0.8472	0.0061
1-46353-A-49	0.9890	0.3207
2-139749-A-15	0.9967	0.1457
5-215658-A-12	0.8923	0.1038
2-128465-A-43	0.9937	0.1307
5-179860-A-43	0.3903	0.0151
1-58846-A-34	0.9666	0.0904
1-17970-A-4	0.9638	0.2062
1-15689-A-4	0.9570	0.4226
2-139748-A-15	0.9506	0.6560
2-88724-A-38	0.9975	0.6884
1-64398-B-41	0.8819	0.5950
2-124564-A-15	0.9573	0.2283
4-161579-A-40	0.9764	0.0216
4-125072-A-19	0.9977	0.0647
2-71162-A-1	0.9976	0.3939
2-98392-A-23	0.9861	0.5625
1-45641-A-27	0.9915	0.7675
4-163606-A-16	0.6533	0.0289
3-159348-A-36	0.9610	0.2485
4-187284-A-30	0.6411	0.0346
5-253094-A-49	0.9874	0.6435
4-186518-A-30	0.9711	0.1158
4-195497-A-11	0.8877	0.0355
4-135439-A-18	0.9909	0.0612
3-108451-A-17	0.9741	0.4400
5-200334-B-1	0.9939	0.0862
1-36397-A-23	0.9956	0.9763
5-252248-A-34	0.9285	0.0232
5-156698-A-18	0.9885	0.0618
1-30709-B-23	0.9970	0.4307
4-218199-C-35	0.9804	0.0810
5-263831-A-6	0.9973	0.1071
1-260640-A-2	0.9942	0.2895
2-52085-A-4	0.9903	0.1825
2-135860-A-49	0.9926	0.2428
4-184237-A-28	0.9976	0.4671
5-198373-A-46	0.1884	0.0188
1-51170-A-18	0.9905	0.1845
3-155766-A-13	0.9999	0.7264
2-95258-B-1	0.9977	0.3766
3-103051-B-19	0.9976	0.0480
5-202540-A-18	0.9894	0.1008
4-154793-A-4	0.9944	0.0682
5-218494-A-22	0.9390	0.0520
5-157204-A-16	0.8477	0.0043
2-106881-A-39	0.6016	0.3684
3-151081-B-20	0.9849	0.2771
5-260011-A-34	0.9766	0.0261
5-235644-A-30	0.9977	0.1020
3-129678-A-13	0.9996	0.7946
1-36402-A-23	0.9973	0.1288
1-53444-A-28	0.9975	0.9072
5-219242-A-37	0.9928	0.0718
3-98869-A-46	0.9897	0.0663
1-260640-C-2	0.9961	0.1195
2-188822-A-40	0.9220	0.0556
2-78651-A-44	0.9375	0.2380
4-182613-B-11	0.7391	0.2172
3-115387-A-47	0.9900	0.0621
1-51805-C-33	0.7556	0.2440
2-59566-A-46	0.9569	0.0952
4-244318-A-6	0.9968	0.4359
3-146033-A-13	0.9998	0.5977
1-79146-A-29	0.9965	0.9631
1-67033-A-37	0.9949	0.0942
1-103999-A-30	0.9965	0.2265
1-38560-A-14	0.9930	0.5850
5-189795-A-4	0.9572	0.1931
5-202020-A-18	0.9858	0.0535
3-152020-B-36	0.9879	0.3807
3-170015-A-0	0.9979	0.0176
4-175845-A-43	0.8184	0.0031
5-200329-B-8	0.9577	0.3827
4-181599-A-26	0.9718	0.0124
1-81001-B-30	0.9922	0.4525
1-211527-B-20	0.7919	0.2997
3-253084-D-2	0.9977	0.2685
2-92978-A-29	0.9963	0.9300
5-237315-A-31	0.9320	0.0070
3-68630-A-40	0.9096	0.0749
2-72547-A-14	0.9968	0.6401
3-169907-A-29	0.9830	0.2743
4-186935-A-44	0.9885	0.0139
1-50688-A-17	0.9679	0.4414
5-233787-A-7	0.9858	0.0402
2-91912-B-33	0.9607	0.1380
5-259514-A-26	0.9969	0.0344
4-185575-A-20	0.9950	0.0250
1-17808-A-12	0.9409	0.0746
3-124376-B-3	0.9912	0.1367
4-99644-B-4	0.9689	0.1429
5-248341-B-6	0.9973	0.0903
4-212604-C-15	0.9912	0.8666
5-218196-B-27	0.9794	0.9251
2-132157-B-11	0.8454	0.1105
