=== AUDIO SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.8987
Mean Deletion AUC: 0.3389
Number of audio files evaluated: 837

Detailed Results:
Audio Name	Insertion AUC	Deletion AUC
--------------------------------------------------
100648-1-0-0	0.9186	0.0288
100648-1-1-0	0.6379	0.1766
100648-1-2-0	0.8984	0.5217
100648-1-3-0	0.9969	0.5856
100648-1-4-0	0.9958	0.0105
100795-3-0-0	0.9987	0.9714
100795-3-1-0	1.0000	0.9799
100795-3-1-1	0.9994	0.9798
100795-3-1-2	0.9979	0.9351
101382-2-0-10	1.0000	0.5639
101382-2-0-12	0.9955	0.7538
101382-2-0-20	0.9911	0.3011
101382-2-0-21	0.9911	0.1124
101382-2-0-29	1.0000	0.1194
101382-2-0-33	0.9955	0.4616
101382-2-0-42	0.9841	0.2648
101382-2-0-45	0.9799	0.2790
102103-3-0-0	0.9978	0.8505
102103-3-1-0	0.8174	0.0753
102857-5-0-0	0.9613	0.1714
102857-5-0-1	0.9562	0.2367
102857-5-0-10	0.9573	0.1719
102857-5-0-11	0.9554	0.2019
102857-5-0-12	0.9562	0.3351
102857-5-0-13	0.9560	0.3238
102857-5-0-14	0.9531	0.2901
102857-5-0-15	0.9534	0.2478
102857-5-0-16	0.9531	0.2239
102857-5-0-17	0.9489	0.2668
102857-5-0-18	0.9480	0.2741
102857-5-0-19	0.9532	0.2776
102857-5-0-2	0.9501	0.1750
102857-5-0-20	0.9532	0.1915
102857-5-0-21	0.9564	0.1315
102857-5-0-22	0.9539	0.1420
102857-5-0-23	0.9533	0.1953
102857-5-0-24	0.9534	0.3218
102857-5-0-25	0.9532	0.1122
102857-5-0-26	0.9568	0.2492
102857-5-0-27	0.9556	0.3408
102857-5-0-28	0.9672	0.3250
102857-5-0-29	0.9534	0.1643
102857-5-0-3	0.9524	0.1225
102857-5-0-30	0.9540	0.3382
102857-5-0-4	0.9531	0.1934
102857-5-0-5	0.9551	0.2124
102857-5-0-6	0.9455	0.2260
102857-5-0-7	0.9534	0.1749
102857-5-0-8	0.9434	0.2505
102857-5-0-9	0.9215	0.2178
103438-5-0-0	0.5247	0.0147
103438-5-0-1	0.8636	0.0345
103438-5-0-2	0.9968	0.0257
106014-5-0-0	1.0000	0.0425
106014-5-0-1	1.0000	0.0513
106014-5-0-2	1.0000	0.0469
106014-5-0-3	0.9955	0.0424
106014-5-0-4	0.9955	0.0426
115241-9-0-1	0.9978	0.0668
115241-9-0-14	0.9929	0.0442
115241-9-0-2	0.9973	0.2004
115241-9-0-20	0.9899	0.1082
115241-9-0-6	0.9978	0.1545
115241-9-0-8	0.9929	0.1246
115241-9-0-9	0.9041	0.0470
115418-9-0-11	0.9978	0.0682
115418-9-0-12	0.9974	0.0564
115418-9-0-15	0.9978	0.1537
115418-9-0-20	1.0000	0.2088
115418-9-0-29	0.9980	0.2344
115418-9-0-6	0.9997	0.0825
11722-3-0-0	0.9978	0.8601
11722-3-1-0	0.9978	0.7207
117889-9-0-12	0.9810	0.0919
117889-9-0-20	0.9978	0.0691
117889-9-0-30	0.9978	0.1200
117889-9-0-36	0.9978	0.2291
117889-9-0-39	0.9978	0.5077
117889-9-0-40	0.9933	0.3012
118278-4-0-0	0.9943	0.0020
118278-4-0-1	1.0000	0.0087
118278-4-0-10	0.9978	0.0245
118278-4-0-11	0.9978	0.0368
118278-4-0-12	0.9978	0.0478
118278-4-0-13	0.9933	0.0296
118278-4-0-2	0.9999	0.0045
118278-4-0-3	1.0000	0.0232
118278-4-0-4	1.0000	0.0248
118278-4-0-5	0.9978	0.0328
118278-4-0-6	0.9978	0.0040
118278-4-0-7	0.9977	0.0079
118278-4-0-8	0.9978	0.0045
118278-4-0-9	0.9978	0.0176
118558-5-0-0	1.0000	0.0044
118558-5-0-1	1.0000	0.0111
118558-5-0-2	1.0000	0.0206
118558-5-1-0	0.9881	0.0309
118558-5-1-1	1.0000	0.0112
118558-5-1-2	1.0000	0.0175
118558-5-2-0	1.0000	0.0067
118558-5-2-1	1.0000	0.0200
118558-5-2-2	1.0000	0.0289
118558-5-2-3	0.9991	0.0336
119067-0-0-0	0.7799	0.2107
119067-0-0-1	0.7739	0.1530
119067-0-0-2	0.7632	0.1522
128240-3-0-1	1.0000	0.9284
128240-3-0-20	1.0000	0.9870
128240-3-0-39	0.9978	0.9605
128240-3-0-42	0.9992	0.9798
128470-3-0-0	1.0000	0.9540
128470-3-0-1	1.0000	0.4247
128470-3-0-5	1.0000	0.6165
128470-3-0-8	0.9999	0.9799
129750-2-0-3	0.9297	0.0436
129750-2-0-34	0.9478	0.0209
129750-2-0-36	0.9663	0.0909
129750-2-0-37	0.9346	0.3436
129750-2-0-4	0.8902	0.0067
129750-2-0-45	0.7604	0.0236
129750-2-0-46	0.7505	0.1186
129750-2-0-48	0.6108	0.0186
136558-9-0-1	0.9978	0.0068
136558-9-0-2	0.9676	0.0270
136558-9-1-10	0.9710	0.1954
136558-9-1-21	0.9978	0.0196
136558-9-1-26	0.9490	0.0365
136558-9-1-39	0.9978	0.0642
138017-9-0-2	1.0000	0.4625
138017-9-0-9	1.0000	0.1525
138017-9-1-10	0.9934	0.0022
138017-9-1-16	0.9978	0.0382
138017-9-1-4	0.9993	0.0647
138017-9-1-6	1.0000	0.2505
141240-5-0-0	0.8973	0.1007
141240-5-1-0	0.9845	0.1740
142641-3-0-0	0.9951	0.0784
14468-3-0-2	0.9570	0.1589
14468-3-0-3	0.8018	0.0025
14468-3-1-0	1.0000	0.1522
14468-3-5-0	1.0000	0.0125
14470-2-0-10	0.9943	0.2606
14470-2-0-14	0.9978	0.3712
14470-2-0-21	0.9711	0.0296
14470-2-0-4	0.9973	0.2271
14470-2-0-56	0.8453	0.1676
14470-2-0-65	0.9961	0.1080
14470-2-0-70	0.9977	0.1590
14470-2-0-72	0.9863	0.1485
146244-4-0-0	1.0000	0.9448
147491-9-0-0	0.9978	0.0579
147491-9-0-5	0.9978	0.1800
147491-9-2-10	0.9972	0.0026
147491-9-2-25	0.9934	0.2142
147491-9-2-32	0.9619	0.0157
147491-9-2-6	0.9978	0.2573
155241-9-0-50	0.9978	0.2275
155241-9-0-56	1.0000	0.2764
155241-9-0-69	1.0000	0.1330
155241-9-0-79	0.9977	0.1795
155241-9-0-8	1.0000	0.2639
155241-9-0-88	0.9978	0.3369
155262-2-0-101	0.9584	0.1957
