=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5230
Mean Deletion AUC: 0.2307
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.7769	0.1954
2-50668-A-41	0.6874	0.4305
1-39901-A-11	0.4578	0.1973
1-28135-B-11	0.4324	0.1158
1-47273-A-21	0.4679	0.0498
3-142605-A-21	0.6381	0.0991
4-175945-A-38	0.6248	0.3279
5-221593-A-21	0.6891	0.0649
2-73260-A-10	0.2710	0.1163
5-215658-A-12	0.4106	0.2893
2-88724-A-38	0.5683	0.3970
4-161579-A-40	0.6203	0.1232
1-64398-B-41	0.6918	0.1721
2-71162-A-1	0.8748	0.1223
4-195497-A-11	0.5271	0.2966
5-200334-B-1	0.9001	0.1805
2-95258-B-1	0.6702	0.2827
3-151081-B-20	0.4504	0.2202
2-188822-A-40	0.3693	0.0342
4-182613-B-11	0.2938	0.0622
3-170015-A-0	0.8001	0.0282
1-211527-B-20	0.3648	0.1462
4-185575-A-20	0.6098	0.2963
3-68630-A-40	0.2270	0.1638
1-17808-A-12	0.3377	0.4095
2-132157-B-11	0.1518	0.0801
4-161127-A-10	0.4611	0.2050
5-195710-A-10	0.1730	0.0898
2-96460-A-1	0.6708	0.2685
3-170377-A-38	0.7086	0.3999
2-77945-B-41	0.8249	0.2891
2-30322-A-12	0.4012	0.3357
4-125929-A-40	0.3888	0.1966
4-169127-A-41	0.5403	0.1850
2-18766-B-12	0.1875	0.3522
4-163264-A-10	0.3990	0.2886
4-185575-C-20	0.4856	0.1705
1-59513-A-0	0.8152	0.3220
3-142005-A-10	0.3342	0.2795
2-122104-A-0	0.8140	0.2805
4-164661-B-12	0.2018	0.3029
3-68630-C-40	0.3451	0.1320
2-102852-A-11	0.1863	0.1072
3-118972-B-41	0.6868	0.3822
5-201274-A-21	0.7084	0.0560
4-167063-B-11	0.2744	0.1835
3-157695-A-0	0.6885	0.2678
2-114280-A-0	0.7080	0.4278
5-200461-A-11	0.4555	0.1246
3-152007-E-20	0.6376	0.2564
1-172649-B-40	0.2113	0.1611
1-54505-A-21	0.7457	0.0725
5-170338-B-41	0.5914	0.3764
2-188822-C-40	0.3865	0.2220
3-118657-B-41	0.7289	0.3647
1-17367-A-10	0.1687	0.1571
4-167642-A-21	0.6755	0.1172
5-151085-A-20	0.5255	0.1866
5-194533-A-21	0.5255	0.0731
5-219379-B-11	0.5124	0.1395
5-212181-A-38	0.5027	0.4610
2-37806-D-40	0.4553	0.3093
2-50665-A-20	0.0965	0.2071
2-28314-A-12	0.2840	0.2986
5-205898-A-40	0.5172	0.1483
4-149294-B-41	0.5485	0.2537
3-158476-A-12	0.3371	0.3206
2-140147-A-38	0.6597	0.4096
5-198411-B-20	0.4453	0.2030
2-135728-A-38	0.6750	0.4439
2-72970-A-10	0.3239	0.2866
4-181865-A-38	0.6707	0.2966
5-171653-A-41	0.5744	0.1952
2-107351-B-20	0.4398	0.1876
2-128631-A-21	0.7254	0.0747
5-193473-A-12	0.4614	0.4076
4-183992-A-0	0.8446	0.0737
4-164064-B-1	0.8230	0.2097
4-181286-A-10	0.4332	0.1703
1-22694-A-20	0.5311	0.2287
2-61311-A-12	0.0337	0.1694
3-134049-A-1	0.8154	0.3256
2-117271-A-0	0.7408	0.2753
3-166422-A-11	0.0984	0.1557
1-97392-A-0	0.7320	0.2876
3-155642-B-11	0.1900	0.0922
1-43382-A-1	0.8431	0.4213
3-148330-A-21	0.7055	0.1006
4-180380-A-10	0.3943	0.2463
3-164630-A-11	0.3578	0.2082
4-199261-A-0	0.7360	0.1985
2-95258-A-1	0.7218	0.2757
1-44831-A-1	0.8401	0.0771
3-180256-A-0	0.6091	0.1575
5-233160-A-1	0.8433	0.2910
5-200334-A-1	0.8825	0.2435
2-100786-A-1	0.7866	0.2936
5-213802-A-12	0.2230	0.0659
4-171207-A-12	0.3370	0.3139
4-164206-A-10	0.4209	0.1654
3-152007-A-20	0.3345	0.1410
1-172649-F-40	0.2887	0.2711
5-209698-A-38	0.4017	0.4108
2-119102-A-21	0.7876	0.1000
4-167077-B-20	0.5627	0.2429
4-184575-A-0	0.7149	0.2220
3-118658-A-41	0.3640	0.6467
4-157611-B-41	0.6534	0.2210
4-204618-A-11	0.5523	0.1846
5-231762-A-0	0.7352	0.1604
3-154957-A-1	0.9039	0.4427
3-157149-A-10	0.4025	0.1505
1-63871-A-10	0.3283	0.2523
4-175000-A-40	0.7191	0.1817
1-56311-A-10	0.2472	0.2046
4-170247-A-12	0.3837	0.4054
2-66637-B-20	0.5025	0.2072
5-208810-A-11	0.2725	0.2380
4-181563-A-12	0.3225	0.3513
3-170383-A-38	0.7032	0.4545
1-48413-A-38	0.7081	0.3551
4-171519-A-21	0.6549	0.1936
5-219342-A-38	0.6027	0.3153
1-91359-B-11	0.1256	0.1125
4-166661-A-10	0.2702	0.2437
3-65748-A-12	0.3303	0.3011
5-185579-A-41	0.7662	0.2469
1-46272-A-12	0.4976	0.3716
1-7057-A-12	0.3671	0.3611
1-19898-B-41	0.6500	0.2842
5-198411-F-20	0.3498	0.2853
3-150979-B-40	0.6001	0.2163
5-177957-B-40	0.3213	0.2350
1-17565-A-12	0.2809	0.3011
4-164021-A-1	0.8308	0.2315
3-154926-A-40	0.2342	0.0725
2-155801-A-11	0.0812	0.0560
5-220026-A-21	0.4933	0.0465
5-220027-A-21	0.7074	0.0974
1-47274-A-21	0.6929	0.0740
5-202898-A-10	0.2229	0.2614
4-59579-B-20	0.3577	0.1563
5-191131-A-40	0.4145	0.1665
3-150231-A-21	0.7269	0.1815
4-193480-B-40	0.3636	0.1678
4-175000-C-40	0.4397	0.1855
5-220955-A-40	0.2259	0.0393
3-150363-A-38	0.6942	0.4848
4-164064-C-1	0.8490	0.1941
1-26806-A-1	0.8659	0.1791
1-47250-A-41	0.8392	0.2673
5-202220-A-21	0.4074	0.1003
2-68391-A-41	0.1448	0.1595
2-122104-B-0	0.8900	0.2790
4-208021-A-1	0.7755	0.1607
2-37806-B-40	0.4152	0.3287
2-50667-B-41	0.6189	0.3129
5-198411-D-20	0.5787	0.1892
5-208030-A-0	0.7086	0.4392
4-165823-A-41	0.8438	0.2983
5-9032-A-0	0.5017	0.2678
2-95035-A-1	0.8420	0.0976
1-29680-A-21	0.7048	0.0937
5-222524-A-41	0.5661	0.3383
5-216370-B-41	0.7290	0.2464
5-213855-A-0	0.6172	0.1781
1-60997-B-20	0.4608	0.2275
4-164064-A-1	0.7622	0.1822
1-85362-A-0	0.8270	0.3262
4-179984-A-38	0.5615	0.1288
1-181071-B-40	0.5756	0.1915
5-188655-A-10	0.1798	0.2972
1-116765-A-41	0.7336	0.4941
3-116135-A-1	0.8766	0.3195
4-182395-A-0	0.8049	0.0337
5-187979-A-21	0.3515	0.0353
1-40730-A-1	0.8360	0.1890
2-131943-A-38	0.6811	0.5172
3-152007-C-20	0.4469	0.1973
3-164120-A-11	0.0906	0.0653
1-172649-D-40	0.1792	0.2299
1-62850-A-38	0.5869	0.1878
1-57163-A-38	0.6191	0.5343
4-160999-A-10	0.3677	0.1916
3-144827-A-11	0.1311	0.0585
1-27724-A-1	0.7780	0.1875
1-187207-A-20	0.4238	0.1730
1-39923-A-1	0.8457	0.3478
5-219379-A-11	0.3128	0.1358
3-132852-A-10	0.2739	0.1489
4-207124-A-0	0.7539	0.3756
1-30344-A-0	0.7708	0.3420
