=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5429
Mean Deletion AUC: 0.2133
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.7146	0.2277
2-50668-A-41	0.7165	0.4487
1-39901-A-11	0.4371	0.1701
1-28135-B-11	0.3000	0.2481
1-47273-A-21	0.6147	0.0799
3-142605-A-21	0.7372	0.0321
4-175945-A-38	0.6307	0.3012
5-221593-A-21	0.7045	0.0378
2-73260-A-10	0.3181	0.1322
5-215658-A-12	0.4031	0.2627
2-88724-A-38	0.5969	0.3396
4-161579-A-40	0.7711	0.0467
1-64398-B-41	0.8048	0.1496
2-71162-A-1	0.8792	0.1500
4-195497-A-11	0.5007	0.2923
5-200334-B-1	0.8879	0.1924
2-95258-B-1	0.8060	0.2359
3-151081-B-20	0.3977	0.2264
2-188822-A-40	0.3026	0.1750
4-182613-B-11	0.1985	0.0950
3-170015-A-0	0.7977	0.0284
1-211527-B-20	0.3937	0.1497
4-185575-A-20	0.5954	0.2919
3-68630-A-40	0.3641	0.2138
1-17808-A-12	0.3439	0.3205
2-132157-B-11	0.2131	0.0771
4-161127-A-10	0.2655	0.1335
5-195710-A-10	0.2498	0.0745
2-96460-A-1	0.8359	0.1587
3-170377-A-38	0.7706	0.2889
2-77945-B-41	0.8041	0.4102
2-30322-A-12	0.4052	0.3184
4-125929-A-40	0.4532	0.1563
4-169127-A-41	0.5530	0.2379
2-18766-B-12	0.1827	0.3131
4-163264-A-10	0.4960	0.1090
4-185575-C-20	0.4757	0.1937
1-59513-A-0	0.8389	0.3005
3-142005-A-10	0.3949	0.1697
2-122104-A-0	0.7788	0.3203
4-164661-B-12	0.2165	0.2120
3-68630-C-40	0.3687	0.1640
2-102852-A-11	0.1293	0.1200
3-118972-B-41	0.6808	0.3777
5-201274-A-21	0.7400	0.0293
4-167063-B-11	0.2395	0.3239
3-157695-A-0	0.7102	0.2688
2-114280-A-0	0.7115	0.4296
5-200461-A-11	0.2263	0.1453
3-152007-E-20	0.6334	0.2707
1-172649-B-40	0.1730	0.1629
1-54505-A-21	0.7559	0.0684
5-170338-B-41	0.7762	0.4228
2-188822-C-40	0.3557	0.1799
3-118657-B-41	0.8680	0.3412
1-17367-A-10	0.2711	0.1248
4-167642-A-21	0.5260	0.0535
5-151085-A-20	0.5975	0.2127
5-194533-A-21	0.5559	0.0457
5-219379-B-11	0.2194	0.1462
5-212181-A-38	0.7406	0.1449
2-37806-D-40	0.7122	0.3390
2-50665-A-20	0.1497	0.0796
2-28314-A-12	0.2747	0.2582
5-205898-A-40	0.6249	0.1473
4-149294-B-41	0.7058	0.2327
3-158476-A-12	0.3198	0.2942
2-140147-A-38	0.7482	0.2658
5-198411-B-20	0.4591	0.2463
2-135728-A-38	0.8513	0.0991
2-72970-A-10	0.3979	0.3195
4-181865-A-38	0.8383	0.1107
5-171653-A-41	0.5626	0.2231
2-107351-B-20	0.5578	0.2434
2-128631-A-21	0.6632	0.0448
5-193473-A-12	0.4104	0.2854
4-183992-A-0	0.8755	0.1020
4-164064-B-1	0.7837	0.2874
4-181286-A-10	0.3541	0.1404
1-22694-A-20	0.5778	0.2335
2-61311-A-12	0.0681	0.0402
3-134049-A-1	0.7978	0.4429
2-117271-A-0	0.8761	0.3456
3-166422-A-11	0.1424	0.0988
1-97392-A-0	0.7170	0.3057
3-155642-B-11	0.2476	0.1230
1-43382-A-1	0.8214	0.4193
3-148330-A-21	0.6553	0.1957
4-180380-A-10	0.3924	0.1838
3-164630-A-11	0.3438	0.2391
4-199261-A-0	0.7083	0.2389
2-95258-A-1	0.7632	0.2273
1-44831-A-1	0.8514	0.0906
3-180256-A-0	0.5459	0.2140
5-233160-A-1	0.8572	0.2560
5-200334-A-1	0.8727	0.2423
2-100786-A-1	0.7940	0.3207
5-213802-A-12	0.2026	0.0454
4-171207-A-12	0.3253	0.1350
4-164206-A-10	0.5153	0.4392
3-152007-A-20	0.4238	0.1746
1-172649-F-40	0.2902	0.2572
5-209698-A-38	0.4160	0.3491
2-119102-A-21	0.7547	0.0847
4-167077-B-20	0.5477	0.2909
4-184575-A-0	0.6979	0.1624
3-118658-A-41	0.5843	0.2648
4-157611-B-41	0.7395	0.2758
