=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5592
Mean Deletion AUC: 0.2143
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-177957-D-40	0.6933	0.2354
2-50668-A-41	0.6867	0.4322
1-39901-A-11	0.4528	0.1605
1-28135-B-11	0.3225	0.1413
1-47273-A-21	0.5357	0.0417
3-142605-A-21	0.7207	0.0477
4-175945-A-38	0.6346	0.2916
5-221593-A-21	0.7177	0.0587
2-73260-A-10	0.2913	0.1202
5-215658-A-12	0.3652	0.2241
2-88724-A-38	0.6669	0.3552
4-161579-A-40	0.7894	0.0538
1-64398-B-41	0.7380	0.1850
2-71162-A-1	0.8793	0.1697
4-195497-A-11	0.5070	0.3197
5-200334-B-1	0.9074	0.1721
2-95258-B-1	0.7638	0.2638
3-151081-B-20	0.4901	0.2338
2-188822-A-40	0.3316	0.0431
4-182613-B-11	0.3447	0.0749
3-170015-A-0	0.8018	0.0263
1-211527-B-20	0.3911	0.1427
4-185575-A-20	0.6070	0.3558
3-68630-A-40	0.2298	0.1922
1-17808-A-12	0.3340	0.3053
2-132157-B-11	0.2060	0.0655
4-161127-A-10	0.4844	0.2397
5-195710-A-10	0.2437	0.0582
2-96460-A-1	0.8264	0.1241
3-170377-A-38	0.8283	0.1279
2-77945-B-41	0.8444	0.3892
2-30322-A-12	0.3463	0.3387
4-125929-A-40	0.3769	0.1914
4-169127-A-41	0.5929	0.1960
2-18766-B-12	0.1525	0.3287
4-163264-A-10	0.5512	0.4132
4-185575-C-20	0.4846	0.2057
1-59513-A-0	0.7382	0.2947
3-142005-A-10	0.4406	0.3896
2-122104-A-0	0.7890	0.2365
4-164661-B-12	0.2009	0.2866
3-68630-C-40	0.3814	0.1222
2-102852-A-11	0.2199	0.1170
3-118972-B-41	0.7352	0.4379
5-201274-A-21	0.7467	0.0504
4-167063-B-11	0.5785	0.2228
3-157695-A-0	0.7098	0.1989
2-114280-A-0	0.6910	0.3688
5-200461-A-11	0.4065	0.1595
3-152007-E-20	0.6157	0.2494
1-172649-B-40	0.3355	0.1320
1-54505-A-21	0.7494	0.0587
5-170338-B-41	0.6096	0.2452
2-188822-C-40	0.4136	0.1576
3-118657-B-41	0.7978	0.2717
1-17367-A-10	0.4063	0.2271
4-167642-A-21	0.6743	0.1410
5-151085-A-20	0.5597	0.2046
5-194533-A-21	0.5540	0.0531
5-219379-B-11	0.5759	0.1603
5-212181-A-38	0.6520	0.3168
2-37806-D-40	0.6093	0.2633
2-50665-A-20	0.2540	0.0804
2-28314-A-12	0.2386	0.2970
5-205898-A-40	0.6046	0.1418
4-149294-B-41	0.6923	0.2165
3-158476-A-12	0.2467	0.2775
2-140147-A-38	0.7312	0.3558
5-198411-B-20	0.4496	0.2708
2-135728-A-38	0.8036	0.2599
2-72970-A-10	0.3964	0.3072
4-181865-A-38	0.8415	0.1015
5-171653-A-41	0.5885	0.2084
2-107351-B-20	0.4445	0.2069
2-128631-A-21	0.7441	0.0467
5-193473-A-12	0.3952	0.1878
4-183992-A-0	0.8653	0.0786
4-164064-B-1	0.8150	0.1613
4-181286-A-10	0.4043	0.3605
1-22694-A-20	0.5388	0.2296
2-61311-A-12	0.0312	0.1003
3-134049-A-1	0.7933	0.3843
2-117271-A-0	0.7351	0.2568
3-166422-A-11	0.3731	0.1301
1-97392-A-0	0.7260	0.2784
3-155642-B-11	0.3883	0.1741
1-43382-A-1	0.8744	0.4345
3-148330-A-21	0.7429	0.2166
4-180380-A-10	0.5660	0.4001
3-164630-A-11	0.4162	0.2167
4-199261-A-0	0.7243	0.1866
2-95258-A-1	0.8060	0.1296
1-44831-A-1	0.8498	0.0709
3-180256-A-0	0.5440	0.0854
5-233160-A-1	0.8523	0.2510
5-200334-A-1	0.8887	0.2148
2-100786-A-1	0.8096	0.2930
5-213802-A-12	0.2702	0.0565
4-171207-A-12	0.2992	0.2873
4-164206-A-10	0.4787	0.4184
3-152007-A-20	0.3537	0.1578
1-172649-F-40	0.6435	0.2086
5-209698-A-38	0.4533	0.3637
2-119102-A-21	0.7855	0.0665
4-167077-B-20	0.5061	0.2556
4-184575-A-0	0.6385	0.2328
3-118658-A-41	0.5818	0.2070
4-157611-B-41	0.7392	0.2058
4-204618-A-11	0.5795	0.1595
5-231762-A-0	0.7523	0.2247
3-154957-A-1	0.8575	0.4858
3-157149-A-10	0.4793	0.3869
1-63871-A-10	0.4974	0.2795
4-175000-A-40	0.7568	0.1855
1-56311-A-10	0.4557	0.1338
4-170247-A-12	0.3103	0.3256
2-66637-B-20	0.4981	0.1875
5-208810-A-11	0.4032	0.2383
4-181563-A-12	0.3318	0.3056
3-170383-A-38	0.7646	0.3797
1-48413-A-38	0.7676	0.2916
4-171519-A-21	0.6435	0.0903
5-219342-A-38	0.6960	0.2598
1-91359-B-11	0.2931	0.0616
4-166661-A-10	0.6063	0.2741
3-65748-A-12	0.3125	0.2691
5-185579-A-41	0.7169	0.2075
1-46272-A-12	0.4699	0.3467
1-7057-A-12	0.3518	0.2201
1-19898-B-41	0.6402	0.2597
5-198411-F-20	0.3366	0.2793
3-150979-B-40	0.6147	0.1821
5-177957-B-40	0.2932	0.2425
1-17565-A-12	0.1563	0.1798
4-164021-A-1	0.8087	0.2253
3-154926-A-40	0.2847	0.0915
2-155801-A-11	0.3284	0.0714
5-220026-A-21	0.4522	0.0478
5-220027-A-21	0.7457	0.0684
1-47274-A-21	0.7704	0.0414
5-202898-A-10	0.3931	0.3193
4-59579-B-20	0.4676	0.1587
5-191131-A-40	0.4134	0.1582
3-150231-A-21	0.7453	0.0899
4-193480-B-40	0.4005	0.1796
4-175000-C-40	0.5695	0.0946
5-220955-A-40	0.6075	0.0390
3-150363-A-38	0.8245	0.4125
4-164064-C-1	0.8564	0.1414
1-26806-A-1	0.8508	0.1584
1-47250-A-41	0.7462	0.2315
5-202220-A-21	0.4030	0.0981
2-68391-A-41	0.2683	0.1533
2-122104-B-0	0.7885	0.2579
