=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5273
Mean Deletion AUC: 0.2040
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.4556	0.0351
1-39901-A-11	0.5194	0.0897
1-28135-B-11	0.2664	0.0904
2-50668-A-41	0.7707	0.4246
5-177957-D-40	0.5986	0.2232
3-142605-A-21	0.7415	0.0688
4-175945-A-38	0.6289	0.2595
5-221593-A-21	0.6225	0.0680
2-73260-A-10	0.2083	0.0681
5-215658-A-12	0.2947	0.2325
2-88724-A-38	0.6675	0.1985
1-64398-B-41	0.7577	0.1812
4-161579-A-40	0.4827	0.1019
2-71162-A-1	0.8744	0.2141
4-195497-A-11	0.2762	0.0835
5-200334-B-1	0.9117	0.2453
2-95258-B-1	0.8351	0.1908
3-151081-B-20	0.4596	0.2537
2-188822-A-40	0.3854	0.0598
4-182613-B-11	0.1130	0.0395
3-170015-A-0	0.7434	0.0623
1-211527-B-20	0.4787	0.1882
3-68630-A-40	0.3181	0.1596
4-185575-A-20	0.6508	0.2652
1-17808-A-12	0.1922	0.2964
2-132157-B-11	0.1152	0.0298
2-96460-A-1	0.6995	0.2128
3-170377-A-38	0.7398	0.4139
5-195710-A-10	0.2009	0.0341
4-161127-A-10	0.2358	0.0569
2-77945-B-41	0.8164	0.3293
2-30322-A-12	0.2351	0.1254
4-125929-A-40	0.4031	0.1918
2-18766-B-12	0.1760	0.2975
4-169127-A-41	0.3482	0.2761
4-163264-A-10	0.4654	0.0609
1-59513-A-0	0.8398	0.4441
4-185575-C-20	0.5846	0.1672
3-142005-A-10	0.4821	0.0738
2-122104-A-0	0.8567	0.2254
4-164661-B-12	0.2967	0.0551
3-68630-C-40	0.3539	0.0900
2-102852-A-11	0.1475	0.0755
3-118972-B-41	0.7941	0.4080
5-201274-A-21	0.6178	0.1028
4-167063-B-11	0.3491	0.1792
3-157695-A-0	0.7543	0.2956
2-114280-A-0	0.7806	0.4475
5-200461-A-11	0.2787	0.0934
3-152007-E-20	0.6987	0.2905
1-172649-B-40	0.2196	0.1811
1-54505-A-21	0.7102	0.1181
5-170338-B-41	0.6403	0.3279
3-118657-B-41	0.6854	0.3962
2-188822-C-40	0.3838	0.1776
1-17367-A-10	0.2438	0.1428
4-167642-A-21	0.6224	0.0999
5-151085-A-20	0.5786	0.2263
5-194533-A-21	0.4102	0.0855
5-219379-B-11	0.3377	0.1186
