=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5687
Mean Deletion AUC: 0.2177
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.6604	0.4813
3-246513-B-16	0.4905	0.1866
1-96950-B-9	0.7833	0.3476
2-105270-A-47	0.3627	0.0381
4-90014-B-42	0.7322	0.2747
1-47273-A-21	0.4556	0.0351
1-39901-A-11	0.5194	0.0897
1-19840-A-36	0.6979	0.3791
1-28135-B-11	0.2664	0.0904
2-134915-A-30	0.5401	0.0647
2-60180-A-49	0.3861	0.2432
5-180156-B-43	0.8148	0.2365
5-233019-A-31	0.3901	0.0456
5-223317-A-31	0.6899	0.1290
4-161105-B-47	0.7086	0.1221
3-160993-A-3	0.7972	0.1555
3-135650-B-45	0.3751	0.0882
2-66205-A-23	0.3275	0.0546
1-47819-A-5	0.8930	0.0944
1-54747-A-46	0.7469	0.2269
2-152964-A-31	0.4777	0.0387
3-139958-A-37	0.6297	0.5338
1-101336-A-30	0.6992	0.0962
1-11687-A-47	0.1680	0.0921
3-156581-B-14	0.7870	0.4626
1-12653-A-15	0.6513	0.3876
4-204777-A-39	0.7150	0.5997
5-160614-B-48	0.3519	0.1084
4-234644-A-2	0.7389	0.3955
4-201988-A-44	0.5690	0.0713
2-103424-A-3	0.5761	0.1222
1-28005-A-18	0.4480	0.1758
2-82455-A-23	0.5124	0.3439
5-234855-A-25	0.3606	0.1543
2-50668-A-41	0.7707	0.4246
3-163607-A-13	0.5697	0.2655
5-233312-A-28	0.4561	0.2370
1-115545-A-48	0.2486	0.0643
3-144510-A-30	0.7478	0.1919
4-102844-C-49	0.3584	0.3196
5-192191-A-19	0.8285	0.0679
4-198962-A-25	0.4939	0.0931
5-177957-D-40	0.5986	0.2232
5-259180-A-15	0.6978	0.0689
2-102581-B-29	0.7487	0.1505
1-21896-A-35	0.8207	0.3442
5-260164-A-23	0.5334	0.4582
2-52001-A-28	0.1789	0.1072
2-42101-A-43	0.6067	0.1547
3-251617-A-48	0.4767	0.1659
3-142605-A-21	0.7415	0.0688
2-95567-A-23	0.4917	0.1088
2-32515-A-4	0.7747	0.3248
3-155584-A-14	0.4513	0.1039
5-214759-B-5	0.7783	0.2675
1-22804-A-46	0.7042	0.3685
4-175945-A-38	0.6289	0.2595
3-96606-A-49	0.4659	0.1552
5-221593-A-21	0.6225	0.0680
3-110913-D-7	0.7644	0.2051
4-161303-B-5	0.6974	0.0972
2-73260-A-10	0.2083	0.0681
2-104105-B-19	0.8076	0.1350
5-249748-A-28	0.3554	0.0764
2-117615-E-48	0.3182	0.1135
4-108352-A-33	0.8000	0.5717
1-46353-A-49	0.5116	0.2100
2-139749-A-15	0.4637	0.1754
5-215658-A-12	0.2947	0.2325
2-128465-A-43	0.1936	0.0923
5-179860-A-43	0.6489	0.2287
1-58846-A-34	0.4444	0.2826
1-17970-A-4	0.5636	0.3030
1-15689-A-4	0.6635	0.1794
2-139748-A-15	0.2477	0.1263
2-88724-A-38	0.6675	0.1985
1-64398-B-41	0.7577	0.1812
2-124564-A-15	0.5780	0.1191
4-161579-A-40	0.4827	0.1019
4-125072-A-19	0.7068	0.0790
2-71162-A-1	0.8744	0.2141
2-98392-A-23	0.1867	0.0513
1-45641-A-27	0.4929	0.3229
4-163606-A-16	0.7278	0.1454
3-159348-A-36	0.3996	0.3446
4-187284-A-30	0.7173	0.1092
5-253094-A-49	0.6314	0.3974
4-186518-A-30	0.7306	0.3557
4-195497-A-11	0.2762	0.0835
4-135439-A-18	0.4610	0.1861
3-108451-A-17	0.4244	0.3048
5-200334-B-1	0.9117	0.2453
1-36397-A-23	0.2034	0.0891
5-252248-A-34	0.6731	0.1559
5-156698-A-18	0.2930	0.1236
1-30709-B-23	0.5685	0.2416
4-218199-C-35	0.7016	0.3076
5-263831-A-6	0.7401	0.2585
1-260640-A-2	0.7890	0.3177
2-52085-A-4	0.7151	0.3016
2-135860-A-49	0.4605	0.2384
4-184237-A-28	0.6188	0.2592
5-198373-A-46	0.6936	0.2061
1-51170-A-18	0.5865	0.2364
3-155766-A-13	0.6698	0.1089
2-95258-B-1	0.8351	0.1908
3-103051-B-19	0.6991	0.0432
5-202540-A-18	0.2338	0.1468
4-154793-A-4	0.7186	0.5263
5-218494-A-22	0.4553	0.2727
5-157204-A-16	0.6541	0.2037
2-106881-A-39	0.4989	0.0520
3-151081-B-20	0.4596	0.2537
5-260011-A-34	0.6116	0.1380
5-235644-A-30	0.7364	0.0645
3-129678-A-13	0.7707	0.2487
1-36402-A-23	0.1645	0.1133
1-53444-A-28	0.5619	0.2721
5-219242-A-37	0.6447	0.5305
3-98869-A-46	0.5032	0.2958
1-260640-C-2	0.6860	0.2936
2-188822-A-40	0.3854	0.0598
2-78651-A-44	0.1364	0.0420
4-182613-B-11	0.1130	0.0395
3-115387-A-47	0.6626	0.1574
1-51805-C-33	0.7005	0.3884
2-59566-A-46	0.5325	0.1922
4-244318-A-6	0.7508	0.2873
3-146033-A-13	0.5240	0.1281
1-79146-A-29	0.6751	0.2524
1-67033-A-37	0.6343	0.4575
1-103999-A-30	0.6384	0.1744
1-38560-A-14	0.5878	0.3280
5-189795-A-4	0.5409	0.2411
5-202020-A-18	0.4954	0.1625
3-152020-B-36	0.9278	0.4994
3-170015-A-0	0.7434	0.0623
4-175845-A-43	0.6578	0.1911
5-200329-B-8	0.7075	0.1360
4-181599-A-26	0.6564	0.0987
1-81001-B-30	0.6257	0.2518
1-211527-B-20	0.4787	0.1882
3-253084-D-2	0.6471	0.4008
2-92978-A-29	0.4909	0.1711
5-237315-A-31	0.5275	0.1522
3-68630-A-40	0.3181	0.1596
2-72547-A-14	0.4381	0.0746
3-169907-A-29	0.6517	0.2281
4-186935-A-44	0.5135	0.3523
1-50688-A-17	0.4930	0.3527
5-233787-A-7	0.4553	0.1561
2-91912-B-33	0.4340	0.3996
5-259514-A-26	0.6434	0.1825
4-185575-A-20	0.6508	0.2652
1-17808-A-12	0.1922	0.2964
3-124376-B-3	0.8015	0.1913
4-99644-B-4	0.7185	0.5718
5-248341-B-6	0.7135	0.2541
4-212604-C-15	0.7185	0.3638
5-218196-B-27	0.7448	0.2294
2-132157-B-11	0.1152	0.0298
2-96460-A-1	0.6995	0.2128
3-170377-A-38	0.7398	0.4139
4-150364-B-46	0.5999	0.4305
4-188703-D-8	0.7392	0.2127
5-195710-A-10	0.2009	0.0341
4-161127-A-10	0.2358	0.0569
3-102583-C-49	0.3835	0.1704
4-165845-A-45	0.4715	0.1249
1-49409-B-8	0.7389	0.2472
2-108767-B-9	0.6286	0.0546
3-216280-A-39	0.6617	0.2511
5-204352-B-13	0.7704	0.1601
1-51436-A-17	0.4954	0.3207
5-179294-A-46	0.4203	0.1020
3-216281-A-39	0.4516	0.1922
3-98193-A-46	0.8346	0.3508
4-197454-A-28	0.6318	0.3764
2-109371-C-16	0.6588	0.2149
4-149940-B-5	0.8513	0.1750
2-32515-C-4	0.6452	0.1660
4-132816-A-26	0.6097	0.1347
1-72195-B-37	0.6525	0.6305
1-69760-A-16	0.1656	0.0407
2-120587-A-6	0.3910	0.1193
2-79775-A-26	0.5598	0.2389
2-120218-A-30	0.6320	0.0870
5-242932-B-26	0.4736	0.1014
4-223127-A-14	0.7896	0.1235
2-121909-A-35	0.8093	0.3961
2-77945-B-41	0.8164	0.3293
5-243773-A-44	0.2664	0.0929
2-102414-E-17	0.3788	0.2001
2-30322-A-12	0.2351	0.1254
2-118459-A-32	0.4771	0.0783
1-43807-C-47	0.7729	0.0658
3-94355-A-33	0.6010	0.4903
5-204114-A-29	0.6520	0.2850
4-125929-A-40	0.4031	0.1918
4-172500-D-27	0.5102	0.1002
5-250258-A-49	0.2429	0.1582
2-18766-B-12	0.1760	0.2975
2-102568-A-35	0.7939	0.2112
4-132383-A-2	0.3671	0.6388
1-47819-C-5	0.6222	0.0800
4-133895-A-7	0.6442	0.1445
4-169127-A-41	0.3482	0.2761
2-140841-A-30	0.6804	0.1566
3-166324-A-15	0.6628	0.2950
2-98676-A-24	0.6695	0.0747
1-50625-A-17	0.5346	0.3319
2-135649-C-45	0.1554	0.0688
1-24796-A-47	0.1823	0.3171
5-263902-A-36	0.8803	0.5650
4-163264-A-10	0.4654	0.0609
4-196672-A-8	0.7688	0.1823
5-253085-B-3	0.7922	0.3921
1-59513-A-0	0.8398	0.4441
3-51376-A-42	0.8831	0.3151
4-185575-C-20	0.5846	0.1672
1-30039-A-26	0.5736	0.2250
3-142005-A-10	0.4821	0.0738
3-110913-B-7	0.5968	0.2153
3-170312-A-31	0.4218	0.2668
1-196660-A-8	0.7450	0.2357
2-122104-A-0	0.8567	0.2254
5-222894-A-32	0.5600	0.2245
4-164661-B-12	0.2967	0.0551
4-151242-A-37	0.6898	0.5383
4-212604-A-15	0.8320	0.2299
1-18631-A-23	0.6116	0.1961
1-76831-E-42	0.7765	0.2429
2-82077-A-7	0.6663	0.0844
3-68630-C-40	0.3539	0.0900
3-197408-C-8	0.8314	0.2805
2-102852-A-11	0.1475	0.0755
2-138465-A-43	0.2477	0.0444
4-156827-A-46	0.8047	0.3591
3-136608-A-16	0.4969	0.1564
3-118972-B-41	0.7941	0.4080
3-120526-A-37	0.6802	0.4883
2-87780-A-33	0.6475	0.3496
5-201274-A-21	0.6178	0.1028
2-72547-C-14	0.6640	0.1208
4-167063-B-11	0.3491	0.1792
4-204683-A-31	0.4691	0.0628
3-94343-A-25	0.3537	0.1714
3-94342-A-25	0.2781	0.1537
3-157695-A-0	0.7543	0.2956
2-158746-C-2	0.7200	0.2416
4-180337-A-28	0.5684	0.3511
5-263490-A-25	0.3099	0.0944
4-143118-A-7	0.3850	0.2923
2-114280-A-0	0.7806	0.4475
5-263491-A-25	0.4917	0.1588
5-233605-A-39	0.7101	0.2065
5-200461-A-11	0.2787	0.0934
2-109231-B-9	0.8153	0.1856
2-117116-A-37	0.6911	0.5261
2-106019-A-13	0.7154	0.0726
3-97909-A-49	0.5476	0.2754
4-147657-A-46	0.5728	0.1502
3-152007-E-20	0.6987	0.2905
1-172649-B-40	0.2196	0.1811
1-54505-A-21	0.7102	0.1181
5-170338-B-41	0.6403	0.3279
1-137-A-32	0.5369	0.1201
