=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5381
Mean Deletion AUC: 0.2030
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.6337	0.0855
1-39901-A-11	0.4990	0.1887
1-28135-B-11	0.6046	0.1635
2-50668-A-41	0.7575	0.3669
5-177957-D-40	0.7295	0.1727
3-142605-A-21	0.7401	0.0433
4-175945-A-38	0.7191	0.3134
5-221593-A-21	0.6433	0.0523
2-73260-A-10	0.1552	0.0799
5-215658-A-12	0.2851	0.1890
2-88724-A-38	0.6331	0.3054
1-64398-B-41	0.7610	0.1741
4-161579-A-40	0.7124	0.1228
2-71162-A-1	0.8917	0.1674
4-195497-A-11	0.2162	0.1268
5-200334-B-1	0.9065	0.2696
2-95258-B-1	0.8003	0.3773
3-151081-B-20	0.3493	0.4304
2-188822-A-40	0.3280	0.0958
4-182613-B-11	0.1112	0.0377
3-170015-A-0	0.7823	0.0346
1-211527-B-20	0.4062	0.2514
3-68630-A-40	0.2567	0.1480
4-185575-A-20	0.6979	0.5627
1-17808-A-12	0.2680	0.1034
2-132157-B-11	0.1696	0.0407
2-96460-A-1	0.8210	0.2315
3-170377-A-38	0.8030	0.2718
5-195710-A-10	0.1445	0.0744
4-161127-A-10	0.2899	0.0595
2-77945-B-41	0.8237	0.3497
2-30322-A-12	0.2794	0.1779
4-125929-A-40	0.3389	0.1447
2-18766-B-12	0.2485	0.1265
4-169127-A-41	0.5071	0.3120
4-163264-A-10	0.4811	0.0713
1-59513-A-0	0.8465	0.3784
4-185575-C-20	0.5531	0.2660
3-142005-A-10	0.3974	0.0843
2-122104-A-0	0.8786	0.2849
4-164661-B-12	0.3887	0.0593
3-68630-C-40	0.2279	0.1993
2-102852-A-11	0.1650	0.1366
3-118972-B-41	0.6484	0.3473
5-201274-A-21	0.7276	0.1075
4-167063-B-11	0.3035	0.1914
3-157695-A-0	0.7253	0.3249
