=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5861
Mean Deletion AUC: 0.2446
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.6086	0.4448
3-246513-B-16	0.8094	0.2270
1-96950-B-9	0.7942	0.3059
2-105270-A-47	0.6990	0.0326
4-90014-B-42	0.7744	0.2424
1-47273-A-21	0.6337	0.0855
1-39901-A-11	0.4990	0.1887
1-19840-A-36	0.7225	0.4010
1-28135-B-11	0.6046	0.1635
2-134915-A-30	0.5862	0.0598
2-60180-A-49	0.3911	0.1979
5-180156-B-43	0.5605	0.3755
5-233019-A-31	0.4509	0.0556
5-223317-A-31	0.6957	0.2127
4-161105-B-47	0.6362	0.1584
3-160993-A-3	0.7795	0.2737
3-135650-B-45	0.5368	0.1225
2-66205-A-23	0.4986	0.0259
1-47819-A-5	0.8831	0.0698
1-54747-A-46	0.6934	0.2303
2-152964-A-31	0.4493	0.0211
3-139958-A-37	0.5382	0.4605
1-101336-A-30	0.7110	0.1019
1-11687-A-47	0.1533	0.1460
3-156581-B-14	0.7868	0.2658
1-12653-A-15	0.6680	0.3511
4-204777-A-39	0.6554	0.6571
5-160614-B-48	0.3228	0.2031
4-234644-A-2	0.7115	0.4080
4-201988-A-44	0.4869	0.1580
2-103424-A-3	0.5965	0.3056
1-28005-A-18	0.5680	0.3269
2-82455-A-23	0.5824	0.2739
5-234855-A-25	0.5884	0.0689
2-50668-A-41	0.7575	0.3669
3-163607-A-13	0.7563	0.2024
5-233312-A-28	0.5006	0.1758
1-115545-A-48	0.3292	0.0284
3-144510-A-30	0.7500	0.0906
4-102844-C-49	0.6915	0.4358
5-192191-A-19	0.4913	0.1832
4-198962-A-25	0.3632	0.0862
5-177957-D-40	0.7295	0.1727
5-259180-A-15	0.6843	0.0850
2-102581-B-29	0.7500	0.1751
1-21896-A-35	0.8358	0.3380
5-260164-A-23	0.3301	0.1670
2-52001-A-28	0.5258	0.0740
2-42101-A-43	0.7665	0.1168
3-251617-A-48	0.5783	0.1915
3-142605-A-21	0.7401	0.0433
2-95567-A-23	0.5905	0.1868
2-32515-A-4	0.7981	0.3486
3-155584-A-14	0.6315	0.1438
5-214759-B-5	0.8242	0.1562
1-22804-A-46	0.5465	0.3484
4-175945-A-38	0.7191	0.3134
3-96606-A-49	0.3904	0.2192
5-221593-A-21	0.6433	0.0523
3-110913-D-7	0.7014	0.3890
4-161303-B-5	0.7195	0.0797
2-73260-A-10	0.1552	0.0799
2-104105-B-19	0.2480	0.3053
5-249748-A-28	0.4279	0.1203
2-117615-E-48	0.2501	0.1173
4-108352-A-33	0.7987	0.2629
1-46353-A-49	0.6460	0.2610
2-139749-A-15	0.5751	0.0996
5-215658-A-12	0.2851	0.1890
2-128465-A-43	0.1781	0.2629
5-179860-A-43	0.7644	0.2424
1-58846-A-34	0.5522	0.2028
1-17970-A-4	0.5830	0.3001
1-15689-A-4	0.6388	0.1891
2-139748-A-15	0.7160	0.0556
2-88724-A-38	0.6331	0.3054
1-64398-B-41	0.7610	0.1741
2-124564-A-15	0.6308	0.1329
4-161579-A-40	0.7124	0.1228
4-125072-A-19	0.1772	0.1154
2-71162-A-1	0.8917	0.1674
2-98392-A-23	0.1391	0.0729
1-45641-A-27	0.4725	0.4411
4-163606-A-16	0.2836	0.1383
3-159348-A-36	0.5852	0.3102
4-187284-A-30	0.7599	0.0432
5-253094-A-49	0.8093	0.5269
4-186518-A-30	0.7335	0.3340
4-195497-A-11	0.2162	0.1268
4-135439-A-18	0.3924	0.3630
3-108451-A-17	0.5362	0.2909
5-200334-B-1	0.9065	0.2696
1-36397-A-23	0.6020	0.0545
5-252248-A-34	0.7000	0.1338
5-156698-A-18	0.5192	0.2115
1-30709-B-23	0.4746	0.2990
4-218199-C-35	0.6858	0.3238
5-263831-A-6	0.4964	0.4405
1-260640-A-2	0.7631	0.3855
2-52085-A-4	0.6553	0.3084
2-135860-A-49	0.3559	0.2690
4-184237-A-28	0.6264	0.2477
5-198373-A-46	0.7879	0.1433
1-51170-A-18	0.4528	0.4959
3-155766-A-13	0.6622	0.0505
2-95258-B-1	0.8003	0.3773
3-103051-B-19	0.7032	0.0237
5-202540-A-18	0.5229	0.3486
4-154793-A-4	0.6768	0.3781
5-218494-A-22	0.6260	0.1466
5-157204-A-16	0.5575	0.1555
2-106881-A-39	0.5552	0.0655
3-151081-B-20	0.3493	0.4304
5-260011-A-34	0.7116	0.1030
5-235644-A-30	0.6776	0.1708
3-129678-A-13	0.7552	0.6875
1-36402-A-23	0.3787	0.0694
1-53444-A-28	0.4865	0.3323
5-219242-A-37	0.5653	0.5011
3-98869-A-46	0.4764	0.3568
1-260640-C-2	0.6745	0.4674
2-188822-A-40	0.3280	0.0958
2-78651-A-44	0.1406	0.0319
4-182613-B-11	0.1112	0.0377
3-115387-A-47	0.7137	0.0877
1-51805-C-33	0.7839	0.3217
2-59566-A-46	0.6532	0.3737
4-244318-A-6	0.7569	0.2745
3-146033-A-13	0.7504	0.1034
1-79146-A-29	0.7021	0.2312
1-67033-A-37	0.5565	0.4913
1-103999-A-30	0.7200	0.0532
1-38560-A-14	0.8006	0.2934
5-189795-A-4	0.2245	0.4437
5-202020-A-18	0.2712	0.4170
3-152020-B-36	0.9271	0.4766
3-170015-A-0	0.7823	0.0346
4-175845-A-43	0.7924	0.2640
5-200329-B-8	0.7198	0.2063
4-181599-A-26	0.6054	0.1699
1-81001-B-30	0.5700	0.2809
1-211527-B-20	0.4062	0.2514
3-253084-D-2	0.8174	0.5112
2-92978-A-29	0.4760	0.2147
5-237315-A-31	0.7285	0.1431
3-68630-A-40	0.2567	0.1480
2-72547-A-14	0.4621	0.1739
3-169907-A-29	0.6469	0.3451
4-186935-A-44	0.5900	0.2163
1-50688-A-17	0.5267	0.2338
5-233787-A-7	0.6277	0.0663
2-91912-B-33	0.6956	0.3859
5-259514-A-26	0.4633	0.1207
4-185575-A-20	0.6979	0.5627
1-17808-A-12	0.2680	0.1034
3-124376-B-3	0.6077	0.3297
4-99644-B-4	0.6929	0.5663
5-248341-B-6	0.6345	0.1987
4-212604-C-15	0.7119	0.3632
5-218196-B-27	0.7126	0.1216
2-132157-B-11	0.1696	0.0407
2-96460-A-1	0.8210	0.2315
3-170377-A-38	0.8030	0.2718
4-150364-B-46	0.6691	0.5821
4-188703-D-8	0.8383	0.2900
5-195710-A-10	0.1445	0.0744
4-161127-A-10	0.2899	0.0595
3-102583-C-49	0.4790	0.2140
4-165845-A-45	0.4462	0.1967
1-49409-B-8	0.8474	0.3050
2-108767-B-9	0.6181	0.0615
3-216280-A-39	0.8259	0.0564
5-204352-B-13	0.5921	0.2035
