=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5539
Mean Deletion AUC: 0.2110
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.4822	0.0632
1-39901-A-11	0.4318	0.1808
1-28135-B-11	0.2199	0.1310
2-50668-A-41	0.6878	0.2969
5-177957-D-40	0.6543	0.2830
3-142605-A-21	0.7044	0.0666
4-175945-A-38	0.7550	0.3192
5-221593-A-21	0.6839	0.0823
2-73260-A-10	0.2977	0.1418
5-215658-A-12	0.3535	0.2294
2-88724-A-38	0.6237	0.2167
1-64398-B-41	0.7592	0.1866
4-161579-A-40	0.7014	0.0645
2-71162-A-1	0.8603	0.1965
4-195497-A-11	0.4212	0.2776
5-200334-B-1	0.9082	0.3095
2-95258-B-1	0.8363	0.3053
3-151081-B-20	0.5121	0.2529
2-188822-A-40	0.3703	0.0803
4-182613-B-11	0.2552	0.0771
3-170015-A-0	0.7594	0.0280
1-211527-B-20	0.5016	0.1784
3-68630-A-40	0.4178	0.1882
4-185575-A-20	0.6132	0.3252
1-17808-A-12	0.2805	0.2196
2-132157-B-11	0.2119	0.0545
2-96460-A-1	0.8464	0.2181
3-170377-A-38	0.8529	0.2077
5-195710-A-10	0.2174	0.0627
4-161127-A-10	0.3098	0.0961
2-77945-B-41	0.8439	0.3401
2-30322-A-12	0.2631	0.2183
4-125929-A-40	0.4466	0.2334
2-18766-B-12	0.1672	0.2789
4-169127-A-41	0.5323	0.2243
4-163264-A-10	0.5346	0.2670
1-59513-A-0	0.8193	0.3796
4-185575-C-20	0.4945	0.2153
3-142005-A-10	0.4590	0.3048
2-122104-A-0	0.8681	0.2336
4-164661-B-12	0.1979	0.2088
3-68630-C-40	0.3398	0.0881
2-102852-A-11	0.1742	0.1095
3-118972-B-41	0.6896	0.3980
5-201274-A-21	0.6834	0.0539
4-167063-B-11	0.4987	0.1876
3-157695-A-0	0.7380	0.2541
2-114280-A-0	0.7628	0.4178
5-200461-A-11	0.2611	0.0722
3-152007-E-20	0.6453	0.2760
1-172649-B-40	0.4941	0.1679
1-54505-A-21	0.7166	0.0624
5-170338-B-41	0.5975	0.2663
3-118657-B-41	0.7949	0.2447
2-188822-C-40	0.3573	0.1568
1-17367-A-10	0.2519	0.1495
4-167642-A-21	0.6276	0.1200
5-151085-A-20	0.5369	0.2010
5-194533-A-21	0.5264	0.0769
5-219379-B-11	0.4930	0.1322
5-212181-A-38	0.6838	0.3017
2-50665-A-20	0.2949	0.0458
2-37806-D-40	0.7650	0.3329
2-28314-A-12	0.2833	0.2358
5-205898-A-40	0.5916	0.1733
4-149294-B-41	0.6454	0.2195
3-158476-A-12	0.2008	0.2587
2-140147-A-38	0.7823	0.3071
5-198411-B-20	0.4403	0.3056
2-135728-A-38	0.6868	0.2996
2-72970-A-10	0.3480	0.3086
4-181865-A-38	0.8203	0.1053
5-171653-A-41	0.5097	0.1683
2-107351-B-20	0.4419	0.2007
2-128631-A-21	0.6699	0.0441
5-193473-A-12	0.3431	0.1279
4-183992-A-0	0.8689	0.0883
4-164064-B-1	0.8351	0.2304
4-181286-A-10	0.4408	0.3778
1-22694-A-20	0.5869	0.2487
2-61311-A-12	0.0334	0.0856
3-134049-A-1	0.7843	0.3517
2-117271-A-0	0.7923	0.2894
3-166422-A-11	0.2863	0.1058
1-97392-A-0	0.6937	0.4124
1-43382-A-1	0.8330	0.5010
3-155642-B-11	0.2878	0.1334
3-148330-A-21	0.6834	0.1499
4-180380-A-10	0.5457	0.3953
3-164630-A-11	0.4073	0.1881
4-199261-A-0	0.7396	0.2609
2-95258-A-1	0.7834	0.1746
1-44831-A-1	0.8550	0.1044
3-180256-A-0	0.6504	0.1045
5-233160-A-1	0.8773	0.2716
5-200334-A-1	0.8822	0.4121
2-100786-A-1	0.8273	0.3972
5-213802-A-12	0.2885	0.0488
4-171207-A-12	0.2790	0.2964
4-164206-A-10	0.3149	0.3308
3-152007-A-20	0.3532	0.1556
1-172649-F-40	0.6917	0.1832
2-119102-A-21	0.7285	0.0709
5-209698-A-38	0.4984	0.3415
4-167077-B-20	0.5203	0.2813
4-184575-A-0	0.6394	0.2119
3-118658-A-41	0.5690	0.2263
4-157611-B-41	0.8069	0.2140
4-204618-A-11	0.4318	0.1235
5-231762-A-0	0.7399	0.2914
3-154957-A-1	0.8508	0.5158
3-157149-A-10	0.4575	0.3479
1-63871-A-10	0.4878	0.1790
4-175000-A-40	0.7510	0.2064
1-56311-A-10	0.3379	0.1563
4-170247-A-12	0.3671	0.2734
2-66637-B-20	0.5011	0.2258
5-208810-A-11	0.3902	0.2517
