=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5939
Mean Deletion AUC: 0.2218
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.4349	0.3050
3-246513-B-16	0.7968	0.2380
1-96950-B-9	0.7877	0.3023
2-105270-A-47	0.6042	0.0301
4-90014-B-42	0.7485	0.2775
1-47273-A-21	0.4822	0.0632
1-39901-A-11	0.4318	0.1808
1-19840-A-36	0.7291	0.4027
1-28135-B-11	0.2199	0.1310
2-134915-A-30	0.5689	0.0447
2-60180-A-49	0.4115	0.2426
5-180156-B-43	0.8023	0.3007
5-233019-A-31	0.3211	0.1152
5-223317-A-31	0.6105	0.2805
4-161105-B-47	0.5770	0.1676
3-160993-A-3	0.7448	0.1683
3-135650-B-45	0.5057	0.1183
2-66205-A-23	0.4232	0.0251
1-47819-A-5	0.8426	0.1485
1-54747-A-46	0.7117	0.2273
2-152964-A-31	0.1872	0.1669
3-139958-A-37	0.6010	0.4112
1-101336-A-30	0.7014	0.0764
1-11687-A-47	0.1334	0.1332
3-156581-B-14	0.7077	0.3547
1-12653-A-15	0.6074	0.3400
4-204777-A-39	0.5306	0.4845
5-160614-B-48	0.3506	0.2387
4-234644-A-2	0.6517	0.3948
4-201988-A-44	0.5024	0.1296
2-103424-A-3	0.6684	0.1274
1-28005-A-18	0.4665	0.1665
2-82455-A-23	0.5247	0.2773
5-234855-A-25	0.4075	0.1212
2-50668-A-41	0.6878	0.2969
3-163607-A-13	0.7839	0.1506
5-233312-A-28	0.5852	0.1922
1-115545-A-48	0.2410	0.0737
3-144510-A-30	0.6941	0.2619
4-102844-C-49	0.4717	0.3741
5-192191-A-19	0.7567	0.0710
4-198962-A-25	0.5797	0.1019
5-177957-D-40	0.6543	0.2830
5-259180-A-15	0.6773	0.0668
2-102581-B-29	0.7170	0.0566
1-21896-A-35	0.8474	0.3608
5-260164-A-23	0.5149	0.3245
2-52001-A-28	0.2908	0.0435
2-42101-A-43	0.8035	0.1339
3-251617-A-48	0.2540	0.1328
3-142605-A-21	0.7044	0.0666
2-95567-A-23	0.5773	0.1385
2-32515-A-4	0.7531	0.2547
3-155584-A-14	0.6288	0.1355
5-214759-B-5	0.7276	0.2673
1-22804-A-46	0.5713	0.3903
4-175945-A-38	0.7550	0.3192
3-96606-A-49	0.4317	0.2322
5-221593-A-21	0.6839	0.0823
3-110913-D-7	0.6756	0.2288
4-161303-B-5	0.6780	0.1348
2-73260-A-10	0.2977	0.1418
2-104105-B-19	0.6810	0.0891
5-249748-A-28	0.3465	0.1254
2-117615-E-48	0.1322	0.2881
4-108352-A-33	0.6794	0.3165
1-46353-A-49	0.3443	0.3055
2-139749-A-15	0.5819	0.1918
5-215658-A-12	0.3535	0.2294
2-128465-A-43	0.4374	0.2949
5-179860-A-43	0.7235	0.0976
1-58846-A-34	0.1729	0.4185
1-17970-A-4	0.6461	0.3005
1-15689-A-4	0.7291	0.1173
2-139748-A-15	0.6449	0.0483
2-88724-A-38	0.6237	0.2167
1-64398-B-41	0.7592	0.1866
2-124564-A-15	0.4998	0.2136
4-161579-A-40	0.7014	0.0645
4-125072-A-19	0.6892	0.0837
2-71162-A-1	0.8603	0.1965
2-98392-A-23	0.2913	0.0543
1-45641-A-27	0.5240	0.4490
4-163606-A-16	0.7069	0.1312
3-159348-A-36	0.6282	0.3157
4-187284-A-30	0.7364	0.0511
5-253094-A-49	0.5468	0.3555
4-186518-A-30	0.6412	0.3184
4-195497-A-11	0.4212	0.2776
4-135439-A-18	0.5274	0.2019
3-108451-A-17	0.5579	0.3239
5-200334-B-1	0.9082	0.3095
1-36397-A-23	0.5502	0.0333
5-252248-A-34	0.6702	0.1242
5-156698-A-18	0.5595	0.1175
1-30709-B-23	0.5280	0.2141
4-218199-C-35	0.7153	0.3147
5-263831-A-6	0.6584	0.3899
1-260640-A-2	0.7027	0.3271
2-52085-A-4	0.6554	0.3711
2-135860-A-49	0.3134	0.3014
4-184237-A-28	0.7524	0.0980
5-198373-A-46	0.8002	0.2813
1-51170-A-18	0.5694	0.2509
3-155766-A-13	0.7102	0.1376
2-95258-B-1	0.8363	0.3053
3-103051-B-19	0.7549	0.0276
5-202540-A-18	0.5425	0.1697
4-154793-A-4	0.8075	0.6003
5-218494-A-22	0.6623	0.2151
5-157204-A-16	0.5236	0.2759
2-106881-A-39	0.4366	0.0684
3-151081-B-20	0.5121	0.2529
5-260011-A-34	0.6098	0.0891
5-235644-A-30	0.7743	0.0436
3-129678-A-13	0.7155	0.2456
1-36402-A-23	0.4472	0.0430
1-53444-A-28	0.6110	0.1765
5-219242-A-37	0.6555	0.5424
3-98869-A-46	0.5450	0.3837
1-260640-C-2	0.5637	0.4128
2-188822-A-40	0.3703	0.0803
2-78651-A-44	0.1702	0.0346
4-182613-B-11	0.2552	0.0771
3-115387-A-47	0.5045	0.2542
1-51805-C-33	0.7758	0.3809
2-59566-A-46	0.3848	0.3935
4-244318-A-6	0.7080	0.3053
3-146033-A-13	0.7556	0.0923
1-79146-A-29	0.6884	0.2624
1-67033-A-37	0.4721	0.5208
1-103999-A-30	0.7056	0.0758
1-38560-A-14	0.6955	0.2361
5-189795-A-4	0.6225	0.2740
5-202020-A-18	0.4735	0.1792
3-152020-B-36	0.9055	0.5117
3-170015-A-0	0.7594	0.0280
4-175845-A-43	0.7974	0.1444
5-200329-B-8	0.8609	0.2298
4-181599-A-26	0.5681	0.2234
1-81001-B-30	0.5759	0.1728
1-211527-B-20	0.5016	0.1784
3-253084-D-2	0.6036	0.3752
2-92978-A-29	0.5749	0.1227
5-237315-A-31	0.5556	0.1324
