=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5790
Mean Deletion AUC: 0.2102
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.6509	0.4476
3-246513-B-16	0.5424	0.1284
1-96950-B-9	0.7617	0.4068
2-105270-A-47	0.5573	0.0849
4-90014-B-42	0.7299	0.4567
1-47273-A-21	0.2801	0.0544
1-39901-A-11	0.3856	0.1158
1-19840-A-36	0.7818	0.3556
1-28135-B-11	0.3086	0.0522
2-134915-A-30	0.5739	0.0438
2-60180-A-49	0.3193	0.1313
5-180156-B-43	0.7296	0.4368
5-233019-A-31	0.4485	0.0582
5-223317-A-31	0.6472	0.1183
4-161105-B-47	0.7369	0.1601
3-160993-A-3	0.7882	0.1787
3-135650-B-45	0.2977	0.0434
2-66205-A-23	0.3326	0.0215
1-47819-A-5	0.9009	0.0887
1-54747-A-46	0.7569	0.1206
2-152964-A-31	0.4468	0.0160
3-139958-A-37	0.5966	0.5140
1-101336-A-30	0.7812	0.0943
1-11687-A-47	0.1430	0.1639
3-156581-B-14	0.7824	0.2764
1-12653-A-15	0.6962	0.4199
4-204777-A-39	0.6309	0.5766
5-160614-B-48	0.3570	0.1181
4-234644-A-2	0.7644	0.4269
4-201988-A-44	0.4713	0.1198
2-103424-A-3	0.5513	0.2017
1-28005-A-18	0.4573	0.1712
2-82455-A-23	0.4578	0.0773
5-234855-A-25	0.2938	0.1040
2-50668-A-41	0.7590	0.3149
3-163607-A-13	0.6991	0.1419
5-233312-A-28	0.4562	0.2781
1-115545-A-48	0.1264	0.0743
3-144510-A-30	0.7700	0.1385
4-102844-C-49	0.3798	0.2193
5-192191-A-19	0.8394	0.0696
4-198962-A-25	0.4447	0.0943
5-177957-D-40	0.5478	0.2422
5-259180-A-15	0.7377	0.0749
2-102581-B-29	0.7342	0.1885
1-21896-A-35	0.7967	0.3067
5-260164-A-23	0.4538	0.2749
2-52001-A-28	0.2240	0.0710
2-42101-A-43	0.3055	0.1684
3-251617-A-48	0.6120	0.1313
3-142605-A-21	0.7546	0.0521
2-95567-A-23	0.4973	0.1729
2-32515-A-4	0.6938	0.3663
3-155584-A-14	0.5047	0.0488
5-214759-B-5	0.7674	0.2085
1-22804-A-46	0.7709	0.3582
4-175945-A-38	0.5307	0.1769
3-96606-A-49	0.3331	0.1201
5-221593-A-21	0.6223	0.0534
3-110913-D-7	0.8104	0.2314
4-161303-B-5	0.6268	0.0650
2-73260-A-10	0.2497	0.0755
2-104105-B-19	0.8085	0.1029
5-249748-A-28	0.3437	0.0727
2-117615-E-48	0.2273	0.1312
4-108352-A-33	0.7960	0.4375
1-46353-A-49	0.5609	0.1628
2-139749-A-15	0.3685	0.1506
5-215658-A-12	0.3199	0.1183
2-128465-A-43	0.1913	0.1253
5-179860-A-43	0.7258	0.1378
1-58846-A-34	0.4000	0.2873
1-17970-A-4	0.5445	0.2156
1-15689-A-4	0.7050	0.1864
2-139748-A-15	0.2246	0.1245
2-88724-A-38	0.6236	0.2409
1-64398-B-41	0.8055	0.2072
2-124564-A-15	0.6462	0.1221
4-161579-A-40	0.4717	0.0721
4-125072-A-19	0.6011	0.1077
2-71162-A-1	0.8915	0.1924
2-98392-A-23	0.0952	0.0273
1-45641-A-27	0.4635	0.3283
4-163606-A-16	0.7160	0.1244
3-159348-A-36	0.5505	0.3787
4-187284-A-30	0.7675	0.1109
5-253094-A-49	0.6504	0.3430
4-186518-A-30	0.7763	0.3885
4-195497-A-11	0.3187	0.1020
4-135439-A-18	0.4675	0.1865
3-108451-A-17	0.4178	0.1001
5-200334-B-1	0.9260	0.3065
1-36397-A-23	0.2067	0.0626
5-252248-A-34	0.7042	0.1055
5-156698-A-18	0.3826	0.1554
1-30709-B-23	0.4974	0.2822
4-218199-C-35	0.7589	0.2908
5-263831-A-6	0.7447	0.1467
1-260640-A-2	0.8114	0.4900
2-52085-A-4	0.5832	0.4453
2-135860-A-49	0.3297	0.2004
4-184237-A-28	0.5173	0.2677
5-198373-A-46	0.7369	0.2214
1-51170-A-18	0.5655	0.1988
3-155766-A-13	0.5673	0.0860
2-95258-B-1	0.8611	0.2887
3-103051-B-19	0.7161	0.0385
5-202540-A-18	0.3060	0.2700
4-154793-A-4	0.6965	0.5847
5-218494-A-22	0.2180	0.4085
5-157204-A-16	0.5190	0.1706
2-106881-A-39	0.3892	0.1078
3-151081-B-20	0.4174	0.3037
5-260011-A-34	0.5280	0.1221
5-235644-A-30	0.8238	0.0499
3-129678-A-13	0.7233	0.5343
1-36402-A-23	0.2204	0.0949
1-53444-A-28	0.5831	0.2551
5-219242-A-37	0.6504	0.6004
3-98869-A-46	0.7006	0.3562
1-260640-C-2	0.6628	0.2730
2-188822-A-40	0.2784	0.0567
2-78651-A-44	0.1775	0.0339
4-182613-B-11	0.1881	0.0687
3-115387-A-47	0.5583	0.1654
1-51805-C-33	0.7414	0.4105
2-59566-A-46	0.5765	0.1523
4-244318-A-6	0.7771	0.2755
3-146033-A-13	0.7019	0.1833
1-79146-A-29	0.6861	0.1987
1-67033-A-37	0.6566	0.4923
1-103999-A-30	0.6937	0.0949
1-38560-A-14	0.7601	0.1770
5-189795-A-4	0.5654	0.3131
5-202020-A-18	0.5101	0.1916
3-152020-B-36	0.9214	0.5803
3-170015-A-0	0.7695	0.0388
