=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5343
Mean Deletion AUC: 0.1981
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.4905	0.0537
1-39901-A-11	0.4334	0.1517
1-28135-B-11	0.4035	0.0828
2-50668-A-41	0.7954	0.3874
5-177957-D-40	0.6976	0.1045
3-142605-A-21	0.7439	0.0543
4-175945-A-38	0.5880	0.1524
5-221593-A-21	0.6190	0.0643
2-73260-A-10	0.1645	0.0630
5-215658-A-12	0.3152	0.1637
2-88724-A-38	0.5188	0.2255
1-64398-B-41	0.6932	0.2445
4-161579-A-40	0.6991	0.0830
2-71162-A-1	0.8801	0.1504
4-195497-A-11	0.1729	0.0767
5-200334-B-1	0.9267	0.2647
2-95258-B-1	0.8224	0.3687
3-151081-B-20	0.3516	0.4002
2-188822-A-40	0.3495	0.0523
4-182613-B-11	0.1230	0.0274
3-170015-A-0	0.7559	0.0298
1-211527-B-20	0.3568	0.4350
3-68630-A-40	0.4071	0.0765
4-185575-A-20	0.6845	0.6211
1-17808-A-12	0.3656	0.0929
2-132157-B-11	0.1259	0.0235
2-96460-A-1	0.7618	0.2264
3-170377-A-38	0.7276	0.1008
5-195710-A-10	0.1284	0.0589
4-161127-A-10	0.2225	0.1121
2-77945-B-41	0.8546	0.4040
2-30322-A-12	0.2887	0.2061
4-125929-A-40	0.3222	0.1207
2-18766-B-12	0.2178	0.1478
4-169127-A-41	0.4270	0.3595
4-163264-A-10	0.4773	0.0762
1-59513-A-0	0.8443	0.4185
4-185575-C-20	0.6170	0.3181
3-142005-A-10	0.4127	0.0775
2-122104-A-0	0.8531	0.3218
4-164661-B-12	0.3120	0.0842
3-68630-C-40	0.3423	0.1816
2-102852-A-11	0.1424	0.0635
3-118972-B-41	0.5313	0.3355
5-201274-A-21	0.7363	0.0800
4-167063-B-11	0.1963	0.1149
3-157695-A-0	0.7522	0.4419
2-114280-A-0	0.7667	0.4885
5-200461-A-11	0.1357	0.0525
3-152007-E-20	0.6382	0.3494
1-172649-B-40	0.2503	0.0803
1-54505-A-21	0.7564	0.1081
5-170338-B-41	0.7224	0.4304
3-118657-B-41	0.8635	0.3779
2-188822-C-40	0.2525	0.0772
1-17367-A-10	0.2657	0.0949
4-167642-A-21	0.6099	0.2522
5-151085-A-20	0.6767	0.4127
5-194533-A-21	0.5778	0.0871
5-219379-B-11	0.2455	0.0833
5-212181-A-38	0.5366	0.2041
2-50665-A-20	0.2289	0.0878
2-37806-D-40	0.4680	0.1706
2-28314-A-12	0.2566	0.0626
5-205898-A-40	0.4541	0.1102
4-149294-B-41	0.6503	0.2483
3-158476-A-12	0.2654	0.0902
2-140147-A-38	0.6427	0.2579
5-198411-B-20	0.6233	0.5942
2-135728-A-38	0.7182	0.0877
2-72970-A-10	0.3898	0.2096
4-181865-A-38	0.7003	0.1212
5-171653-A-41	0.4418	0.2857
2-107351-B-20	0.5948	0.2586
2-128631-A-21	0.7503	0.0566
5-193473-A-12	0.4593	0.1015
4-183992-A-0	0.8722	0.1905
4-164064-B-1	0.8580	0.2945
4-181286-A-10	0.4868	0.0914
1-22694-A-20	0.5498	0.3206
2-61311-A-12	0.1105	0.0368
3-134049-A-1	0.8502	0.4381
2-117271-A-0	0.8674	0.4509
3-166422-A-11	0.0612	0.0378
1-97392-A-0	0.7592	0.4423
1-43382-A-1	0.8748	0.5270
3-155642-B-11	0.1739	0.0413
3-148330-A-21	0.4633	0.1997
4-180380-A-10	0.3634	0.2486
3-164630-A-11	0.2195	0.1395
4-199261-A-0	0.7694	0.2957
2-95258-A-1	0.8624	0.2075
1-44831-A-1	0.8292	0.1485
3-180256-A-0	0.6557	0.2098
5-233160-A-1	0.8964	0.3314
5-200334-A-1	0.9237	0.4189
2-100786-A-1	0.8589	0.5175
5-213802-A-12	0.1796	0.0414
4-171207-A-12	0.2643	0.0990
4-164206-A-10	0.4648	0.0871
3-152007-A-20	0.3787	0.2173
1-172649-F-40	0.2671	0.2568
2-119102-A-21	0.6942	0.1027
5-209698-A-38	0.5542	0.0890
4-167077-B-20	0.6735	0.4882
4-184575-A-0	0.6957	0.1824
3-118658-A-41	0.4960	0.2801
4-157611-B-41	0.8357	0.3948
4-204618-A-11	0.1599	0.0959
5-231762-A-0	0.7416	0.2897
3-154957-A-1	0.8901	0.5533
3-157149-A-10	0.4977	0.0810
1-63871-A-10	0.4305	0.1021
4-175000-A-40	0.7517	0.2182
1-56311-A-10	0.2766	0.0867
4-170247-A-12	0.4167	0.1178
2-66637-B-20	0.6514	0.3017
5-208810-A-11	0.1831	0.0738
4-181563-A-12	0.4012	0.1803
3-170383-A-38	0.6362	0.3478
1-48413-A-38	0.7045	0.3710
5-219342-A-38	0.6338	0.1665
4-171519-A-21	0.4332	0.0902
1-91359-B-11	0.1375	0.0242
4-166661-A-10	0.5039	0.1211
5-185579-A-41	0.6895	0.2617
3-65748-A-12	0.4125	0.0851
1-46272-A-12	0.4313	0.3147
1-7057-A-12	0.3228	0.1950
1-19898-B-41	0.6614	0.3565
5-198411-F-20	0.6445	0.2796
3-150979-B-40	0.4442	0.1773
5-177957-B-40	0.5339	0.0794
1-17565-A-12	0.1991	0.1130
4-164021-A-1	0.8579	0.3037
3-154926-A-40	0.1909	0.0790
2-155801-A-11	0.1652	0.0357
5-220027-A-21	0.6814	0.0768
5-220026-A-21	0.5759	0.0560
1-47274-A-21	0.7847	0.1433
5-202898-A-10	0.3015	0.0923
4-59579-B-20	0.4634	0.1893
5-191131-A-40	0.6091	0.1162
3-150231-A-21	0.7369	0.0523
4-193480-B-40	0.2781	0.0940
4-175000-C-40	0.2303	0.1919
5-220955-A-40	0.4365	0.0560
4-164064-C-1	0.8858	0.2372
3-150363-A-38	0.6994	0.3218
1-26806-A-1	0.8845	0.3118
1-47250-A-41	0.8669	0.3182
5-202220-A-21	0.4868	0.1500
2-68391-A-41	0.2809	0.0790
2-122104-B-0	0.8522	0.3295
4-208021-A-1	0.7989	0.2802
2-37806-B-40	0.4535	0.0862
2-50667-B-41	0.6000	0.3224
5-198411-D-20	0.6469	0.4487
5-208030-A-0	0.7146	0.5078
4-165823-A-41	0.8950	0.3206
5-9032-A-0	0.4347	0.1696
2-95035-A-1	0.8703	0.1535
1-29680-A-21	0.7073	0.2630
5-222524-A-41	0.7370	0.2375
5-216370-B-41	0.8189	0.3942
5-213855-A-0	0.6426	0.1954
1-60997-B-20	0.4749	0.3630
4-164064-A-1	0.8795	0.2777
4-179984-A-38	0.5272	0.1307
1-85362-A-0	0.8460	0.4366
1-181071-B-40	0.5042	0.3731
5-188655-A-10	0.3990	0.0659
1-116765-A-41	0.7456	0.3145
3-116135-A-1	0.8791	0.2929
4-182395-A-0	0.6796	0.0676
5-187979-A-21	0.3699	0.0482
2-131943-A-38	0.5288	0.3106
1-40730-A-1	0.7928	0.3249
3-152007-C-20	0.5688	0.2895
3-164120-A-11	0.0710	0.0248
1-172649-D-40	0.4689	0.2907
1-57163-A-38	0.6241	0.4262
1-62850-A-38	0.6472	0.1020
4-160999-A-10	0.3606	0.0983
3-144827-A-11	0.1124	0.0336
1-27724-A-1	0.7362	0.2942
1-39923-A-1	0.8861	0.4539
5-219379-A-11	0.1505	0.0650
1-187207-A-20	0.5004	0.2347
3-132852-A-10	0.2145	0.0820
4-207124-A-0	0.7723	0.4552
1-30344-A-0	0.7833	0.4960
5-217158-A-0	0.3922	0.4884
1-211527-C-20	0.5220	0.2760
4-167063-A-11	0.2971	0.0597
3-118656-A-41	0.5947	0.2427
3-118657-A-41	0.4635	0.3251
2-127108-A-38	0.6013	0.1384
1-172649-A-40	0.3429	0.1078
5-170338-A-41	0.5159	0.3343
5-203128-B-0	0.7479	0.4419
5-200461-B-11	0.1492	0.0401
1-26222-A-10	0.4063	0.0884
3-141684-A-21	0.6150	0.0692
4-164661-A-12	0.4160	0.2829
5-189212-A-12	0.2970	0.1182
4-188033-A-38	0.5772	0.0503
2-81731-A-10	0.1924	0.0518
2-125966-A-11	0.2783	0.1926
2-73027-A-10	0.1829	0.0792
3-118972-A-41	0.5989	0.3558
3-142006-A-10	0.3922	0.0707
3-144028-A-0	0.8291	0.6363
1-42139-A-38	0.6131	0.2352
1-22694-B-20	0.4278	0.1921
1-21934-A-38	0.7019	0.2223
2-137162-A-11	0.1926	0.0487
1-21935-A-38	0.7592	0.3971
1-34119-A-1	0.8569	0.1883
2-107351-A-20	0.5301	0.3125
2-109505-A-21	0.4667	0.0373
2-118104-A-21	0.7428	0.1260
4-185415-A-21	0.5717	0.0219
5-193473-B-12	0.4692	0.1096
5-200339-A-1	0.8998	0.4045
2-133863-A-11	0.1634	0.1112
4-177250-A-10	0.3421	0.0672
1-50060-A-10	0.4687	0.1382
5-198411-A-20	0.4334	0.2103
2-28314-B-12	0.1757	0.0248
5-234879-A-1	0.8708	0.3812
5-177957-E-40	0.4834	0.1006
3-144692-A-21	0.6627	0.6378
2-50666-A-20	0.6308	0.2608
4-149294-A-41	0.4715	0.1676
1-62849-A-38	0.5903	0.1281
2-80482-A-20	0.5028	0.2073
3-157615-A-10	0.4662	0.0682
3-187710-A-11	0.3897	0.0586
3-151080-A-20	0.5885	0.2409
3-151081-A-20	0.6342	0.3570
2-118964-A-0	0.6847	0.4087
3-145382-A-1	0.8924	0.3398
2-134700-A-38	0.5613	0.0851
4-156843-A-21	0.5086	0.0420
1-64398-A-41	0.7103	0.3671
5-215658-B-12	0.3273	0.1694
4-198965-A-38	0.6965	0.3507
3-147965-A-12	0.3515	0.0705
4-184434-A-21	0.5888	0.0675
4-195497-B-11	0.1546	0.1279
1-31748-A-21	0.5886	0.0327
2-65747-A-12	0.4203	0.1263
4-161579-B-40	0.4502	0.3457
1-110389-A-0	0.8832	0.1801
2-50668-B-41	0.8181	0.3302
4-185619-A-21	0.5393	0.1878
3-120644-A-12	0.2356	0.0887
1-28135-A-11	0.2207	0.0389
1-39901-B-11	0.2235	0.0658
5-198411-C-20	0.6143	0.3119
1-4211-A-12	0.2476	0.0811
4-191687-A-0	0.8067	0.2745
3-104958-A-12	0.3094	0.0405
2-30322-B-12	0.1950	0.0712
2-77945-A-41	0.6596	0.3656
3-155312-A-0	0.7859	0.4404
3-143933-A-38	0.7040	0.0662
4-170078-A-1	0.8803	0.2858
1-26143-A-21	0.5312	0.1459
4-169127-B-41	0.8467	0.4149
2-18766-A-12	0.3366	0.1241
5-181766-A-10	0.4370	0.0913
5-186924-A-12	0.2767	0.1543
3-136288-A-0	0.6102	0.1194
4-157297-A-21	0.6439	0.1344
3-171012-A-38	0.7845	0.0955
5-212454-A-0	0.7629	0.2833
5-219379-C-11	0.2844	0.1180
2-124662-A-11	0.1813	0.0349
1-100032-A-0	0.8643	0.0314
3-68630-B-40	0.3436	0.0801
5-208624-A-38	0.5223	0.1995
2-132157-A-11	0.1349	0.0335
5-194892-A-10	0.4487	0.1327
1-17808-B-12	0.3643	0.0700
3-163288-A-1	0.8870	0.2974
4-185575-B-20	0.5860	0.5514
4-182613-A-11	0.2074	0.0334
2-188822-B-40	0.1683	0.0854
1-43760-A-11	0.2739	0.0616
1-29561-A-10	0.1797	0.0754
3-152007-D-20	0.5243	0.2786
1-172649-C-40	0.4944	0.2186
5-194930-A-1	0.8687	0.1434
1-211527-A-20	0.4286	0.2487
4-167063-C-11	0.2932	0.0792
2-118072-A-0	0.5979	0.1628
1-19898-C-41	0.6731	0.3621
5-203128-A-0	0.8250	0.2245
5-198411-G-20	0.5044	0.2826
3-157187-A-12	0.3044	0.0457
2-50667-A-41	0.7861	0.3271
4-165823-B-41	0.8512	0.3168
3-142593-A-38	0.6761	0.1621
1-47250-B-41	0.7678	0.2947
4-192236-A-0	0.7439	0.2433
4-156844-A-21	0.5754	0.1715
2-37806-A-40	0.0956	0.0515
3-150979-C-40	0.3015	0.0423
5-177957-C-40	0.5666	0.1472
2-68391-B-41	0.7158	0.2140
5-213077-A-11	0.0963	0.0220
2-117625-A-10	0.3792	0.1412
4-194711-A-38	0.6242	0.0597
4-193480-A-40	0.5484	0.2361
4-59579-A-20	0.5550	0.2335
1-30226-A-0	0.7045	0.1267
3-104632-A-12	0.3115	0.1545
4-191327-A-38	0.5860	0.1267
1-17150-A-12	0.1957	0.1874
3-144827-B-11	0.1531	0.0516
3-142601-A-21	0.6793	0.0758
1-61252-A-11	0.2444	0.0394
3-164688-A-38	0.6353	0.4076
5-189237-A-12	0.2362	0.1357
2-114587-A-0	0.5991	0.2665
4-167077-C-20	0.5304	0.2990
5-234879-B-1	0.8847	0.3648
1-34119-B-1	0.8470	0.2632
1-60997-A-20	0.6008	0.2771
3-163459-A-0	0.7364	0.1296
4-183487-A-1	0.8905	0.3383
1-181071-A-40	0.4995	0.2130
5-198321-A-10	0.3178	0.1910
3-145774-A-12	0.2938	0.1879
2-119748-A-38	0.5859	0.1998
3-156558-A-21	0.3067	0.0752
5-235671-A-38	0.7339	0.0701
5-209833-A-38	0.6425	0.1285
5-216370-A-41	0.4127	0.4357
2-65750-A-1	0.7487	0.1021
4-182369-A-12	0.4293	0.1204
