=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5724
Mean Deletion AUC: 0.2328
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.4985	0.3688
3-246513-B-16	0.8049	0.2083
1-96950-B-9	0.7665	0.3353
2-105270-A-47	0.5987	0.0373
4-90014-B-42	0.7588	0.2918
1-47273-A-21	0.4905	0.0537
1-39901-A-11	0.4334	0.1517
1-19840-A-36	0.8224	0.3964
1-28135-B-11	0.4035	0.0828
2-134915-A-30	0.5907	0.0587
2-60180-A-49	0.2139	0.1330
5-180156-B-43	0.6339	0.4430
5-233019-A-31	0.3586	0.0574
5-223317-A-31	0.6143	0.1515
4-161105-B-47	0.5560	0.1907
3-160993-A-3	0.8291	0.2120
3-135650-B-45	0.5382	0.0889
2-66205-A-23	0.4938	0.0238
1-47819-A-5	0.8686	0.0485
1-54747-A-46	0.7832	0.1576
2-152964-A-31	0.4070	0.0157
3-139958-A-37	0.5661	0.4796
1-101336-A-30	0.7396	0.1559
1-11687-A-47	0.1556	0.1859
3-156581-B-14	0.7874	0.1983
1-12653-A-15	0.7074	0.3421
4-204777-A-39	0.6846	0.6960
5-160614-B-48	0.5166	0.2315
4-234644-A-2	0.7107	0.2966
4-201988-A-44	0.5957	0.1590
2-103424-A-3	0.4686	0.4489
1-28005-A-18	0.5964	0.4244
2-82455-A-23	0.6051	0.1605
5-234855-A-25	0.4259	0.1236
2-50668-A-41	0.7954	0.3874
3-163607-A-13	0.7620	0.1728
5-233312-A-28	0.5575	0.1453
1-115545-A-48	0.2337	0.0503
3-144510-A-30	0.7814	0.2151
4-102844-C-49	0.6798	0.4077
5-192191-A-19	0.4619	0.1954
4-198962-A-25	0.4700	0.0719
5-177957-D-40	0.6976	0.1045
5-259180-A-15	0.7226	0.1132
2-102581-B-29	0.7439	0.1688
1-21896-A-35	0.8374	0.3572
5-260164-A-23	0.3779	0.1534
2-52001-A-28	0.4631	0.0700
2-42101-A-43	0.8180	0.2253
3-251617-A-48	0.5306	0.1836
3-142605-A-21	0.7439	0.0543
2-95567-A-23	0.5004	0.0952
2-32515-A-4	0.7199	0.4585
3-155584-A-14	0.6609	0.1422
5-214759-B-5	0.8005	0.1291
1-22804-A-46	0.6349	0.3714
4-175945-A-38	0.5880	0.1524
3-96606-A-49	0.3637	0.1093
5-221593-A-21	0.6190	0.0643
3-110913-D-7	0.6471	0.3491
4-161303-B-5	0.6763	0.1029
2-73260-A-10	0.1645	0.0630
2-104105-B-19	0.2604	0.2857
5-249748-A-28	0.4417	0.0882
2-117615-E-48	0.3339	0.0737
4-108352-A-33	0.7279	0.3110
1-46353-A-49	0.6333	0.1876
2-139749-A-15	0.5351	0.1119
5-215658-A-12	0.3152	0.1637
2-128465-A-43	0.1993	0.3269
5-179860-A-43	0.6451	0.2654
1-58846-A-34	0.5683	0.1311
1-17970-A-4	0.4180	0.2683
1-15689-A-4	0.6236	0.1062
2-139748-A-15	0.5834	0.0929
2-88724-A-38	0.5188	0.2255
1-64398-B-41	0.6932	0.2445
2-124564-A-15	0.7224	0.1510
4-161579-A-40	0.6991	0.0830
4-125072-A-19	0.1559	0.1222
2-71162-A-1	0.8801	0.1504
2-98392-A-23	0.1286	0.0403
1-45641-A-27	0.4695	0.3919
4-163606-A-16	0.4879	0.1079
3-159348-A-36	0.5455	0.2924
4-187284-A-30	0.7618	0.0458
5-253094-A-49	0.7042	0.4420
4-186518-A-30	0.6381	0.5293
4-195497-A-11	0.1729	0.0767
4-135439-A-18	0.3733	0.3562
3-108451-A-17	0.5630	0.1627
5-200334-B-1	0.9267	0.2647
1-36397-A-23	0.6009	0.0533
5-252248-A-34	0.6673	0.0931
5-156698-A-18	0.4387	0.1154
1-30709-B-23	0.4262	0.3001
4-218199-C-35	0.7842	0.2885
5-263831-A-6	0.4808	0.3619
1-260640-A-2	0.4473	0.7431
2-52085-A-4	0.5810	0.4901
2-135860-A-49	0.2721	0.2469
4-184237-A-28	0.6785	0.1712
5-198373-A-46	0.7551	0.1252
1-51170-A-18	0.4759	0.5166
3-155766-A-13	0.6964	0.0906
2-95258-B-1	0.8224	0.3687
3-103051-B-19	0.7862	0.0411
5-202540-A-18	0.5456	0.5102
4-154793-A-4	0.7970	0.2696
5-218494-A-22	0.8049	0.1638
5-157204-A-16	0.4937	0.1251
2-106881-A-39	0.5875	0.1008
3-151081-B-20	0.3516	0.4002
5-260011-A-34	0.6915	0.0674
5-235644-A-30	0.6812	0.2348
3-129678-A-13	0.7679	0.7290
1-36402-A-23	0.3099	0.0567
1-53444-A-28	0.5510	0.2322
5-219242-A-37	0.6879	0.5195
3-98869-A-46	0.5723	0.2719
1-260640-C-2	0.6860	0.3319
2-188822-A-40	0.3495	0.0523
2-78651-A-44	0.1178	0.0212
4-182613-B-11	0.1230	0.0274
3-115387-A-47	0.6347	0.0966
1-51805-C-33	0.6581	0.3297
2-59566-A-46	0.6687	0.2934
4-244318-A-6	0.7392	0.2705
3-146033-A-13	0.7088	0.0695
1-79146-A-29	0.7240	0.2619
1-67033-A-37	0.6422	0.5205
1-103999-A-30	0.7638	0.0472
1-38560-A-14	0.7870	0.2025
5-189795-A-4	0.2456	0.3554
5-202020-A-18	0.4162	0.4547
3-152020-B-36	0.9243	0.5413
3-170015-A-0	0.7559	0.0298
4-175845-A-43	0.8041	0.4537
5-200329-B-8	0.7475	0.2279
4-181599-A-26	0.6329	0.1544
1-81001-B-30	0.4178	0.2993
1-211527-B-20	0.3568	0.4350
3-253084-D-2	0.7775	0.5964
2-92978-A-29	0.3661	0.1721
5-237315-A-31	0.7229	0.1006
3-68630-A-40	0.4071	0.0765
2-72547-A-14	0.3041	0.1034
3-169907-A-29	0.5218	0.3121
4-186935-A-44	0.4730	0.1383
1-50688-A-17	0.3766	0.1737
5-233787-A-7	0.6130	0.1052
2-91912-B-33	0.6406	0.4294
5-259514-A-26	0.3318	0.1690
4-185575-A-20	0.6845	0.6211
1-17808-A-12	0.3656	0.0929
3-124376-B-3	0.6236	0.3449
4-99644-B-4	0.6958	0.5363
5-248341-B-6	0.6510	0.2068
4-212604-C-15	0.6813	0.3067
5-218196-B-27	0.6971	0.1277
2-132157-B-11	0.1259	0.0235
2-96460-A-1	0.7618	0.2264
3-170377-A-38	0.7276	0.1008
4-150364-B-46	0.7152	0.5685
4-188703-D-8	0.8143	0.3503
5-195710-A-10	0.1284	0.0589
4-161127-A-10	0.2225	0.1121
3-102583-C-49	0.4315	0.1836
4-165845-A-45	0.2414	0.1536
1-49409-B-8	0.8553	0.2826
2-108767-B-9	0.6241	0.0764
3-216280-A-39	0.7328	0.0331
5-204352-B-13	0.6723	0.3183
1-51436-A-17	0.4106	0.2996
5-179294-A-46	0.5238	0.0803
3-216281-A-39	0.5692	0.0458
3-98193-A-46	0.7976	0.4077
4-197454-A-28	0.5573	0.2590
2-109371-C-16	0.4478	0.2293
4-149940-B-5	0.8970	0.1163
