=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5499
Mean Deletion AUC: 0.1980
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-47273-A-21	0.4346	0.0618
1-39901-A-11	0.4575	0.1618
1-28135-B-11	0.3479	0.0533
2-50668-A-41	0.7788	0.2550
5-177957-D-40	0.6770	0.4000
3-142605-A-21	0.6476	0.0562
4-175945-A-38	0.6388	0.1432
5-221593-A-21	0.6232	0.0634
2-73260-A-10	0.3268	0.1123
5-215658-A-12	0.3329	0.1840
2-88724-A-38	0.5139	0.1827
1-64398-B-41	0.8057	0.1156
4-161579-A-40	0.6652	0.0582
2-71162-A-1	0.8778	0.2044
4-195497-A-11	0.3961	0.1848
5-200334-B-1	0.9310	0.2237
2-95258-B-1	0.7889	0.3200
3-151081-B-20	0.4881	0.2636
2-188822-A-40	0.3823	0.1202
4-182613-B-11	0.1805	0.1124
3-170015-A-0	0.6983	0.0297
1-211527-B-20	0.6151	0.2092
3-68630-A-40	0.3161	0.2155
4-185575-A-20	0.6643	0.4041
1-17808-A-12	0.2458	0.1297
2-132157-B-11	0.1738	0.0594
2-96460-A-1	0.8474	0.2189
3-170377-A-38	0.7380	0.0899
5-195710-A-10	0.1944	0.0688
4-161127-A-10	0.3373	0.0908
2-77945-B-41	0.8601	0.4424
2-30322-A-12	0.3324	0.1639
4-125929-A-40	0.3797	0.1218
2-18766-B-12	0.2084	0.2001
4-169127-A-41	0.5677	0.3435
4-163264-A-10	0.6054	0.0737
1-59513-A-0	0.7979	0.4090
4-185575-C-20	0.5552	0.2112
3-142005-A-10	0.2881	0.1851
2-122104-A-0	0.8326	0.2979
4-164661-B-12	0.3305	0.0849
3-68630-C-40	0.3067	0.1151
2-102852-A-11	0.1119	0.0659
3-118972-B-41	0.6747	0.4372
5-201274-A-21	0.6062	0.0527
4-167063-B-11	0.4658	0.1712
3-157695-A-0	0.7718	0.4057
2-114280-A-0	0.7961	0.4600
5-200461-A-11	0.2556	0.0657
3-152007-E-20	0.6716	0.3543
1-172649-B-40	0.3163	0.1859
1-54505-A-21	0.7363	0.0850
5-170338-B-41	0.6127	0.3296
3-118657-B-41	0.8366	0.3144
2-188822-C-40	0.2322	0.0881
1-17367-A-10	0.2824	0.1448
4-167642-A-21	0.5093	0.1328
5-151085-A-20	0.5804	0.2570
5-194533-A-21	0.5706	0.0527
5-219379-B-11	0.3669	0.1273
5-212181-A-38	0.5267	0.2697
2-50665-A-20	0.1940	0.0607
2-37806-D-40	0.7072	0.2802
2-28314-A-12	0.2272	0.1425
5-205898-A-40	0.5676	0.1837
4-149294-B-41	0.7483	0.2646
3-158476-A-12	0.2529	0.1106
2-140147-A-38	0.7314	0.2803
5-198411-B-20	0.5121	0.3573
2-135728-A-38	0.6769	0.1737
2-72970-A-10	0.4066	0.2688
4-181865-A-38	0.7464	0.0330
5-171653-A-41	0.4769	0.3218
2-107351-B-20	0.5626	0.1754
2-128631-A-21	0.8271	0.0574
5-193473-A-12	0.2397	0.0867
4-183992-A-0	0.8751	0.1096
4-164064-B-1	0.8940	0.1772
4-181286-A-10	0.4429	0.2225
1-22694-A-20	0.5971	0.2930
2-61311-A-12	0.0306	0.0445
3-134049-A-1	0.8432	0.4507
2-117271-A-0	0.7355	0.4348
3-166422-A-11	0.1910	0.0837
1-97392-A-0	0.7489	0.3784
1-43382-A-1	0.8515	0.5374
3-155642-B-11	0.2838	0.0612
3-148330-A-21	0.8395	0.0833
4-180380-A-10	0.5208	0.3166
3-164630-A-11	0.3871	0.1054
4-199261-A-0	0.7336	0.2980
2-95258-A-1	0.8077	0.1714
1-44831-A-1	0.8603	0.1024
3-180256-A-0	0.6544	0.1006
5-233160-A-1	0.9178	0.3290
5-200334-A-1	0.9202	0.2880
2-100786-A-1	0.8734	0.5057
5-213802-A-12	0.2922	0.0515
4-171207-A-12	0.1934	0.1293
4-164206-A-10	0.3120	0.1581
3-152007-A-20	0.4245	0.1738
1-172649-F-40	0.5180	0.1695
2-119102-A-21	0.8123	0.0468
5-209698-A-38	0.5924	0.1191
4-167077-B-20	0.5742	0.3778
4-184575-A-0	0.6294	0.2283
3-118658-A-41	0.6462	0.2420
4-157611-B-41	0.8427	0.2665
4-204618-A-11	0.1901	0.1461
5-231762-A-0	0.7527	0.3468
3-154957-A-1	0.8640	0.5500
3-157149-A-10	0.4345	0.1686
1-63871-A-10	0.4799	0.2051
4-175000-A-40	0.7638	0.2177
1-56311-A-10	0.4230	0.1100
4-170247-A-12	0.4340	0.1545
2-66637-B-20	0.5753	0.2720
5-208810-A-11	0.3467	0.1529
4-181563-A-12	0.3331	0.0779
3-170383-A-38	0.6438	0.2911
1-48413-A-38	0.6835	0.2670
5-219342-A-38	0.5247	0.2531
4-171519-A-21	0.5618	0.0396
1-91359-B-11	0.1855	0.0649
4-166661-A-10	0.6885	0.1731
5-185579-A-41	0.7155	0.3662
3-65748-A-12	0.3674	0.1201
1-46272-A-12	0.4066	0.2146
1-7057-A-12	0.3772	0.1527
1-19898-B-41	0.7207	0.3656
5-198411-F-20	0.3757	0.1482
3-150979-B-40	0.6208	0.3606
5-177957-B-40	0.5771	0.1305
1-17565-A-12	0.2283	0.0854
4-164021-A-1	0.8456	0.3070
3-154926-A-40	0.2469	0.0483
2-155801-A-11	0.2281	0.0519
5-220027-A-21	0.7436	0.0527
5-220026-A-21	0.4932	0.0587
1-47274-A-21	0.7089	0.0425
5-202898-A-10	0.4206	0.2847
4-59579-B-20	0.3616	0.1489
5-191131-A-40	0.6000	0.1073
3-150231-A-21	0.6657	0.0694
4-193480-B-40	0.4034	0.1964
4-175000-C-40	0.4584	0.3635
5-220955-A-40	0.2603	0.0575
4-164064-C-1	0.8765	0.2017
3-150363-A-38	0.6643	0.2425
1-26806-A-1	0.8688	0.2789
1-47250-A-41	0.8559	0.2641
