=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5726
Mean Deletion AUC: 0.1991
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.4070	0.1935
3-246513-B-16	0.7983	0.2108
1-96950-B-9	0.7619	0.3652
2-105270-A-47	0.6300	0.0299
4-90014-B-42	0.7242	0.3933
1-47273-A-21	0.4346	0.0618
1-39901-A-11	0.4575	0.1618
1-19840-A-36	0.7873	0.5362
1-28135-B-11	0.3479	0.0533
2-134915-A-30	0.6074	0.0485
2-60180-A-49	0.2606	0.1935
5-180156-B-43	0.7354	0.3703
5-233019-A-31	0.1520	0.0438
5-223317-A-31	0.5788	0.1200
4-161105-B-47	0.4841	0.1565
3-160993-A-3	0.7902	0.1483
3-135650-B-45	0.4311	0.1043
2-66205-A-23	0.3544	0.0223
1-47819-A-5	0.8538	0.0856
1-54747-A-46	0.7813	0.2102
2-152964-A-31	0.1372	0.1249
3-139958-A-37	0.5396	0.4302
1-101336-A-30	0.7779	0.1516
1-11687-A-47	0.1806	0.0982
3-156581-B-14	0.7622	0.1666
1-12653-A-15	0.6123	0.3823
4-204777-A-39	0.5781	0.4564
5-160614-B-48	0.2961	0.2373
4-234644-A-2	0.5711	0.3340
4-201988-A-44	0.6022	0.1679
2-103424-A-3	0.7244	0.2008
1-28005-A-18	0.5669	0.1420
2-82455-A-23	0.5227	0.1382
5-234855-A-25	0.3955	0.0752
2-50668-A-41	0.7788	0.2550
3-163607-A-13	0.7540	0.2277
5-233312-A-28	0.5734	0.2481
1-115545-A-48	0.1137	0.0397
3-144510-A-30	0.6985	0.4236
4-102844-C-49	0.3471	0.2292
5-192191-A-19	0.7911	0.0633
4-198962-A-25	0.5179	0.1011
5-177957-D-40	0.6770	0.4000
5-259180-A-15	0.7414	0.0974
2-102581-B-29	0.7287	0.0698
1-21896-A-35	0.8512	0.2715
5-260164-A-23	0.4880	0.1011
2-52001-A-28	0.2451	0.0276
2-42101-A-43	0.8537	0.1951
3-251617-A-48	0.3314	0.1224
3-142605-A-21	0.6476	0.0562
2-95567-A-23	0.5117	0.1906
2-32515-A-4	0.6782	0.2814
3-155584-A-14	0.5492	0.0917
5-214759-B-5	0.7480	0.2472
1-22804-A-46	0.6659	0.5082
4-175945-A-38	0.6388	0.1432
3-96606-A-49	0.3192	0.1299
5-221593-A-21	0.6232	0.0634
3-110913-D-7	0.7761	0.2504
4-161303-B-5	0.5845	0.1361
2-73260-A-10	0.3268	0.1123
2-104105-B-19	0.7409	0.0906
5-249748-A-28	0.2931	0.0391
2-117615-E-48	0.2258	0.1542
4-108352-A-33	0.6759	0.2922
1-46353-A-49	0.2945	0.1671
2-139749-A-15	0.3557	0.3054
5-215658-A-12	0.3329	0.1840
2-128465-A-43	0.3603	0.2968
5-179860-A-43	0.6290	0.1467
1-58846-A-34	0.2114	0.3383
1-17970-A-4	0.6093	0.2878
1-15689-A-4	0.6505	0.0876
2-139748-A-15	0.4678	0.0747
2-88724-A-38	0.5139	0.1827
1-64398-B-41	0.8057	0.1156
2-124564-A-15	0.6114	0.1421
4-161579-A-40	0.6652	0.0582
4-125072-A-19	0.7357	0.0840
2-71162-A-1	0.8778	0.2044
2-98392-A-23	0.2083	0.0320
1-45641-A-27	0.4568	0.2711
4-163606-A-16	0.7119	0.1014
3-159348-A-36	0.7037	0.2571
4-187284-A-30	0.6883	0.0594
5-253094-A-49	0.4795	0.3991
4-186518-A-30	0.5706	0.5161
4-195497-A-11	0.3961	0.1848
4-135439-A-18	0.5567	0.1436
3-108451-A-17	0.4153	0.0524
5-200334-B-1	0.9310	0.2237
1-36397-A-23	0.3494	0.0281
5-252248-A-34	0.7668	0.0458
5-156698-A-18	0.6106	0.1234
1-30709-B-23	0.4496	0.2767
4-218199-C-35	0.7100	0.3295
5-263831-A-6	0.6073	0.2053
1-260640-A-2	0.5890	0.4303
