=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5726
Mean Deletion AUC: 0.1991
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.6338	0.4258
3-246513-B-16	0.5339	0.1324
1-96950-B-9	0.7370	0.3835
2-105270-A-47	0.5428	0.0601
4-90014-B-42	0.7048	0.4478
1-47273-A-21	0.2801	0.0544
1-39901-A-11	0.3856	0.1158
1-19840-A-36	0.7542	0.3458
1-28135-B-11	0.3086	0.0522
2-134915-A-30	0.5572	0.0127
2-60180-A-49	0.2960	0.0990
5-180156-B-43	0.7140	0.4104
5-233019-A-31	0.4502	0.0622
5-223317-A-31	0.6206	0.0962
4-161105-B-47	0.7339	0.1553
3-160993-A-3	0.7656	0.1832
3-135650-B-45	0.3015	0.0474
2-66205-A-23	0.3341	0.0000
1-47819-A-5	0.8813	0.0835
1-54747-A-46	0.7628	0.1113
2-152964-A-31	0.4475	0.0000
3-139958-A-37	0.5716	0.5123
1-101336-A-30	0.7695	0.0647
1-11687-A-47	0.1430	0.1435
3-156581-B-14	0.7913	0.2675
1-12653-A-15	0.6751	0.4133
4-204777-A-39	0.6130	0.5721
5-160614-B-48	0.3600	0.1190
4-234644-A-2	0.7749	0.3974
4-201988-A-44	0.4470	0.0912
2-103424-A-3	0.5269	0.1984
1-28005-A-18	0.4593	0.1483
2-82455-A-23	0.4425	0.0829
5-234855-A-25	0.2813	0.0954
2-50668-A-41	0.7590	0.3149
3-163607-A-13	0.7061	0.1099
5-233312-A-28	0.4580	0.2673
1-115545-A-48	0.1248	0.0485
3-144510-A-30	0.7767	0.1175
4-102844-C-49	0.3811	0.2008
5-192191-A-19	0.8438	0.0455
4-198962-A-25	0.4424	0.1002
5-177957-D-40	0.5478	0.2422
5-259180-A-15	0.7334	0.0648
2-102581-B-29	0.7086	0.1573
1-21896-A-35	0.8051	0.2919
5-260164-A-23	0.4623	0.2768
2-52001-A-28	0.2100	0.0383
2-42101-A-43	0.3025	0.1347
3-251617-A-48	0.5847	0.1370
3-142605-A-21	0.7546	0.0521
2-95567-A-23	0.4893	0.1717
2-32515-A-4	0.6907	0.3514
3-155584-A-14	0.4884	0.0400
5-214759-B-5	0.7560	0.2081
1-22804-A-46	0.7763	0.3376
4-175945-A-38	0.5307	0.1769
3-96606-A-49	0.3108	0.0954
5-221593-A-21	0.6223	0.0534
3-110913-D-7	0.8006	0.2337
4-161303-B-5	0.6022	0.0511
2-73260-A-10	0.2497	0.0755
2-104105-B-19	0.7959	0.0882
5-249748-A-28	0.3510	0.0492
2-117615-E-48	0.2238	0.1347
4-108352-A-33	0.7691	0.4301
1-46353-A-49	0.5672	0.1633
2-139749-A-15	0.3668	0.1377
5-215658-A-12	0.3199	0.1183
2-128465-A-43	0.1841	0.0985
5-179860-A-43	0.7093	0.1121
1-58846-A-34	0.3840	0.2590
1-17970-A-4	0.5238	0.2116
1-15689-A-4	0.7019	0.1603
2-139748-A-15	0.1986	0.1070
2-88724-A-38	0.6236	0.2409
1-64398-B-41	0.8055	0.2072
2-124564-A-15	0.6560	0.1144
4-161579-A-40	0.4717	0.0721
4-125072-A-19	0.5772	0.0957
2-71162-A-1	0.8915	0.1924
2-98392-A-23	0.0921	0.0132
1-45641-A-27	0.4585	0.3011
4-163606-A-16	0.7025	0.1004
3-159348-A-36	0.5336	0.3662
4-187284-A-30	0.7570	0.0820
5-253094-A-49	0.6356	0.3116
4-186518-A-30	0.7871	0.3582
4-195497-A-11	0.3187	0.1020
4-135439-A-18	0.4653	0.1864
3-108451-A-17	0.4105	0.0740
5-200334-B-1	0.9260	0.3065
1-36397-A-23	0.2052	0.0361
5-252248-A-34	0.6959	0.0981
5-156698-A-18	0.3605	0.1569
1-30709-B-23	0.4703	0.2562
4-218199-C-35	0.7697	0.2729
5-263831-A-6	0.7505	0.1250
1-260640-A-2	0.7872	0.4576
2-52085-A-4	0.5796	0.4168
2-135860-A-49	0.3331	0.2005
4-184237-A-28	0.5251	0.2501
5-198373-A-46	0.7115	0.2147
1-51170-A-18	0.5428	0.1711
3-155766-A-13	0.5550	0.0672
2-95258-B-1	0.8611	0.2887
3-103051-B-19	0.7122	0.0241
5-202540-A-18	0.2813	0.2471
4-154793-A-4	0.6963	0.5729
5-218494-A-22	0.2202	0.3779
5-157204-A-16	0.5089	0.1718
2-106881-A-39	0.3951	0.1119
3-151081-B-20	0.4174	0.3037
5-260011-A-34	0.5155	0.1057
5-235644-A-30	0.8291	0.0451
3-129678-A-13	0.7106	0.5100
1-36402-A-23	0.2085	0.0989
1-53444-A-28	0.5702	0.2312
5-219242-A-37	0.6508	0.6059
3-98869-A-46	0.7079	0.3354
1-260640-C-2	0.6377	0.2429
2-188822-A-40	0.2784	0.0567
2-78651-A-44	0.1731	0.0354
4-182613-B-11	0.1881	0.0687
3-115387-A-47	0.5637	0.1613
1-51805-C-33	0.7411	0.3770
2-59566-A-46	0.5578	0.1462
4-244318-A-6	0.7637	0.2633
3-146033-A-13	0.7093	0.1848
