=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.5661
Mean Deletion AUC: 0.2405
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.6300	0.4819
3-246513-B-16	0.7269	0.2515
1-96950-B-9	0.8262	0.3101
2-105270-A-47	0.3820	0.0410
4-90014-B-42	0.7392	0.2127
1-47273-A-21	0.2790	0.1473
1-39901-A-11	0.4130	0.2017
1-19840-A-36	0.6570	0.3450
1-28135-B-11	0.2448	0.1211
2-134915-A-30	0.6106	0.1254
2-60180-A-49	0.3976	0.3278
5-180156-B-43	0.7810	0.3830
5-233019-A-31	0.4142	0.0649
5-223317-A-31	0.5814	0.1240
4-161105-B-47	0.3629	0.2253
3-160993-A-3	0.8149	0.2222
3-135650-B-45	0.3969	0.1036
2-66205-A-23	0.0884	0.1701
1-47819-A-5	0.8390	0.1869
1-54747-A-46	0.3234	0.2411
2-152964-A-31	0.5364	0.0452
3-139958-A-37	0.5911	0.3126
1-101336-A-30	0.7685	0.0895
1-11687-A-47	0.1939	0.1309
3-156581-B-14	0.7861	0.4932
1-12653-A-15	0.6559	0.3222
4-204777-A-39	0.7330	0.6626
5-160614-B-48	0.2628	0.2768
4-234644-A-2	0.6999	0.3760
4-201988-A-44	0.3328	0.1126
2-103424-A-3	0.7026	0.2438
1-28005-A-18	0.5521	0.2017
2-82455-A-23	0.3730	0.2843
5-234855-A-25	0.5305	0.1191
2-50668-A-41	0.7787	0.3361
3-163607-A-13	0.5764	0.1756
5-233312-A-28	0.3826	0.4270
1-115545-A-48	0.2308	0.0671
3-144510-A-30	0.7170	0.1990
4-102844-C-49	0.4448	0.4246
5-192191-A-19	0.1716	0.3468
4-198962-A-25	0.5770	0.0816
5-177957-D-40	0.5708	0.2358
5-259180-A-15	0.7072	0.0849
2-102581-B-29	0.7633	0.1335
1-21896-A-35	0.8333	0.3188
5-260164-A-23	0.4087	0.3674
2-52001-A-28	0.0869	0.1381
2-42101-A-43	0.5835	0.2389
3-251617-A-48	0.5624	0.2814
3-142605-A-21	0.4325	0.1177
2-95567-A-23	0.2994	0.2486
2-32515-A-4	0.7199	0.4483
3-155584-A-14	0.6856	0.2859
5-214759-B-5	0.7864	0.1726
1-22804-A-46	0.6565	0.3841
4-175945-A-38	0.5227	0.2824
3-96606-A-49	0.3686	0.2742
5-221593-A-21	0.4079	0.1220
3-110913-D-7	0.7254	0.3291
4-161303-B-5	0.7140	0.1222
2-73260-A-10	0.2290	0.1212
2-104105-B-19	0.2043	0.3854
5-249748-A-28	0.2183	0.1427
2-117615-E-48	0.2711	0.2036
4-108352-A-33	0.7052	0.3967
1-46353-A-49	0.5024	0.2309
2-139749-A-15	0.5452	0.1244
5-215658-A-12	0.2892	0.1887
2-128465-A-43	0.3157	0.1635
5-179860-A-43	0.7818	0.2028
1-58846-A-34	0.6881	0.1068
1-17970-A-4	0.6879	0.4099
1-15689-A-4	0.7114	0.3064
2-139748-A-15	0.7006	0.0728
2-88724-A-38	0.4806	0.1626
1-64398-B-41	0.5497	0.3621
2-124564-A-15	0.6840	0.1198
4-161579-A-40	0.7577	0.0610
4-125072-A-19	0.2097	0.2214
2-71162-A-1	0.8714	0.1314
2-98392-A-23	0.0464	0.1035
1-45641-A-27	0.5934	0.4522
4-163606-A-16	0.5363	0.2012
3-159348-A-36	0.6750	0.2631
4-187284-A-30	0.6364	0.1639
5-253094-A-49	0.6042	0.4685
4-186518-A-30	0.6904	0.4464
