=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6328
Mean Deletion AUC: 0.2645
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
1-104089-A-22	0.5701	0.5253
3-246513-B-16	0.6211	0.3454
1-96950-B-9	0.8032	0.6319
2-105270-A-47	0.5005	0.0764
4-90014-B-42	0.6998	0.3303
1-47273-A-21	0.4946	0.0855
1-39901-A-11	0.4066	0.2671
1-19840-A-36	0.3486	0.2631
1-28135-B-11	0.3292	0.1853
2-134915-A-30	0.5316	0.3151
2-60180-A-49	0.3983	0.1754
5-180156-B-43	0.8418	0.4071
5-233019-A-31	0.7142	0.0966
5-223317-A-31	0.8015	0.1694
4-161105-B-47	0.5215	0.2058
3-160993-A-3	0.8302	0.2827
3-135650-B-45	0.3797	0.0992
2-66205-A-23	0.6968	0.0233
1-47819-A-5	0.8902	0.1467
1-54747-A-46	0.5657	0.5089
2-152964-A-31	0.5924	0.0277
3-139958-A-37	0.5145	0.6635
1-101336-A-30	0.6294	0.0927
1-11687-A-47	0.1943	0.1417
3-156581-B-14	0.6648	0.4810
1-12653-A-15	0.8320	0.6683
4-204777-A-39	0.7829	0.6749
5-160614-B-48	0.3713	0.2261
4-234644-A-2	0.7591	0.4770
4-201988-A-44	0.3210	0.2355
2-103424-A-3	0.7854	0.1054
1-28005-A-18	0.5583	0.2626
2-82455-A-23	0.2384	0.2764
5-234855-A-25	0.5995	0.1623
2-50668-A-41	0.6750	0.4204
3-163607-A-13	0.6551	0.1938
5-233312-A-28	0.6660	0.2258
1-115545-A-48	0.3412	0.0988
3-144510-A-30	0.7655	0.0825
4-102844-C-49	0.5712	0.3971
5-192191-A-19	0.6253	0.1109
4-198962-A-25	0.6401	0.1011
5-177957-D-40	0.6437	0.2707
5-259180-A-15	0.7970	0.3407
2-102581-B-29	0.7053	0.0344
1-21896-A-35	0.5537	0.2219
5-260164-A-23	0.6544	0.1640
2-52001-A-28	0.6766	0.0661
