=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.8063
Mean Deletion AUC: 0.3114
Number of images evaluated: 2000

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
4-149940-A-5	0.6816	0.4965
4-161303-A-5	0.9103	0.3579
5-214759-A-5	0.9533	0.2514
3-146965-A-5	0.1665	0.0318
1-47819-B-5	0.9555	0.3514
5-259169-A-5	0.9689	0.0649
3-95698-A-5	0.7017	0.1674
1-79113-A-5	0.8528	0.2761
5-177614-A-5	0.8586	0.3034
2-69131-B-5	0.7642	0.4874
3-146964-A-5	0.4309	0.0341
4-149940-B-5	0.8430	0.4994
1-47819-C-5	0.9519	0.3047
1-47819-A-5	0.9610	0.2994
4-161303-B-5	0.9870	0.0762
5-214759-B-5	0.9450	0.3358
5-256452-A-5	0.9813	0.0936
5-172639-A-5	0.7341	0.4883
2-69131-A-5	0.9225	0.2650
4-120160-A-5	0.9320	0.2103
1-34094-B-5	0.8851	0.7050
1-56380-B-5	0.9346	0.2393
3-95695-B-5	0.7203	0.1935
3-146972-A-5	0.6574	0.0470
4-133047-C-5	0.8369	0.6052
3-95697-A-5	0.6908	0.0329
2-82274-A-5	0.8770	0.3309
2-83934-B-5	0.8829	0.4283
4-133047-A-5	0.6555	0.4201
2-110011-A-5	0.9723	0.1346
3-95695-A-5	0.8473	0.2736
1-34094-A-5	0.7856	0.5497
1-56380-A-5	0.8540	0.3159
5-169983-A-5	0.8695	0.5192
5-172299-A-5	0.7695	0.5365
2-82274-B-5	0.8109	0.3726
2-110010-A-5	0.9798	0.0694
3-95694-A-5	0.9240	0.4076
4-133047-B-5	0.7807	0.1250
2-83934-A-5	0.9291	0.2695
3-118658-A-41	0.7371	0.0739
5-185579-A-41	0.6820	0.1956
1-116765-A-41	0.6236	0.2816
4-157611-B-41	0.5719	0.2545
1-19898-B-41	0.9154	0.0916
5-216370-B-41	0.8709	0.2945
5-222524-A-41	0.4963	0.2660
1-47250-A-41	0.7623	0.3746
2-68391-A-41	0.9057	0.0474
2-50667-B-41	0.8801	0.0953
4-165823-A-41	0.8986	0.3002
2-77945-B-41	0.8628	0.4399
4-169127-A-41	0.7309	0.0085
1-64398-B-41	0.7793	0.3359
2-50668-A-41	0.7241	0.0682
5-171653-A-41	0.8655	0.0210
4-149294-B-41	0.9515	0.3511
3-118972-B-41	0.7717	0.1526
5-170338-B-41	0.7767	0.2229
3-118657-B-41	0.7843	0.1310
5-216370-A-41	0.7776	0.1401
1-19898-C-41	0.9072	0.2763
2-50667-A-41	0.7323	0.1977
4-165823-B-41	0.9429	0.4211
1-47250-B-41	0.7913	0.2858
2-68391-B-41	0.7737	0.2829
5-185579-B-41	0.7214	0.3061
1-19898-A-41	0.3105	0.0417
3-165856-A-41	0.3692	0.0894
3-118658-B-41	0.8538	0.3160
4-157611-A-41	0.7768	0.3338
4-149294-A-41	0.8125	0.1895
3-118657-A-41	0.4429	0.0046
3-118656-A-41	0.7922	0.1524
5-170338-A-41	0.7353	0.0757
