=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7785
Mean Deletion AUC: 0.2454
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.7335	0.0490
5-185579-A-41	0.5884	0.1005
1-116765-A-41	0.5705	0.2656
4-157611-B-41	0.6007	0.2507
1-19898-B-41	0.8664	0.0683
5-216370-B-41	0.8607	0.0937
5-222524-A-41	0.5703	0.3053
1-47250-A-41	0.7357	0.2627
2-68391-A-41	0.8610	0.0390
2-50667-B-41	0.7642	0.1275
4-165823-A-41	0.8384	0.2113
2-77945-B-41	0.7075	0.2716
4-169127-A-41	0.7642	0.0161
1-64398-B-41	0.8087	0.1757
2-50668-A-41	0.6962	0.0523
5-171653-A-41	0.7327	0.0126
4-149294-B-41	0.8637	0.2633
3-118972-B-41	0.6695	0.0698
5-170338-B-41	0.7119	0.1302
3-118657-B-41	0.7698	0.0851
5-216370-A-41	0.7753	0.0768
1-19898-C-41	0.7469	0.1066
2-50667-A-41	0.6231	0.1801
4-165823-B-41	0.8580	0.1713
1-47250-B-41	0.7492	0.3304
2-68391-B-41	0.6839	0.2281
5-185579-B-41	0.6652	0.2005
1-19898-A-41	0.2469	0.0411
3-165856-A-41	0.4373	0.1048
3-118658-B-41	0.8219	0.1159
4-157611-A-41	0.7387	0.2771
4-149294-A-41	0.7080	0.1204
3-118657-A-41	0.3388	0.0029
3-118656-A-41	0.7199	0.1304
5-170338-A-41	0.6936	0.0268
3-118972-A-41	0.6516	0.1527
2-77945-A-41	0.7753	0.1426
4-169127-B-41	0.6506	0.1947
2-50668-B-41	0.6870	0.2226
1-64398-A-41	0.7491	0.1262
3-170383-A-38	0.7776	0.1204
5-219342-A-38	0.8424	0.7172
1-48413-A-38	0.7565	0.5498
2-131943-A-38	0.7128	0.6025
5-209698-A-38	0.5825	0.3800
1-57163-A-38	0.5779	0.7176
1-62850-A-38	0.7671	0.5124
3-150363-A-38	0.7876	0.1952
4-179984-A-38	0.5943	0.4576
3-170377-A-38	0.9435	0.4230
2-88724-A-38	0.7360	0.4523
4-175945-A-38	0.7121	0.4837
4-181865-A-38	0.7479	0.2476
2-140147-A-38	0.7081	0.5708
2-135728-A-38	0.9086	0.5144
5-212181-A-38	0.9686	0.8374
5-209833-A-38	0.8272	0.4922
5-235671-A-38	0.8383	0.3098
2-119748-A-38	0.8138	0.4140
3-164688-A-38	0.8114	0.4857
4-191327-A-38	0.9380	0.2768
3-142593-A-38	0.2622	0.1234
4-194711-A-38	0.5308	0.1354
2-141584-A-38	0.8868	0.1161
4-181035-A-38	0.9117	0.6875
5-201194-A-38	0.6236	0.6040
1-35687-A-38	0.8976	0.6790
3-171041-A-38	0.4730	0.1203
5-210571-A-38	0.9589	0.7158
1-62849-A-38	0.9032	0.6177
1-42139-A-38	0.7631	0.4560
1-21935-A-38	0.7493	0.4777
1-21934-A-38	0.9399	0.5037
2-127108-A-38	0.7362	0.6020
4-188033-A-38	0.9886	0.6912
5-208624-A-38	0.7544	0.6643
3-143933-A-38	0.8511	0.1500
3-171012-A-38	0.9438	0.2000
2-134700-A-38	0.7007	0.3278
4-198965-A-38	0.8096	0.4688
4-171519-A-21	0.9874	0.0549
1-29680-A-21	0.9949	0.1161
3-148330-A-21	0.9796	0.0904
5-187979-A-21	0.9917	0.1301
2-119102-A-21	0.9926	0.0619
5-202220-A-21	0.9360	0.5923
5-220026-A-21	0.9779	0.0716
5-220027-A-21	0.9913	0.1369
1-47274-A-21	0.9243	0.0970
3-150231-A-21	0.8344	0.0728
1-47273-A-21	0.9929	0.2670
5-221593-A-21	0.9753	0.0512
3-142605-A-21	0.7491	0.1954
2-128631-A-21	0.9838	0.1068
4-167642-A-21	0.9807	0.0405
5-201274-A-21	0.9635	0.0950
5-194533-A-21	0.9798	0.0208
1-54505-A-21	0.9714	0.1011
3-156558-A-21	0.5910	0.0403
3-142601-A-21	0.5691	0.0338
4-156844-A-21	0.9480	0.1525
3-143119-A-21	0.9968	0.1318
1-59324-A-21	0.9643	0.0693
1-81883-A-21	0.9965	0.1137
2-82538-A-21	0.9874	0.0909
2-93030-A-21	0.9899	0.2321
2-130979-A-21	0.9882	0.1639
2-130978-A-21	0.9906	0.0960
5-221518-A-21	0.9714	0.2053
3-144692-A-21	0.8449	0.1392
2-109505-A-21	0.9898	0.0613
2-118104-A-21	0.9904	0.1455
4-185415-A-21	0.9835	0.0253
3-141684-A-21	0.9910	0.0536
1-26143-A-21	0.9970	0.0538
4-157297-A-21	0.9737	0.1623
4-185619-A-21	0.9847	0.1634
4-156843-A-21	0.9938	0.0397
4-184434-A-21	0.9917	0.1193
1-31748-A-21	0.9924	0.0351
4-166661-A-10	0.5846	0.4083
1-63871-A-10	0.5973	0.2958
4-164206-A-10	0.6328	0.5097
3-157149-A-10	0.6378	0.0056
1-56311-A-10	0.4781	0.3151
4-180380-A-10	0.5682	0.3640
5-188655-A-10	0.7249	0.3397
4-160999-A-10	0.5628	0.3789
5-202898-A-10	0.6779	0.4793
5-195710-A-10	0.6213	0.2840
4-161127-A-10	0.6453	0.4576
2-73260-A-10	0.5651	0.3925
4-181286-A-10	0.6393	0.3532
2-72970-A-10	0.6614	0.3213
1-17367-A-10	0.5603	0.2694
4-163264-A-10	0.6319	0.2984
3-142005-A-10	0.6515	0.3874
5-198321-A-10	0.4304	0.4152
2-117625-A-10	0.6403	0.4092
5-203739-A-10	0.7260	0.2464
1-54958-A-10	0.6170	0.4160
2-87781-A-10	0.6023	0.2617
1-21189-A-10	0.3893	0.2422
2-101676-A-10	0.7647	0.3653
3-140774-A-10	0.6344	0.0933
3-157487-A-10	0.5071	0.2969
5-193339-A-10	0.6735	0.4835
3-143929-A-10	0.3478	0.0294
2-82367-A-10	0.7775	0.4473
