=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7910
Mean Deletion AUC: 0.2486
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6065	0.1008
1-116765-A-41	0.6039	0.2404
1-19898-B-41	0.8590	0.0687
4-157611-B-41	0.6037	0.2264
3-118658-A-41	0.7549	0.0520
5-216370-B-41	0.7702	0.1875
5-222524-A-41	0.4968	0.2311
1-47250-A-41	0.7548	0.3050
2-68391-A-41	0.8791	0.0197
2-50667-B-41	0.7529	0.0889
2-77945-B-41	0.6690	0.1810
4-165823-A-41	0.7608	0.1727
4-169127-A-41	0.7874	0.0151
1-64398-B-41	0.7233	0.2996
2-50668-A-41	0.6864	0.0443
4-149294-B-41	0.8584	0.2666
5-171653-A-41	0.7307	0.0130
3-118972-B-41	0.6571	0.0741
5-170338-B-41	0.6847	0.1256
3-118657-B-41	0.8160	0.0850
5-216370-A-41	0.7808	0.0835
2-50667-A-41	0.5744	0.1880
1-19898-C-41	0.7280	0.0952
4-165823-B-41	0.8519	0.1585
1-47250-B-41	0.7541	0.3567
2-68391-B-41	0.6970	0.1359
5-185579-B-41	0.6438	0.1949
1-19898-A-41	0.3691	0.0462
3-165856-A-41	0.4817	0.0862
3-118658-B-41	0.8120	0.1076
4-157611-A-41	0.7356	0.2504
3-118657-A-41	0.3458	0.0020
4-149294-A-41	0.7231	0.1083
3-118656-A-41	0.7566	0.1393
5-170338-A-41	0.7278	0.0226
3-118972-A-41	0.6685	0.1729
2-77945-A-41	0.7409	0.2140
4-169127-B-41	0.6554	0.1468
2-50668-B-41	0.6647	0.2101
1-64398-A-41	0.7425	0.1042
3-170383-A-38	0.7950	0.2450
5-219342-A-38	0.8688	0.6805
5-209698-A-38	0.6780	0.4380
1-48413-A-38	0.8358	0.5312
2-131943-A-38	0.7687	0.4877
1-57163-A-38	0.7654	0.6954
1-62850-A-38	0.7565	0.6082
4-179984-A-38	0.6121	0.6243
3-150363-A-38	0.8122	0.3587
3-170377-A-38	0.9234	0.4824
2-88724-A-38	0.6813	0.5635
4-175945-A-38	0.7081	0.5326
4-181865-A-38	0.8998	0.3190
2-140147-A-38	0.7100	0.6012
2-135728-A-38	0.9285	0.4542
5-212181-A-38	0.8996	0.8023
5-209833-A-38	0.7697	0.5882
5-235671-A-38	0.8151	0.4045
2-119748-A-38	0.8336	0.4311
3-164688-A-38	0.7256	0.5882
4-191327-A-38	0.8740	0.3465
3-142593-A-38	0.2888	0.1099
4-194711-A-38	0.6083	0.1196
2-141584-A-38	0.9431	0.2304
4-181035-A-38	0.9065	0.6385
5-201194-A-38	0.6996	0.4150
1-35687-A-38	0.6937	0.4829
3-171041-A-38	0.6857	0.2255
5-210571-A-38	0.9280	0.6387
1-62849-A-38	0.8787	0.6074
1-42139-A-38	0.8942	0.5598
1-21935-A-38	0.7652	0.5163
1-21934-A-38	0.8728	0.4279
2-127108-A-38	0.7607	0.4885
4-188033-A-38	0.9844	0.6963
5-208624-A-38	0.8394	0.6193
3-143933-A-38	0.8933	0.2330
3-171012-A-38	0.9124	0.2629
2-134700-A-38	0.7963	0.4258
4-198965-A-38	0.7317	0.3499
4-171519-A-21	0.9893	0.1387
1-29680-A-21	0.9761	0.2828
5-187979-A-21	0.9919	0.2395
2-119102-A-21	0.9927	0.1418
3-148330-A-21	0.9401	0.1153
5-202220-A-21	0.9315	0.6078
5-220027-A-21	0.9878	0.1920
5-220026-A-21	0.9688	0.1889
1-47274-A-21	0.9355	0.2358
3-150231-A-21	0.9525	0.0294
5-221593-A-21	0.9389	0.0392
1-47273-A-21	0.9846	0.2612
3-142605-A-21	0.7848	0.1906
2-128631-A-21	0.9810	0.2290
4-167642-A-21	0.9029	0.0699
5-194533-A-21	0.9791	0.0208
5-201274-A-21	0.9835	0.1778
1-54505-A-21	0.9756	0.2897
3-156558-A-21	0.6926	0.0371
3-142601-A-21	0.7091	0.0403
4-156844-A-21	0.9729	0.1647
3-143119-A-21	0.9963	0.2554
1-59324-A-21	0.9856	0.1142
1-81883-A-21	0.9960	0.2202
2-82538-A-21	0.9793	0.1701
2-93030-A-21	0.9789	0.3021
2-130979-A-21	0.9864	0.2763
2-130978-A-21	0.9813	0.1947
5-221518-A-21	0.9788	0.1550
3-144692-A-21	0.9364	0.1726
2-109505-A-21	0.9702	0.1314
2-118104-A-21	0.9872	0.2783
4-185415-A-21	0.9767	0.0742
3-141684-A-21	0.9915	0.1700
1-26143-A-21	0.9968	0.0863
4-157297-A-21	0.9717	0.3192
4-185619-A-21	0.9869	0.3154
4-156843-A-21	0.9884	0.1185
4-184434-A-21	0.9939	0.2441
1-31748-A-21	0.9279	0.1114
3-157149-A-10	0.7246	0.0069
4-164206-A-10	0.7041	0.4365
1-56311-A-10	0.6214	0.3786
4-166661-A-10	0.6368	0.3810
1-63871-A-10	0.6735	0.1617
4-180380-A-10	0.6920	0.4003
5-188655-A-10	0.6944	0.3533
4-160999-A-10	0.7467	0.3242
5-202898-A-10	0.6224	0.4835
5-195710-A-10	0.5857	0.2512
4-161127-A-10	0.7017	0.3505
2-73260-A-10	0.6123	0.2990
4-181286-A-10	0.6913	0.4833
2-72970-A-10	0.6867	0.2654
1-17367-A-10	0.6640	0.3056
4-163264-A-10	0.6488	0.2849
3-142005-A-10	0.6169	0.3909
5-198321-A-10	0.6023	0.3767
2-117625-A-10	0.6787	0.4853
5-203739-A-10	0.7785	0.2688
1-54958-A-10	0.6551	0.4615
2-87781-A-10	0.6389	0.2072
1-21189-A-10	0.6503	0.2032
2-101676-A-10	0.7044	0.2820
3-140774-A-10	0.8201	0.0587
3-157487-A-10	0.5849	0.2644
5-193339-A-10	0.6585	0.4015
3-143929-A-10	0.5618	0.0559
2-82367-A-10	0.7749	0.5095
