=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.7255
Mean Deletion AUC: 0.2727
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6191	0.1063
1-116765-A-41	0.5644	0.2698
1-19898-B-41	0.8546	0.0570
4-157611-B-41	0.4853	0.1194
3-118658-A-41	0.7156	0.0625
5-216370-B-41	0.8576	0.1315
5-222524-A-41	0.5392	0.2151
1-47250-A-41	0.7154	0.2501
2-68391-A-41	0.8393	0.0205
2-50667-B-41	0.7310	0.0848
2-77945-B-41	0.6401	0.2758
4-165823-A-41	0.7897	0.1771
4-169127-A-41	0.7035	0.0193
1-64398-B-41	0.8008	0.1881
2-50668-A-41	0.6409	0.0752
4-149294-B-41	0.8431	0.2664
5-171653-A-41	0.7247	0.0145
3-118972-B-41	0.6330	0.0607
5-170338-B-41	0.6804	0.1354
3-118657-B-41	0.7309	0.1082
5-216370-A-41	0.7578	0.0538
2-50667-A-41	0.5869	0.2033
1-19898-C-41	0.7364	0.1144
4-165823-B-41	0.8421	0.1879
1-47250-B-41	0.6635	0.3370
2-68391-B-41	0.6970	0.1586
5-185579-B-41	0.6716	0.1883
1-19898-A-41	0.1446	0.0501
3-165856-A-41	0.5193	0.1065
3-118658-B-41	0.7999	0.1494
4-157611-A-41	0.7277	0.2707
3-118657-A-41	0.4417	0.0039
4-149294-A-41	0.6748	0.1009
3-118656-A-41	0.7293	0.1181
5-170338-A-41	0.7051	0.0400
3-118972-A-41	0.6618	0.1633
2-77945-A-41	0.7472	0.1330
4-169127-B-41	0.6331	0.1975
2-50668-B-41	0.6662	0.2161
1-64398-A-41	0.7560	0.1063
3-170383-A-38	0.7944	0.4756
5-219342-A-38	0.6777	0.6178
5-209698-A-38	0.4934	0.6043
1-48413-A-38	0.7714	0.6609
2-131943-A-38	0.7978	0.6441
1-57163-A-38	0.7274	0.6876
1-62850-A-38	0.7087	0.6066
4-179984-A-38	0.7316	0.7483
3-150363-A-38	0.6727	0.3799
3-170377-A-38	0.7683	0.4813
2-88724-A-38	0.6288	0.7389
4-175945-A-38	0.3509	0.6128
4-181865-A-38	0.3146	0.4751
2-140147-A-38	0.7031	0.6732
2-135728-A-38	0.6004	0.4714
5-212181-A-38	0.7422	0.7212
5-209833-A-38	0.6735	0.6880
5-235671-A-38	0.8480	0.4904
2-119748-A-38	0.7660	0.5035
3-164688-A-38	0.7743	0.5556
4-191327-A-38	0.7002	0.5501
3-142593-A-38	0.0861	0.0801
4-194711-A-38	0.4381	0.1955
2-141584-A-38	0.4722	0.3631
4-181035-A-38	0.8471	0.5887
5-201194-A-38	0.7597	0.6021
1-35687-A-38	0.8079	0.4978
3-171041-A-38	0.6164	0.6273
5-210571-A-38	0.8352	0.4593
1-62849-A-38	0.6840	0.5666
1-42139-A-38	0.5777	0.4157
1-21935-A-38	0.7446	0.6460
1-21934-A-38	0.7626	0.4641
2-127108-A-38	0.6190	0.6295
4-188033-A-38	0.9677	0.6558
5-208624-A-38	0.8152	0.6734
3-143933-A-38	0.4097	0.3693
3-171012-A-38	0.8133	0.2684
2-134700-A-38	0.6027	0.3145
4-198965-A-38	0.7795	0.5992
4-171519-A-21	0.9857	0.2277
1-29680-A-21	0.9260	0.6426
5-187979-A-21	0.9938	0.2095
2-119102-A-21	0.9874	0.2184
3-148330-A-21	0.9013	0.4308
5-202220-A-21	0.8857	0.6049
5-220027-A-21	0.9802	0.2317
5-220026-A-21	0.9642	0.1600
1-47274-A-21	0.9228	0.3357
3-150231-A-21	0.8847	0.0686
5-221593-A-21	0.9537	0.0427
1-47273-A-21	0.9897	0.2771
3-142605-A-21	0.8114	0.1706
2-128631-A-21	0.9669	0.3577
4-167642-A-21	0.9706	0.1175
5-194533-A-21	0.9735	0.1014
5-201274-A-21	0.9811	0.2592
1-54505-A-21	0.9535	0.2940
3-156558-A-21	0.8381	0.0826
3-142601-A-21	0.7617	0.0414
4-156844-A-21	0.9120	0.3235
3-143119-A-21	0.9932	0.3173
1-59324-A-21	0.9826	0.1725
1-81883-A-21	0.9964	0.1997
2-82538-A-21	0.9680	0.2644
2-93030-A-21	0.9753	0.3763
2-130979-A-21	0.9785	0.3259
2-130978-A-21	0.9774	0.2594
5-221518-A-21	0.9662	0.3614
3-144692-A-21	0.9553	0.2336
2-109505-A-21	0.9528	0.2052
2-118104-A-21	0.9758	0.5887
4-185415-A-21	0.8892	0.2575
3-141684-A-21	0.9924	0.2158
1-26143-A-21	0.9967	0.1053
4-157297-A-21	0.9677	0.3198
4-185619-A-21	0.9861	0.2927
4-156843-A-21	0.9786	0.2940
4-184434-A-21	0.9937	0.2696
1-31748-A-21	0.9873	0.0555
3-157149-A-10	0.7535	0.0123
4-164206-A-10	0.6395	0.3128
1-56311-A-10	0.5124	0.1812
4-166661-A-10	0.6024	0.2188
1-63871-A-10	0.6402	0.1212
4-180380-A-10	0.5002	0.2671
5-188655-A-10	0.5882	0.3372
4-160999-A-10	0.5766	0.4216
5-202898-A-10	0.5304	0.5228
5-195710-A-10	0.5455	0.2121
4-161127-A-10	0.6449	0.3541
2-73260-A-10	0.3412	0.4053
4-181286-A-10	0.6760	0.5256
2-72970-A-10	0.5113	0.4030
1-17367-A-10	0.5493	0.3191
4-163264-A-10	0.5771	0.2712
3-142005-A-10	0.6338	0.2984
5-198321-A-10	0.5980	0.2032
2-117625-A-10	0.5110	0.5559
5-203739-A-10	0.5644	0.3594
1-54958-A-10	0.5166	0.3940
2-87781-A-10	0.4994	0.2041
1-21189-A-10	0.6521	0.1855
2-101676-A-10	0.4869	0.3725
3-140774-A-10	0.4637	0.2277
3-157487-A-10	0.5289	0.3282
5-193339-A-10	0.4488	0.5285
3-143929-A-10	0.1447	0.0082
2-82367-A-10	0.6142	0.5781
