=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6794
Mean Deletion AUC: 0.2699
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.6792	0.0774
5-185579-A-41	0.5866	0.1788
1-116765-A-41	0.5811	0.2390
4-157611-B-41	0.5127	0.1012
1-19898-B-41	0.8571	0.0948
5-216370-B-41	0.8467	0.1444
5-222524-A-41	0.4551	0.1116
1-47250-A-41	0.6587	0.2625
2-68391-A-41	0.8444	0.0103
2-50667-B-41	0.7028	0.2196
4-165823-A-41	0.8362	0.3252
2-77945-B-41	0.6350	0.2164
4-169127-A-41	0.7513	0.0478
1-64398-B-41	0.7787	0.2964
2-50668-A-41	0.6581	0.0804
5-171653-A-41	0.6227	0.0803
4-149294-B-41	0.8218	0.2464
3-118972-B-41	0.5895	0.1638
5-170338-B-41	0.7603	0.1324
3-118657-B-41	0.6420	0.1480
5-216370-A-41	0.6393	0.0570
1-19898-C-41	0.6866	0.1483
2-50667-A-41	0.7337	0.3679
4-165823-B-41	0.8828	0.2430
1-47250-B-41	0.6429	0.3259
2-68391-B-41	0.7038	0.2916
5-185579-B-41	0.6488	0.2595
1-19898-A-41	0.1172	0.0079
3-165856-A-41	0.3771	0.1568
3-118658-B-41	0.7568	0.2240
4-157611-A-41	0.6807	0.2253
4-149294-A-41	0.6568	0.1416
3-118657-A-41	0.4684	0.0060
3-118656-A-41	0.7392	0.1702
5-170338-A-41	0.7111	0.1210
3-118972-A-41	0.6095	0.1534
2-77945-A-41	0.7128	0.2482
4-169127-B-41	0.6396	0.1689
2-50668-B-41	0.6520	0.2186
1-64398-A-41	0.6117	0.1579
3-170383-A-38	0.5237	0.3020
5-219342-A-38	0.7669	0.4995
1-48413-A-38	0.7197	0.5324
2-131943-A-38	0.7370	0.5402
5-209698-A-38	0.5539	0.1843
1-57163-A-38	0.8899	0.6401
1-62850-A-38	0.6278	0.5058
3-150363-A-38	0.5346	0.3821
4-179984-A-38	0.6825	0.5008
3-170377-A-38	0.7983	0.3092
2-88724-A-38	0.5068	0.3965
4-175945-A-38	0.6664	0.2386
4-181865-A-38	0.4229	0.2480
2-140147-A-38	0.8578	0.4782
2-135728-A-38	0.5283	0.2606
5-212181-A-38	0.8399	0.2780
5-209833-A-38	0.7789	0.3604
5-235671-A-38	0.6104	0.2023
2-119748-A-38	0.7461	0.4397
3-164688-A-38	0.8726	0.4701
4-191327-A-38	0.7060	0.4366
3-142593-A-38	0.0891	0.1028
4-194711-A-38	0.5831	0.0572
2-141584-A-38	0.4635	0.3007
4-181035-A-38	0.8674	0.5128
5-201194-A-38	0.8459	0.5887
1-35687-A-38	0.5220	0.4406
3-171041-A-38	0.5764	0.1697
5-210571-A-38	0.9482	0.3832
1-62849-A-38	0.8764	0.4253
1-42139-A-38	0.5847	0.0920
1-21935-A-38	0.5965	0.4680
1-21934-A-38	0.7943	0.3752
2-127108-A-38	0.7168	0.4637
4-188033-A-38	0.9902	0.5074
5-208624-A-38	0.8433	0.5408
3-143933-A-38	0.4282	0.1769
3-171012-A-38	0.6942	0.3327
2-134700-A-38	0.6674	0.2475
4-198965-A-38	0.8048	0.5194
4-171519-A-21	0.9480	0.3331
1-29680-A-21	0.9609	0.3546
3-148330-A-21	0.9122	0.4949
5-187979-A-21	0.9481	0.5017
2-119102-A-21	0.9577	0.4675
5-202220-A-21	0.9024	0.3624
5-220026-A-21	0.8560	0.3998
5-220027-A-21	0.9448	0.5055
1-47274-A-21	0.8912	0.4535
3-150231-A-21	0.8921	0.2241
1-47273-A-21	0.9710	0.5050
5-221593-A-21	0.9051	0.5427
3-142605-A-21	0.6147	0.3800
2-128631-A-21	0.9251	0.5085
4-167642-A-21	0.9397	0.3650
5-201274-A-21	0.8997	0.3430
5-194533-A-21	0.9412	0.1371
1-54505-A-21	0.9069	0.4140
3-156558-A-21	0.8846	0.2263
3-142601-A-21	0.5676	0.0547
4-156844-A-21	0.9488	0.5684
3-143119-A-21	0.9855	0.5266
1-59324-A-21	0.9525	0.2977
1-81883-A-21	0.9757	0.3714
2-82538-A-21	0.8757	0.5260
2-93030-A-21	0.9616	0.5647
2-130979-A-21	0.9582	0.4054
2-130978-A-21	0.9524	0.3892
5-221518-A-21	0.9399	0.3398
3-144692-A-21	0.9137	0.3963
2-109505-A-21	0.9646	0.2970
2-118104-A-21	0.9670	0.5897
4-185415-A-21	0.9737	0.3296
3-141684-A-21	0.9500	0.4842
1-26143-A-21	0.9748	0.2488
4-157297-A-21	0.9420	0.5916
4-185619-A-21	0.9497	0.5081
4-156843-A-21	0.9829	0.4341
4-184434-A-21	0.9696	0.4919
1-31748-A-21	0.9889	0.2611
4-166661-A-10	0.4489	0.2779
1-63871-A-10	0.4790	0.0391
4-164206-A-10	0.6048	0.2601
3-157149-A-10	0.5583	0.0055
1-56311-A-10	0.3185	0.1592
4-180380-A-10	0.5290	0.3078
5-188655-A-10	0.3077	0.2239
4-160999-A-10	0.5280	0.3054
5-202898-A-10	0.4985	0.3587
5-195710-A-10	0.5290	0.2583
4-161127-A-10	0.5035	0.1051
2-73260-A-10	0.3909	0.1391
4-181286-A-10	0.4473	0.3587
2-72970-A-10	0.3670	0.1257
1-17367-A-10	0.4109	0.1884
4-163264-A-10	0.4974	0.1087
3-142005-A-10	0.2983	0.2238
5-198321-A-10	0.5713	0.1622
2-117625-A-10	0.3385	0.2244
5-203739-A-10	0.4434	0.3761
1-54958-A-10	0.4362	0.2082
2-87781-A-10	0.4216	0.1920
1-21189-A-10	0.5933	0.1350
2-101676-A-10	0.5557	0.1946
3-140774-A-10	0.5615	0.1210
3-157487-A-10	0.2745	0.0435
5-193339-A-10	0.4747	0.3372
3-143929-A-10	0.1944	0.0065
2-82367-A-10	0.5836	0.3739
