=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6739
Mean Deletion AUC: 0.2580
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.5977	0.2514
1-116765-A-41	0.5815	0.2257
1-19898-B-41	0.8395	0.0941
4-157611-B-41	0.4697	0.1290
3-118658-A-41	0.6741	0.0716
5-216370-B-41	0.5697	0.2461
5-222524-A-41	0.4773	0.2361
1-47250-A-41	0.6559	0.2957
2-68391-A-41	0.8496	0.0092
2-50667-B-41	0.7210	0.2202
2-77945-B-41	0.6078	0.2437
4-165823-A-41	0.5814	0.2154
4-169127-A-41	0.7079	0.0366
1-64398-B-41	0.7544	0.3723
2-50668-A-41	0.6211	0.0617
4-149294-B-41	0.6003	0.2172
5-171653-A-41	0.6343	0.0836
3-118972-B-41	0.6190	0.1545
5-170338-B-41	0.6579	0.1749
3-118657-B-41	0.6418	0.1333
5-216370-A-41	0.6603	0.0483
2-50667-A-41	0.6997	0.3400
1-19898-C-41	0.6261	0.1307
4-165823-B-41	0.8107	0.1837
1-47250-B-41	0.5961	0.3231
2-68391-B-41	0.7120	0.2883
5-185579-B-41	0.6339	0.2667
1-19898-A-41	0.1410	0.0041
3-165856-A-41	0.3976	0.1717
3-118658-B-41	0.7422	0.2524
4-157611-A-41	0.6966	0.2323
3-118657-A-41	0.4515	0.0106
4-149294-A-41	0.6080	0.1404
3-118656-A-41	0.6807	0.2183
5-170338-A-41	0.7104	0.1103
3-118972-A-41	0.6103	0.1416
2-77945-A-41	0.7041	0.2509
4-169127-B-41	0.5958	0.2507
2-50668-B-41	0.5998	0.2378
1-64398-A-41	0.6423	0.1420
3-170383-A-38	0.5129	0.3345
5-219342-A-38	0.8324	0.4253
5-209698-A-38	0.5720	0.2524
1-48413-A-38	0.7858	0.5626
2-131943-A-38	0.7586	0.4336
1-57163-A-38	0.8744	0.6305
1-62850-A-38	0.5886	0.4475
4-179984-A-38	0.5985	0.4786
3-150363-A-38	0.6151	0.3016
3-170377-A-38	0.8393	0.3904
2-88724-A-38	0.5724	0.3927
4-175945-A-38	0.6511	0.2168
4-181865-A-38	0.4369	0.2636
2-140147-A-38	0.8507	0.5270
2-135728-A-38	0.5878	0.2758
5-212181-A-38	0.8012	0.5703
5-209833-A-38	0.7849	0.5118
5-235671-A-38	0.4967	0.2531
2-119748-A-38	0.8001	0.4317
3-164688-A-38	0.9503	0.6180
4-191327-A-38	0.7477	0.4431
3-142593-A-38	0.0822	0.1386
4-194711-A-38	0.5539	0.0495
2-141584-A-38	0.4817	0.3144
4-181035-A-38	0.8571	0.5469
5-201194-A-38	0.8426	0.5385
1-35687-A-38	0.5610	0.3067
3-171041-A-38	0.5522	0.2355
5-210571-A-38	0.8832	0.3462
1-62849-A-38	0.8391	0.5040
1-42139-A-38	0.5745	0.1653
1-21935-A-38	0.7236	0.4875
1-21934-A-38	0.7578	0.4294
2-127108-A-38	0.6621	0.4412
4-188033-A-38	0.9952	0.4452
5-208624-A-38	0.8466	0.5585
3-143933-A-38	0.3972	0.1539
3-171012-A-38	0.7167	0.2783
2-134700-A-38	0.6553	0.2788
4-198965-A-38	0.7461	0.3404
4-171519-A-21	0.9423	0.5303
1-29680-A-21	0.9502	0.4977
5-187979-A-21	0.9392	0.4921
2-119102-A-21	0.9354	0.4595
3-148330-A-21	0.8993	0.5858
5-202220-A-21	0.8942	0.3532
5-220027-A-21	0.9034	0.5897
5-220026-A-21	0.8078	0.5723
1-47274-A-21	0.8702	0.4769
3-150231-A-21	0.7961	0.2778
5-221593-A-21	0.7668	0.2674
1-47273-A-21	0.9715	0.5780
3-142605-A-21	0.7049	0.2357
2-128631-A-21	0.9219	0.4610
4-167642-A-21	0.8991	0.4184
5-194533-A-21	0.9436	0.2150
5-201274-A-21	0.9368	0.2755
1-54505-A-21	0.8862	0.4073
3-156558-A-21	0.8085	0.3077
3-142601-A-21	0.8327	0.0789
4-156844-A-21	0.9276	0.5268
3-143119-A-21	0.9791	0.4406
1-59324-A-21	0.9310	0.2850
1-81883-A-21	0.9659	0.4043
2-82538-A-21	0.8825	0.4970
2-93030-A-21	0.9580	0.5374
2-130979-A-21	0.9431	0.2293
2-130978-A-21	0.9375	0.4018
5-221518-A-21	0.9317	0.2540
3-144692-A-21	0.9188	0.3295
2-109505-A-21	0.9629	0.3406
2-118104-A-21	0.9611	0.5785
4-185415-A-21	0.9600	0.3208
3-141684-A-21	0.9508	0.4259
1-26143-A-21	0.9784	0.2152
4-157297-A-21	0.9186	0.4888
4-185619-A-21	0.9427	0.4196
4-156843-A-21	0.9604	0.3325
4-184434-A-21	0.9623	0.3459
1-31748-A-21	0.9598	0.4461
3-157149-A-10	0.7356	0.0041
4-164206-A-10	0.5438	0.1065
1-56311-A-10	0.3608	0.0119
4-166661-A-10	0.4748	0.1515
1-63871-A-10	0.6104	0.0849
4-180380-A-10	0.5080	0.1674
5-188655-A-10	0.5003	0.1680
4-160999-A-10	0.4185	0.2120
5-202898-A-10	0.5256	0.1739
5-195710-A-10	0.5454	0.2718
4-161127-A-10	0.5616	0.1624
2-73260-A-10	0.3017	0.0466
4-181286-A-10	0.3281	0.3073
2-72970-A-10	0.3603	0.1139
1-17367-A-10	0.3987	0.1133
4-163264-A-10	0.4706	0.0719
3-142005-A-10	0.2724	0.1219
5-198321-A-10	0.4612	0.1334
2-117625-A-10	0.4698	0.3004
5-203739-A-10	0.4598	0.1896
1-54958-A-10	0.5804	0.2303
2-87781-A-10	0.5303	0.1257
1-21189-A-10	0.5383	0.0952
2-101676-A-10	0.6320	0.1516
3-140774-A-10	0.8092	0.1037
3-157487-A-10	0.4789	0.0185
5-193339-A-10	0.4850	0.2805
3-143929-A-10	0.1917	0.0185
2-82367-A-10	0.5215	0.3518
