=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6234
Mean Deletion AUC: 0.2606
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6178	0.1857
1-116765-A-41	0.5700	0.2567
1-19898-B-41	0.8308	0.0899
4-157611-B-41	0.4049	0.0296
3-118658-A-41	0.6777	0.0939
5-216370-B-41	0.8242	0.1395
5-222524-A-41	0.5092	0.2215
1-47250-A-41	0.6527	0.2900
2-68391-A-41	0.8507	0.0102
2-50667-B-41	0.6719	0.2239
2-77945-B-41	0.6286	0.2347
4-165823-A-41	0.8587	0.3927
4-169127-A-41	0.5905	0.0321
1-64398-B-41	0.7642	0.3483
2-50668-A-41	0.6261	0.0856
4-149294-B-41	0.7582	0.2479
5-171653-A-41	0.6751	0.0814
3-118972-B-41	0.6197	0.1560
5-170338-B-41	0.6998	0.1309
3-118657-B-41	0.6576	0.1606
5-216370-A-41	0.5867	0.0420
2-50667-A-41	0.6945	0.3533
1-19898-C-41	0.6461	0.1369
4-165823-B-41	0.8016	0.1925
1-47250-B-41	0.5888	0.3701
2-68391-B-41	0.7483	0.2636
5-185579-B-41	0.6301	0.2784
1-19898-A-41	0.0854	0.0344
3-165856-A-41	0.4333	0.1313
3-118658-B-41	0.7395	0.2505
4-157611-A-41	0.6888	0.2265
3-118657-A-41	0.3588	0.0058
4-149294-A-41	0.5862	0.1358
3-118656-A-41	0.7141	0.1691
5-170338-A-41	0.6947	0.1199
3-118972-A-41	0.5889	0.1317
2-77945-A-41	0.6929	0.2330
4-169127-B-41	0.5904	0.2638
2-50668-B-41	0.6612	0.2077
1-64398-A-41	0.6231	0.1655
3-170383-A-38	0.5062	0.3228
5-219342-A-38	0.8245	0.3557
5-209698-A-38	0.3982	0.3499
1-48413-A-38	0.7912	0.5611
2-131943-A-38	0.7723	0.6013
1-57163-A-38	0.7877	0.7000
1-62850-A-38	0.7013	0.4989
4-179984-A-38	0.6647	0.5146
3-150363-A-38	0.5847	0.4307
3-170377-A-38	0.8318	0.2000
2-88724-A-38	0.6122	0.4500
4-175945-A-38	0.3589	0.4602
4-181865-A-38	0.3919	0.2818
2-140147-A-38	0.8046	0.5743
2-135728-A-38	0.5140	0.2684
5-212181-A-38	0.8734	0.5370
5-209833-A-38	0.7270	0.5572
5-235671-A-38	0.5715	0.2475
2-119748-A-38	0.7778	0.3899
3-164688-A-38	0.9204	0.6335
4-191327-A-38	0.6584	0.4216
3-142593-A-38	0.0709	0.0613
4-194711-A-38	0.2489	0.1636
2-141584-A-38	0.3979	0.2387
4-181035-A-38	0.9142	0.4208
5-201194-A-38	0.7711	0.5883
1-35687-A-38	0.5245	0.2129
3-171041-A-38	0.5205	0.4448
5-210571-A-38	0.9150	0.4454
1-62849-A-38	0.9045	0.3596
1-42139-A-38	0.3451	0.2170
1-21935-A-38	0.7681	0.3990
1-21934-A-38	0.8064	0.4280
2-127108-A-38	0.7423	0.3650
4-188033-A-38	0.9913	0.4918
5-208624-A-38	0.8560	0.5426
3-143933-A-38	0.4751	0.1242
3-171012-A-38	0.7432	0.1959
2-134700-A-38	0.5007	0.3571
4-198965-A-38	0.8050	0.6321
4-171519-A-21	0.8914	0.5033
1-29680-A-21	0.9282	0.5755
5-187979-A-21	0.9493	0.3728
2-119102-A-21	0.7983	0.4228
3-148330-A-21	0.7938	0.4544
5-202220-A-21	0.7855	0.2861
5-220027-A-21	0.8448	0.4739
5-220026-A-21	0.7474	0.3913
1-47274-A-21	0.8609	0.3911
3-150231-A-21	0.6931	0.3399
5-221593-A-21	0.8123	0.5730
1-47273-A-21	0.9766	0.6293
3-142605-A-21	0.7558	0.1816
2-128631-A-21	0.7995	0.3622
4-167642-A-21	0.7380	0.3323
5-194533-A-21	0.9315	0.2500
5-201274-A-21	0.9069	0.1910
1-54505-A-21	0.7889	0.3106
3-156558-A-21	0.7858	0.3361
3-142601-A-21	0.7447	0.1011
4-156844-A-21	0.8845	0.4373
3-143119-A-21	0.9756	0.3844
1-59324-A-21	0.9091	0.3258
1-81883-A-21	0.9699	0.2292
2-82538-A-21	0.8523	0.4292
2-93030-A-21	0.9330	0.3857
2-130979-A-21	0.9071	0.1920
2-130978-A-21	0.8812	0.2463
5-221518-A-21	0.9283	0.2672
3-144692-A-21	0.8845	0.3395
2-109505-A-21	0.9492	0.3737
2-118104-A-21	0.9643	0.5456
4-185415-A-21	0.9193	0.3299
3-141684-A-21	0.9517	0.2449
1-26143-A-21	0.9882	0.2179
4-157297-A-21	0.8822	0.4920
4-185619-A-21	0.9389	0.2740
4-156843-A-21	0.9317	0.3749
4-184434-A-21	0.9609	0.3316
1-31748-A-21	0.9844	0.2937
3-157149-A-10	0.7325	0.0150
4-164206-A-10	0.5180	0.2589
1-56311-A-10	0.3034	0.1611
4-166661-A-10	0.3164	0.1019
1-63871-A-10	0.3759	0.0532
4-180380-A-10	0.5158	0.3770
5-188655-A-10	0.3220	0.2799
4-160999-A-10	0.4043	0.2434
5-202898-A-10	0.4680	0.2073
5-195710-A-10	0.5279	0.2798
4-161127-A-10	0.4869	0.2265
2-73260-A-10	0.1906	0.3242
4-181286-A-10	0.4659	0.2372
2-72970-A-10	0.3232	0.1553
1-17367-A-10	0.4590	0.1524
4-163264-A-10	0.4525	0.1140
3-142005-A-10	0.2917	0.1935
5-198321-A-10	0.5221	0.0834
2-117625-A-10	0.4106	0.1740
5-203739-A-10	0.4747	0.1003
1-54958-A-10	0.4724	0.1970
2-87781-A-10	0.3589	0.1330
1-21189-A-10	0.2217	0.1474
2-101676-A-10	0.4033	0.1183
3-140774-A-10	0.0441	0.2874
3-157487-A-10	0.1021	0.0480
5-193339-A-10	0.4645	0.1573
3-143929-A-10	0.0435	0.0029
2-82367-A-10	0.5020	0.2481
