=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6839
Mean Deletion AUC: 0.3024
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.6977	0.0622
5-185579-A-41	0.5541	0.2511
1-116765-A-41	0.5760	0.2573
4-157611-B-41	0.5162	0.1834
1-19898-B-41	0.8544	0.0880
5-216370-B-41	0.8486	0.1567
5-222524-A-41	0.4128	0.2934
1-47250-A-41	0.7115	0.3273
2-68391-A-41	0.8502	0.0125
2-50667-B-41	0.7562	0.2285
4-165823-A-41	0.7663	0.2788
2-77945-B-41	0.7027	0.2834
4-169127-A-41	0.7624	0.0543
1-64398-B-41	0.7531	0.4004
2-50668-A-41	0.6883	0.1201
5-171653-A-41	0.6287	0.0681
4-149294-B-41	0.7504	0.2736
3-118972-B-41	0.6487	0.1805
5-170338-B-41	0.6827	0.1950
3-118657-B-41	0.5981	0.1860
5-216370-A-41	0.6656	0.0789
1-19898-C-41	0.7492	0.1497
2-50667-A-41	0.6377	0.3503
4-165823-B-41	0.8460	0.1974
1-47250-B-41	0.7791	0.3549
2-68391-B-41	0.6776	0.3446
5-185579-B-41	0.6654	0.2893
1-19898-A-41	0.1647	0.0178
3-165856-A-41	0.4017	0.1200
3-118658-B-41	0.7857	0.2665
4-157611-A-41	0.6266	0.1227
4-149294-A-41	0.6185	0.1876
3-118657-A-41	0.5147	0.0177
3-118656-A-41	0.6985	0.1560
5-170338-A-41	0.6598	0.1030
3-118972-A-41	0.6181	0.1947
2-77945-A-41	0.6551	0.2422
4-169127-B-41	0.6396	0.2807
2-50668-B-41	0.6414	0.2618
1-64398-A-41	0.6958	0.1617
3-170383-A-38	0.3275	0.2169
5-219342-A-38	0.7844	0.5230
1-48413-A-38	0.7405	0.5513
2-131943-A-38	0.7265	0.6609
5-209698-A-38	0.5010	0.1162
1-57163-A-38	0.4207	0.7316
1-62850-A-38	0.6479	0.3803
3-150363-A-38	0.5659	0.3517
4-179984-A-38	0.6496	0.4548
3-170377-A-38	0.7736	0.2221
2-88724-A-38	0.6688	0.3454
4-175945-A-38	0.6279	0.2396
4-181865-A-38	0.6784	0.2928
2-140147-A-38	0.7035	0.6713
2-135728-A-38	0.7233	0.2486
5-212181-A-38	0.7843	0.4126
5-209833-A-38	0.5952	0.7334
5-235671-A-38	0.5252	0.4556
2-119748-A-38	0.8958	0.3197
3-164688-A-38	0.7452	0.5681
4-191327-A-38	0.7502	0.4878
3-142593-A-38	0.1678	0.1220
4-194711-A-38	0.7004	0.1013
2-141584-A-38	0.5030	0.3437
4-181035-A-38	0.9092	0.5494
5-201194-A-38	0.5787	0.5956
1-35687-A-38	0.5857	0.4566
3-171041-A-38	0.6399	0.2519
5-210571-A-38	0.9016	0.4750
1-62849-A-38	0.8431	0.6237
1-42139-A-38	0.5305	0.1863
1-21935-A-38	0.7231	0.4967
1-21934-A-38	0.7575	0.4019
2-127108-A-38	0.7451	0.5346
4-188033-A-38	0.9410	0.5502
5-208624-A-38	0.6384	0.6546
3-143933-A-38	0.7041	0.2153
3-171012-A-38	0.6378	0.2607
2-134700-A-38	0.6338	0.1511
4-198965-A-38	0.7862	0.4940
4-171519-A-21	0.9286	0.5429
1-29680-A-21	0.9870	0.5626
3-148330-A-21	0.8909	0.5596
5-187979-A-21	0.9372	0.6173
2-119102-A-21	0.9514	0.5791
5-202220-A-21	0.8857	0.3869
5-220026-A-21	0.8481	0.4428
5-220027-A-21	0.8851	0.5628
1-47274-A-21	0.8741	0.5056
3-150231-A-21	0.8216	0.3260
1-47273-A-21	0.9719	0.6322
5-221593-A-21	0.8708	0.4818
3-142605-A-21	0.7112	0.4074
2-128631-A-21	0.8990	0.5240
4-167642-A-21	0.9382	0.4815
5-201274-A-21	0.9550	0.3684
5-194533-A-21	0.8865	0.1510
1-54505-A-21	0.8863	0.3817
3-156558-A-21	0.7346	0.3223
3-142601-A-21	0.8038	0.0967
4-156844-A-21	0.9394	0.6206
3-143119-A-21	0.9875	0.5732
1-59324-A-21	0.9312	0.4591
1-81883-A-21	0.9756	0.4490
2-82538-A-21	0.8419	0.5563
2-93030-A-21	0.9666	0.6350
2-130979-A-21	0.9597	0.5099
2-130978-A-21	0.9508	0.5097
5-221518-A-21	0.9013	0.4762
3-144692-A-21	0.8605	0.4324
2-109505-A-21	0.9713	0.4077
2-118104-A-21	0.9756	0.5987
4-185415-A-21	0.9788	0.4916
3-141684-A-21	0.9736	0.4441
1-26143-A-21	0.9304	0.4012
4-157297-A-21	0.9393	0.6524
4-185619-A-21	0.9405	0.5467
4-156843-A-21	0.9810	0.5054
4-184434-A-21	0.9506	0.4877
1-31748-A-21	0.9902	0.4185
4-166661-A-10	0.4425	0.1271
1-63871-A-10	0.5966	0.1309
4-164206-A-10	0.4724	0.1914
3-157149-A-10	0.6639	0.0274
1-56311-A-10	0.4548	0.1765
4-180380-A-10	0.5558	0.2177
5-188655-A-10	0.5831	0.2324
4-160999-A-10	0.5896	0.3629
5-202898-A-10	0.4362	0.2935
5-195710-A-10	0.5188	0.2038
4-161127-A-10	0.5968	0.1760
2-73260-A-10	0.3843	0.1316
4-181286-A-10	0.6252	0.2269
2-72970-A-10	0.6540	0.2228
1-17367-A-10	0.6161	0.1206
4-163264-A-10	0.5320	0.1605
3-142005-A-10	0.5545	0.3943
5-198321-A-10	0.5914	0.2119
2-117625-A-10	0.6576	0.3460
5-203739-A-10	0.6499	0.2870
1-54958-A-10	0.6070	0.2087
2-87781-A-10	0.5069	0.1561
1-21189-A-10	0.3334	0.0465
2-101676-A-10	0.5472	0.2353
3-140774-A-10	0.7485	0.0518
3-157487-A-10	0.3076	0.1504
5-193339-A-10	0.5000	0.2656
3-143929-A-10	0.1376	0.0115
2-82367-A-10	0.5115	0.3055
