=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6843
Mean Deletion AUC: 0.2950
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.5630	0.2640
1-116765-A-41	0.6114	0.2606
1-19898-B-41	0.8467	0.0885
4-157611-B-41	0.4702	0.2043
3-118658-A-41	0.7120	0.0602
5-216370-B-41	0.8429	0.1790
5-222524-A-41	0.4458	0.0936
1-47250-A-41	0.7144	0.3431
2-68391-A-41	0.8535	0.0121
2-50667-B-41	0.7366	0.2496
2-77945-B-41	0.6802	0.2731
4-165823-A-41	0.7348	0.2877
4-169127-A-41	0.7653	0.0549
1-64398-B-41	0.7596	0.3818
2-50668-A-41	0.6770	0.1028
4-149294-B-41	0.7359	0.2908
5-171653-A-41	0.6236	0.0764
3-118972-B-41	0.6535	0.1759
5-170338-B-41	0.6558	0.2059
3-118657-B-41	0.6373	0.1652
5-216370-A-41	0.6558	0.0764
2-50667-A-41	0.6288	0.3404
1-19898-C-41	0.7411	0.1550
4-165823-B-41	0.8393	0.1966
1-47250-B-41	0.7623	0.3104
2-68391-B-41	0.6803	0.3477
5-185579-B-41	0.6574	0.2910
1-19898-A-41	0.0928	0.0260
3-165856-A-41	0.3904	0.1201
3-118658-B-41	0.7693	0.2785
4-157611-A-41	0.6510	0.1566
3-118657-A-41	0.5106	0.0186
4-149294-A-41	0.6865	0.1878
3-118656-A-41	0.6985	0.1730
5-170338-A-41	0.6573	0.0513
3-118972-A-41	0.6342	0.2002
2-77945-A-41	0.6589	0.2346
4-169127-B-41	0.6278	0.2810
2-50668-B-41	0.6231	0.2640
1-64398-A-41	0.6971	0.1727
3-170383-A-38	0.7760	0.4344
5-219342-A-38	0.7672	0.3781
5-209698-A-38	0.6546	0.1806
1-48413-A-38	0.7518	0.5685
2-131943-A-38	0.7127	0.5595
1-57163-A-38	0.6719	0.7418
1-62850-A-38	0.6648	0.4649
4-179984-A-38	0.7048	0.4115
3-150363-A-38	0.7584	0.4015
3-170377-A-38	0.6720	0.5202
2-88724-A-38	0.6341	0.3393
4-175945-A-38	0.5988	0.3298
4-181865-A-38	0.7252	0.2440
2-140147-A-38	0.7222	0.6308
2-135728-A-38	0.6815	0.3899
5-212181-A-38	0.6482	0.5770
5-209833-A-38	0.5960	0.6666
5-235671-A-38	0.5864	0.2558
2-119748-A-38	0.8147	0.3580
3-164688-A-38	0.7202	0.6415
4-191327-A-38	0.6723	0.3798
3-142593-A-38	0.1382	0.0763
4-194711-A-38	0.6784	0.0809
2-141584-A-38	0.4952	0.3543
4-181035-A-38	0.7897	0.5474
5-201194-A-38	0.7539	0.5767
1-35687-A-38	0.5457	0.4139
3-171041-A-38	0.5946	0.1829
5-210571-A-38	0.7993	0.5035
1-62849-A-38	0.6944	0.5685
1-42139-A-38	0.8257	0.0665
1-21935-A-38	0.7963	0.5454
1-21934-A-38	0.7923	0.4686
2-127108-A-38	0.8044	0.4227
4-188033-A-38	0.9409	0.5489
5-208624-A-38	0.7422	0.6044
3-143933-A-38	0.6117	0.3688
3-171012-A-38	0.6023	0.2293
2-134700-A-38	0.6775	0.2557
4-198965-A-38	0.7533	0.4595
4-171519-A-21	0.9290	0.5478
1-29680-A-21	0.9613	0.6001
5-187979-A-21	0.9228	0.5692
2-119102-A-21	0.9460	0.5401
3-148330-A-21	0.8816	0.5542
5-202220-A-21	0.8993	0.5047
5-220027-A-21	0.8858	0.5141
5-220026-A-21	0.8475	0.5095
1-47274-A-21	0.8482	0.5350
3-150231-A-21	0.8174	0.4038
5-221593-A-21	0.8529	0.5884
1-47273-A-21	0.9616	0.5521
3-142605-A-21	0.7568	0.3482
2-128631-A-21	0.9183	0.5265
4-167642-A-21	0.9324	0.4730
5-194533-A-21	0.9411	0.1313
5-201274-A-21	0.9500	0.3750
1-54505-A-21	0.8942	0.3819
3-156558-A-21	0.7437	0.4373
3-142601-A-21	0.8084	0.1141
4-156844-A-21	0.9481	0.5995
3-143119-A-21	0.9670	0.5454
1-59324-A-21	0.9181	0.4467
1-81883-A-21	0.9452	0.4696
2-82538-A-21	0.8425	0.6206
2-93030-A-21	0.9541	0.5714
2-130979-A-21	0.9553	0.4316
2-130978-A-21	0.9553	0.5104
5-221518-A-21	0.9404	0.4622
3-144692-A-21	0.9023	0.5266
2-109505-A-21	0.9697	0.4042
2-118104-A-21	0.9531	0.6212
4-185415-A-21	0.9794	0.4341
3-141684-A-21	0.9506	0.3626
1-26143-A-21	0.9394	0.5075
4-157297-A-21	0.9361	0.6408
4-185619-A-21	0.9108	0.5086
4-156843-A-21	0.9694	0.5028
4-184434-A-21	0.9506	0.4954
1-31748-A-21	0.9894	0.4633
3-157149-A-10	0.7107	0.0281
4-164206-A-10	0.6434	0.1887
1-56311-A-10	0.3877	0.1828
4-166661-A-10	0.4752	0.1716
1-63871-A-10	0.5924	0.1413
4-180380-A-10	0.6378	0.2249
5-188655-A-10	0.5495	0.2109
4-160999-A-10	0.6960	0.2810
5-202898-A-10	0.4910	0.1784
5-195710-A-10	0.5431	0.1264
4-161127-A-10	0.5837	0.1679
2-73260-A-10	0.3792	0.1397
4-181286-A-10	0.6181	0.2117
2-72970-A-10	0.6238	0.2225
1-17367-A-10	0.5907	0.1800
4-163264-A-10	0.5225	0.1459
3-142005-A-10	0.5599	0.3388
5-198321-A-10	0.5411	0.1503
2-117625-A-10	0.6508	0.2317
5-203739-A-10	0.6572	0.2243
1-54958-A-10	0.6155	0.2257
2-87781-A-10	0.5229	0.1336
1-21189-A-10	0.5986	0.0888
2-101676-A-10	0.4168	0.1596
3-140774-A-10	0.8099	0.0915
3-157487-A-10	0.3642	0.0992
5-193339-A-10	0.4077	0.1521
3-143929-A-10	0.1419	0.0224
2-82367-A-10	0.5767	0.3396
