=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6674
Mean Deletion AUC: 0.3296
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.5531	0.2623
1-116765-A-41	0.5671	0.2728
1-19898-B-41	0.8461	0.0886
4-157611-B-41	0.5182	0.1476
3-118658-A-41	0.7115	0.0560
5-216370-B-41	0.8369	0.1714
5-222524-A-41	0.4517	0.2506
1-47250-A-41	0.6984	0.3187
2-68391-A-41	0.8486	0.0124
2-50667-B-41	0.7525	0.2383
2-77945-B-41	0.6811	0.2731
4-165823-A-41	0.7372	0.2860
4-169127-A-41	0.6375	0.0508
1-64398-B-41	0.7555	0.4004
2-50668-A-41	0.6320	0.1239
4-149294-B-41	0.7155	0.2929
5-171653-A-41	0.6691	0.0688
3-118972-B-41	0.6385	0.1954
5-170338-B-41	0.6536	0.2061
3-118657-B-41	0.6120	0.1879
5-216370-A-41	0.6439	0.0657
2-50667-A-41	0.6370	0.3370
1-19898-C-41	0.7356	0.1493
4-165823-B-41	0.8385	0.1970
1-47250-B-41	0.7722	0.3526
2-68391-B-41	0.6893	0.3431
5-185579-B-41	0.6540	0.2945
1-19898-A-41	0.0851	0.0548
3-165856-A-41	0.3781	0.1248
3-118658-B-41	0.7774	0.2820
4-157611-A-41	0.6377	0.1722
3-118657-A-41	0.5201	0.0051
4-149294-A-41	0.6078	0.1871
3-118656-A-41	0.6500	0.1787
5-170338-A-41	0.6601	0.0970
3-118972-A-41	0.6043	0.2042
2-77945-A-41	0.6639	0.2499
4-169127-B-41	0.6320	0.2822
2-50668-B-41	0.6391	0.2625
1-64398-A-41	0.6852	0.1750
3-170383-A-38	0.7271	0.3944
5-219342-A-38	0.6314	0.5738
5-209698-A-38	0.3939	0.6254
1-48413-A-38	0.7335	0.6603
2-131943-A-38	0.7671	0.6318
1-57163-A-38	0.6778	0.8051
1-62850-A-38	0.6286	0.5756
4-179984-A-38	0.6506	0.5350
3-150363-A-38	0.6393	0.5081
3-170377-A-38	0.6264	0.5616
2-88724-A-38	0.6334	0.4010
4-175945-A-38	0.4331	0.6717
4-181865-A-38	0.5044	0.5200
2-140147-A-38	0.6453	0.6991
2-135728-A-38	0.6391	0.5004
5-212181-A-38	0.5916	0.5988
5-209833-A-38	0.4895	0.7485
5-235671-A-38	0.5665	0.4094
2-119748-A-38	0.7165	0.4860
3-164688-A-38	0.7217	0.6799
4-191327-A-38	0.5362	0.5717
3-142593-A-38	0.1004	0.0665
4-194711-A-38	0.4581	0.2144
2-141584-A-38	0.5764	0.4589
4-181035-A-38	0.7745	0.5552
5-201194-A-38	0.7159	0.6765
1-35687-A-38	0.5771	0.4848
3-171041-A-38	0.6861	0.5695
5-210571-A-38	0.7993	0.5046
1-62849-A-38	0.6440	0.5825
1-42139-A-38	0.6704	0.1633
1-21935-A-38	0.6674	0.5801
1-21934-A-38	0.6220	0.5774
2-127108-A-38	0.7114	0.5500
4-188033-A-38	0.9409	0.5421
5-208624-A-38	0.7271	0.6335
3-143933-A-38	0.5870	0.5022
3-171012-A-38	0.6127	0.4147
2-134700-A-38	0.4189	0.3710
4-198965-A-38	0.6954	0.6641
4-171519-A-21	0.9184	0.5591
1-29680-A-21	0.9614	0.6291
5-187979-A-21	0.9228	0.5493
2-119102-A-21	0.9461	0.5462
3-148330-A-21	0.8745	0.5433
5-202220-A-21	0.8829	0.4274
5-220027-A-21	0.8858	0.5217
5-220026-A-21	0.8470	0.5157
1-47274-A-21	0.8489	0.4931
3-150231-A-21	0.8155	0.4111
5-221593-A-21	0.8496	0.6107
1-47273-A-21	0.9321	0.5735
3-142605-A-21	0.7083	0.2341
2-128631-A-21	0.8847	0.5271
4-167642-A-21	0.9330	0.5095
5-194533-A-21	0.9112	0.1878
5-201274-A-21	0.9488	0.4033
1-54505-A-21	0.8942	0.3439
3-156558-A-21	0.5690	0.3512
3-142601-A-21	0.8221	0.0750
4-156844-A-21	0.8995	0.5694
3-143119-A-21	0.9671	0.5446
1-59324-A-21	0.9180	0.4502
1-81883-A-21	0.9455	0.4371
2-82538-A-21	0.8419	0.5988
2-93030-A-21	0.9286	0.5725
2-130979-A-21	0.9355	0.4353
2-130978-A-21	0.9295	0.4944
5-221518-A-21	0.9011	0.5498
3-144692-A-21	0.8648	0.3910
2-109505-A-21	0.9580	0.3990
2-118104-A-21	0.9118	0.5969
4-185415-A-21	0.9789	0.4610
3-141684-A-21	0.9314	0.4232
1-26143-A-21	0.9304	0.5255
4-157297-A-21	0.8883	0.5864
4-185619-A-21	0.9090	0.5047
4-156843-A-21	0.9697	0.5039
4-184434-A-21	0.9507	0.4972
1-31748-A-21	0.9858	0.4044
3-157149-A-10	0.7271	0.0286
4-164206-A-10	0.6066	0.2071
1-56311-A-10	0.3205	0.2134
4-166661-A-10	0.4517	0.1419
1-63871-A-10	0.6363	0.1376
4-180380-A-10	0.5479	0.2815
5-188655-A-10	0.5530	0.3429
4-160999-A-10	0.4542	0.3764
5-202898-A-10	0.5369	0.4104
5-195710-A-10	0.5705	0.1272
4-161127-A-10	0.6215	0.1968
2-73260-A-10	0.4663	0.2645
4-181286-A-10	0.6819	0.3589
2-72970-A-10	0.7170	0.3671
1-17367-A-10	0.5623	0.2314
4-163264-A-10	0.5561	0.2006
3-142005-A-10	0.5304	0.2905
5-198321-A-10	0.4306	0.1994
2-117625-A-10	0.6226	0.3007
5-203739-A-10	0.5989	0.3425
1-54958-A-10	0.6305	0.2540
2-87781-A-10	0.5396	0.1632
1-21189-A-10	0.5824	0.1210
2-101676-A-10	0.7421	0.3162
3-140774-A-10	0.8032	0.2060
3-157487-A-10	0.2921	0.2429
5-193339-A-10	0.5905	0.4212
3-143929-A-10	0.1405	0.0123
2-82367-A-10	0.6702	0.4516
