=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6681
Mean Deletion AUC: 0.3526
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
3-118658-A-41	0.6760	0.0797
5-185579-A-41	0.7247	0.1444
1-116765-A-41	0.5911	0.3937
4-157611-B-41	0.5967	0.2894
1-19898-B-41	0.8921	0.0639
5-216370-B-41	0.6167	0.4148
5-222524-A-41	0.5249	0.3460
1-47250-A-41	0.7276	0.2754
2-68391-A-41	0.8293	0.0476
2-50667-B-41	0.8286	0.1039
4-165823-A-41	0.6525	0.2391
2-77945-B-41	0.5845	0.5207
4-169127-A-41	0.8478	0.0059
1-64398-B-41	0.8060	0.3705
2-50668-A-41	0.6667	0.0578
5-171653-A-41	0.8518	0.0148
4-149294-B-41	0.8908	0.3372
3-118972-B-41	0.7920	0.0907
5-170338-B-41	0.7473	0.3044
3-118657-B-41	0.8535	0.1205
5-216370-A-41	0.7527	0.1538
1-19898-C-41	0.9038	0.2395
2-50667-A-41	0.7099	0.2802
4-165823-B-41	0.9095	0.4596
1-47250-B-41	0.6997	0.3889
2-68391-B-41	0.7829	0.2161
5-185579-B-41	0.7108	0.2763
1-19898-A-41	0.2386	0.0612
3-165856-A-41	0.4247	0.1132
3-118658-B-41	0.8633	0.4444
4-157611-A-41	0.7655	0.3838
4-149294-A-41	0.7807	0.2544
3-118657-A-41	0.3056	0.0040
3-118656-A-41	0.8382	0.1498
5-170338-A-41	0.8317	0.0610
3-118972-A-41	0.7566	0.1050
2-77945-A-41	0.8284	0.2750
4-169127-B-41	0.7862	0.2713
2-50668-B-41	0.7268	0.2405
1-64398-A-41	0.7126	0.0927
3-170383-A-38	0.4890	0.4073
5-219342-A-38	0.8266	0.4975
1-48413-A-38	0.8082	0.5826
2-131943-A-38	0.7750	0.6040
5-209698-A-38	0.5699	0.4599
1-57163-A-38	0.7088	0.6731
1-62850-A-38	0.6263	0.5584
3-150363-A-38	0.7467	0.3285
4-179984-A-38	0.6091	0.6312
3-170377-A-38	0.8562	0.3703
2-88724-A-38	0.3294	0.6190
4-175945-A-38	0.7289	0.5673
4-181865-A-38	0.2671	0.4320
2-140147-A-38	0.6775	0.5996
2-135728-A-38	0.5125	0.3407
5-212181-A-38	0.7000	0.6382
5-209833-A-38	0.8336	0.4597
5-235671-A-38	0.4728	0.4021
2-119748-A-38	0.6690	0.5553
3-164688-A-38	0.8503	0.5711
4-191327-A-38	0.7554	0.4088
3-142593-A-38	0.1310	0.2295
4-194711-A-38	0.5553	0.1614
2-141584-A-38	0.6945	0.2632
4-181035-A-38	0.8500	0.6430
5-201194-A-38	0.5940	0.4364
1-35687-A-38	0.7452	0.5880
3-171041-A-38	0.5097	0.4212
5-210571-A-38	0.8949	0.4194
1-62849-A-38	0.6635	0.6640
1-42139-A-38	0.3053	0.4224
1-21935-A-38	0.7201	0.5721
1-21934-A-38	0.7253	0.5211
2-127108-A-38	0.6198	0.5634
4-188033-A-38	0.9867	0.5980
5-208624-A-38	0.7482	0.5293
3-143933-A-38	0.4316	0.2371
3-171012-A-38	0.7365	0.2818
2-134700-A-38	0.6435	0.4364
4-198965-A-38	0.7784	0.3017
4-171519-A-21	0.9799	0.1901
1-29680-A-21	0.9678	0.3260
3-148330-A-21	0.9205	0.1908
5-187979-A-21	0.9883	0.1568
2-119102-A-21	0.9903	0.1674
5-202220-A-21	0.8684	0.7215
5-220026-A-21	0.9445	0.0896
5-220027-A-21	0.9873	0.1584
1-47274-A-21	0.9552	0.2102
3-150231-A-21	0.9143	0.0423
1-47273-A-21	0.9837	0.5018
5-221593-A-21	0.9565	0.1456
3-142605-A-21	0.5943	0.2081
2-128631-A-21	0.9737	0.2490
4-167642-A-21	0.9479	0.2213
5-201274-A-21	0.9264	0.1949
5-194533-A-21	0.9776	0.0449
1-54505-A-21	0.9617	0.2156
3-156558-A-21	0.9137	0.0347
3-142601-A-21	0.6340	0.0320
4-156844-A-21	0.8729	0.4159
3-143119-A-21	0.9947	0.2016
1-59324-A-21	0.9832	0.0686
1-81883-A-21	0.9938	0.2393
2-82538-A-21	0.9863	0.1724
2-93030-A-21	0.9852	0.3959
2-130979-A-21	0.9850	0.1649
2-130978-A-21	0.9706	0.1593
5-221518-A-21	0.9704	0.4470
3-144692-A-21	0.9192	0.2145
2-109505-A-21	0.9471	0.1789
2-118104-A-21	0.9793	0.5094
4-185415-A-21	0.9275	0.1083
3-141684-A-21	0.9843	0.1564
1-26143-A-21	0.9969	0.1274
4-157297-A-21	0.9565	0.2181
4-185619-A-21	0.9820	0.2187
4-156843-A-21	0.9851	0.1344
4-184434-A-21	0.9931	0.2339
1-31748-A-21	0.7316	0.1489
4-166661-A-10	0.3211	0.4419
1-63871-A-10	0.3701	0.2473
4-164206-A-10	0.4915	0.5237
3-157149-A-10	0.5280	0.0275
1-56311-A-10	0.4326	0.4233
4-180380-A-10	0.4873	0.5843
5-188655-A-10	0.4484	0.4825
4-160999-A-10	0.3224	0.5810
5-202898-A-10	0.4707	0.4547
5-195710-A-10	0.5011	0.3837
4-161127-A-10	0.4231	0.4620
2-73260-A-10	0.2996	0.5043
4-181286-A-10	0.4213	0.5692
2-72970-A-10	0.4455	0.4838
1-17367-A-10	0.4995	0.3493
4-163264-A-10	0.3534	0.3724
3-142005-A-10	0.5398	0.2278
5-198321-A-10	0.4590	0.5894
2-117625-A-10	0.4166	0.5316
5-203739-A-10	0.5396	0.4573
1-54958-A-10	0.3630	0.5192
2-87781-A-10	0.2990	0.3452
1-21189-A-10	0.1674	0.2574
2-101676-A-10	0.4077	0.4476
3-140774-A-10	0.1490	0.4320
3-157487-A-10	0.2215	0.2904
5-193339-A-10	0.4693	0.5101
3-143929-A-10	0.0423	0.1478
2-82367-A-10	0.5969	0.5801
