=== RISE SALIENCY MAP EVALUATION ===

Mean Insertion AUC: 0.6521
Mean Deletion AUC: 0.3809
Number of images evaluated: 400

Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
Detailed Results:
Image Name	Insertion AUC	Deletion AUC
--------------------------------------------------
5-185579-A-41	0.6801	0.1601
1-116765-A-41	0.5829	0.3107
1-19898-B-41	0.8915	0.0704
4-157611-B-41	0.4777	0.3677
3-118658-A-41	0.7076	0.0606
5-216370-B-41	0.7117	0.3660
5-222524-A-41	0.4919	0.2813
1-47250-A-41	0.7377	0.2974
2-68391-A-41	0.7387	0.0884
2-50667-B-41	0.8261	0.1075
2-77945-B-41	0.6420	0.2871
4-165823-A-41	0.7296	0.2252
4-169127-A-41	0.8291	0.0064
1-64398-B-41	0.8077	0.4444
2-50668-A-41	0.6796	0.0585
4-149294-B-41	0.8778	0.3357
5-171653-A-41	0.8335	0.0176
3-118972-B-41	0.7847	0.1079
5-170338-B-41	0.7194	0.3531
3-118657-B-41	0.8036	0.1058
5-216370-A-41	0.7960	0.1306
2-50667-A-41	0.7197	0.2327
1-19898-C-41	0.9024	0.1740
4-165823-B-41	0.8261	0.2017
1-47250-B-41	0.7322	0.2735
2-68391-B-41	0.7429	0.3218
5-185579-B-41	0.6922	0.3186
1-19898-A-41	0.1699	0.1744
3-165856-A-41	0.4636	0.1239
3-118658-B-41	0.8423	0.2171
4-157611-A-41	0.7510	0.3868
3-118657-A-41	0.2732	0.0034
4-149294-A-41	0.7708	0.1821
3-118656-A-41	0.8126	0.1434
5-170338-A-41	0.7871	0.0592
3-118972-A-41	0.7142	0.1733
2-77945-A-41	0.8003	0.2716
4-169127-B-41	0.7132	0.2115
2-50668-B-41	0.6938	0.2665
1-64398-A-41	0.7314	0.0818
3-170383-A-38	0.6363	0.3562
5-219342-A-38	0.7744	0.4560
5-209698-A-38	0.5990	0.6218
1-48413-A-38	0.8239	0.6172
2-131943-A-38	0.7189	0.5764
1-57163-A-38	0.7194	0.6698
1-62850-A-38	0.5855	0.5729
4-179984-A-38	0.6047	0.5857
3-150363-A-38	0.7420	0.3749
3-170377-A-38	0.8707	0.3983
2-88724-A-38	0.3826	0.6230
4-175945-A-38	0.7208	0.5799
4-181865-A-38	0.2832	0.4369
2-140147-A-38	0.7245	0.5202
2-135728-A-38	0.4863	0.3489
5-212181-A-38	0.7065	0.6640
5-209833-A-38	0.8110	0.5134
5-235671-A-38	0.5270	0.3763
2-119748-A-38	0.6474	0.5405
3-164688-A-38	0.8272	0.5291
4-191327-A-38	0.7796	0.4176
3-142593-A-38	0.1251	0.2450
4-194711-A-38	0.4629	0.2795
2-141584-A-38	0.6896	0.3224
4-181035-A-38	0.8566	0.6344
5-201194-A-38	0.6068	0.4234
1-35687-A-38	0.7190	0.5898
3-171041-A-38	0.5663	0.4203
5-210571-A-38	0.9193	0.4609
1-62849-A-38	0.7623	0.6899
1-42139-A-38	0.4563	0.5680
1-21935-A-38	0.7486	0.5548
1-21934-A-38	0.7250	0.4677
2-127108-A-38	0.5855	0.5100
4-188033-A-38	0.9913	0.6497
5-208624-A-38	0.7645	0.5254
3-143933-A-38	0.5061	0.2312
3-171012-A-38	0.7866	0.2804
2-134700-A-38	0.7048	0.3642
4-198965-A-38	0.7708	0.2578
4-171519-A-21	0.4850	0.6518
1-29680-A-21	0.6957	0.7628
5-187979-A-21	0.9578	0.3507
2-119102-A-21	0.5448	0.4126
3-148330-A-21	0.3821	0.6554
5-202220-A-21	0.8266	0.7384
5-220027-A-21	0.9328	0.4916
5-220026-A-21	0.5546	0.4850
1-47274-A-21	0.8350	0.5905
3-150231-A-21	0.7344	0.0853
5-221593-A-21	0.8843	0.5077
1-47273-A-21	0.9615	0.6535
3-142605-A-21	0.6200	0.2611
2-128631-A-21	0.4301	0.6628
4-167642-A-21	0.3935	0.7075
5-194533-A-21	0.9292	0.0662
5-201274-A-21	0.8895	0.2817
1-54505-A-21	0.6165	0.6687
3-156558-A-21	0.6208	0.0882
3-142601-A-21	0.4291	0.1100
4-156844-A-21	0.7448	0.6373
3-143119-A-21	0.9826	0.3714
1-59324-A-21	0.9025	0.1082
1-81883-A-21	0.9251	0.4204
2-82538-A-21	0.9721	0.4920
2-93030-A-21	0.9716	0.4864
2-130979-A-21	0.9317	0.3650
2-130978-A-21	0.7790	0.5365
5-221518-A-21	0.9690	0.4687
3-144692-A-21	0.5056	0.3898
2-109505-A-21	0.4198	0.6402
2-118104-A-21	0.9597	0.6835
4-185415-A-21	0.5565	0.4793
3-141684-A-21	0.9636	0.3148
1-26143-A-21	0.9603	0.5775
4-157297-A-21	0.9231	0.3311
4-185619-A-21	0.9540	0.4352
4-156843-A-21	0.6929	0.4376
4-184434-A-21	0.9746	0.2520
1-31748-A-21	0.5004	0.5927
3-157149-A-10	0.7167	0.0284
4-164206-A-10	0.4720	0.5503
1-56311-A-10	0.4382	0.3947
4-166661-A-10	0.3270	0.4485
1-63871-A-10	0.3288	0.1953
4-180380-A-10	0.4750	0.5896
5-188655-A-10	0.4043	0.5158
4-160999-A-10	0.2978	0.5687
5-202898-A-10	0.4687	0.4803
5-195710-A-10	0.4822	0.3576
4-161127-A-10	0.3884	0.4972
2-73260-A-10	0.2855	0.5226
4-181286-A-10	0.4118	0.5680
2-72970-A-10	0.4006	0.5104
1-17367-A-10	0.4052	0.4138
4-163264-A-10	0.3389	0.3828
3-142005-A-10	0.5724	0.2974
5-198321-A-10	0.4938	0.5990
2-117625-A-10	0.4011	0.5173
5-203739-A-10	0.4352	0.5393
1-54958-A-10	0.3180	0.5031
2-87781-A-10	0.2668	0.3367
1-21189-A-10	0.1549	0.2787
2-101676-A-10	0.2945	0.5391
3-140774-A-10	0.2965	0.2868
3-157487-A-10	0.2183	0.3101
5-193339-A-10	0.4294	0.6269
3-143929-A-10	0.0209	0.1680
2-82367-A-10	0.5546	0.6016
